Date,Settlement Period,EBCA (£),EBVA (MWh),ESCA (£),ESVA (MWh),SBVA (MWh),SSVA (MWh),BPA (£/MWh),SPA (£/MWh)
01/04/2013,1,0,0,0,0,0,0,0,0
01/04/2013,2,0,0,0,0,0,0,0,0
01/04/2013,3,0,0,0,0,0,0,0,0
01/04/2013,4,0,0,0,0,0,0,0,0
01/04/2013,5,0,0,0,0,0,0,0,0
01/04/2013,6,0,0,0,0,0,0,0,0
01/04/2013,7,0,0,0,0,0,0,0,0
01/04/2013,8,0,0,0,0,0,0,0,0
01/04/2013,9,0,0,0,0,0,0,0,0
01/04/2013,10,0,0,0,0,0,0,0,0
01/04/2013,11,0,0,0,0,0,0,0,0
01/04/2013,12,0,0,0,0,0,0,0,0
01/04/2013,13,0,0,0,0,0,0,0,0
01/04/2013,14,0,0,0,0,0,0,0,0
01/04/2013,15,0,0,0,0,0,0,0,0
01/04/2013,16,0,0,0,0,0,0,0,0
01/04/2013,17,0,0,0,0,0,0,0,0
01/04/2013,18,0,0,0,0,0,0,0,0
01/04/2013,19,0,0,0,0,0,0,0,0
01/04/2013,20,0,0,0,0,0,0,0,0
01/04/2013,21,0,0,0,0,0,0,4.39,0
01/04/2013,22,0,0,0,0,0,0,3.81,0
01/04/2013,23,0,0,0,0,0,0,4.31,0
01/04/2013,24,0,0,0,0,0,0,5.21,0
01/04/2013,25,0,0,0,0,0,0,3.97,0
01/04/2013,26,0,0,0,0,0,0,1.61,0
01/04/2013,27,0,0,0,0,0,0,0.23,0
01/04/2013,28,0,0,0,0,0,0,0,0
01/04/2013,29,0,0,0,0,0,0,0,0
01/04/2013,30,0,0,0,0,0,0,0,0
01/04/2013,31,0,0,0,0,0,0,0,0
01/04/2013,32,0,0,0,0,0,0,0,0
01/04/2013,33,0,0,0,0,0,0,0,0
01/04/2013,34,0,0,0,0,0,0,0,0
01/04/2013,35,0,0,0,0,0,0,0,0
01/04/2013,36,0,0,0,0,0,0,0,0
01/04/2013,37,0,0,0,0,0,0,0,0
01/04/2013,38,0,0,0,0,0,0,0,0
01/04/2013,39,0,0,0,0,0,0,0,0
01/04/2013,40,0,0,0,0,0,0,5.2,0
01/04/2013,41,0,0,0,0,0,0,6.49,0
01/04/2013,42,0,0,0,0,0,0,5.72,0
01/04/2013,43,0,0,0,0,0,0,4.54,0
01/04/2013,44,0,0,0,0,0,0,1,0
01/04/2013,45,0,0,0,0,0,0,0,0
01/04/2013,46,0,0,0,0,0,0,0,0
01/04/2013,47,0,0,0,0,0,0,0,0
01/04/2013,48,0,0,0,0,0,0,0,0
02/04/2013,1,0,0,0,0,0,0,0,0
02/04/2013,2,0,0,0,0,0,0,0,0
02/04/2013,3,0,0,0,0,0,0,0,0
02/04/2013,4,0,0,0,0,0,0,0,0
02/04/2013,5,0,0,0,0,0,0,0,0
02/04/2013,6,0,0,0,0,0,0,0,0
02/04/2013,7,0,0,0,0,0,0,0,0
02/04/2013,8,0,0,0,0,0,0,0,0
02/04/2013,9,0,0,0,0,0,0,0,0
02/04/2013,10,0,0,0,0,0,0,0,0
02/04/2013,11,0,0,0,0,0,0,0,0
02/04/2013,12,0,0,0,0,0,0,0,0
02/04/2013,13,0,0,0,0,0,0,0,0
02/04/2013,14,0,0,0,0,0,0,0,0
02/04/2013,15,0,0,0,0,0,0,3.1,0
02/04/2013,16,0,0,0,0,0,0,6.65,0
02/04/2013,17,0,0,0,0,0,0,6.83,0
02/04/2013,18,0,0,0,0,0,0,9.64,0
02/04/2013,19,0,0,0,0,0,0,10.73,0
02/04/2013,20,0,0,0,0,0,0,7.96,0
02/04/2013,21,0,0,0,0,0,0,6.42,0
02/04/2013,22,0,0,0,0,0,0,5.57,0
02/04/2013,23,0,0,0,0,0,0,6.3,0
02/04/2013,24,0,0,0,0,0,0,7.61,0
02/04/2013,25,0,0,0,0,0,0,5.8,0
02/04/2013,26,0,0,0,0,0,0,2.35,0
02/04/2013,27,0,0,0,0,0,0,0.33,0
02/04/2013,28,0,0,0,0,0,0,0,0
02/04/2013,29,0,0,0,0,0,0,0,0
02/04/2013,30,0,0,0,0,0,0,0,0
02/04/2013,31,0,0,0,0,0,0,0,0
02/04/2013,32,0,0,0,0,0,0,0,0
02/04/2013,33,0,0,0,0,0,0,0,0
02/04/2013,34,0,0,0,0,0,0,0,0
02/04/2013,35,0,0,0,0,0,0,0,0
02/04/2013,36,0,0,0,0,0,0,0,0
02/04/2013,37,0,0,0,0,0,0,0,0
02/04/2013,38,0,0,0,0,0,0,0,0
02/04/2013,39,0,0,0,0,0,0,2.74,0
02/04/2013,40,0,0,0,0,0,0,7.6,0
02/04/2013,41,0,0,0,0,0,0,9.48,0
02/04/2013,42,0,0,0,0,0,0,8.37,0
02/04/2013,43,0,0,0,0,0,0,6.64,0
02/04/2013,44,0,0,0,0,0,0,1.46,0
02/04/2013,45,0,0,0,0,0,0,0,0
02/04/2013,46,0,0,0,0,0,0,0,0
02/04/2013,47,0,0,0,0,0,0,0,0
02/04/2013,48,0,0,0,0,0,0,0,0
03/04/2013,1,0,0,0,0,0,0,0,0
03/04/2013,2,0,0,0,0,0,0,0,0
03/04/2013,3,0,0,0,0,0,0,0,0
03/04/2013,4,0,0,0,0,0,0,0,0
03/04/2013,5,0,0,0,0,0,0,0,0
