EntryID,ServiceType,InstructionStartDateTime,MW,IndicativePrice,InstructionCeaseDateTime,DispatchDateTimeStamp,CeaseDateTimeStamp,PartyID,AssetID,Tendered
18955,Non-BM Fast Reserve,2022-06-01T04:18:00,80,197.95,2022-06-01T04:28:57,2022-06-01T04:15:19,2022-06-01T04:26:50,UKPR,OFR-UKPR-7,Non-tendered
18954,Non-BM Fast Reserve,2022-06-01T04:17:00,80,197.95,2022-06-01T04:31:00,2022-06-01T04:15:19,2022-06-01T04:29:20,UKPR,OFR-UKPR-2,Non-tendered
18956,Non-BM Fast Reserve,2022-06-01T04:59:00,80,197.95,2022-06-01T05:31:00,2022-06-01T04:57:21,2022-06-01T05:28:31,UKPR,OFR-UKPR-2,Non-tendered
18957,Non-BM Fast Reserve,2022-06-01T05:35:00,60,203.95,2022-06-01T06:01:00,2022-06-01T05:33:01,2022-06-01T05:58:36,UKPR,OFR-UKPR-1,Non-tendered
18958,Non-BM Fast Reserve,2022-06-01T05:35:00,55,198.95,2022-06-01T05:59:55,2022-06-01T05:33:01,2022-06-01T05:58:36,ENWL,OFR-ENWL-1,Non-tendered
18959,Non-BM Fast Reserve,2022-06-01T09:24:00,60,209.95,2022-06-01T12:01:00,2022-06-01T09:21:30,2022-06-01T11:58:28,UKPR,OFR-UKPR-1,Non-tendered
18960,Non-BM Fast Reserve,2022-06-01T09:23:00,55,185,2022-06-01T09:51:55,2022-06-01T09:22:30,2022-06-01T09:51:01,ENWL,OFR-ENWL-1,Non-tendered
18961,Non-BM Fast Reserve,2022-06-01T09:43:00,60,209.95,2022-06-01T11:39:00,2022-06-01T09:40:31,2022-06-01T11:37:17,UKPR,OFR-UKPR-5,Non-tendered
18962,Non-BM Fast Reserve,2022-06-01T10:03:00,60,209.95,2022-06-01T11:39:00,2022-06-01T10:00:32,2022-06-01T11:37:17,UKPR,OFR-UKPR-4,Non-tendered
18963,Non-BM Fast Reserve,2022-06-01T11:11:00,55,198.95,2022-06-01T11:39:55,2022-06-01T11:09:12,2022-06-01T11:39:17,ENWL,OFR-ENWL-1,Non-tendered
18964,Non-BM Fast Reserve,2022-06-01T20:12:00,80,209.99,2022-06-01T20:29:36,2022-06-01T20:10:04,2022-06-01T20:27:43,UKPR,OFR-UKPR-6,Non-tendered
