EntryID,ServiceType,InstructionStartDateTime,MW,IndicativePrice,InstructionCeaseDateTime,DispatchDateTimeStamp,CeaseDateTimeStamp,PartyID,AssetID,Tendered
28995,Non-BM Fast Reserve,2023-06-01T01:02:00,38,101.78,2023-06-01T01:07:38,2023-06-01T01:00:11,2023-06-01T01:07:11,ENWL,OFR-ENWL-1,Non-tendered
28996,Non-BM Fast Reserve,2023-06-01T05:00:00,38,103.86,2023-06-01T05:05:38,2023-06-01T04:58:18,2023-06-01T05:04:48,ENWL,OFR-ENWL-1,Non-tendered
28998,Non-BM Fast Reserve,2023-06-01T06:08:00,80,123,2023-06-01T06:16:36,2023-06-01T06:06:19,2023-06-01T06:14:50,UKPR,OFR-UKPR-6,Non-tendered
28997,Non-BM Fast Reserve,2023-06-01T06:08:00,60,123,2023-06-01T06:18:00,2023-06-01T06:06:19,2023-06-01T06:16:20,UKPR,OFR-UKPR-5,Non-tendered
28999,Non-BM Fast Reserve,2023-06-01T11:10:00,60,117,2023-06-01T11:18:00,2023-06-01T11:07:28,2023-06-01T11:16:28,UKPR,OFR-UKPR-5,Non-tendered
29000,Non-BM Fast Reserve,2023-06-01T11:10:00,54,103.74,2023-06-01T11:16:54,2023-06-01T11:07:28,2023-06-01T11:16:28,ENWL,OFR-ENWL-1,Non-tendered
29001,Non-BM Fast Reserve,2023-06-01T11:10:00,60,117,2023-06-01T11:16:30,2023-06-01T11:07:28,2023-06-01T11:15:28,UKPR,OFR-UKPR-2,Non-tendered
29002,Non-BM Fast Reserve,2023-06-01T21:19:00,38,102.18,2023-06-01T21:23:38,2023-06-01T21:16:34,2023-06-01T21:23:04,ENWL,OFR-ENWL-1,Non-tendered
29003,Non-BM Fast Reserve,2023-06-01T21:35:00,60,117,2023-06-01T21:42:00,2023-06-01T21:33:05,2023-06-01T21:40:05,UKPR,OFR-UKPR-5,Non-tendered
29004,Non-BM Fast Reserve,2023-06-01T22:29:00,38,102.78,2023-06-01T22:41:38,2023-06-01T22:26:36,2023-06-01T22:40:36,ENWL,OFR-ENWL-1,Non-tendered
29005,Non-BM Fast Reserve,2023-06-01T23:01:00,60,117,2023-06-01T23:09:00,2023-06-01T22:59:07,2023-06-01T23:06:37,UKPR,OFR-UKPR-5,Non-tendered
29006,Non-BM Fast Reserve,2023-06-01T23:01:00,38,102.78,2023-06-01T23:07:38,2023-06-01T22:59:07,2023-06-01T23:06:37,ENWL,OFR-ENWL-1,Non-tendered
29007,Non-BM Fast Reserve,2023-06-01T23:57:00,38,102.78,2023-06-02T00:02:38,2023-06-01T23:55:08,2023-06-02T00:02:08,ENWL,OFR-ENWL-1,Non-tendered
29008,Non-BM Fast Reserve,2023-06-01T23:59:00,80,117,2023-06-02T00:05:25,2023-06-01T23:56:38,2023-06-02T00:03:08,UKPR,OFR-UKPR-3,Non-tendered
29009,Non-BM Fast Reserve,2023-06-02T04:03:00,38,104.18,2023-06-02T04:16:38,2023-06-02T04:01:14,2023-06-02T04:16:14,ENWL,OFR-ENWL-1,Non-tendered
29010,Non-BM Fast Reserve,2023-06-02T04:03:00,60,117,2023-06-02T04:13:00,2023-06-02T04:01:14,2023-06-02T04:11:14,UKPR,OFR-UKPR-5,Non-tendered
29011,Non-BM Fast Reserve,2023-06-02T06:48:00,60,117,2023-06-02T07:48:30,2023-06-02T06:45:48,2023-06-02T07:46:20,UKPR,OFR-UKPR-2,Non-tendered
29012,Non-BM Fast Reserve,2023-06-02T06:48:00,50,103.44,2023-06-02T07:16:50,2023-06-02T06:45:48,2023-06-02T07:15:19,ENWL,OFR-ENWL-1,Non-tendered
29013,Non-BM Fast Reserve,2023-06-02T07:01:00,60,117,2023-06-02T07:38:00,2023-06-02T06:58:19,2023-06-02T07:35:50,UKPR,OFR-UKPR-5,Non-tendered
29014,Non-BM Fast Reserve,2023-06-02T07:01:00,80,117,2023-06-02T07:36:25,2023-06-02T06:58:49,2023-06-02T07:34:20,UKPR,OFR-UKPR-3,Non-tendered
29015,Non-BM Fast Reserve,2023-06-02T08:40:00,50,103.44,2023-06-02T08:55:50,2023-06-02T08:37:22,2023-06-02T08:55:22,ENWL,OFR-ENWL-1,Non-tendered
29016,Non-BM Fast Reserve,2023-06-02T08:40:00,60,117,2023-06-02T08:54:30,2023-06-02T08:37:22,2023-06-02T08:52:52,UKPR,OFR-UKPR-2,Non-tendered
