EntryID,ServiceType,InstructionStartDateTime,MW,IndicativePrice,InstructionCeaseDateTime,DispatchDateTimeStamp,CeaseDateTimeStamp
5709,Non-BM Fast Reserve,2021-04-01T05:21:00,80,84,2021-04-01T05:50:40,2021-04-01T05:19:15,2021-04-01T05:47:16
5710,Non-BM Fast Reserve,2021-04-01T05:21:00,80,84,2021-04-01T05:50:40,2021-04-01T05:19:15,2021-04-01T05:47:16
5711,Non-BM Fast Reserve,2021-04-01T06:33:00,80,84,2021-04-01T12:30:40,2021-04-01T06:30:17,2021-04-01T12:27:42
5712,Non-BM Fast Reserve,2021-04-01T06:33:00,80,84,2021-04-01T12:54:40,2021-04-01T06:30:47,2021-04-01T12:52:13
5713,Non-BM Fast Reserve,2021-04-01T06:34:00,54,85,2021-04-01T12:25:48,2021-04-01T06:31:47,2021-04-01T12:24:12
5714,Non-BM Fast Reserve,2021-04-01T06:55:00,60,85,2021-04-01T12:19:00,2021-04-01T06:52:48,2021-04-01T12:17:11
5715,Non-BM Fast Reserve,2021-04-01T07:10:00,66,85,2021-04-01T09:15:41,2021-04-01T07:07:48,2021-04-01T09:14:28
5716,Non-BM Fast Reserve,2021-04-01T07:11:00,72,85,2021-04-01T09:06:24,2021-04-01T07:09:19,2021-04-01T09:03:57
5717,Non-BM Fast Reserve,2021-04-01T07:16:00,60,85,2021-04-01T09:16:00,2021-04-01T07:13:49,2021-04-01T09:14:28
5718,Non-BM Fast Reserve,2021-04-01T07:16:00,69,78,2021-04-01T07:33:09,2021-04-01T07:13:49,2021-04-01T07:31:49
5719,Non-BM Fast Reserve,2021-04-01T07:55:00,69,78,2021-04-01T08:12:09,2021-04-01T07:52:50,2021-04-01T08:10:52
5720,Non-BM Fast Reserve,2021-04-01T09:41:00,69,78,2021-04-01T09:57:09,2021-04-01T09:39:29,2021-04-01T09:55:29
5722,Non-BM Fast Reserve,2021-04-01T09:44:00,60,85,2021-04-01T12:01:00,2021-04-01T09:41:59,2021-04-01T11:58:40
5721,Non-BM Fast Reserve,2021-04-01T09:44:00,66,85,2021-04-01T11:55:41,2021-04-01T09:41:59,2021-04-01T11:54:10
5723,Non-BM Fast Reserve,2021-04-01T09:49:00,72,85,2021-04-01T11:55:24,2021-04-01T09:46:59,2021-04-01T11:53:10
