EntryID,ServiceType,InstructionStartDateTime,MW,IndicativePrice,InstructionCeaseDateTime,DispatchDateTimeStamp,CeaseDateTimeStamp,PartyID,AssetID,Tendered
27472,Non-BM Fast Reserve,2023-04-01T00:02:00,46,158.78,2023-04-01T00:08:46,2023-04-01T00:00:08,2023-04-01T00:07:39,ENWL,OFR-ENWL-1,Non-tendered
27473,Non-BM Fast Reserve,2023-04-01T00:04:00,60,181,2023-04-01T00:11:30,2023-04-01T00:01:38,2023-04-01T00:09:39,UKPR,OFR-UKPR-2,Non-tendered
27474,Non-BM Fast Reserve,2023-04-01T00:04:00,80,181,2023-04-01T00:12:25,2023-04-01T00:02:08,2023-04-01T00:09:39,UKPR,OFR-UKPR-3,Non-tendered
27475,Non-BM Fast Reserve,2023-04-01T01:01:00,46,158.78,2023-04-01T01:10:46,2023-04-01T00:58:45,2023-04-01T01:09:46,ENWL,OFR-ENWL-1,Non-tendered
27476,Non-BM Fast Reserve,2023-04-01T20:05:00,46,163.69,2023-04-01T20:15:46,2023-04-01T20:02:42,2023-04-01T20:14:43,ENWL,OFR-ENWL-1,Non-tendered
27477,Non-BM Fast Reserve,2023-04-02T05:22:00,46,154.18,2023-04-02T05:32:46,2023-04-02T05:20:37,2023-04-02T05:31:37,ENWL,OFR-ENWL-1,Non-tendered
27478,Non-BM Fast Reserve,2023-04-02T07:06:00,63,159.69,2023-04-02T07:12:03,2023-04-02T07:03:44,2023-04-02T07:10:14,ENWL,OFR-ENWL-1,Non-tendered
27479,Non-BM Fast Reserve,2023-04-02T10:05:00,63,158.69,2023-04-02T10:25:03,2023-04-02T10:02:55,2023-04-02T10:23:56,ENWL,OFR-ENWL-1,Non-tendered
27481,Non-BM Fast Reserve,2023-04-02T19:37:00,60,205,2023-04-02T20:19:30,2023-04-02T19:34:42,2023-04-02T20:17:43,UKPR,OFR-UKPR-2,Non-tendered
27482,Non-BM Fast Reserve,2023-04-02T19:37:00,80,205,2023-04-02T20:20:40,2023-04-02T19:34:42,2023-04-02T20:17:43,UKPR,OFR-UKPR-4,Non-tendered
27480,Non-BM Fast Reserve,2023-04-02T19:37:00,80,205,2023-04-02T19:50:25,2023-04-02T19:34:42,2023-04-02T19:47:42,UKPR,OFR-UKPR-3,Non-tendered
27483,Non-BM Fast Reserve,2023-04-02T19:37:00,46,157.69,2023-04-02T20:04:46,2023-04-02T19:34:42,2023-04-02T20:04:13,ENWL,OFR-ENWL-1,Non-tendered
27484,Non-BM Fast Reserve,2023-04-02T20:03:00,80,205,2023-04-02T20:18:25,2023-04-02T20:00:43,2023-04-02T20:16:13,UKPR,OFR-UKPR-3,Non-tendered
27485,Non-BM Fast Reserve,2023-04-02T21:03:00,80,185,2023-04-02T21:19:25,2023-04-02T21:00:44,2023-04-02T21:16:45,UKPR,OFR-UKPR-3,Non-tendered
27486,Non-BM Fast Reserve,2023-04-02T21:03:00,60,185,2023-04-02T21:18:30,2023-04-02T21:00:44,2023-04-02T21:16:45,UKPR,OFR-UKPR-2,Non-tendered
27487,Non-BM Fast Reserve,2023-04-02T21:03:00,46,157.69,2023-04-02T21:29:46,2023-04-02T21:01:14,2023-04-02T21:28:45,ENWL,OFR-ENWL-1,Non-tendered
27488,Non-BM Fast Reserve,2023-04-02T21:14:00,80,185,2023-04-02T21:21:40,2023-04-02T21:12:15,2023-04-02T21:18:45,UKPR,OFR-UKPR-4,Non-tendered
27489,Non-BM Fast Reserve,2023-04-03T05:40:00,46,157.78,2023-04-03T05:56:46,2023-04-03T05:38:04,2023-04-03T05:56:04,ENWL,OFR-ENWL-1,Non-tendered
27490,Non-BM Fast Reserve,2023-04-03T05:40:00,60,180,2023-04-03T06:00:30,2023-04-03T05:38:04,2023-04-03T05:59:04,UKPR,OFR-UKPR-2,Non-tendered
27491,Non-BM Fast Reserve,2023-04-03T05:40:00,60,180,2023-04-03T06:01:00,2023-04-03T05:38:04,2023-04-03T05:59:04,UKPR,OFR-UKPR-5,Non-tendered
27492,Non-BM Fast Reserve,2023-04-03T06:09:00,80,180,2023-04-03T07:01:25,2023-04-03T06:07:05,2023-04-03T06:58:36,UKPR,OFR-UKPR-3,Non-tendered
27493,Non-BM Fast Reserve,2023-04-03T06:10:00,80,180,2023-04-03T07:01:36,2023-04-03T06:07:35,2023-04-03T06:59:36,UKPR,OFR-UKPR-6,Non-tendered
27494,Non-BM Fast Reserve,2023-04-03T06:20:00,60,180,2023-04-03T07:01:30,2023-04-03T06:17:35,2023-04-03T07:00:06,UKPR,OFR-UKPR-2,Non-tendered
27495,Non-BM Fast Reserve,2023-04-03T06:20:00,60,180,2023-04-03T07:02:00,2023-04-03T06:17:35,2023-04-03T07:00:06,UKPR,OFR-UKPR-5,Non-tendered
