EntryID,ServiceType,InstructionStartDateTime,MW,IndicativePrice,InstructionCeaseDateTime,DispatchDateTimeStamp,CeaseDateTimeStamp
9351,Non-BM Fast Reserve,2021-07-01T01:34:00,80,99.95,2021-07-01T01:42:00,2021-07-01T01:31:31,2021-07-01T01:40:01
9352,Non-BM Fast Reserve,2021-07-01T04:16:00,60,99.95,2021-07-01T04:31:00,2021-07-01T04:13:50,2021-07-01T04:29:20
9353,Non-BM Fast Reserve,2021-07-01T04:16:00,80,99.95,2021-07-01T04:27:00,2021-07-01T04:13:50,2021-07-01T04:25:20
9354,Non-BM Fast Reserve,2021-07-01T04:16:00,60,99.95,2021-07-01T04:30:40,2021-07-01T04:13:50,2021-07-01T04:29:20
9355,Non-BM Fast Reserve,2021-07-01T04:17:00,37,110,2021-07-01T04:24:37,2021-07-01T04:14:49,2021-07-01T04:23:20
9356,Non-BM Fast Reserve,2021-07-01T06:23:00,50,110,2021-07-01T06:39:50,2021-07-01T06:20:28,2021-07-01T06:38:29
9357,Non-BM Fast Reserve,2021-07-01T06:23:00,60,124.95,2021-07-01T07:35:00,2021-07-01T06:20:28,2021-07-01T07:32:33
9358,Non-BM Fast Reserve,2021-07-01T06:23:00,60,124.95,2021-07-01T07:32:40,2021-07-01T06:20:28,2021-07-01T07:31:03
9359,Non-BM Fast Reserve,2021-07-01T16:25:00,60,124.5,2021-07-01T18:03:00,2021-07-01T16:23:10,2021-07-01T18:01:30
9360,Non-BM Fast Reserve,2021-07-01T16:26:00,60,124.5,2021-07-01T18:02:40,2021-07-01T16:24:10,2021-07-01T18:00:30
9361,Non-BM Fast Reserve,2021-07-01T16:26:00,80,124.5,2021-07-01T18:01:00,2021-07-01T16:24:10,2021-07-01T17:58:30
9362,Non-BM Fast Reserve,2021-07-01T16:54:00,50,110,2021-07-01T17:10:50,2021-07-01T16:52:13,2021-07-01T17:09:49
9364,Non-BM Fast Reserve,2021-07-01T17:04:00,80,124.5,2021-07-01T18:02:00,2021-07-01T17:01:49,2021-07-01T17:59:30
9363,Non-BM Fast Reserve,2021-07-01T17:04:00,80,124.5,2021-07-01T17:43:00,2021-07-01T17:01:49,2021-07-01T17:40:57
9365,Non-BM Fast Reserve,2021-07-01T17:04:00,28,125.9,2021-07-01T17:43:00,2021-07-01T17:02:18,2021-07-01T17:40:57
9366,Non-BM Fast Reserve,2021-07-01T17:05:00,100,125.9,2021-07-01T17:42:00,2021-07-01T17:02:48,2021-07-01T17:39:57
9367,Non-BM Fast Reserve,2021-07-01T18:43:00,40,110,2021-07-01T18:58:40,2021-07-01T18:40:38,2021-07-01T18:58:09
9368,Non-BM Fast Reserve,2021-07-01T19:28:00,40,110,2021-07-01T19:44:40,2021-07-01T19:25:43,2021-07-01T19:43:25
9369,Non-BM Fast Reserve,2021-07-01T20:49:00,40,110,2021-07-01T20:58:40,2021-07-01T20:47:10,2021-07-01T20:57:40
9370,Non-BM Fast Reserve,2021-07-01T21:44:00,40,110,2021-07-01T21:55:40,2021-07-01T21:41:29,2021-07-01T21:55:29
9371,Non-BM Fast Reserve,2021-07-01T21:48:00,80,126.5,2021-07-01T22:54:00,2021-07-01T21:45:59,2021-07-01T22:52:04
9372,Non-BM Fast Reserve,2021-07-01T21:48:00,80,126.5,2021-07-01T22:44:00,2021-07-01T21:45:59,2021-07-01T22:42:04
9373,Non-BM Fast Reserve,2021-07-01T21:48:00,28,129.94,2021-07-01T22:22:00,2021-07-01T21:45:59,2021-07-01T22:20:31
9374,Non-BM Fast Reserve,2021-07-01T21:56:00,60,126.5,2021-07-01T23:43:00,2021-07-01T21:53:59,2021-07-01T23:40:39
