EntryID,ServiceType,InstructionStartDateTime,MW,IndicativePrice,InstructionCeaseDateTime,DispatchDateTimeStamp,CeaseDateTimeStamp,PartyID,AssetID,Tendered
63574,Non-BM Fast Reserve,2025-10-01T00:14:00,30,96.35,2025-10-01T00:32:30,2025-10-01T00:11:30,2025-10-01T00:32:01,ENWL,OFR-ENWL-1,Non-tendered
63575,Non-BM Fast Reserve,2025-10-01T00:14:00,50,99,2025-10-01T00:25:00,2025-10-01T00:11:30,2025-10-01T00:24:00,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
63573,Non-BM Fast Reserve,2025-10-01T00:14:00,28,99,2025-10-01T00:33:00,2025-10-01T00:11:30,2025-10-01T00:32:01,HABITAT ENERGY LIMITED,OFR-HAB-6,Non-tendered
63576,Non-BM Fast Reserve,2025-10-01T00:14:00,45,99,2025-10-01T00:32:54,2025-10-01T00:11:30,2025-10-01T00:32:01,HABITAT ENERGY LIMITED,OFR-HAB-7,Non-tendered
63578,Non-BM Fast Reserve,2025-10-01T01:18:00,28,99,2025-10-01T01:53:00,2025-10-01T01:15:32,2025-10-01T01:52:02,HABITAT ENERGY LIMITED,OFR-HAB-6,Non-tendered
63579,Non-BM Fast Reserve,2025-10-01T01:18:00,30,91.11,2025-10-01T01:52:30,2025-10-01T01:15:32,2025-10-01T01:52:02,ENWL,OFR-ENWL-1,Non-tendered
63577,Non-BM Fast Reserve,2025-10-01T01:18:00,45,99,2025-10-01T01:52:54,2025-10-01T01:15:32,2025-10-01T01:52:02,HABITAT ENERGY LIMITED,OFR-HAB-7,Non-tendered
63581,Non-BM Fast Reserve,2025-10-01T02:04:00,50,99,2025-10-01T02:32:00,2025-10-01T02:02:03,2025-10-01T02:31:03,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
63580,Non-BM Fast Reserve,2025-10-01T02:04:00,28,99,2025-10-01T02:39:00,2025-10-01T02:02:03,2025-10-01T02:37:33,HABITAT ENERGY LIMITED,OFR-HAB-6,Non-tendered
63582,Non-BM Fast Reserve,2025-10-01T02:04:00,45,99,2025-10-01T02:31:54,2025-10-01T02:02:03,2025-10-01T02:31:03,HABITAT ENERGY LIMITED,OFR-HAB-7,Non-tendered
63583,Non-BM Fast Reserve,2025-10-01T02:14:00,30,91.02,2025-10-01T02:38:30,2025-10-01T02:12:03,2025-10-01T02:37:33,ENWL,OFR-ENWL-1,Non-tendered
63584,Non-BM Fast Reserve,2025-10-01T02:15:00,25,100,2025-10-01T02:31:30,2025-10-01T02:13:03,2025-10-01T02:31:03,HABITAT ENERGY LIMITED,OFR-HAB-5,Non-tendered
63587,Non-BM Fast Reserve,2025-10-01T03:19:00,30,88.4,2025-10-01T04:16:30,2025-10-01T03:16:35,2025-10-01T04:16:06,ENWL,OFR-ENWL-1,Non-tendered
63588,Non-BM Fast Reserve,2025-10-01T03:19:00,25,100,2025-10-01T04:54:30,2025-10-01T03:16:35,2025-10-01T04:53:37,HABITAT ENERGY LIMITED,OFR-HAB-5,Non-tendered
63586,Non-BM Fast Reserve,2025-10-01T03:19:00,45,99,2025-10-01T04:54:54,2025-10-01T03:16:35,2025-10-01T04:53:37,HABITAT ENERGY LIMITED,OFR-HAB-7,Non-tendered
63585,Non-BM Fast Reserve,2025-10-01T03:19:00,50,99,2025-10-01T04:55:00,2025-10-01T03:16:35,2025-10-01T04:53:37,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
63589,Non-BM Fast Reserve,2025-10-01T03:19:00,28,99,2025-10-01T05:40:00,2025-10-01T03:16:35,2025-10-01T05:39:08,HABITAT ENERGY LIMITED,OFR-HAB-6,Non-tendered
63590,Non-BM Fast Reserve,2025-10-01T05:22:00,30,101.36,2025-10-01T05:25:30,2025-10-01T05:19:38,2025-10-01T05:25:08,ENWL,OFR-ENWL-1,Non-tendered
63591,Non-BM Fast Reserve,2025-10-01T05:22:00,45,104,2025-10-01T05:39:54,2025-10-01T05:19:38,2025-10-01T05:39:08,HABITAT ENERGY LIMITED,OFR-HAB-7,Non-tendered
63592,Non-BM Fast Reserve,2025-10-01T06:19:00,60,121,2025-10-01T08:09:30,2025-10-01T06:17:09,2025-10-01T08:08:11,UKPR,OFR-UKPR-2,Non-tendered
63593,Non-BM Fast Reserve,2025-10-01T06:19:00,50,115,2025-10-01T08:48:00,2025-10-01T06:17:09,2025-10-01T08:47:12,HABITAT ENERGY LIMITED,OFR-HAB-3,Non-tendered
63597,Non-BM Fast Reserve,2025-10-01T06:19:00,40,115,2025-10-01T08:47:48,2025-10-01T06:17:09,2025-10-01T08:47:12,HABITAT ENERGY LIMITED,OFR-HAB-4,Non-tendered
63594,Non-BM Fast Reserve,2025-10-01T06:19:00,45,114,2025-10-01T08:54:54,2025-10-01T06:17:09,2025-10-01T08:54:12,HABITAT ENERGY LIMITED,OFR-HAB-7,Non-tendered
63595,Non-BM Fast Reserve,2025-10-01T06:19:00,50,114,2025-10-01T08:55:00,2025-10-01T06:17:09,2025-10-01T08:54:12,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
63596,Non-BM Fast Reserve,2025-10-01T06:19:00,25,115,2025-10-01T08:54:30,2025-10-01T06:17:09,2025-10-01T08:54:12,HABITAT ENERGY LIMITED,OFR-HAB-5,Non-tendered
63599,Non-BM Fast Reserve,2025-10-01T06:19:00,28,114,2025-10-01T08:55:00,2025-10-01T06:17:09,2025-10-01T08:54:12,HABITAT ENERGY LIMITED,OFR-HAB-6,Non-tendered
63598,Non-BM Fast Reserve,2025-10-01T06:19:00,46,104.28,2025-10-01T07:17:46,2025-10-01T06:17:09,2025-10-01T07:16:40,ENWL,OFR-ENWL-1,Non-tendered
63600,Non-BM Fast Reserve,2025-10-01T06:48:00,60,123,2025-10-01T07:23:00,2025-10-01T06:46:09,2025-10-01T07:20:40,UKPR,OFR-UKPR-5,Non-tendered
63603,Non-BM Fast Reserve,2025-10-01T06:48:00,42,130,2025-10-01T07:22:24,2025-10-01T06:46:09,2025-10-01T07:20:40,UKPR,OFR-UKPR-1,Non-tendered
63605,Non-BM Fast Reserve,2025-10-01T06:48:00,38,129,2025-10-01T07:21:55,2025-10-01T06:46:09,2025-10-01T07:20:40,UKPR,OFR-UKPR-7,Non-tendered
