EntryID,ServiceType,InstructionStartDateTime,MW,IndicativePrice,InstructionCeaseDateTime,DispatchDateTimeStamp,CeaseDateTimeStamp,PartyID,AssetID,Tendered
35594,Non-BM Fast Reserve,2024-03-01T00:43:00,80,107,2024-03-01T00:50:25,2024-03-01T00:41:01,2024-03-01T00:47:31,UKPR,OFR-UKPR-3,Non-tendered
35593,Non-BM Fast Reserve,2024-03-01T00:43:00,59,92.56,2024-03-01T00:47:59,2024-03-01T00:41:01,2024-03-01T00:47:01,ENWL,OFR-ENWL-1,Non-tendered
35595,Non-BM Fast Reserve,2024-03-01T00:43:00,60,106,2024-03-01T00:53:30,2024-03-01T00:41:01,2024-03-01T00:52:02,UKPR,OFR-UKPR-2,Non-tendered
35596,Non-BM Fast Reserve,2024-03-01T08:15:00,83,87.68,2024-03-01T08:20:23,2024-03-01T08:13:14,2024-03-01T08:19:14,ENWL,OFR-ENWL-1,Non-tendered
35597,Non-BM Fast Reserve,2024-03-01T09:01:00,83,87.68,2024-03-01T09:30:23,2024-03-01T08:58:45,2024-03-01T09:28:46,ENWL,OFR-ENWL-1,Non-tendered
35598,Non-BM Fast Reserve,2024-03-01T13:34:00,83,96.42,2024-03-01T13:50:23,2024-03-01T13:32:22,2024-03-01T13:48:53,ENWL,OFR-ENWL-1,Non-tendered
35599,Non-BM Fast Reserve,2024-03-01T17:23:00,50,96,2024-03-01T18:05:00,2024-03-01T17:20:42,2024-03-01T18:04:14,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
35600,Non-BM Fast Reserve,2024-03-01T17:23:00,49,96,2024-03-01T18:48:00,2024-03-01T17:20:42,2024-03-01T18:46:15,HABITAT ENERGY LIMITED,OFR-HAB-2,Non-tendered
35601,Non-BM Fast Reserve,2024-03-01T17:25:00,83,96.68,2024-03-01T18:06:23,2024-03-01T17:23:12,2024-03-01T18:04:44,ENWL,OFR-ENWL-1,Non-tendered
35602,Non-BM Fast Reserve,2024-03-01T17:53:00,60,106,2024-03-01T18:05:30,2024-03-01T17:51:14,2024-03-01T18:04:14,UKPR,OFR-UKPR-2,Non-tendered
35603,Non-BM Fast Reserve,2024-03-01T18:02:00,80,107,2024-03-01T18:44:40,2024-03-01T18:00:14,2024-03-01T18:41:45,UKPR,OFR-UKPR-4,Non-tendered
35604,Non-BM Fast Reserve,2024-03-01T18:02:00,80,107,2024-03-01T18:44:25,2024-03-01T18:00:14,2024-03-01T18:41:45,UKPR,OFR-UKPR-3,Non-tendered
35605,Non-BM Fast Reserve,2024-03-01T18:13:00,50,104,2024-03-01T18:48:00,2024-03-01T18:10:14,2024-03-01T18:46:15,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
35606,Non-BM Fast Reserve,2024-03-01T18:13:00,60,107.5,2024-03-01T18:44:00,2024-03-01T18:10:14,2024-03-01T18:41:45,UKPR,OFR-UKPR-5,Non-tendered
35607,Non-BM Fast Reserve,2024-03-01T21:34:00,60,92.33,2024-03-01T22:14:00,2024-03-01T21:31:49,2024-03-01T22:12:50,ENWL,OFR-ENWL-1,Non-tendered
35608,Non-BM Fast Reserve,2024-03-01T21:35:00,60,106,2024-03-01T22:22:30,2024-03-01T21:33:19,2024-03-01T22:20:50,UKPR,OFR-UKPR-2,Non-tendered
35609,Non-BM Fast Reserve,2024-03-01T21:51:00,80,107,2024-03-01T22:21:25,2024-03-01T21:48:49,2024-03-01T22:18:20,UKPR,OFR-UKPR-3,Non-tendered
35610,Non-BM Fast Reserve,2024-03-01T22:49:00,60,92.33,2024-03-01T23:10:00,2024-03-01T22:47:21,2024-03-01T23:08:21,ENWL,OFR-ENWL-1,Non-tendered
35611,Non-BM Fast Reserve,2024-03-01T23:04:00,60,106,2024-03-01T23:15:30,2024-03-01T23:02:21,2024-03-01T23:13:51,UKPR,OFR-UKPR-2,Non-tendered
35612,Non-BM Fast Reserve,2024-03-01T23:04:00,80,107,2024-03-01T23:12:25,2024-03-01T23:02:21,2024-03-01T23:10:21,UKPR,OFR-UKPR-3,Non-tendered
35614,Non-BM Fast Reserve,2024-03-01T23:35:00,60,106,2024-03-02T00:21:30,2024-03-01T23:32:52,2024-03-02T00:20:24,UKPR,OFR-UKPR-2,Non-tendered
35613,Non-BM Fast Reserve,2024-03-01T23:35:00,60,96.56,2024-03-02T00:15:00,2024-03-01T23:32:52,2024-03-02T00:13:54,ENWL,OFR-ENWL-1,Non-tendered
35615,Non-BM Fast Reserve,2024-03-02T09:11:00,74,91.88,2024-03-02T09:45:14,2024-03-02T09:09:08,2024-03-02T09:44:09,ENWL,OFR-ENWL-1,Non-tendered
35616,Non-BM Fast Reserve,2024-03-02T09:16:00,49,95,2024-03-02T09:37:00,2024-03-02T09:13:38,2024-03-02T09:36:09,HABITAT ENERGY LIMITED,OFR-HAB-2,Non-tendered
35617,Non-BM Fast Reserve,2024-03-02T10:30:00,74,91.88,2024-03-02T10:59:14,2024-03-02T10:28:10,2024-03-02T10:58:11,ENWL,OFR-ENWL-1,Non-tendered
35618,Non-BM Fast Reserve,2024-03-02T10:32:00,49,95,2024-03-02T10:58:00,2024-03-02T10:29:40,2024-03-02T10:56:41,HABITAT ENERGY LIMITED,OFR-HAB-2,Non-tendered
35619,Non-BM Fast Reserve,2024-03-02T10:34:00,50,99,2024-03-02T10:56:00,2024-03-02T10:32:10,2024-03-02T10:55:11,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
35620,Non-BM Fast Reserve,2024-03-02T11:41:00,74,92.42,2024-03-02T11:59:14,2024-03-02T11:38:42,2024-03-02T11:57:43,ENWL,OFR-ENWL-1,Non-tendered
35621,Non-BM Fast Reserve,2024-03-02T11:49:00,49,95,2024-03-02T11:59:00,2024-03-02T11:46:42,2024-03-02T11:57:13,HABITAT ENERGY LIMITED,OFR-HAB-2,Non-tendered
35622,Non-BM Fast Reserve,2024-03-02T20:03:00,50,95,2024-03-02T20:37:00,2024-03-02T20:00:48,2024-03-02T20:36:20,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
35623,Non-BM Fast Reserve,2024-03-02T20:03:00,74,88.33,2024-03-02T20:27:14,2024-03-02T20:00:48,2024-03-02T20:26:20,ENWL,OFR-ENWL-1,Non-tendered
35624,Non-BM Fast Reserve,2024-03-02T21:09:00,50,95,2024-03-02T21:41:00,2024-03-02T21:07:21,2024-03-02T21:39:52,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
35625,Non-BM Fast Reserve,2024-03-02T21:14:00,60,106,2024-03-02T21:41:30,2024-03-02T21:11:51,2024-03-02T21:39:22,UKPR,OFR-UKPR-2,Non-tendered
35626,Non-BM Fast Reserve,2024-03-03T01:41:00,60,103,2024-03-03T01:57:30,2024-03-03T01:38:28,2024-03-03T01:55:59,UKPR,OFR-UKPR-2,Non-tendered
35627,Non-BM Fast Reserve,2024-03-03T01:41:00,54,87.78,2024-03-03T01:56:54,2024-03-03T01:38:28,2024-03-03T01:56:29,ENWL,OFR-ENWL-1,Non-tendered
35629,Non-BM Fast Reserve,2024-03-03T02:19:00,54,87.78,2024-03-03T02:46:54,2024-03-03T02:16:59,2024-03-03T02:46:00,ENWL,OFR-ENWL-1,Non-tendered
35628,Non-BM Fast Reserve,2024-03-03T02:19:00,60,103,2024-03-03T02:47:30,2024-03-03T02:16:59,2024-03-03T02:46:00,UKPR,OFR-UKPR-2,Non-tendered
35630,Non-BM Fast Reserve,2024-03-03T14:42:00,75,87.42,2024-03-03T14:56:15,2024-03-03T14:40:17,2024-03-03T14:54:47,ENWL,OFR-ENWL-1,Non-tendered
35631,Non-BM Fast Reserve,2024-03-03T15:07:00,49,95,2024-03-03T15:20:00,2024-03-03T15:04:47,2024-03-03T15:18:48,HABITAT ENERGY LIMITED,OFR-HAB-2,Non-tendered
35632,Non-BM Fast Reserve,2024-03-03T15:07:00,50,95,2024-03-03T15:20:00,2024-03-03T15:04:47,2024-03-03T15:18:48,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
35633,Non-BM Fast Reserve,2024-03-03T15:39:00,75,92.68,2024-03-03T15:59:15,2024-03-03T15:37:15,2024-03-03T15:57:16,ENWL,OFR-ENWL-1,Non-tendered
35634,Non-BM Fast Reserve,2024-03-03T16:08:00,49,95,2024-03-03T19:53:00,2024-03-03T16:06:16,2024-03-03T19:51:55,HABITAT ENERGY LIMITED,OFR-HAB-2,Non-tendered
35635,Non-BM Fast Reserve,2024-03-03T16:08:00,50,95,2024-03-03T18:59:00,2024-03-03T16:06:16,2024-03-03T18:57:54,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
35636,Non-BM Fast Reserve,2024-03-03T16:23:00,75,92.68,2024-03-03T17:03:15,2024-03-03T16:20:46,2024-03-03T17:01:48,ENWL,OFR-ENWL-1,Non-tendered
35637,Non-BM Fast Reserve,2024-03-03T16:25:00,80,104.5,2024-03-03T17:06:25,2024-03-03T16:23:16,2024-03-03T17:04:18,UKPR,OFR-UKPR-3,Non-tendered
35639,Non-BM Fast Reserve,2024-03-03T16:25:00,60,104,2024-03-03T18:27:30,2024-03-03T16:23:16,2024-03-03T18:25:52,UKPR,OFR-UKPR-2,Non-tendered
35638,Non-BM Fast Reserve,2024-03-03T16:25:00,80,104.5,2024-03-03T17:07:40,2024-03-03T16:23:16,2024-03-03T17:04:48,UKPR,OFR-UKPR-4,Non-tendered
35640,Non-BM Fast Reserve,2024-03-03T16:41:00,80,107.75,2024-03-03T17:03:36,2024-03-03T16:38:47,2024-03-03T17:01:18,UKPR,OFR-UKPR-6,Non-tendered
35641,Non-BM Fast Reserve,2024-03-03T16:41:00,60,107.75,2024-03-03T17:04:00,2024-03-03T16:38:47,2024-03-03T17:02:18,UKPR,OFR-UKPR-5,Non-tendered
35643,Non-BM Fast Reserve,2024-03-03T17:40:00,80,107.5,2024-03-03T18:17:25,2024-03-03T17:38:20,2024-03-03T18:14:51,UKPR,OFR-UKPR-3,Non-tendered
35642,Non-BM Fast Reserve,2024-03-03T17:40:00,75,91.56,2024-03-03T18:21:15,2024-03-03T17:38:20,2024-03-03T18:19:21,ENWL,OFR-ENWL-1,Non-tendered
35645,Non-BM Fast Reserve,2024-03-03T17:43:00,80,107.5,2024-03-03T18:27:40,2024-03-03T17:40:50,2024-03-03T18:24:22,UKPR,OFR-UKPR-4,Non-tendered
35644,Non-BM Fast Reserve,2024-03-03T17:43:00,60,107.75,2024-03-03T18:15:00,2024-03-03T17:40:50,2024-03-03T18:12:21,UKPR,OFR-UKPR-5,Non-tendered
35646,Non-BM Fast Reserve,2024-03-03T17:44:00,80,107.75,2024-03-03T18:09:36,2024-03-03T17:41:50,2024-03-03T18:08:21,UKPR,OFR-UKPR-6,Non-tendered
35648,Non-BM Fast Reserve,2024-03-03T18:39:00,60,107,2024-03-03T18:58:30,2024-03-03T18:36:53,2024-03-03T18:56:54,UKPR,OFR-UKPR-2,Non-tendered
35647,Non-BM Fast Reserve,2024-03-03T18:39:00,75,91.56,2024-03-03T19:19:15,2024-03-03T18:36:53,2024-03-03T19:17:54,ENWL,OFR-ENWL-1,Non-tendered
35649,Non-BM Fast Reserve,2024-03-03T19:09:00,60,107,2024-03-03T19:54:30,2024-03-03T19:07:24,2024-03-03T19:52:25,UKPR,OFR-UKPR-2,Non-tendered
35650,Non-BM Fast Reserve,2024-03-03T19:09:00,50,95,2024-03-03T19:55:00,2024-03-03T19:07:24,2024-03-03T19:54:25,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
35651,Non-BM Fast Reserve,2024-03-03T20:01:00,75,93.33,2024-03-03T20:26:15,2024-03-03T19:58:56,2024-03-03T20:24:56,ENWL,OFR-ENWL-1,Non-tendered
35652,Non-BM Fast Reserve,2024-03-03T20:01:00,50,95,2024-03-03T20:46:00,2024-03-03T19:58:56,2024-03-03T20:44:27,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
35653,Non-BM Fast Reserve,2024-03-03T20:07:00,80,104.5,2024-03-03T20:20:25,2024-03-03T20:04:56,2024-03-03T20:17:56,UKPR,OFR-UKPR-3,Non-tendered
35654,Non-BM Fast Reserve,2024-03-03T20:07:00,60,104,2024-03-03T20:45:30,2024-03-03T20:04:56,2024-03-03T20:44:27,UKPR,OFR-UKPR-2,Non-tendered
35655,Non-BM Fast Reserve,2024-03-03T22:11:00,60,104,2024-03-03T22:38:30,2024-03-03T22:08:59,2024-03-03T22:37:00,UKPR,OFR-UKPR-2,Non-tendered
35656,Non-BM Fast Reserve,2024-03-03T22:12:00,80,104.5,2024-03-03T22:37:25,2024-03-03T22:09:29,2024-03-03T22:35:00,UKPR,OFR-UKPR-3,Non-tendered
35657,Non-BM Fast Reserve,2024-03-03T22:11:00,56,93.33,2024-03-03T22:38:56,2024-03-03T22:09:29,2024-03-03T22:38:00,ENWL,OFR-ENWL-1,Non-tendered
35658,Non-BM Fast Reserve,2024-03-03T22:20:00,80,104.5,2024-03-03T22:39:40,2024-03-03T22:17:29,2024-03-03T22:37:00,UKPR,OFR-UKPR-4,Non-tendered
35659,Non-BM Fast Reserve,2024-03-03T22:52:00,60,104,2024-03-03T23:21:30,2024-03-03T22:50:00,2024-03-03T23:20:01,UKPR,OFR-UKPR-2,Non-tendered
35660,Non-BM Fast Reserve,2024-03-03T22:52:00,80,104.5,2024-03-03T23:01:25,2024-03-03T22:50:00,2024-03-03T22:58:30,UKPR,OFR-UKPR-3,Non-tendered
35661,Non-BM Fast Reserve,2024-03-04T00:04:00,60,104,2024-03-04T00:25:30,2024-03-04T00:01:32,2024-03-04T00:24:02,UKPR,OFR-UKPR-2,Non-tendered
35662,Non-BM Fast Reserve,2024-03-04T00:04:00,56,88.56,2024-03-04T00:24:56,2024-03-04T00:01:32,2024-03-04T00:24:02,ENWL,OFR-ENWL-1,Non-tendered
35663,Non-BM Fast Reserve,2024-03-04T00:41:00,60,104,2024-03-04T01:23:30,2024-03-04T00:38:33,2024-03-04T01:22:04,UKPR,OFR-UKPR-2,Non-tendered
35664,Non-BM Fast Reserve,2024-03-04T00:41:00,80,104.5,2024-03-04T01:22:25,2024-03-04T00:38:33,2024-03-04T01:19:34,UKPR,OFR-UKPR-3,Non-tendered
35665,Non-BM Fast Reserve,2024-03-04T03:36:00,60,104,2024-03-04T03:48:30,2024-03-04T03:33:37,2024-03-04T03:47:07,UKPR,OFR-UKPR-2,Non-tendered
35666,Non-BM Fast Reserve,2024-03-04T03:36:00,56,85.78,2024-03-04T03:48:56,2024-03-04T03:33:37,2024-03-04T03:47:37,ENWL,OFR-ENWL-1,Non-tendered
35667,Non-BM Fast Reserve,2024-03-04T04:02:00,60,104,2024-03-04T04:17:30,2024-03-04T03:59:37,2024-03-04T04:15:09,UKPR,OFR-UKPR-2,Non-tendered
35669,Non-BM Fast Reserve,2024-03-04T04:06:00,80,104.5,2024-03-04T04:17:25,2024-03-04T04:03:39,2024-03-04T04:15:09,UKPR,OFR-UKPR-3,Non-tendered
35668,Non-BM Fast Reserve,2024-03-04T04:06:00,56,85.78,2024-03-04T04:16:56,2024-03-04T04:03:39,2024-03-04T04:16:09,ENWL,OFR-ENWL-1,Non-tendered
35670,Non-BM Fast Reserve,2024-03-04T04:37:00,60,104,2024-03-04T04:47:30,2024-03-04T04:35:10,2024-03-04T04:45:40,UKPR,OFR-UKPR-2,Non-tendered
35671,Non-BM Fast Reserve,2024-03-04T04:37:00,80,104.5,2024-03-04T04:47:25,2024-03-04T04:35:10,2024-03-04T04:45:10,UKPR,OFR-UKPR-3,Non-tendered
35672,Non-BM Fast Reserve,2024-03-04T04:37:00,56,85.78,2024-03-04T05:08:56,2024-03-04T04:35:10,2024-03-04T05:07:41,ENWL,OFR-ENWL-1,Non-tendered
35673,Non-BM Fast Reserve,2024-03-04T05:00:00,80,104.5,2024-03-04T05:09:25,2024-03-04T04:58:10,2024-03-04T05:06:41,UKPR,OFR-UKPR-3,Non-tendered
