EntryID,ServiceType,InstructionStartDateTime,MW,IndicativePrice,InstructionCeaseDateTime,DispatchDateTimeStamp,CeaseDateTimeStamp,PartyID,AssetID,Tendered
44896,Non-BM Fast Reserve,2024-10-01T06:57:00,50,117,2024-10-01T06:59:00,2024-10-01T06:54:15,2024-10-01T06:58:15,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
44895,Non-BM Fast Reserve,2024-10-01T06:57:00,39,119,2024-10-01T06:58:47,2024-10-01T06:54:15,2024-10-01T06:58:15,HABITAT ENERGY LIMITED,OFR-HAB-5,Non-tendered
44897,Non-BM Fast Reserve,2024-10-01T06:57:00,40,118,2024-10-01T06:58:48,2024-10-01T06:54:15,2024-10-01T06:58:15,HABITAT ENERGY LIMITED,OFR-HAB-4,Non-tendered
44898,Non-BM Fast Reserve,2024-10-01T06:57:00,57,88.04,2024-10-01T07:01:57,2024-10-01T06:54:45,2024-10-01T07:00:45,ENWL,OFR-ENWL-1,Non-tendered
44900,Non-BM Fast Reserve,2024-10-01T07:08:00,50,119,2024-10-01T07:28:00,2024-10-01T07:05:15,2024-10-01T07:26:16,HABITAT ENERGY LIMITED,OFR-HAB-3,Non-tendered
44901,Non-BM Fast Reserve,2024-10-01T07:08:00,50,117,2024-10-01T07:28:00,2024-10-01T07:05:15,2024-10-01T07:26:16,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
44899,Non-BM Fast Reserve,2024-10-01T07:08:00,40,118,2024-10-01T07:27:48,2024-10-01T07:05:15,2024-10-01T07:26:16,HABITAT ENERGY LIMITED,OFR-HAB-4,Non-tendered
44902,Non-BM Fast Reserve,2024-10-01T07:08:00,39,119,2024-10-01T07:27:47,2024-10-01T07:05:15,2024-10-01T07:26:16,HABITAT ENERGY LIMITED,OFR-HAB-5,Non-tendered
44904,Non-BM Fast Reserve,2024-10-01T15:39:00,60,107,2024-10-01T15:57:30,2024-10-01T15:36:39,2024-10-01T15:55:39,UKPR,OFR-UKPR-2,Non-tendered
44909,Non-BM Fast Reserve,2024-10-01T15:39:00,80,108,2024-10-01T15:57:25,2024-10-01T15:36:39,2024-10-01T15:54:39,UKPR,OFR-UKPR-3,Non-tendered
44905,Non-BM Fast Reserve,2024-10-01T15:39:00,39,105,2024-10-01T15:56:47,2024-10-01T15:36:39,2024-10-01T15:55:39,HABITAT ENERGY LIMITED,OFR-HAB-5,Non-tendered
44908,Non-BM Fast Reserve,2024-10-01T15:39:00,50,104,2024-10-01T15:57:00,2024-10-01T15:36:39,2024-10-01T15:55:39,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
44907,Non-BM Fast Reserve,2024-10-01T15:39:00,49,106,2024-10-01T15:57:00,2024-10-01T15:36:39,2024-10-01T15:55:39,HABITAT ENERGY LIMITED,OFR-HAB-2,Non-tendered
44903,Non-BM Fast Reserve,2024-10-01T15:39:00,80,108,2024-10-01T15:57:40,2024-10-01T15:36:39,2024-10-01T15:54:39,UKPR,OFR-UKPR-4,Non-tendered
44906,Non-BM Fast Reserve,2024-10-01T15:39:00,40,100,2024-10-01T15:56:48,2024-10-01T15:36:39,2024-10-01T15:55:39,HABITAT ENERGY LIMITED,OFR-HAB-4,Non-tendered
44910,Non-BM Fast Reserve,2024-10-01T15:39:00,57,106.16,2024-10-01T15:56:57,2024-10-01T15:37:09,2024-10-01T15:55:39,ENWL,OFR-ENWL-1,Non-tendered
44914,Non-BM Fast Reserve,2024-10-01T16:02:00,50,100,2024-10-01T16:10:00,2024-10-01T16:00:09,2024-10-01T16:08:10,HABITAT ENERGY LIMITED,OFR-HAB-3,Non-tendered
44913,Non-BM Fast Reserve,2024-10-01T16:02:00,80,109,2024-10-01T16:10:36,2024-10-01T16:00:09,2024-10-01T16:08:10,UKPR,OFR-UKPR-6,Non-tendered
44917,Non-BM Fast Reserve,2024-10-01T16:02:00,49,106,2024-10-01T16:10:00,2024-10-01T16:00:09,2024-10-01T16:08:10,HABITAT ENERGY LIMITED,OFR-HAB-2,Non-tendered
44911,Non-BM Fast Reserve,2024-10-01T16:02:00,50,104,2024-10-01T16:10:00,2024-10-01T16:00:09,2024-10-01T16:08:10,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
44912,Non-BM Fast Reserve,2024-10-01T16:02:00,60,109,2024-10-01T16:11:00,2024-10-01T16:00:09,2024-10-01T16:08:10,UKPR,OFR-UKPR-5,Non-tendered
