EntryID,ServiceType,InstructionStartDateTime,MW,IndicativePrice,InstructionCeaseDateTime,DispatchDateTimeStamp,CeaseDateTimeStamp
3117,Non-BM Fast Reserve,2021-01-01T03:04:00,45,80,2021-01-01T03:19:45,2021-01-01T03:01:25,2021-01-01T03:18:57
3118,Non-BM Fast Reserve,2021-01-01T03:04:00,80,83,2021-01-01T03:19:40,2021-01-01T03:01:25,2021-01-01T03:16:27
3119,Non-BM Fast Reserve,2021-01-01T03:04:00,60,83,2021-01-01T03:23:00,2021-01-01T03:01:25,2021-01-01T03:20:58
3122,Non-BM Fast Reserve,2021-01-01T03:35:00,60,85,2021-01-01T03:48:00,2021-01-01T03:32:30,2021-01-01T03:45:37
3120,Non-BM Fast Reserve,2021-01-01T03:35:00,80,83,2021-01-01T03:48:40,2021-01-01T03:32:30,2021-01-01T03:45:37
3121,Non-BM Fast Reserve,2021-01-01T03:35:00,60,83,2021-01-01T03:48:00,2021-01-01T03:32:30,2021-01-01T03:45:37
3123,Non-BM Fast Reserve,2021-01-01T16:58:00,70,80,2021-01-01T17:15:10,2021-01-01T16:55:40,2021-01-01T17:13:40
3124,Non-BM Fast Reserve,2021-01-01T20:57:00,55,80,2021-01-01T21:13:55,2021-01-01T20:54:39,2021-01-01T21:12:12
3125,Non-BM Fast Reserve,2021-01-01T20:57:00,80,85,2021-01-01T21:26:40,2021-01-01T20:54:39,2021-01-01T21:24:13
3126,Non-BM Fast Reserve,2021-01-01T21:33:00,55,80,2021-01-01T21:49:55,2021-01-01T21:30:44,2021-01-01T21:48:46
3127,Non-BM Fast Reserve,2021-01-01T22:08:00,55,80,2021-01-01T22:15:55,2021-01-01T22:05:50,2021-01-01T22:15:22
3128,Non-BM Fast Reserve,2021-01-01T23:03:00,60,85,2021-01-01T23:11:00,2021-01-01T23:01:27,2021-01-01T23:08:27
3129,Non-BM Fast Reserve,2021-01-02T00:43:00,60,85,2021-01-02T01:17:00,2021-01-02T00:41:09,2021-01-02T01:14:44
3130,Non-BM Fast Reserve,2021-01-02T00:43:00,45,80,2021-01-02T00:59:45,2021-01-02T00:41:39,2021-01-02T00:59:12
3131,Non-BM Fast Reserve,2021-01-02T01:35:00,45,80,2021-01-02T01:41:45,2021-01-02T01:33:15,2021-01-02T01:40:47
3132,Non-BM Fast Reserve,2021-01-02T02:34:00,60,85,2021-01-02T02:54:00,2021-01-02T02:31:56,2021-01-02T02:51:57
3133,Non-BM Fast Reserve,2021-01-02T02:34:00,45,80,2021-01-02T02:50:45,2021-01-02T02:31:56,2021-01-02T02:49:57
3134,Non-BM Fast Reserve,2021-01-02T02:35:00,76,90,2021-01-02T02:52:32,2021-01-02T02:32:56,2021-01-02T02:50:27
3135,Non-BM Fast Reserve,2021-01-02T02:46:00,60,90,2021-01-02T02:54:00,2021-01-02T02:44:27,2021-01-02T02:51:57
3136,Non-BM Fast Reserve,2021-01-02T03:05:00,60,85,2021-01-02T03:20:00,2021-01-02T03:03:27,2021-01-02T03:18:28
3137,Non-BM Fast Reserve,2021-01-02T03:06:00,76,90,2021-01-02T03:18:32,2021-01-02T03:04:27,2021-01-02T03:15:58
3139,Non-BM Fast Reserve,2021-01-02T06:26:00,60,85,2021-01-02T06:34:00,2021-01-02T06:24:06,2021-01-02T06:31:38
3138,Non-BM Fast Reserve,2021-01-02T06:26:00,45,80,2021-01-02T06:32:45,2021-01-02T06:24:06,2021-01-02T06:31:38
3140,Non-BM Fast Reserve,2021-01-02T11:56:00,70,80,2021-01-02T12:13:10,2021-01-02T11:53:22,2021-01-02T12:11:24
3141,Non-BM Fast Reserve,2021-01-02T12:16:00,60,88,2021-01-02T12:48:00,2021-01-02T12:13:55,2021-01-02T12:45:29
3142,Non-BM Fast Reserve,2021-01-02T12:16:00,80,88,2021-01-02T12:48:40,2021-01-02T12:13:55,2021-01-02T12:45:29
3143,Non-BM Fast Reserve,2021-01-02T12:16:00,60,90,2021-01-02T12:48:00,2021-01-02T12:13:55,2021-01-02T12:45:29
3144,Non-BM Fast Reserve,2021-01-02T12:21:00,76,90,2021-01-02T12:48:32,2021-01-02T12:18:55,2021-01-02T12:45:29
3145,Non-BM Fast Reserve,2021-01-02T12:21:00,86,90,2021-01-02T12:37:12,2021-01-02T12:18:55,2021-01-02T12:34:57
3146,Non-BM Fast Reserve,2021-01-03T00:32:00,45,80,2021-01-03T00:48:45,2021-01-03T00:30:07,2021-01-03T00:47:38
3147,Non-BM Fast Reserve,2021-01-03T06:49:00,80,88,2021-01-03T06:56:40,2021-01-03T06:46:41,2021-01-03T06:53:11
3148,Non-BM Fast Reserve,2021-01-03T06:49:00,60,88,2021-01-03T06:57:00,2021-01-03T06:47:11,2021-01-03T06:54:41
3149,Non-BM Fast Reserve,2021-01-03T09:04:00,65,80,2021-01-03T09:09:05,2021-01-03T09:01:49,2021-01-03T09:07:50
3150,Non-BM Fast Reserve,2021-01-03T21:47:00,55,80,2021-01-03T22:03:55,2021-01-03T21:45:27,2021-01-03T22:02:58
3151,Non-BM Fast Reserve,2021-01-03T23:00:00,80,88,2021-01-03T23:14:40,2021-01-03T22:57:30,2021-01-03T23:11:40
