EntryID,ServiceType,InstructionStartDateTime,MW,IndicativePrice,InstructionCeaseDateTime,DispatchDateTimeStamp,CeaseDateTimeStamp,PartyID,AssetID,Tendered
61948,Non-BM Fast Reserve,2025-09-01T01:25:00,40,91,2025-09-01T01:32:48,2025-09-01T01:22:40,2025-09-01T01:31:10,HABITAT ENERGY LIMITED,OFR-HAB-4,Non-tendered
61947,Non-BM Fast Reserve,2025-09-01T01:25:00,28,90,2025-09-01T02:33:00,2025-09-01T01:22:40,2025-09-01T02:32:12,HABITAT ENERGY LIMITED,OFR-HAB-6,Non-tendered
61951,Non-BM Fast Reserve,2025-09-01T01:25:00,50,90,2025-09-01T02:33:00,2025-09-01T01:22:40,2025-09-01T02:32:12,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
61950,Non-BM Fast Reserve,2025-09-01T01:25:00,45,92,2025-09-01T01:32:55,2025-09-01T01:22:40,2025-09-01T01:31:10,HABITAT ENERGY LIMITED,OFR-HAB-2,Non-tendered
61949,Non-BM Fast Reserve,2025-09-01T01:25:00,50,91,2025-09-01T01:33:00,2025-09-01T01:22:40,2025-09-01T01:31:10,HABITAT ENERGY LIMITED,OFR-HAB-3,Non-tendered
61952,Non-BM Fast Reserve,2025-09-01T01:55:00,50,91,2025-09-01T02:25:00,2025-09-01T01:52:41,2025-09-01T02:24:12,HABITAT ENERGY LIMITED,OFR-HAB-3,Non-tendered
61953,Non-BM Fast Reserve,2025-09-01T01:55:00,40,91,2025-09-01T02:32:48,2025-09-01T01:52:41,2025-09-01T02:32:12,HABITAT ENERGY LIMITED,OFR-HAB-4,Non-tendered
61954,Non-BM Fast Reserve,2025-09-01T01:56:00,45,92,2025-09-01T02:09:55,2025-09-01T01:53:11,2025-09-01T02:08:41,HABITAT ENERGY LIMITED,OFR-HAB-2,Non-tendered
61955,Non-BM Fast Reserve,2025-09-01T01:56:00,80,119,2025-09-01T02:11:40,2025-09-01T01:53:11,2025-09-01T02:08:41,UKPR,OFR-UKPR-4,Non-tendered
61956,Non-BM Fast Reserve,2025-09-01T02:04:00,60,120,2025-09-01T02:26:00,2025-09-01T02:02:11,2025-09-01T02:24:12,UKPR,OFR-UKPR-5,Non-tendered
61957,Non-BM Fast Reserve,2025-09-01T02:04:00,80,121,2025-09-01T02:21:25,2025-09-01T02:02:11,2025-09-01T02:18:12,UKPR,OFR-UKPR-3,Non-tendered
61958,Non-BM Fast Reserve,2025-09-01T02:04:00,100,122,2025-09-01T02:21:00,2025-09-01T02:02:11,2025-09-01T02:18:12,UKPR,OFR-UKPR-6,Non-tendered
61961,Non-BM Fast Reserve,2025-09-01T05:28:00,50,106,2025-09-01T05:32:00,2025-09-01T05:25:46,2025-09-01T05:31:16,HABITAT ENERGY LIMITED,OFR-HAB-3,Non-tendered
61959,Non-BM Fast Reserve,2025-09-01T05:28:00,40,106,2025-09-01T05:31:48,2025-09-01T05:25:46,2025-09-01T05:31:16,HABITAT ENERGY LIMITED,OFR-HAB-4,Non-tendered
61960,Non-BM Fast Reserve,2025-09-01T05:28:00,28,105,2025-09-01T05:32:00,2025-09-01T05:25:46,2025-09-01T05:31:16,HABITAT ENERGY LIMITED,OFR-HAB-6,Non-tendered
61962,Non-BM Fast Reserve,2025-09-01T05:28:00,50,105,2025-09-01T05:32:00,2025-09-01T05:25:46,2025-09-01T05:31:16,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
61964,Non-BM Fast Reserve,2025-09-01T05:52:00,50,105,2025-09-01T06:07:00,2025-09-01T05:49:46,2025-09-01T06:05:47,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
61963,Non-BM Fast Reserve,2025-09-01T05:52:00,50,106,2025-09-01T06:03:00,2025-09-01T05:49:46,2025-09-01T06:01:47,HABITAT ENERGY LIMITED,OFR-HAB-3,Non-tendered
61965,Non-BM Fast Reserve,2025-09-01T05:52:00,39,98.41,2025-09-01T06:06:39,2025-09-01T05:49:46,2025-09-01T06:05:47,ENWL,OFR-ENWL-1,Non-tendered
61966,Non-BM Fast Reserve,2025-09-01T05:52:00,40,106,2025-09-01T06:02:48,2025-09-01T05:49:46,2025-09-01T06:01:47,HABITAT ENERGY LIMITED,OFR-HAB-4,Non-tendered
61967,Non-BM Fast Reserve,2025-09-01T05:52:00,28,105,2025-09-01T06:07:00,2025-09-01T05:49:46,2025-09-01T06:05:47,HABITAT ENERGY LIMITED,OFR-HAB-6,Non-tendered
61968,Non-BM Fast Reserve,2025-09-01T05:57:00,45,107,2025-09-01T06:02:55,2025-09-01T05:54:16,2025-09-01T06:01:47,HABITAT ENERGY LIMITED,OFR-HAB-2,Non-tendered
61970,Non-BM Fast Reserve,2025-09-01T15:50:00,39,90.75,2025-09-01T16:47:39,2025-09-01T15:47:35,2025-09-01T16:47:07,ENWL,OFR-ENWL-1,Non-tendered
61969,Non-BM Fast Reserve,2025-09-01T15:50:00,40,85,2025-09-01T18:40:48,2025-09-01T15:47:35,2025-09-01T18:39:39,HABITAT ENERGY LIMITED,OFR-HAB-4,Non-tendered
61972,Non-BM Fast Reserve,2025-09-01T15:50:00,50,84,2025-09-01T18:41:00,2025-09-01T15:47:35,2025-09-01T18:39:39,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
61971,Non-BM Fast Reserve,2025-09-01T15:50:00,45,86,2025-09-01T18:32:55,2025-09-01T15:47:35,2025-09-01T18:31:39,HABITAT ENERGY LIMITED,OFR-HAB-2,Non-tendered
61973,Non-BM Fast Reserve,2025-09-01T15:50:00,28,84,2025-09-01T18:41:00,2025-09-01T15:47:35,2025-09-01T18:39:39,HABITAT ENERGY LIMITED,OFR-HAB-6,Non-tendered
61974,Non-BM Fast Reserve,2025-09-01T15:50:00,50,85,2025-09-01T18:36:00,2025-09-01T15:47:35,2025-09-01T18:34:39,HABITAT ENERGY LIMITED,OFR-HAB-3,Non-tendered
61977,Non-BM Fast Reserve,2025-09-01T17:02:00,60,120,2025-09-01T18:33:30,2025-09-01T16:59:37,2025-09-01T18:31:39,UKPR,OFR-UKPR-2,Non-tendered
61976,Non-BM Fast Reserve,2025-09-01T17:02:00,39,95.46,2025-09-01T17:56:39,2025-09-01T16:59:37,2025-09-01T17:55:38,ENWL,OFR-ENWL-1,Non-tendered
61975,Non-BM Fast Reserve,2025-09-01T17:02:00,60,121,2025-09-01T18:03:49,2025-09-01T16:59:37,2025-09-01T18:01:38,UKPR,OFR-UKPR-3,Non-tendered
