EntryID,ServiceType,InstructionStartDateTime,MW,IndicativePrice,InstructionCeaseDateTime,DispatchDateTimeStamp,CeaseDateTimeStamp,PartyID,AssetID,Tendered
40314,Non-BM Fast Reserve,2024-07-01T06:18:00,50,108,2024-07-01T06:27:00,2024-07-01T06:15:40,2024-07-01T06:26:10,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
40313,Non-BM Fast Reserve,2024-07-01T06:18:00,49,109,2024-07-01T06:27:00,2024-07-01T06:15:40,2024-07-01T06:26:10,HABITAT ENERGY LIMITED,OFR-HAB-2,Non-tendered
40315,Non-BM Fast Reserve,2024-07-01T06:18:00,33,93.32,2024-07-01T06:26:33,2024-07-01T06:16:10,2024-07-01T06:26:10,ENWL,OFR-ENWL-1,Non-tendered
40318,Non-BM Fast Reserve,2024-07-01T06:47:00,50,110,2024-07-01T06:54:00,2024-07-01T06:45:11,2024-07-01T06:53:11,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
40319,Non-BM Fast Reserve,2024-07-01T06:47:00,33,92.65,2024-07-01T06:54:33,2024-07-01T06:45:11,2024-07-01T06:53:41,ENWL,OFR-ENWL-1,Non-tendered
40316,Non-BM Fast Reserve,2024-07-01T06:48:00,50,111,2024-07-01T06:54:00,2024-07-01T06:45:11,2024-07-01T06:52:41,HABITAT ENERGY LIMITED,OFR-HAB-3,Non-tendered
40317,Non-BM Fast Reserve,2024-07-01T06:47:00,49,111,2024-07-01T06:54:00,2024-07-01T06:45:11,2024-07-01T06:52:41,HABITAT ENERGY LIMITED,OFR-HAB-2,Non-tendered
40320,Non-BM Fast Reserve,2024-07-01T07:09:00,49,109,2024-07-01T07:36:00,2024-07-01T07:07:11,2024-07-01T07:34:42,HABITAT ENERGY LIMITED,OFR-HAB-2,Non-tendered
40321,Non-BM Fast Reserve,2024-07-01T07:09:00,33,94.27,2024-07-01T07:26:33,2024-07-01T07:07:11,2024-07-01T07:25:12,ENWL,OFR-ENWL-1,Non-tendered
40322,Non-BM Fast Reserve,2024-07-01T07:09:00,50,108,2024-07-01T07:36:00,2024-07-01T07:07:11,2024-07-01T07:34:42,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
