EntryID,ServiceType,InstructionStartDateTime,MW,IndicativePrice,InstructionCeaseDateTime,DispatchDateTimeStamp,CeaseDateTimeStamp,PartyID,AssetID,Tendered
13934,Non-BM Fast Reserve,2021-12-01T00:03:00,60,260,2021-12-01T01:42:00,2021-12-01T00:01:02,2021-12-01T01:39:44,UKPR,OFR-UKPR-5,Non-tendered
13935,Non-BM Fast Reserve,2021-12-01T00:03:00,80,260,2021-12-01T01:22:00,2021-12-01T00:01:02,2021-12-01T01:20:12,UKPR,OFR-UKPR-4,Non-tendered
13936,Non-BM Fast Reserve,2021-12-01T00:32:00,80,260,2021-12-01T01:34:00,2021-12-01T00:30:06,2021-12-01T01:32:14,UKPR,OFR-UKPR-2,Non-tendered
13937,Non-BM Fast Reserve,2021-12-01T00:35:00,82,265,2021-12-01T00:46:16,2021-12-01T00:33:06,2021-12-01T00:44:10,UKPR,OFR-UKPR-7,Non-tendered
13938,Non-BM Fast Reserve,2021-12-01T02:04:00,60,260,2021-12-01T02:19:00,2021-12-01T02:02:18,2021-12-01T02:17:19,UKPR,OFR-UKPR-5,Non-tendered
13939,Non-BM Fast Reserve,2021-12-01T04:53:00,80,260,2021-12-01T05:02:00,2021-12-01T04:50:59,2021-12-01T04:59:30,UKPR,OFR-UKPR-4,Non-tendered
13940,Non-BM Fast Reserve,2021-12-01T05:50:00,80,300,2021-12-01T05:59:00,2021-12-01T05:47:39,2021-12-01T05:56:42,UKPR,OFR-UKPR-4,Non-tendered
13941,Non-BM Fast Reserve,2021-12-01T05:54:00,80,300,2021-12-01T06:01:00,2021-12-01T05:51:12,2021-12-01T05:58:42,UKPR,OFR-UKPR-3,Non-tendered
13942,Non-BM Fast Reserve,2021-12-01T06:49:00,60,300,2021-12-01T06:59:00,2021-12-01T06:47:18,2021-12-01T06:56:48,UKPR,OFR-UKPR-5,Non-tendered
13943,Non-BM Fast Reserve,2021-12-01T12:25:00,60,300,2021-12-01T12:37:00,2021-12-01T12:22:58,2021-12-01T12:34:59,UKPR,OFR-UKPR-5,Non-tendered
13944,Non-BM Fast Reserve,2021-12-01T12:25:00,80,300,2021-12-01T12:35:00,2021-12-01T12:22:58,2021-12-01T12:32:59,UKPR,OFR-UKPR-4,Non-tendered
13945,Non-BM Fast Reserve,2021-12-01T12:27:00,80,300,2021-12-01T12:39:00,2021-12-01T12:24:58,2021-12-01T12:37:29,UKPR,OFR-UKPR-3,Non-tendered
13947,Non-BM Fast Reserve,2021-12-01T14:14:00,80,279.89,2021-12-01T15:06:00,2021-12-01T14:11:45,2021-12-01T15:03:47,UKPR,OFR-UKPR-3,Non-tendered
13946,Non-BM Fast Reserve,2021-12-01T14:14:00,80,279.89,2021-12-01T15:09:00,2021-12-01T14:11:45,2021-12-01T15:07:17,UKPR,OFR-UKPR-2,Non-tendered
13949,Non-BM Fast Reserve,2021-12-01T14:20:00,60,285,2021-12-01T15:02:00,2021-12-01T14:17:45,2021-12-01T14:59:46,UKPR,OFR-UKPR-5,Non-tendered
13948,Non-BM Fast Reserve,2021-12-01T14:20:00,80,285,2021-12-01T14:57:00,2021-12-01T14:17:45,2021-12-01T14:54:46,UKPR,OFR-UKPR-4,Non-tendered
13951,Non-BM Fast Reserve,2021-12-01T16:13:00,60,284.95,2021-12-01T19:18:00,2021-12-01T16:10:54,2021-12-01T19:15:15,UKPR,OFR-UKPR-5,Non-tendered
13950,Non-BM Fast Reserve,2021-12-01T16:13:00,86,279.95,2021-12-01T19:15:43,2021-12-01T16:10:54,2021-12-01T19:13:45,UKPR,OFR-UKPR-6,Non-tendered
13952,Non-BM Fast Reserve,2021-12-01T16:14:00,80,284.95,2021-12-01T19:00:00,2021-12-01T16:11:54,2021-12-01T18:58:14,UKPR,OFR-UKPR-4,Non-tendered
13953,Non-BM Fast Reserve,2021-12-01T16:21:00,80,284.95,2021-12-01T18:41:00,2021-12-01T16:18:54,2021-12-01T18:38:42,UKPR,OFR-UKPR-2,Non-tendered
13954,Non-BM Fast Reserve,2021-12-01T16:21:00,80,284.95,2021-12-01T19:17:00,2021-12-01T16:18:54,2021-12-01T19:14:45,UKPR,OFR-UKPR-3,Non-tendered
13955,Non-BM Fast Reserve,2021-12-01T16:23:00,40,290,2021-12-01T19:16:51,2021-12-01T16:20:54,2021-12-01T19:13:15,UKPR,OFR-UKPR-1,Non-tendered
13956,Non-BM Fast Reserve,2021-12-01T16:23:00,82,300,2021-12-01T18:36:16,2021-12-01T16:20:54,2021-12-01T18:34:12,UKPR,OFR-UKPR-7,Non-tendered
13957,Non-BM Fast Reserve,2021-12-01T20:02:00,80,294.95,2021-12-01T20:56:00,2021-12-01T19:59:52,2021-12-01T20:53:27,UKPR,OFR-UKPR-4,Non-tendered
13958,Non-BM Fast Reserve,2021-12-01T20:02:00,60,294.95,2021-12-01T20:56:00,2021-12-01T19:59:52,2021-12-01T20:53:27,UKPR,OFR-UKPR-5,Non-tendered
13959,Non-BM Fast Reserve,2021-12-01T21:04:00,40,305,2021-12-01T21:17:51,2021-12-01T21:01:58,2021-12-01T21:14:29,UKPR,OFR-UKPR-1,Non-tendered
13960,Non-BM Fast Reserve,2021-12-01T21:04:00,80,310,2021-12-01T21:17:00,2021-12-01T21:01:58,2021-12-01T21:14:29,UKPR,OFR-UKPR-3,Non-tendered
13962,Non-BM Fast Reserve,2021-12-01T21:07:00,60,289.95,2021-12-01T21:19:00,2021-12-01T21:04:58,2021-12-01T21:16:29,UKPR,OFR-UKPR-5,Non-tendered
13961,Non-BM Fast Reserve,2021-12-01T21:07:00,80,289.95,2021-12-01T21:17:00,2021-12-01T21:04:58,2021-12-01T21:14:59,UKPR,OFR-UKPR-4,Non-tendered
13964,Non-BM Fast Reserve,2021-12-02T07:45:00,40,350,2021-12-02T10:01:51,2021-12-02T07:42:30,2021-12-02T09:59:00,UKPR,OFR-UKPR-1,Non-tendered
13963,Non-BM Fast Reserve,2021-12-02T07:45:00,80,350,2021-12-02T08:48:00,2021-12-02T07:42:30,2021-12-02T08:45:58,UKPR,OFR-UKPR-3,Non-tendered
13965,Non-BM Fast Reserve,2021-12-02T07:45:00,80,350,2021-12-02T08:48:00,2021-12-02T07:42:30,2021-12-02T08:45:58,UKPR,OFR-UKPR-4,Non-tendered
13966,Non-BM Fast Reserve,2021-12-02T07:45:00,60,350,2021-12-02T10:01:00,2021-12-02T07:42:30,2021-12-02T09:59:00,UKPR,OFR-UKPR-5,Non-tendered
13967,Non-BM Fast Reserve,2021-12-02T07:46:00,86,350,2021-12-02T08:37:43,2021-12-02T07:44:30,2021-12-02T08:35:27,UKPR,OFR-UKPR-6,Non-tendered
13968,Non-BM Fast Reserve,2021-12-02T07:46:00,80,350,2021-12-02T09:56:00,2021-12-02T07:44:30,2021-12-02T09:54:00,UKPR,OFR-UKPR-2,Non-tendered
13969,Non-BM Fast Reserve,2021-12-02T07:46:00,82,360,2021-12-02T08:38:16,2021-12-02T07:44:30,2021-12-02T08:35:27,UKPR,OFR-UKPR-7,Non-tendered
13971,Non-BM Fast Reserve,2021-12-02T09:28:00,80,350,2021-12-02T10:01:00,2021-12-02T09:26:29,2021-12-02T09:59:00,UKPR,OFR-UKPR-4,Non-tendered
13970,Non-BM Fast Reserve,2021-12-02T09:28:00,80,350,2021-12-02T09:56:00,2021-12-02T09:26:29,2021-12-02T09:54:00,UKPR,OFR-UKPR-3,Non-tendered
13973,Non-BM Fast Reserve,2021-12-02T15:32:00,60,595,2021-12-02T15:41:00,2021-12-02T15:29:33,2021-12-02T15:39:33,UKPR,OFR-UKPR-5,Non-tendered
13972,Non-BM Fast Reserve,2021-12-02T15:32:00,40,595,2021-12-02T15:41:51,2021-12-02T15:29:33,2021-12-02T15:39:33,UKPR,OFR-UKPR-1,Non-tendered
13974,Non-BM Fast Reserve,2021-12-02T16:09:00,40,595,2021-12-02T16:37:51,2021-12-02T16:06:34,2021-12-02T16:34:35,UKPR,OFR-UKPR-1,Non-tendered
13975,Non-BM Fast Reserve,2021-12-02T16:09:00,60,595,2021-12-02T16:37:00,2021-12-02T16:06:34,2021-12-02T16:34:35,UKPR,OFR-UKPR-5,Non-tendered
13976,Non-BM Fast Reserve,2021-12-02T17:17:00,40,595,2021-12-02T17:28:51,2021-12-02T17:15:07,2021-12-02T17:26:08,UKPR,OFR-UKPR-1,Non-tendered
13977,Non-BM Fast Reserve,2021-12-02T17:17:00,60,595,2021-12-02T17:28:00,2021-12-02T17:15:07,2021-12-02T17:26:08,UKPR,OFR-UKPR-5,Non-tendered
13979,Non-BM Fast Reserve,2021-12-02T18:35:00,60,595,2021-12-02T19:27:00,2021-12-02T18:32:40,2021-12-02T19:24:41,UKPR,OFR-UKPR-5,Non-tendered
13978,Non-BM Fast Reserve,2021-12-02T18:35:00,40,595,2021-12-02T19:27:51,2021-12-02T18:32:40,2021-12-02T19:24:41,UKPR,OFR-UKPR-1,Non-tendered
13980,Non-BM Fast Reserve,2021-12-02T20:06:00,40,350,2021-12-02T21:19:51,2021-12-02T20:03:14,2021-12-02T21:16:16,UKPR,OFR-UKPR-1,Non-tendered
13981,Non-BM Fast Reserve,2021-12-02T20:06:00,60,350,2021-12-02T21:17:00,2021-12-02T20:03:14,2021-12-02T21:14:46,UKPR,OFR-UKPR-5,Non-tendered
13982,Non-BM Fast Reserve,2021-12-02T20:06:00,82,360,2021-12-02T20:49:16,2021-12-02T20:03:44,2021-12-02T20:46:45,UKPR,OFR-UKPR-7,Non-tendered
13984,Non-BM Fast Reserve,2021-12-02T20:30:00,80,350,2021-12-02T20:49:00,2021-12-02T20:27:45,2021-12-02T20:46:45,UKPR,OFR-UKPR-4,Non-tendered
