EntryID,ServiceType,InstructionStartDateTime,MW,IndicativePrice,InstructionCeaseDateTime,DispatchDateTimeStamp,CeaseDateTimeStamp,PartyID,AssetID,Tendered
26200,Non-BM Fast Reserve,2023-02-01T01:04:00,57,228,2023-02-01T01:32:57,2023-02-01T01:02:09,2023-02-01T01:31:42,ENWL,OFR-ENWL-1,Non-tendered
26201,Non-BM Fast Reserve,2023-02-01T02:03:00,57,228,2023-02-01T02:31:57,2023-02-01T02:01:43,2023-02-01T02:31:19,ENWL,OFR-ENWL-1,Non-tendered
26202,Non-BM Fast Reserve,2023-02-01T03:25:00,60,228,2023-02-01T03:32:30,2023-02-01T03:22:51,2023-02-01T03:31:21,UKPR,OFR-UKPR-2,Non-tendered
26203,Non-BM Fast Reserve,2023-02-01T03:25:00,57,189.4,2023-02-01T03:31:57,2023-02-01T03:23:21,2023-02-01T03:31:21,ENWL,OFR-ENWL-1,Non-tendered
26204,Non-BM Fast Reserve,2023-02-01T05:58:00,60,228,2023-02-01T06:21:30,2023-02-01T05:55:35,2023-02-01T06:20:06,UKPR,OFR-UKPR-2,Non-tendered
26205,Non-BM Fast Reserve,2023-02-01T05:58:00,57,189.4,2023-02-01T06:20:57,2023-02-01T05:56:05,2023-02-01T06:20:06,ENWL,OFR-ENWL-1,Non-tendered
26207,Non-BM Fast Reserve,2023-02-01T06:06:00,80,228,2023-02-01T06:19:25,2023-02-01T06:03:36,2023-02-01T06:17:06,UKPR,OFR-UKPR-3,Non-tendered
26206,Non-BM Fast Reserve,2023-02-01T06:06:00,80,228,2023-02-01T06:19:40,2023-02-01T06:03:36,2023-02-01T06:17:06,UKPR,OFR-UKPR-4,Non-tendered
26208,Non-BM Fast Reserve,2023-02-01T06:09:00,100,228,2023-02-01T06:18:00,2023-02-01T06:07:06,2023-02-01T06:16:06,UKPR,OFR-UKPR-6,Non-tendered
26209,Non-BM Fast Reserve,2023-02-01T06:13:00,46,248,2023-02-01T06:21:32,2023-02-01T06:11:06,2023-02-01T06:20:06,UKPR,OFR-UKPR-1,Non-tendered
