EntryID,ServiceType,InstructionStartDateTime,MW,IndicativePrice,InstructionCeaseDateTime,DispatchDateTimeStamp,CeaseDateTimeStamp
10509,Non-BM Fast Reserve,2021-08-01T08:11:00,80,127.9,2021-08-01T09:58:13,2021-08-01T08:09:03,2021-08-01T09:56:01
10508,Non-BM Fast Reserve,2021-08-01T08:11:00,47,121.95,2021-08-01T08:27:47,2021-08-01T08:09:03,2021-08-01T08:26:38
10510,Non-BM Fast Reserve,2021-08-01T08:11:00,80,127.9,2021-08-01T10:41:00,2021-08-01T08:09:03,2021-08-01T10:38:50
10511,Non-BM Fast Reserve,2021-08-01T09:13:00,47,121.95,2021-08-01T09:29:47,2021-08-01T09:11:25,2021-08-01T09:29:06
10512,Non-BM Fast Reserve,2021-08-01T09:46:00,100,124,2021-08-01T10:41:00,2021-08-01T09:43:12,2021-08-01T10:38:50
10513,Non-BM Fast Reserve,2021-08-02T00:11:00,80,127.9,2021-08-02T00:26:00,2021-08-02T00:08:26,2021-08-02T00:23:27
10514,Non-BM Fast Reserve,2021-08-02T00:11:00,26,118,2021-08-02T00:17:26,2021-08-02T00:08:26,2021-08-02T00:16:56
10515,Non-BM Fast Reserve,2021-08-02T04:55:00,60,140,2021-08-02T05:20:00,2021-08-02T04:53:12,2021-08-02T05:18:13
10516,Non-BM Fast Reserve,2021-08-02T04:55:00,32,123.95,2021-08-02T05:03:32,2021-08-02T04:53:12,2021-08-02T05:02:42
10517,Non-BM Fast Reserve,2021-08-02T04:55:00,80,140,2021-08-02T05:19:00,2021-08-02T04:53:12,2021-08-02T05:16:43
10518,Non-BM Fast Reserve,2021-08-02T05:10:00,80,140,2021-08-02T05:18:00,2021-08-02T05:07:43,2021-08-02T05:15:43
10519,Non-BM Fast Reserve,2021-08-02T06:42:00,80,140,2021-08-02T07:03:00,2021-08-02T06:39:55,2021-08-02T07:01:00
10520,Non-BM Fast Reserve,2021-08-02T06:42:00,60,140,2021-08-02T07:05:00,2021-08-02T06:39:55,2021-08-02T07:02:31
10523,Non-BM Fast Reserve,2021-08-02T09:37:00,80,137.44,2021-08-02T13:28:00,2021-08-02T09:35:23,2021-08-02T13:25:51
10521,Non-BM Fast Reserve,2021-08-02T09:37:00,60,137.44,2021-08-02T15:21:00,2021-08-02T09:35:23,2021-08-02T15:18:26
10522,Non-BM Fast Reserve,2021-08-02T09:37:00,28,137.44,2021-08-02T13:08:00,2021-08-02T09:35:23,2021-08-02T13:05:18
10524,Non-BM Fast Reserve,2021-08-02T09:55:00,80,137.44,2021-08-02T13:28:00,2021-08-02T09:53:23,2021-08-02T13:25:51
10525,Non-BM Fast Reserve,2021-08-02T10:49:00,80,139.94,2021-08-02T13:37:00,2021-08-02T10:46:27,2021-08-02T13:34:22
10526,Non-BM Fast Reserve,2021-08-02T10:49:00,80,139.94,2021-08-02T15:21:13,2021-08-02T10:46:27,2021-08-02T15:18:26
10527,Non-BM Fast Reserve,2021-08-02T12:10:00,45,121.95,2021-08-02T12:26:45,2021-08-02T12:08:35,2021-08-02T12:26:10
10528,Non-BM Fast Reserve,2021-08-02T12:10:00,100,141.94,2021-08-02T13:08:00,2021-08-02T12:08:35,2021-08-02T13:05:18
10529,Non-BM Fast Reserve,2021-08-03T01:06:00,80,129.8,,2021-08-03T01:03:28,
10530,Non-BM Fast Reserve,2021-08-03T01:06:00,80,129.8,,2021-08-03T01:03:28,
10533,Non-BM Fast Reserve,2021-08-03T04:02:00,80,129.8,2021-08-03T04:59:00,2021-08-03T04:00:24,2021-08-03T04:56:56
10532,Non-BM Fast Reserve,,,,2021-08-03T04:28:00,,2021-08-03T04:25:55
10531,Non-BM Fast Reserve,,,,2021-08-03T04:59:00,,2021-08-03T04:56:56
