EntryID,ServiceType,InstructionStartDateTime,MW,IndicativePrice,InstructionCeaseDateTime,DispatchDateTimeStamp,CeaseDateTimeStamp,PartyID,AssetID,Tendered
17455,Non-BM Fast Reserve,2022-04-01T16:07:00,100,359.8,2022-04-01T16:20:00,2022-04-01T16:05:02,2022-04-01T16:18:04,UKPR,OFR-UKPR-6,Non-tendered
17456,Non-BM Fast Reserve,2022-04-01T16:07:00,60,359.8,2022-04-01T16:20:00,2022-04-01T16:05:32,2022-04-01T16:18:04,UKPR,OFR-UKPR-5,Non-tendered
17457,Non-BM Fast Reserve,2022-04-01T17:37:00,100,359.8,2022-04-01T20:12:00,2022-04-01T17:35:06,2022-04-01T20:10:15,UKPR,OFR-UKPR-6,Non-tendered
17458,Non-BM Fast Reserve,2022-04-01T17:37:00,60,359.8,2022-04-01T20:21:00,2022-04-01T17:35:06,2022-04-01T20:18:16,UKPR,OFR-UKPR-5,Non-tendered
17459,Non-BM Fast Reserve,2022-04-01T22:36:00,60,339,2022-04-01T22:44:00,2022-04-01T22:34:29,2022-04-01T22:41:30,UKPR,OFR-UKPR-5,Non-tendered
17460,Non-BM Fast Reserve,2022-04-02T04:01:00,40,295,2022-04-02T04:09:40,2022-04-02T03:58:16,2022-04-02T04:08:49,ENWL,OFR-ENWL-1,Non-tendered
17461,Non-BM Fast Reserve,2022-04-02T04:01:00,60,350,2022-04-02T04:10:00,2022-04-02T03:58:16,2022-04-02T04:07:49,UKPR,OFR-UKPR-5,Non-tendered
17462,Non-BM Fast Reserve,2022-04-02T09:07:00,70,310,2022-04-02T09:12:10,2022-04-02T09:05:15,2022-04-02T09:11:15,ENWL,OFR-ENWL-1,Non-tendered
17464,Non-BM Fast Reserve,2022-04-02T09:41:00,60,344,2022-04-02T10:03:00,2022-04-02T09:39:18,2022-04-02T10:00:49,UKPR,OFR-UKPR-5,Non-tendered
17463,Non-BM Fast Reserve,2022-04-02T09:41:00,70,310,2022-04-02T10:11:10,2022-04-02T09:39:18,2022-04-02T10:09:20,ENWL,OFR-ENWL-1,Non-tendered
17465,Non-BM Fast Reserve,2022-04-02T09:56:00,60,344,2022-04-02T10:11:00,2022-04-02T09:53:19,2022-04-02T10:08:50,UKPR,OFR-UKPR-4,Non-tendered
17466,Non-BM Fast Reserve,2022-04-02T09:56:00,100,344,2022-04-02T10:03:00,2022-04-02T09:53:19,2022-04-02T10:00:49,UKPR,OFR-UKPR-6,Non-tendered
17467,Non-BM Fast Reserve,2022-04-02T11:07:00,70,300,2022-04-02T11:36:10,2022-04-02T11:04:26,2022-04-02T11:34:34,ENWL,OFR-ENWL-1,Non-tendered
17468,Non-BM Fast Reserve,2022-04-02T11:07:00,60,344,2022-04-02T12:52:00,2022-04-02T11:04:26,2022-04-02T12:50:14,UKPR,OFR-UKPR-4,Non-tendered
17469,Non-BM Fast Reserve,2022-04-02T11:07:00,60,344,2022-04-02T12:52:00,2022-04-02T11:04:26,2022-04-02T12:50:14,UKPR,OFR-UKPR-5,Non-tendered
17470,Non-BM Fast Reserve,2022-04-02T11:19:00,100,344,2022-04-02T12:50:00,2022-04-02T11:16:33,2022-04-02T12:48:14,UKPR,OFR-UKPR-6,Non-tendered
