EntryID,ServiceType,InstructionStartDateTime,MW,IndicativePrice,InstructionCeaseDateTime,DispatchDateTimeStamp,CeaseDateTimeStamp,PartyID,AssetID,Tendered
67000,Non-BM Fast Reserve,2025-12-01T07:54:00,50,105,2025-12-01T08:04:00,2025-12-01T07:52:14,2025-12-01T08:02:14,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
67001,Non-BM Fast Reserve,2025-12-01T07:58:00,61,97.48,2025-12-01T08:04:01,2025-12-01T07:55:44,2025-12-01T08:02:44,ENWL,OFR-ENWL-1,Non-tendered
67002,Non-BM Fast Reserve,2025-12-01T08:00:00,40,105.5,2025-12-01T08:03:48,2025-12-01T07:57:14,2025-12-01T08:02:14,HABITAT ENERGY LIMITED,OFR-HAB-5,Non-tendered
66998,Non-BM Fast Reserve,2025-12-01T07:53:00,28,105,2025-12-01T08:04:00,2025-12-01T07:51:14,2025-12-01T08:02:44,HABITAT ENERGY LIMITED,OFR-HAB-6,Non-tendered
66999,Non-BM Fast Reserve,2025-12-01T07:53:00,50,105,2025-12-01T08:04:00,2025-12-01T07:51:14,2025-12-01T08:02:44,HABITAT ENERGY LIMITED,OFR-HAB-7,Non-tendered
67003,Non-BM Fast Reserve,2025-12-01T08:02:00,40,105.5,2025-12-01T08:03:48,2025-12-01T07:59:44,2025-12-01T08:02:14,HABITAT ENERGY LIMITED,OFR-HAB-4,Non-tendered
67004,Non-BM Fast Reserve,2025-12-01T08:54:00,61,97.57,2025-12-01T09:05:01,2025-12-01T08:52:15,2025-12-01T09:04:16,ENWL,OFR-ENWL-1,Non-tendered
67005,Non-BM Fast Reserve,2025-12-01T08:55:00,28,105,2025-12-01T09:05:00,2025-12-01T08:53:15,2025-12-01T09:04:16,HABITAT ENERGY LIMITED,OFR-HAB-6,Non-tendered
67006,Non-BM Fast Reserve,2025-12-01T08:55:00,50,105,2025-12-01T09:05:00,2025-12-01T08:53:15,2025-12-01T09:04:16,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
67007,Non-BM Fast Reserve,2025-12-01T18:24:00,61,90.02,2025-12-01T18:31:01,2025-12-01T18:21:32,2025-12-01T18:30:03,ENWL,OFR-ENWL-1,Non-tendered
67008,Non-BM Fast Reserve,2025-12-01T19:34:00,61,94.74,2025-12-01T20:28:01,2025-12-01T19:32:04,2025-12-01T20:26:35,ENWL,OFR-ENWL-1,Non-tendered
67009,Non-BM Fast Reserve,2025-12-02T00:39:00,40,95.03,2025-12-02T01:36:40,2025-12-02T00:36:11,2025-12-02T01:35:43,ENWL,OFR-ENWL-1,Non-tendered
67011,Non-BM Fast Reserve,2025-12-02T00:39:00,50,103,2025-12-02T03:40:00,2025-12-02T00:36:11,2025-12-02T03:38:17,UKPR,OFR-UKPR-5,Non-tendered
67010,Non-BM Fast Reserve,2025-12-02T00:39:00,100,102,2025-12-02T03:40:00,2025-12-02T00:36:11,2025-12-02T03:38:17,UKPR,OFR-UKPR-6,Non-tendered
67012,Non-BM Fast Reserve,2025-12-02T05:07:00,80,118,2025-12-02T05:55:00,2025-12-02T05:04:18,2025-12-02T05:52:50,UKPR,OFR-UKPR-2,Non-tendered
67013,Non-BM Fast Reserve,2025-12-02T05:07:00,100,117.5,2025-12-02T05:55:00,2025-12-02T05:04:18,2025-12-02T05:52:50,UKPR,OFR-UKPR-6,Non-tendered
67014,Non-BM Fast Reserve,2025-12-02T05:07:00,40,95.86,2025-12-02T05:57:40,2025-12-02T05:04:18,2025-12-02T05:56:20,ENWL,OFR-ENWL-1,Non-tendered
67016,Non-BM Fast Reserve,2025-12-02T05:37:00,28,99,2025-12-02T05:58:00,2025-12-02T05:34:19,2025-12-02T05:56:20,HABITAT ENERGY LIMITED,OFR-HAB-6,Non-tendered
67015,Non-BM Fast Reserve,2025-12-02T05:37:00,50,99,2025-12-02T05:58:00,2025-12-02T05:34:19,2025-12-02T05:56:20,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
67017,Non-BM Fast Reserve,2025-12-02T05:37:00,50,99,2025-12-02T05:58:00,2025-12-02T05:34:19,2025-12-02T05:56:20,HABITAT ENERGY LIMITED,OFR-HAB-7,Non-tendered
67018,Non-BM Fast Reserve,2025-12-02T07:11:00,28,99,2025-12-02T07:44:00,2025-12-02T07:08:51,2025-12-02T07:42:52,HABITAT ENERGY LIMITED,OFR-HAB-6,Non-tendered
67019,Non-BM Fast Reserve,2025-12-02T07:11:00,50,99,2025-12-02T07:44:00,2025-12-02T07:08:51,2025-12-02T07:42:52,HABITAT ENERGY LIMITED,OFR-HAB-7,Non-tendered
67021,Non-BM Fast Reserve,2025-12-02T07:11:00,50,99,2025-12-02T07:37:00,2025-12-02T07:08:51,2025-12-02T07:35:22,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
67020,Non-BM Fast Reserve,2025-12-02T07:11:00,61,96.09,2025-12-02T07:44:01,2025-12-02T07:08:51,2025-12-02T07:42:52,ENWL,OFR-ENWL-1,Non-tendered
67022,Non-BM Fast Reserve,2025-12-02T07:13:00,40,100,2025-12-02T07:32:48,2025-12-02T07:11:21,2025-12-02T07:31:52,HABITAT ENERGY LIMITED,OFR-HAB-5,Non-tendered
