EntryID,ServiceType,InstructionStartDateTime,MW,IndicativePrice,InstructionCeaseDateTime,DispatchDateTimeStamp,CeaseDateTimeStamp,PartyID,AssetID,Tendered
19800,Non-BM Fast Reserve,2022-07-01T11:34:00,60,313.7,2022-07-01T12:03:00,2022-07-01T11:31:47,2022-07-01T12:00:48,UKPR,OFR-UKPR-4,Non-tendered
19801,Non-BM Fast Reserve,2022-07-01T11:34:00,60,313.7,2022-07-01T12:03:00,2022-07-01T11:31:47,2022-07-01T12:00:48,UKPR,OFR-UKPR-5,Non-tendered
19802,Non-BM Fast Reserve,2022-07-01T11:34:00,50,239,2022-07-01T12:02:50,2022-07-01T11:32:17,2022-07-01T12:01:48,ENWL,OFR-ENWL-1,Non-tendered
19803,Non-BM Fast Reserve,2022-07-01T14:05:00,50,278,2022-07-01T14:09:50,2022-07-01T14:02:32,2022-07-01T14:08:32,ENWL,OFR-ENWL-1,Non-tendered
19804,Non-BM Fast Reserve,2022-07-01T14:48:00,50,278,2022-07-01T14:52:50,2022-07-01T14:45:36,2022-07-01T14:52:06,ENWL,OFR-ENWL-1,Non-tendered
19805,Non-BM Fast Reserve,2022-07-01T16:40:00,50,278,2022-07-01T16:51:50,2022-07-01T16:38:13,2022-07-01T16:51:13,ENWL,OFR-ENWL-1,Non-tendered
19806,Non-BM Fast Reserve,2022-07-01T17:18:00,50,278,2022-07-01T17:26:50,2022-07-01T17:16:14,2022-07-01T17:26:14,ENWL,OFR-ENWL-1,Non-tendered
19807,Non-BM Fast Reserve,2022-07-01T21:07:00,40,257,2022-07-01T21:22:40,2022-07-01T21:05:06,2022-07-01T21:22:08,ENWL,OFR-ENWL-1,Non-tendered
19809,Non-BM Fast Reserve,2022-07-02T05:00:00,60,249.9,2022-07-02T05:09:00,2022-07-02T04:57:37,2022-07-02T05:06:40,UKPR,OFR-UKPR-4,Non-tendered
19808,Non-BM Fast Reserve,2022-07-02T05:00:00,60,249.9,2022-07-02T05:10:00,2022-07-02T04:57:37,2022-07-02T05:07:40,UKPR,OFR-UKPR-5,Non-tendered
