EntryID,ServiceType,InstructionStartDateTime,MW,IndicativePrice,InstructionCeaseDateTime,DispatchDateTimeStamp,CeaseDateTimeStamp
8128,Non-BM Fast Reserve,2021-06-01T08:42:00,80,107,2021-06-01T09:14:40,2021-06-01T08:39:34,2021-06-01T09:11:37
8127,Non-BM Fast Reserve,2021-06-01T08:42:00,80,107,2021-06-01T09:12:40,2021-06-01T08:39:34,2021-06-01T09:10:07
8129,Non-BM Fast Reserve,2021-06-01T08:52:00,60,97,2021-06-01T09:09:00,2021-06-01T08:49:35,2021-06-01T09:07:37
8130,Non-BM Fast Reserve,2021-06-01T08:52:00,60,108,2021-06-01T09:10:00,2021-06-01T08:49:35,2021-06-01T09:08:07
8131,Non-BM Fast Reserve,2021-06-01T17:05:00,56,99,2021-06-01T17:12:56,2021-06-01T17:02:24,2021-06-01T17:12:01
8132,Non-BM Fast Reserve,2021-06-01T17:05:00,80,110.9,2021-06-01T17:14:40,2021-06-01T17:02:24,2021-06-01T17:11:31
8133,Non-BM Fast Reserve,2021-06-01T17:06:00,80,110.9,2021-06-01T17:14:40,2021-06-01T17:03:54,2021-06-01T17:12:01
8134,Non-BM Fast Reserve,2021-06-01T17:06:00,60,111.9,2021-06-01T17:14:00,2021-06-01T17:03:54,2021-06-01T17:11:31
8135,Non-BM Fast Reserve,2021-06-01T18:10:00,80,110.9,2021-06-01T19:11:40,2021-06-01T18:08:05,2021-06-01T19:08:43
8136,Non-BM Fast Reserve,2021-06-01T18:10:00,80,110.9,2021-06-01T19:09:40,2021-06-01T18:08:05,2021-06-01T19:06:12
8137,Non-BM Fast Reserve,2021-06-01T18:14:00,54,111.9,2021-06-01T19:05:48,2021-06-01T18:12:05,2021-06-01T19:03:42
8138,Non-BM Fast Reserve,2021-06-01T18:14:00,60,111.9,2021-06-01T19:06:00,2021-06-01T18:12:05,2021-06-01T19:03:42
8139,Non-BM Fast Reserve,2021-06-01T18:19:00,40,99,2021-06-01T18:35:40,2021-06-01T18:17:06,2021-06-01T18:34:39
8141,Non-BM Fast Reserve,2021-06-01T20:36:00,40,99,2021-06-01T20:42:40,2021-06-01T20:33:50,2021-06-01T20:42:21
8140,Non-BM Fast Reserve,2021-06-01T20:36:00,80,104.9,2021-06-01T20:44:40,2021-06-01T20:33:50,2021-06-01T20:42:21
8142,Non-BM Fast Reserve,2021-06-01T21:03:00,80,104.9,2021-06-01T21:10:40,2021-06-01T21:00:52,2021-06-01T21:08:22
8143,Non-BM Fast Reserve,2021-06-01T21:03:00,40,99,2021-06-01T21:08:40,2021-06-01T21:00:52,2021-06-01T21:08:22
8144,Non-BM Fast Reserve,2021-06-01T21:20:00,54,105.9,2021-06-01T21:56:48,2021-06-01T21:17:23,2021-06-01T21:54:24
8145,Non-BM Fast Reserve,2021-06-01T21:20:00,80,104.9,2021-06-01T21:57:40,2021-06-01T21:17:23,2021-06-01T21:54:24
8146,Non-BM Fast Reserve,2021-06-02T02:09:00,80,103.9,2021-06-02T02:22:40,2021-06-02T02:07:11,2021-06-02T02:20:19
8147,Non-BM Fast Reserve,2021-06-02T07:09:00,80,109.9,2021-06-02T08:56:40,2021-06-02T07:06:32,2021-06-02T08:53:28
8148,Non-BM Fast Reserve,2021-06-02T07:09:00,80,109.9,2021-06-02T08:53:40,2021-06-02T07:06:32,2021-06-02T08:51:28
8149,Non-BM Fast Reserve,2021-06-02T08:03:00,86,110.9,2021-06-02T08:41:12,2021-06-02T08:00:26,2021-06-02T08:39:27
8150,Non-BM Fast Reserve,2021-06-02T08:03:00,54,110.9,2021-06-02T08:52:48,2021-06-02T08:00:26,2021-06-02T08:51:28
8151,Non-BM Fast Reserve,2021-06-02T08:16:00,68,110.9,2021-06-02T08:43:16,2021-06-02T08:13:56,2021-06-02T08:40:57
8152,Non-BM Fast Reserve,2021-06-02T08:16:00,60,110.9,2021-06-02T08:43:00,2021-06-02T08:13:56,2021-06-02T08:40:57
8153,Non-BM Fast Reserve,2021-06-02T08:17:00,72,110.9,2021-06-02T08:41:24,2021-06-02T08:14:26,2021-06-02T08:39:27
8154,Non-BM Fast Reserve,2021-06-02T09:56:00,54,110.9,2021-06-02T10:52:48,2021-06-02T09:53:11,2021-06-02T10:51:30
8155,Non-BM Fast Reserve,2021-06-02T09:56:00,80,109.9,2021-06-02T11:40:40,2021-06-02T09:53:11,2021-06-02T11:38:13
8156,Non-BM Fast Reserve,2021-06-02T09:56:00,80,109.9,2021-06-02T10:53:40,2021-06-02T09:53:11,2021-06-02T10:51:30
8157,Non-BM Fast Reserve,2021-06-02T09:59:00,60,110.9,2021-06-02T10:52:00,2021-06-02T09:56:42,2021-06-02T10:49:30
8158,Non-BM Fast Reserve,2021-06-02T09:59:00,68,110.9,2021-06-02T10:52:16,2021-06-02T09:57:12,2021-06-02T10:49:30
8159,Non-BM Fast Reserve,2021-06-02T10:05:00,86,110.9,2021-06-02T10:42:12,2021-06-02T10:02:42,2021-06-02T10:40:00
8160,Non-BM Fast Reserve,2021-06-02T10:05:00,72,110.9,2021-06-02T10:42:24,2021-06-02T10:02:42,2021-06-02T10:40:00
8162,Non-BM Fast Reserve,2021-06-02T12:36:00,80,109.9,2021-06-02T13:16:40,2021-06-02T12:33:29,2021-06-02T13:13:41
8161,Non-BM Fast Reserve,2021-06-02T12:36:00,80,109.9,2021-06-02T13:14:40,2021-06-02T12:33:29,2021-06-02T13:11:41
8165,Non-BM Fast Reserve,2021-06-02T12:59:00,54,110.9,2021-06-02T13:13:48,2021-06-02T12:56:36,2021-06-02T13:11:41
8163,Non-BM Fast Reserve,2021-06-02T12:59:00,68,110.9,2021-06-02T13:12:16,2021-06-02T12:56:36,2021-06-02T13:10:11
8164,Non-BM Fast Reserve,2021-06-02T12:59:00,60,110.9,2021-06-02T13:12:00,2021-06-02T12:56:36,2021-06-02T13:10:11
8166,Non-BM Fast Reserve,2021-06-02T15:53:00,80,107,2021-06-02T22:24:40,2021-06-02T15:51:28,2021-06-02T22:21:41
