EntryID,ServiceType,InstructionStartDateTime,MW,IndicativePrice,InstructionCeaseDateTime,DispatchDateTimeStamp,CeaseDateTimeStamp,PartyID,AssetID,Tendered
31594,Non-BM Fast Reserve,2023-09-01T09:20:00,80,132,2023-09-01T09:28:25,2023-09-01T09:17:56,2023-09-01T09:25:56,UKPR,OFR-UKPR-3,Non-tendered
31595,Non-BM Fast Reserve,2023-09-01T09:20:00,60,132,2023-09-01T09:28:00,2023-09-01T09:17:56,2023-09-01T09:25:56,UKPR,OFR-UKPR-5,Non-tendered
31596,Non-BM Fast Reserve,2023-09-01T17:34:00,60,132,2023-09-01T17:52:00,2023-09-01T17:31:58,2023-09-01T17:49:59,UKPR,OFR-UKPR-5,Non-tendered
31597,Non-BM Fast Reserve,2023-09-01T17:34:00,60,132,2023-09-01T17:55:30,2023-09-01T17:31:58,2023-09-01T17:53:59,UKPR,OFR-UKPR-2,Non-tendered
31598,Non-BM Fast Reserve,2023-09-02T19:00:00,60,136,2023-09-02T19:39:00,2023-09-02T18:58:25,2023-09-02T19:37:26,UKPR,OFR-UKPR-5,Non-tendered
31599,Non-BM Fast Reserve,2023-09-02T19:00:00,34,118.33,2023-09-02T19:28:34,2023-09-02T18:58:25,2023-09-02T19:27:56,ENWL,OFR-ENWL-1,Non-tendered
31600,Non-BM Fast Reserve,2023-09-02T19:05:00,80,136,2023-09-02T19:21:40,2023-09-02T19:02:55,2023-09-02T19:18:26,UKPR,OFR-UKPR-4,Non-tendered
31601,Non-BM Fast Reserve,2023-09-02T19:05:00,80,136,2023-09-02T19:34:25,2023-09-02T19:02:55,2023-09-02T19:31:56,UKPR,OFR-UKPR-3,Non-tendered
31602,Non-BM Fast Reserve,2023-09-02T19:13:00,80,136,2023-09-02T19:26:36,2023-09-02T19:11:26,2023-09-02T19:25:26,UKPR,OFR-UKPR-6,Non-tendered
31604,Non-BM Fast Reserve,2023-09-02T19:13:00,42,174.9,2023-09-02T19:21:24,2023-09-02T19:11:26,2023-09-02T19:19:56,UKPR,OFR-UKPR-1,Non-tendered
31603,Non-BM Fast Reserve,2023-09-02T19:13:00,60,136,2023-09-02T19:39:30,2023-09-02T19:11:26,2023-09-02T19:37:56,UKPR,OFR-UKPR-2,Non-tendered
31605,Non-BM Fast Reserve,2023-09-02T19:57:00,34,118.33,2023-09-02T20:02:34,2023-09-02T19:54:57,2023-09-02T20:01:27,ENWL,OFR-ENWL-1,Non-tendered
31606,Non-BM Fast Reserve,2023-09-02T19:59:00,60,136,2023-09-02T20:10:30,2023-09-02T19:56:27,2023-09-02T20:08:27,UKPR,OFR-UKPR-2,Non-tendered
31607,Non-BM Fast Reserve,2023-09-02T20:00:00,60,136,2023-09-02T20:12:00,2023-09-02T19:57:27,2023-09-02T20:09:27,UKPR,OFR-UKPR-5,Non-tendered
31608,Non-BM Fast Reserve,2023-09-02T20:59:00,60,136,2023-09-02T21:08:30,2023-09-02T20:57:28,2023-09-02T21:06:59,UKPR,OFR-UKPR-2,Non-tendered
31609,Non-BM Fast Reserve,2023-09-02T20:59:00,34,123.33,2023-09-02T21:20:34,2023-09-02T20:57:28,2023-09-02T21:19:59,ENWL,OFR-ENWL-1,Non-tendered
31610,Non-BM Fast Reserve,2023-09-02T21:41:00,34,123.33,2023-09-02T22:01:34,2023-09-02T21:39:00,2023-09-02T22:00:30,ENWL,OFR-ENWL-1,Non-tendered
31611,Non-BM Fast Reserve,2023-09-02T21:44:00,60,135.9,2023-09-02T22:02:30,2023-09-02T21:41:30,2023-09-02T22:00:30,UKPR,OFR-UKPR-2,Non-tendered
31612,Non-BM Fast Reserve,2023-09-02T21:44:00,60,135.9,2023-09-02T22:02:00,2023-09-02T21:42:30,2023-09-02T21:59:30,UKPR,OFR-UKPR-5,Non-tendered
31613,Non-BM Fast Reserve,2023-09-02T21:49:00,80,135.9,2023-09-02T21:59:25,2023-09-02T21:46:30,2023-09-02T21:57:00,UKPR,OFR-UKPR-3,Non-tendered
31614,Non-BM Fast Reserve,2023-09-02T21:51:00,80,135.9,2023-09-02T22:00:36,2023-09-02T21:48:30,2023-09-02T21:59:00,UKPR,OFR-UKPR-6,Non-tendered
