EntryID,ServiceType,InstructionStartDateTime,MW,IndicativePrice,InstructionCeaseDateTime,DispatchDateTimeStamp,CeaseDateTimeStamp,PartyID,AssetID,Tendered
34440,Non-BM Fast Reserve,2024-01-02T11:03:00,72,113.42,2024-01-02T11:33:12,2024-01-02T11:01:13,2024-01-02T11:31:15,ENWL,OFR-ENWL-1,Non-tendered
34439,Non-BM Fast Reserve,2024-01-02T11:03:00,60,119,2024-01-02T11:38:30,2024-01-02T11:01:13,2024-01-02T11:37:18,UKPR,OFR-UKPR-2,Non-tendered
34441,Non-BM Fast Reserve,2024-01-02T11:05:00,80,119.25,2024-01-02T11:27:40,2024-01-02T11:03:14,2024-01-02T11:24:45,UKPR,OFR-UKPR-4,Non-tendered
34442,Non-BM Fast Reserve,2024-01-02T11:05:00,80,119.25,2024-01-02T11:37:25,2024-01-02T11:03:14,2024-01-02T11:35:18,UKPR,OFR-UKPR-3,Non-tendered
34443,Non-BM Fast Reserve,2024-01-02T11:09:00,60,119.5,2024-01-02T11:26:00,2024-01-02T11:06:45,2024-01-02T11:23:45,UKPR,OFR-UKPR-5,Non-tendered
34444,Non-BM Fast Reserve,2024-01-02T11:10:00,80,119.5,2024-01-02T11:24:36,2024-01-02T11:07:15,2024-01-02T11:23:15,UKPR,OFR-UKPR-6,Non-tendered
34445,Non-BM Fast Reserve,2024-01-02T13:15:00,72,111.24,2024-01-02T13:21:12,2024-01-02T13:12:50,2024-01-02T13:20:20,ENWL,OFR-ENWL-1,Non-tendered
34446,Non-BM Fast Reserve,2024-01-02T13:35:00,80,119.25,2024-01-02T13:43:25,2024-01-02T13:32:50,2024-01-02T13:40:51,UKPR,OFR-UKPR-3,Non-tendered
34447,Non-BM Fast Reserve,2024-01-02T13:35:00,60,119,2024-01-02T13:43:30,2024-01-02T13:32:50,2024-01-02T13:42:21,UKPR,OFR-UKPR-2,Non-tendered
34448,Non-BM Fast Reserve,2024-01-02T13:52:00,72,111.24,2024-01-02T14:08:12,2024-01-02T13:49:51,2024-01-02T14:06:22,ENWL,OFR-ENWL-1,Non-tendered
34450,Non-BM Fast Reserve,2024-01-02T17:52:00,60,119,2024-01-02T19:46:30,2024-01-02T17:49:42,2024-01-02T19:44:18,UKPR,OFR-UKPR-2,Non-tendered
34449,Non-BM Fast Reserve,2024-01-02T17:52:00,72,112.56,2024-01-02T18:21:12,2024-01-02T17:49:42,2024-01-02T18:19:43,ENWL,OFR-ENWL-1,Non-tendered
34451,Non-BM Fast Reserve,2024-01-02T19:02:00,72,112.56,2024-01-02T19:31:12,2024-01-02T18:59:45,2024-01-02T19:29:48,ENWL,OFR-ENWL-1,Non-tendered
34452,Non-BM Fast Reserve,2024-01-02T19:19:00,80,119.25,2024-01-02T19:44:40,2024-01-02T19:16:46,2024-01-02T19:41:48,UKPR,OFR-UKPR-4,Non-tendered
