EntryID,ServiceType,InstructionStartDateTime,MW,IndicativePrice,InstructionCeaseDateTime,DispatchDateTimeStamp,CeaseDateTimeStamp,PartyID,AssetID,Tendered
15563,Non-BM Fast Reserve,2022-02-01T16:44:00,100,248.95,2022-02-01T17:54:00,2022-02-01T16:41:53,2022-02-01T17:51:25,UKPR,OFR-UKPR-6,Non-tendered
15564,Non-BM Fast Reserve,2022-02-01T16:44:00,80,250,2022-02-01T17:13:20,2022-02-01T16:42:23,2022-02-01T17:12:24,ENWL,OFR-ENWL-1,Non-tendered
15565,Non-BM Fast Reserve,2022-02-01T17:12:00,60,254.95,2022-02-01T17:40:30,2022-02-01T17:09:53,2022-02-01T17:38:54,UKPR,OFR-UKPR-4,Non-tendered
15566,Non-BM Fast Reserve,2022-02-01T17:12:00,66,249.95,2022-02-01T17:53:39,2022-02-01T17:09:53,2022-02-01T17:51:25,UKPR,OFR-UKPR-3,Non-tendered
15567,Non-BM Fast Reserve,2022-02-01T17:16:00,60,254.95,2022-02-01T17:52:00,2022-02-01T17:13:54,2022-02-01T17:49:25,UKPR,OFR-UKPR-5,Non-tendered
15568,Non-BM Fast Reserve,2022-02-01T17:16:00,60,254.95,2022-02-01T17:43:17,2022-02-01T17:13:54,2022-02-01T17:38:54,UKPR,OFR-UKPR-1,Non-tendered
15569,Non-BM Fast Reserve,2022-02-01T17:36:00,80,250,2022-02-01T17:51:20,2022-02-01T17:33:54,2022-02-01T17:49:25,ENWL,OFR-ENWL-1,Non-tendered
15570,Non-BM Fast Reserve,2022-02-01T17:36:00,80,254.95,2022-02-01T17:49:00,2022-02-01T17:33:54,2022-02-01T17:46:54,UKPR,OFR-UKPR-2,Non-tendered
15572,Non-BM Fast Reserve,2022-02-01T19:24:00,70,240,2022-02-01T19:48:10,2022-02-01T19:21:58,2022-02-01T19:46:59,ENWL,OFR-ENWL-1,Non-tendered
15571,Non-BM Fast Reserve,2022-02-01T19:24:00,66,249.95,2022-02-01T19:40:39,2022-02-01T19:21:58,2022-02-01T19:38:59,UKPR,OFR-UKPR-3,Non-tendered
15574,Non-BM Fast Reserve,2022-02-01T19:31:00,60,254.95,2022-02-01T19:50:17,2022-02-01T19:28:59,2022-02-01T19:46:29,UKPR,OFR-UKPR-1,Non-tendered
15573,Non-BM Fast Reserve,2022-02-01T19:31:00,60,254.95,2022-02-01T19:42:00,2022-02-01T19:28:59,2022-02-01T19:40:29,UKPR,OFR-UKPR-5,Non-tendered
15576,Non-BM Fast Reserve,2022-02-02T07:42:00,60,247.5,2022-02-02T08:02:00,2022-02-02T07:39:45,2022-02-02T07:59:50,UKPR,OFR-UKPR-5,Non-tendered
15575,Non-BM Fast Reserve,2022-02-02T07:42:00,60,247.5,2022-02-02T08:01:30,2022-02-02T07:39:45,2022-02-02T07:59:50,UKPR,OFR-UKPR-4,Non-tendered
