EntryID,ServiceType,SPStartDateTime,SPEndDateTime,WindowPrice,CreatedTime,PartyID,AssetID
51278,Non-BM Fast Reserve,2025-01-28T16:00:00,2025-01-28T16:30:00,124.0,2025-01-28T16:04:01,HABITAT ENERGY LIMITED,OFR-HAB-1
51279,Non-BM Fast Reserve,2025-01-28T16:00:00,2025-01-28T16:30:00,111.8,2025-01-28T16:05:00,ENWL,OFR-ENWL-1
51280,Non-BM Fast Reserve,2025-01-28T16:00:00,2025-01-28T16:30:00,125.0,2025-01-28T16:17:01,HABITAT ENERGY LIMITED,OFR-HAB-4
51281,Non-BM Fast Reserve,2025-01-28T16:00:00,2025-01-28T16:30:00,124.0,2025-01-28T16:17:01,HABITAT ENERGY LIMITED,OFR-HAB-1
51279,Non-BM Fast Reserve,2025-01-28T16:30:00,2025-01-28T17:00:00,107.6,2025-01-28T16:31:01,ENWL,OFR-ENWL-1
51280,Non-BM Fast Reserve,2025-01-28T16:30:00,2025-01-28T17:00:00,125.0,2025-01-28T16:31:01,HABITAT ENERGY LIMITED,OFR-HAB-4
51281,Non-BM Fast Reserve,2025-01-28T16:30:00,2025-01-28T17:00:00,124.0,2025-01-28T16:31:01,HABITAT ENERGY LIMITED,OFR-HAB-1
51282,Non-BM Fast Reserve,2025-01-28T17:00:00,2025-01-28T17:30:00,124.0,2025-01-28T17:27:32,HABITAT ENERGY LIMITED,OFR-HAB-1
51283,Non-BM Fast Reserve,2025-01-28T17:00:00,2025-01-28T17:30:00,106.42,2025-01-28T17:27:32,ENWL,OFR-ENWL-1
51284,Non-BM Fast Reserve,2025-01-28T17:00:00,2025-01-28T17:30:00,125.0,2025-01-28T17:27:32,HABITAT ENERGY LIMITED,OFR-HAB-4
51285,Non-BM Fast Reserve,2025-01-28T17:00:00,2025-01-28T17:30:00,125.0,2025-01-28T17:27:32,HABITAT ENERGY LIMITED,OFR-HAB-3
51286,Non-BM Fast Reserve,2025-01-28T17:30:00,2025-01-28T18:00:00,124.0,2025-01-28T17:35:00,HABITAT ENERGY LIMITED,OFR-HAB-1
51287,Non-BM Fast Reserve,2025-01-28T17:30:00,2025-01-28T18:00:00,125.0,2025-01-28T17:35:00,HABITAT ENERGY LIMITED,OFR-HAB-4
51288,Non-BM Fast Reserve,2025-01-28T17:30:00,2025-01-28T18:00:00,125.0,2025-01-28T17:46:03,HABITAT ENERGY LIMITED,OFR-HAB-3
51289,Non-BM Fast Reserve,2025-01-28T17:30:00,2025-01-28T18:00:00,113.08,2025-01-28T17:46:33,ENWL,OFR-ENWL-1
51290,Non-BM Fast Reserve,2025-01-28T18:00:00,2025-01-28T18:30:00,140.0,2025-01-28T18:05:00,UKPR,OFR-UKPR-3
51291,Non-BM Fast Reserve,2025-01-28T18:00:00,2025-01-28T18:30:00,139.0,2025-01-28T18:05:00,UKPR,OFR-UKPR-2
51286,Non-BM Fast Reserve,2025-01-28T18:00:00,2025-01-28T18:30:00,124.0,2025-01-28T18:05:00,HABITAT ENERGY LIMITED,OFR-HAB-1
51287,Non-BM Fast Reserve,2025-01-28T18:00:00,2025-01-28T18:30:00,119.0,2025-01-28T18:05:00,HABITAT ENERGY LIMITED,OFR-HAB-4
51288,Non-BM Fast Reserve,2025-01-28T18:00:00,2025-01-28T18:30:00,125.0,2025-01-28T18:05:00,HABITAT ENERGY LIMITED,OFR-HAB-3
51289,Non-BM Fast Reserve,2025-01-28T18:00:00,2025-01-28T18:30:00,111.96,2025-01-28T18:05:00,ENWL,OFR-ENWL-1
51286,Non-BM Fast Reserve,2025-01-28T18:30:00,2025-01-28T19:00:00,124.0,2025-01-28T18:35:00,HABITAT ENERGY LIMITED,OFR-HAB-1
51287,Non-BM Fast Reserve,2025-01-28T18:30:00,2025-01-28T19:00:00,119.0,2025-01-28T18:35:00,HABITAT ENERGY LIMITED,OFR-HAB-4
51288,Non-BM Fast Reserve,2025-01-28T18:30:00,2025-01-28T19:00:00,125.0,2025-01-28T18:35:00,HABITAT ENERGY LIMITED,OFR-HAB-3
51289,Non-BM Fast Reserve,2025-01-28T18:30:00,2025-01-28T19:00:00,112.76,2025-01-28T18:46:04,ENWL,OFR-ENWL-1
51290,Non-BM Fast Reserve,2025-01-28T18:30:00,2025-01-28T19:00:00,140.0,2025-01-28T18:45:34,UKPR,OFR-UKPR-3
51291,Non-BM Fast Reserve,2025-01-28T18:30:00,2025-01-28T19:00:00,139.0,2025-01-28T18:45:34,UKPR,OFR-UKPR-2
51292,Non-BM Fast Reserve,2025-01-28T18:30:00,2025-01-28T19:00:00,151.0,2025-01-28T18:40:34,UKPR,OFR-UKPR-5
51293,Non-BM Fast Reserve,2025-01-28T19:00:00,2025-01-28T19:30:00,149.0,2025-01-28T19:05:00,UKPR,OFR-UKPR-2
51294,Non-BM Fast Reserve,2025-01-28T19:00:00,2025-01-28T19:30:00,115.92,2025-01-28T19:05:00,ENWL,OFR-ENWL-1
51286,Non-BM Fast Reserve,2025-01-28T19:00:00,2025-01-28T19:30:00,124.0,2025-01-28T19:05:00,HABITAT ENERGY LIMITED,OFR-HAB-1
51287,Non-BM Fast Reserve,2025-01-28T19:00:00,2025-01-28T19:30:00,119.0,2025-01-28T19:05:00,HABITAT ENERGY LIMITED,OFR-HAB-4
51288,Non-BM Fast Reserve,2025-01-28T19:00:00,2025-01-28T19:30:00,125.0,2025-01-28T19:05:00,HABITAT ENERGY LIMITED,OFR-HAB-3
51292,Non-BM Fast Reserve,2025-01-28T19:00:00,2025-01-28T19:30:00,151.0,2025-01-28T19:05:00,UKPR,OFR-UKPR-5
51286,Non-BM Fast Reserve,2025-01-28T19:30:00,2025-01-28T20:00:00,124.0,2025-01-28T19:35:00,HABITAT ENERGY LIMITED,OFR-HAB-1
51287,Non-BM Fast Reserve,2025-01-28T19:30:00,2025-01-28T20:00:00,119.0,2025-01-28T19:35:00,HABITAT ENERGY LIMITED,OFR-HAB-4
51288,Non-BM Fast Reserve,2025-01-28T19:30:00,2025-01-28T20:00:00,125.0,2025-01-28T19:35:00,HABITAT ENERGY LIMITED,OFR-HAB-3
51292,Non-BM Fast Reserve,2025-01-28T19:30:00,2025-01-28T20:00:00,151.0,2025-01-28T19:35:00,UKPR,OFR-UKPR-5
51293,Non-BM Fast Reserve,2025-01-28T19:30:00,2025-01-28T20:00:00,149.0,2025-01-28T19:35:00,UKPR,OFR-UKPR-2
