Company,Unit,Default/Market,Location,Oct 13 - LEAD,Oct 13  - LAG,Oct 13  - TOTAL,Nov 13 - LEAD,Nov 13 - LAG,Nov 13 - TOTAL,Dec 13 - LEAD,Dec 13 -LAG,Dec 13 - TOTAL,Jan 14 - LEAD,Jan 14 - LAG,Jan 14 - TOTAL,Feb 14 - LEAD,Feb 14- LAG,Feb 14 - TOTAL,Mar 14 - LEAD,Mar 14  - LAG,Mar 14 - TOTAL,Apr 14 - LEAD,Apr 14  - LAG,Apr 14   - TOTAL,May 14 - LEAD,May 14 - LAG,May 14 - TOTAL,Jun 14 - LEAD,Jun 14 -LAG,Jun 14 - TOTAL,Jul 14 - LEAD,Jul 14  - LAG,Jul 14  - TOTAL,Aug 14 - LEAD,Aug 14 - LAG,Aug 14  - TOTAL,Sep 14- LEAD,Sep 14  - LAG,Sep 14- TOTAL, Oct 14- LEAD,Oct 14- LAG,Oct 14   - TOTAL,Nov 14 - LEAD,Nov 14- LAG,Nov 14- TOTAL,Dec 14 - LEAD,Dec 14  -LAG,Dec 14  - TOTAL,Jan 15 - LEAD,Jan 15  - LAG,Jan 15 - TOTAL,Feb 15 - LEAD,Feb 15  - LAG,Feb 15 - TOTAL,Mar 15- LEAD,Mar 15  - LAG,Mar 15- TOTAL, Apr 15- LEAD, Apr 15- LAG, Apr 15  - TOTAL,May 15 - LEAD,May 15- LAG,May 15- TOTAL,Jun 15 - LEAD,Jun 15  -LAG,Jun 15  - TOTAL,Jul 15 - LEAD,Jul 15  - LAG,Jul 15  - TOTAL,Aug 15 - LEAD,Aug 15  - LAG,Aug 15  - TOTAL,Sep 15- LEAD,Sep 15 - LAG,Sep 15- TOTAL,Oct 15- LEAD, Oct 15- LAG,Oct 15  - TOTAL,Nov 15 - LEAD,Nov 15- LAG,Nov 15- TOTAL,Dec 15 - LEAD,Dec 15  -LAG,Dec 15  - TOTAL,Jan 16 - LEAD,Jan 16  - LAG,Jan 16   - TOTAL,Feb 16 - LEAD,Feb 16- LAG,Feb 16 - TOTAL,Mar 16 - LEAD,Mar 16  - LAG,Mar 16 - TOTAL, Apr 16 - LEAD, Apr 16  - LAG, Apr 16- TOTAL,May 16 - LEAD,May 16 - LAG,May 16 - TOTAL,Jun 16 - LEAD,Jun 16 -LAG,Jun 16- TOTAL,Jul 16 - LEAD,Jul 16 - LAG,Jul 16 - TOTAL,Aug 16 - LEAD,Aug 16- LAG,Aug 16 - TOTAL,Sep 16 - LEAD,Sep 16  - LAG,Sep 16  - TOTAL, Oct 16 - LEAD, Oct 16  - LAG, Oct 16 - TOTAL,Nov 16 - LEAD,Nov 16 - LAG,Nov 16 - TOTAL,Dec 16 - LEAD,Dec 16 -LAG,Dec 16 - TOTAL,Jan 17 - LEAD,Jan 17 - LAG,Jan 17 - TOTAL,Feb 17 - LEAD,Feb 17 - LAG,Feb 17 - TOTAL,Mar 17- LEAD,Mar 17  - LAG,Mar 17 - TOTAL, Apr 17 - LEAD, Apr 17  - LAG, Apr 17 - TOTAL,May 17 - LEAD,May 17 - LAG,May 17 - TOTAL,Jun 17 - LEAD,Jun 17  -LAG,Jun 17  - TOTAL,Jul 17 - LEAD,Jul 17 - LAG,Jul 17- TOTAL,Aug 17 - LEAD,Aug 17 - LAG,Aug 17 - TOTAL,Sep 17- LEAD,Sep 17  - LAG,Sep 17 - TOTAL, Oct 17 - LEAD, Oct 17  - LAG,  Oct 17 - TOTAL,Nov 17 - LEAD,Nov 17 - LAG,Nov 17 - TOTAL,Dec 17 - LEAD,Dec 17  -LAG,Dec 17  - TOTAL,Jan 18 - LEAD,Jan 18  - LAG,Jan 18 - TOTAL,Feb 18 - LEAD,Feb 18 - LAG,Feb 18 - TOTAL,Mar 18 - LEAD,Mar 18  - LAG,Mar 18 - TOTAL, Apr 18 - LEAD,Apr 18  - LAG,  Apr 18 - TOTAL,May 18 - LEAD,May 18 - LAG,May 18 - TOTAL,Jun 18 - LEAD,Jun 18 -LAG,Jun 18  - TOTAL,Jul 18 - LEAD,Jul 18  - LAG,Jul 18 - TOTAL,Aug 18 - LEAD,Aug 18 - LAG,Aug 18 - TOTAL,Sep 18 - LEAD,Sep 18  - LAG,Sep 18 - TOTAL, Oct 18 - LEAD, Oct 18  - LAG, Oct 18 - TOTAL,Nov 18 - LEAD,Nov 18 - LAG,Nov 18 - TOTAL,Dec 18 - LEAD,Dec 18 -LAG,Dec 18  - TOTAL,Jan 19 - LEAD,Jan 19  - LAG,Jan 19 - TOTAL,Feb 19 - LEAD,Feb 19 - LAG,Feb 19- TOTAL,Mar 19 - LEAD,Mar 19  - LAG,Mar 19 - TOTAL,Apr 19 - LEAD,Apr 19 -LAG,Apr 19- TOTAL,May 19 - LEAD,May 19 -LAG,May 19- TOTAL,Jun 19 - LEAD,Jun 19 -LAG,Jun 19- TOTAL,Jul 19 - LEAD,Jul 19 -LAG,Jul 19- TOTAL,Aug 19 - LEAD, Aug 19 -LAG,Aug 19- TOTAL,Sep 19 - LEAD,Sep 19 -LAG,Sep 19- TOTAL,Oct 19 -LEAD,Oct 19 - LAG,Oct -19 TOTAL,Nov 19 -LEAD,Nov 19 - LAG,Nov -19 TOTAL,Dec 19 -LEAD,Dec 19 - LAG,Dec 19 - TOTAL,Jan 20 -LEAD,Jan 20 - LAG,Jan 20 - TOTAL,Feb 20 -LEAD,Feb 20 - LAG,Feb 20 - TOTAL,Mar 20 -LEAD,Mar 20 - LAG,Mar 20 - TOTAL
AESB,BRYP_01Z,D,S,11,77,88,27,118,145,9,56,65,0,91,91,18,135,153,49,56,105,26,2,28,0,15,15,0,3,3,0,0,0,0,34,34,0,13,13,0,94,94,6,77,83,0,25,25,4,76,80,0,0,0,12,17,30,0,0,0,10,54,64,22,374,396,179,439,618,541,351,891,278,132,410,0,0,0,14,42,57,14,42,57,1,81,82,17,16,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,17,0,17,0,14,14,0,13,13,0,7,7,32,0,32,0,0,0,0,0,0,57,48,104,86,1,87,12,2,13,10,39,49,59,17,76,79,25,104,74,6,80,25,16,41,35,5,41,6,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APGL,KLYNA01Z,D,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.9,40.2,290,32.6,11.1,44,456,95,550,"1,120",96,"1,216",1816.2,2.4,1818.6,5031.2,715.8,5747,5704.2,24.6,5728.8,3317.6,259,3576.6,4999.7,11,5010.7,11968.5,1496.9,13465.4,4504.4,611.1,5115.5,5314.6,49,5363.6,4728.1,452.9,5181,2617.2,749.1,3366.3
BAGE,BAGE_01Z,D,S,754,244,998,"2,932",775,"3,707","1,530","1,570","3,100",5,0,5,735,99,834,"2,999",362,"3,361",790,0,790,"5,278","1,008","6,286","15,547","2,615","18,162","7,680","4,159","11,839","21,768","1,566","23,334","21,738","1,438","23,176","16,969","1,435","18,404","14,233",764,"14,997","3,794",421,"4,215",897,162,"1,060","3,479","2,242","5,721","4,209",694,"4,903","2,090",146,"2,236","1,298",75,"1,373","7,888",231,"8,119","4,022",218,"4,240","6,898","1,747","8,646","16,053","1,621","17,674","10,358","1,029","11,387","18,867","1,183","20,050","18,867","1,183","20,050","14,655",970,"15,625","8,862","1,237","10,098","8,682","1,364","10,046","14,949","1,499","16,447","20,092","1,325","21,417","12,970","1,951","14,920","20,230","1,255","21,485","25,520","1,728","27,248","30,311","1,380","31,691","10,955",639,"11,594","8,811","3,478","12,289","7,584","1,215","8,798","13,548","3,045","16,593","21,535","3,348","24,882","17,806","2,112","19,918","29,250","1,469","30,719","12,390","1,724","14,114","1,245",122,"1,366",0,0,0,0,0,0,0,0,0,0,0,0,"5,368","1,117","6,485","12,088","1,139","13,227","7,335","2,439","9,775","4,458","2,376","6,833","3,005",821,"3,826","6,179","1,609","7,788","5,549",697,"6,246","1,856",746,"2,602","4,016","1,509","5,525","1,349",163,"1,512",694,30,724,0,0,0,0,0,0,"3,007","1,031","4,038","8,120","1,893","10,013",4899.18,809.1,"5,708",3021.765,644.9,"3,667","1,477",195,"1,672","7,708","1,196","8,904",5799.2,1284.3,7083.5,5662.87,999.1,6661.97,1771.06,512.3,2283.36,10491.98,1375,11866.98,1394.23,503.3,1897.53,865.76,147.9,1013.66,1889.72,191.1,2080.82,2370.93,732.3,3103.23,1035.64,297.4,1333.04,703.66,0,703.66
BAGE,BAGE_02Z,D,S,0,0,0,0,0,0,0,0,0,10,23,33,18,18,36,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,0,1,1,24,0,25,0,0,0,0,0,0,21,2,23,4,4,8,6,0,6,8,0,8,0,0,0,15,0,15,0,9,9,0,0,0,6,2,8,8,1,9,1,1,2,1,1,2,0,1,1,1,0,1,1,15,16,2,2,5,3,1,3,0,0,0,0,8,8,2,1,3,9,1,10,1,0,1,0,1,1,4,1,5,2,0,2,0,0,0,0,0,0,1,0,1,24,0,24,0,0,0,2,0,3,6,0,6,1,1,2,3,1,4,20,0,20,20,0,20,0,0,0,0,0,0,0,14,14,28,1,28,2,0,3,0,0,0,0,0,0,15,3,17,0,1,1,1,0,1,0,2,2,4,0,4,67,0,67,0.15,0,0,6.495,2.28,9,0,0,0,12,0,12,22.01,0.02,22.03,9.23,0,9.23,0.06,0,0.06,10.13,0.1,10.23,34.92,0.66,35.58,130.88,0.23,131.11,40.34,0.26,40.6,65.32,0.84,66.16,59.55,0.58,60.13,24.02,1.17,25.19
BARK,BARK_02Z,D,S,"1,007","1,954","2,961",567,"3,053","3,620",719,802,"1,521",741,627,"1,368",705,806,"1,511",660,"1,745","2,404",768,890,"1,659",733,740,"1,474",796,238,"1,034",992,975,"1,967",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BARK,BARK_11Z,D,S,"1,853","1,972","3,825","1,087","1,459","2,546",730,658,"1,388",809,933,"1,742",738,"1,426","2,164",820,"1,678","2,498",50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BORL,EGGPS01Z,D,N,"9,177","4,002","13,180","12,203","3,798","16,001","9,741","3,605","13,346","5,274","3,102","8,375","6,161","3,088","9,250","9,985","3,257","13,242","5,988","3,151","9,140","5,079",676,"5,755",0,0,0,0,0,0,175,194,369,"8,048","1,861","9,909","6,821","3,674","10,495","9,180","3,030","12,210","7,313","2,435","9,748","6,431","3,447","9,878","7,276","2,812","10,089","7,532","3,482","11,014","3,311","1,045","4,355","5,016","1,735","6,751","8,006",850,"8,856","4,858","1,861","6,719","1,541","1,098","2,639","5,478",416,"5,894","2,737",600,"3,337","2,419","1,077","3,496","2,419","1,077","3,496","3,793","1,591","5,384","7,266","1,923","9,189","8,732","1,827","10,559",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,62,602,28,13,42,38,14,53,0,112,112,15,72,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639,262,901,"1,441","1,101","2,542",301,611,912,"1,093",89,"1,182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BORL,EGGPS02Z,D,N,"8,328","4,445","12,772","13,557","2,982","16,540","8,541","2,912","11,452","9,171","4,699","13,870","8,243","1,588","9,831","9,745","2,753","12,498","7,786","1,001","8,787","5,125",572,"5,697",487,0,487,72,1,73,0,0,0,0,0,0,0,0,0,0,0,0,"2,712",289,"3,001","4,084","1,295","5,379","9,680","2,031","11,711","7,103","1,770","8,873",0,0,0,0,0,0,0,0,0,0,0,0,866,117,982,490,29,519,"2,374",180,"2,554","2,315",801,"3,116","2,315",801,"3,116","3,774",563,"4,337","10,379",110,"10,489","9,004",161,"9,165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,10,396,281,0,281,178,0,178,97,0,98,130,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,78,270,502,213,715,328,138,466,172,80,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BORL,EGGPS03Z,D,N,"13,264","3,738","17,002","15,919","4,710","20,629","14,468","2,975","17,443","47,065","1,030","48,095","35,422",707,"36,129","43,097",964,"44,061","22,163",485,"22,648","12,247","1,023","13,270","6,861","2,467","9,328","7,253","2,460","9,713","6,991","1,523","8,513","11,381","1,852","13,233","15,837","2,563","18,401","13,785","2,825","16,610","13,010","3,672","16,682","7,529","5,486","13,015","9,914","3,463","13,377","10,110","4,585","14,696","5,369","2,801","8,169","1,519",334,"1,853",0,0,0,656,393,"1,048",0,0,0,258,6,264,"5,826","1,504","7,330","2,944","2,654","5,598","2,944","2,654","5,598","8,207","3,013","11,220","10,628","2,710","13,338","18,345","2,292","20,637",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,813","1,863","6,676","4,539","1,821","6,361","1,397",316,"1,713",571,64,635,0,0,0,0,0,0,0,0,0,0,0,0,"4,315",257,"4,572",7,67,74,"1,923",937,"2,860","4,330","2,032","6,362","3,763","1,477","5,240","6,743","1,655","8,398","1,797",645,"2,442",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BORL,EGGPS04Z,D,N,"9,947","4,234","14,181","12,086","5,013","17,098","8,357","4,865","13,222","9,040","6,157","15,197","7,539","4,091","11,630","9,721","2,925","12,646","8,702","2,461","11,163","10,066","2,205","12,270","5,734","3,561","9,295","3,296","2,501","5,797","8,524","3,887","12,411","9,433","2,934","12,367","16,094","3,985","20,079","11,787","4,826","16,613","9,660","4,373","14,033","6,897","5,384","12,281","14,584","3,103","17,687","9,726","3,229","12,954","10,571","1,941","12,512","1,105",37,"1,142","7,758","1,443","9,201","8,976","2,157","11,134","5,035","2,069","7,103","6,380","1,387","7,767","3,565","1,549","5,115","8,965","2,603","11,569","8,965","2,603","11,569","6,045","2,312","8,357","11,141","3,248","14,389","19,538","1,698","21,236",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,505",357,"2,861","3,741","2,232","5,973","6,530","2,590","9,120","4,715","1,473","6,189","4,908","2,816","7,724","4,479",980,"5,459",509,37,546,0,0,0,0,0,0,0,0,0,"1,182",7,"1,189",86,18,104,"2,687",276,"2,963",700,410,"1,110","2,638","1,776","4,414","3,425","3,867","7,292","2,870","2,071","4,942","3,772","1,476","5,248","2,209","1,241","3,450",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
