Company,Unit,Default/Market,Location,Month-Year,LEAD,LAG,TOTAL
NATP,KLYNA01Z,D,M,Apr-20,4315.7,198,4513.7
CDCL,CDCL_01Z,D,N,Apr-20,34102.53,4038.75,38141.28
CLAN,LAGA_01Z,D,N,Apr-20,2210.4,466.7,2677.1
CORB,CORB_01Z,D,M,Apr-20,0,0,0
CORY,COSO_01Z,D,S,Apr-20,21520.45,950.35,22470.8
VPIL,DAMC_01Z,D,S,Apr-20,19341.86,2882.12,22223.98
DPGL,CNQPS01Z,D,N,Apr-20,0,0,0
DPGL,CNQPS02Z,D,N,Apr-20,4785.67,0.32,4785.99
DPGL,CNQPS03Z,D,N,Apr-20,7348.51,171.68,7520.19
DPGL,CNQPS04Z,D,N,Apr-20,10169.71,387.45,10557.16
DRAX,DRAXX01Z,D,N,Apr-20,101894.05,691.15,102585.2
DRAX,DRAXX02Z,D,N,Apr-20,41219.1,621.55,41840.65
DRAX,DRAXX03Z,D,N,Apr-20,53915.2,526,54441.2
DRAX,DRAXX04Z,D,N,Apr-20,24896,666.7,25562.7
DRAX,DRAXX05Z,D,N,Apr-20,14662.15,129.45,14791.6
DRAX,DRAXX06Z,D,N,Apr-20,6400.7,10.2,6410.9
DRAX,DRAXX09G,D,N,Apr-20,0,0,0
DRAX,DRAXX10G,D,N,Apr-20,0,0,0
DRAX,DRAXX12G,D,N,Apr-20,0,0,0
EEC,EECL_01Z,D,S,Apr-20,18895.82,596.74,19492.56
EIRG,EAG_EWIC1,D,N,Apr-20,40130.32,4802.43,44932.75
DPSL,CRUA_01Z,D,SC,Apr-20,2633.02,308.36,2941.38
DPSL,CRUA_02Z,D,SC,Apr-20,2709.35,178.95,2888.3
DPSL,CRUA_03Z,D,SC,Apr-20,930.04,176.14,1106.18
DPSL,CRUA_04Z,D,SC,Apr-20,1237.42,76.5,1313.92
VPIL,RYHPS01Z,D,S,Apr-20,5387.75,38.01,5425.76
GNFS,GNFSW-1,D,SC,Apr-20,3928.5,150.91,4079.41
GRMO,GRMO_01Z,D,SC,Apr-20,0,0,0
GRWF,GRIFW-1,D,SC,Apr-20,2495.43,15.87,2511.3
GRWF,GRIFW-2,D,SC,Apr-20,2467.73,13.62,2481.35
NATP,GYAR_01Z,D,M,Apr-20,598.65,0,598.65
GUNF,GNFSW-2,D,SC,Apr-20,896.61,1775.07,2671.68
HUMB,SHBA_01Z,D,N,Apr-20,37862.53,2717.93,40580.46
HUMB,SHBA_02Z,D,N,Apr-20,32009.41,904.03,32913.44
HUMR,HUMR_01Z,D,N,Apr-20,80097.01,1468.79,81565.8
KEAD,KEAD_01Z,D,N,Apr-20,48168.3,3352.25,51520.55
KILW,KILW_01Z,D,SC,Apr-20,0,0,0
LINCS,LNCSW-3,D,N,Apr-20,0,0,0
MEDP,MEDP_01Z,D,S,Apr-20,36336.12,3972.56,40308.68
MILW,MILWW-1,D,SC,Apr-20,2417.35,29.31,2446.66
MRWD,MRWD_01Z,D,S,Apr-20,74255.8,2009.9,76265.7
