"Financial Year","Month","NGET","SPT","SHETL","GB totals"
"2013-14","Apr-13",0.389,0.052,0.024,0.465
"2013-14","May-13",0.34,0.038,0.03,0.408
"2013-14","Jun-13",0.283,0.038,0.013,0.334
"2013-14","Jul-13",0.309,0.033,0.02,0.361
"2013-14","Aug-13",0.319,0.021,0.025,0.365
"2013-14","Sep-13",0.323,0.031,0.023,0.377
"2013-14","Oct-13",0.353,0.039,0.034,0.426
"2013-14","Nov-13",0.368,0.052,0.028,0.448
"2013-14","Dec-13",0.471,0.063,0.034,0.569
"2013-14","Jan-14",0.446,0.063,0.034,0.543
"2013-14","Feb-14",0.479,0.054,0.029,0.563
"2013-14","Mar-14",0.476,0.06,0.032,0.569
"2014-15","Apr-14",0.342,0.041,0.022,0.405
"2014-15","May-14",0.334,0.047,0.025,0.406
"2014-15","Jun-14",0.285,0.039,0.021,0.344
"2014-15","Jul-14",0.279,0.052,0.028,0.358
"2014-15","Aug-14",0.304,0.044,0.024,0.371
"2014-15","Sep-14",0.289,0.044,0.024,0.357
"2014-15","Oct-14",0.382,0.061,0.033,0.476
"2014-15","Nov-14",0.388,0.065,0.035,0.489
"2014-15","Dec-14",0.472,0.077,0.041,0.591
"2014-15","Jan-15",0.567,0.087,0.047,0.701
"2014-15","Feb-15",0.465,0.063,0.034,0.561
"2014-15","Mar-15",0.471,0.069,0.037,0.578
"2015-16","Apr-15",0.361,0.051,0.027,0.44
"2015-16","May-15",0.394,0.058,0.031,0.484
"2015-16","Jun-15",0.339,0.044,0.024,0.406
"2015-16","Jul-15",0.358,0.048,0.026,0.431
"2015-16","Aug-15",0.329,0.038,0.02,0.387
"2015-16","Sep-15",0.297,0.036,0.019,0.352
"2015-16","Oct-15",0.346,0.029,0.016,0.391
"2015-16","Nov-15",0.405,0.054,0.029,0.489
"2015-16","Dec-15",0.476,0.034,0.018,0.527
"2015-16","Jan-16",0.476,0.03,0.016,0.522
"2015-16","Feb-16",0.436,0.042,0.022,0.5
"2015-16","Mar-16",0.381,0.041,0.022,0.444
"2016-17","Apr-16",0.317,0.038,0.021,0.376
"2016-17","May-16",0.301,0.033,0.018,0.352
"2016-17","Jun-16",0.273,0.048,0.026,0.347
"2016-17","Jul-16",0.262,0.059,0.032,0.353
"2016-17","Aug-16",0.289,0.047,0.012,0.349
"2016-17","Sep-16",0.305,0.033,0.029,0.366
"2016-17","Oct-16",0.334,0.03,0.027,0.392
"2016-17","Nov-16",0.373,0.061,0.01,0.443
"2016-17","Dec-16",0.399,0.046,0.032,0.476
"2016-17","Jan-17",0.432,0.039,0.036,0.507
"2016-17","Feb-17",0.382,0.036,0.034,0.452
"2016-17","Mar-17",0.367,0.058,0.011,0.436
"2017-18","Apr-17",0.324,0.043,0.017,0.384
"2017-18","May-17",0.303,0.048,0.014,0.365
"2017-18","Jun-17",0.305,0.045,0.015,0.366
"2017-18","Jul-17",0.319,0.039,0.014,0.371
"2017-18","Aug-17",0.318,0.036,0.017,0.372
"2017-18","Sep-17",0.297,0.043,0.023,0.363
"2017-18","Oct-17",0.427,0.03,0.041,0.497
"2017-18","Nov-17",0.455,0.056,0.029,0.541
"2017-18","Dec-17",0.49,0.053,0.036,0.579
"2017-18","Jan-18",0.316,0.033,0.022,0.371
"2017-18","Feb-18",0.417,0.051,0.023,0.491
"2017-18","Mar-18",0.452,0.06,0.022,0.535
"2018-19","Apr-18",0.374,0.045,0.02,0.439
"2018-19","May-18",0.342,0.049,0.017,0.407
"2018-19","Jun-18",0.307,0.047,0.018,0.372
"2018-19","Jul-18",0.337,0.036,0.019,0.392
"2018-19","Aug-18",0.335,0.049,0.023,0.407
"2018-19","Sep-18",0.362,0.057,0.038,0.456
"2018-19","Oct-18",0.396,0.068,0.041,0.505
"2018-19","Nov-18",0.547,0.08,0.037,0.665
"2018-19","Dec-18",0.437,0.072,0.038,0.547
"2018-19","Jan-19",0.426,0.064,0.046,0.536
"2018-19","Feb-19",0.366,0.066,0.034,0.467
"2018-19","Mar-19",0.348,0.072,0.038,0.458
"2019-20","Apr-19",0.374,0.063,0.032,0.469
"2019-20","May-19",0.32,0.047,0.027,0.394
"2019-20","Jun-19",0.329,0.05,0.027,0.406
"2019-20","Jul-19",0.375,0.062,0.03,0.467
"2019-20","Aug-19",0.442,0.066,0.034,0.541
"2019-20","Sep-19",0.442,0.061,0.041,0.543
"2019-20","Oct-19",0.544,0.064,0.043,0.651
"2019-20","Nov-19",0.561,0.057,0.038,0.656
"2019-20","Dec-19",0.607,0.075,0.044,0.726
"2019-20","Jan-20",0.672,0.071,0.053,0.796
"2019-20","Feb-20",0.534,0.064,0.028,0.626
"2019-20","Mar-20",0.475,0.082,0.041,0.597
"2020-21","Apr-20",0.368,0.051,0.032,0.451
"2020-21","May-20",0.359,0.052,0.034,0.445
"2020-21","Jun-20",0.377,0.054,0.029,0.461
"2020-21","Jul-20",0.389,0.058,0.034,0.481
"2020-21","Aug-20",0.383,0.054,0.033,0.47
"2020-21","Sep-20",0.464,0.057,0.043,0.565
"2020-21","Oct-20",0.509,0.052,0.039,0.6
"2020-21","Nov-20",0.512,0.056,0.041,0.61
"2020-21","Dec-20",0.577,0.068,0.047,0.692
"2020-21","Jan-21",0.515,0.066,0.063,0.644
"2020-21","Feb-21",0.492,0.066,0.035,0.592
"2020-21","Mar-21",0.439,0.067,0.041,0.547
"2021-22","Apr-21",0.379,0.051,0.032,0.462
"2021-22","May-21",0.355,0.046,0.031,0.433
"2021-22","Jun-21",0.386,0.048,0.03,0.463
"2021-22","Jul-21",0.392,0.043,0.031,0.466
"2021-22","Aug-21",0.361,0.047,0.029,0.437
"2021-22","Sep-21",0.425,0.055,0.04,0.52
"2021-22","Oct-21",0.538,0.05,0.041,0.629
"2021-22","Nov-21",0.591,0.054,0.043,0.688
"2021-22","Dec-21",0.609,0.067,0.046,0.722
"2021-22","Jan-22",0.628,0.064,0.062,0.753
"2021-22","Feb-22",0.641,0.067,0.039,0.747
"2021-22","Mar-22",0.19,0.027,0.017,0.234
"2022-23","Apr-22",0.382,0.057,0.033,0.472
"2022-23","May-22",0.474,0.074,0.049,0.598
