ValueDate,MVA,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,19.8,4.648,-19.498,33.652
2026-02-26T00:10:00+00:00,20.032,4.686,-19.66,33.614
2026-02-26T00:15:00+00:00,20.088,4.659,-19.774,33.532
2026-02-26T00:20:00+00:00,20.112,4.65,-19.774,33.558
2026-02-26T00:25:00+00:00,20.045,4.662,-19.766,33.626
2026-02-26T00:30:00+00:00,19.971,4.557,-19.742,33.668
2026-02-26T00:35:00+00:00,20.396,4.329,-20.154,33.529
2026-02-26T00:40:00+00:00,20.772,4.402,-20.372,33.418
2026-02-26T00:45:00+00:00,20.928,4.474,-20.608,33.39
2026-02-26T00:50:00+00:00,20.998,4.473,-20.7,33.353
2026-02-26T00:55:00+00:00,20.706,4.51,-20.367,33.354
2026-02-26T01:00:00+00:00,20.54,4.538,-20.13,33.437
2026-02-26T01:05:00+00:00,20.72,4.561,-20.371,33.452
2026-02-26T01:10:00+00:00,21.014,4.484,-20.682,33.474
2026-02-26T01:15:00+00:00,21.164,4.486,-20.918,33.498
2026-02-26T01:20:00+00:00,21.042,4.466,-20.785,33.526
2026-02-26T01:25:00+00:00,20.832,4.508,-20.65,33.58
2026-02-26T01:30:00+00:00,20.664,4.508,-20.418,33.614
2026-02-26T01:35:00+00:00,20.81,4.444,-20.61,33.594
2026-02-26T01:40:00+00:00,20.881,4.48,-20.66,33.627
2026-02-26T01:45:00+00:00,20.926,4.534,-20.702,33.646
2026-02-26T01:50:00+00:00,20.757,4.478,-20.499,33.652
2026-02-26T01:55:00+00:00,20.72,4.565,-20.54,33.692
2026-02-26T02:00:00+00:00,20.312,4.633,-20.108,33.744
2026-02-26T02:05:00+00:00,20.578,4.559,-20.337,33.652
2026-02-26T02:10:00+00:00,20.489,4.563,-20.28,33.651
2026-02-26T02:15:00+00:00,20.436,4.608,-20.23,33.695
2026-02-26T02:20:00+00:00,20.378,4.563,-20.175,33.695
2026-02-26T02:25:00+00:00,20.231,4.668,-20.022,33.732
2026-02-26T02:30:00+00:00,19.931,4.612,-19.694,33.721
2026-02-26T02:35:00+00:00,19.952,4.598,-19.774,33.757
2026-02-26T02:40:00+00:00,19.945,4.72,-19.652,33.644
2026-02-26T02:45:00+00:00,19.952,4.639,-19.554,33.595
2026-02-26T02:50:00+00:00,19.865,4.734,-19.452,33.633
2026-02-26T02:55:00+00:00,19.889,4.759,-19.581,33.65
2026-02-26T03:00:00+00:00,19.594,4.732,-19.228,33.645
2026-02-26T03:05:00+00:00,19.712,4.607,-19.275,33.567
2026-02-26T03:10:00+00:00,19.649,4.644,-19.266,33.529
2026-02-26T03:15:00+00:00,19.437,4.721,-19.052,33.594
2026-02-26T03:20:00+00:00,19.492,4.764,-19.155,33.608
2026-02-26T03:25:00+00:00,19.168,4.821,-18.788,33.65
2026-02-26T03:30:00+00:00,19.122,4.754,-18.8,33.673
2026-02-26T03:35:00+00:00,19.114,4.768,-18.72,33.689
2026-02-26T03:40:00+00:00,19.016,4.759,-18.667,33.673
2026-02-26T03:45:00+00:00,18.988,4.782,-18.624,33.717
2026-02-26T03:50:00+00:00,18.876,4.738,-18.496,33.744
2026-02-26T03:55:00+00:00,18.748,4.818,-18.416,33.75
2026-02-26T04:00:00+00:00,18.688,4.776,-18.35,33.749
2026-02-26T04:05:00+00:00,18.778,4.724,-18.35,33.57
2026-02-26T04:10:00+00:00,18.85,4.782,-18.4,33.529
2026-02-26T04:15:00+00:00,18.781,4.844,-18.295,33.52
