ValueDate,MVA,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,17.476,-2.506,16.701,33.8
2026-02-26T00:10:00+00:00,17.846,-2.496,17.046,33.713
2026-02-26T00:15:00+00:00,17.75,-2.486,16.986,33.7
2026-02-26T00:20:00+00:00,17.828,-2.498,17.035,33.7
2026-02-26T00:25:00+00:00,17.822,-2.489,17.074,33.706
2026-02-26T00:30:00+00:00,17.69,-2.478,16.953,33.787
2026-02-26T00:35:00+00:00,18.099,-2.4,17.383,33.659
2026-02-26T00:40:00+00:00,18.586,-2.41,17.81,33.59
2026-02-26T00:45:00+00:00,18.855,-2.417,18.132,33.574
2026-02-26T00:50:00+00:00,18.472,-2.405,17.68,33.51
2026-02-26T00:55:00+00:00,18.254,-2.394,17.466,33.509
2026-02-26T01:00:00+00:00,18.081,-2.451,17.284,33.585
2026-02-26T01:05:00+00:00,18.338,-2.423,17.552,33.537
2026-02-26T01:10:00+00:00,18.338,-2.484,17.581,33.556
2026-02-26T01:15:00+00:00,18.152,-2.474,17.383,33.604
2026-02-26T01:20:00+00:00,18.083,-2.479,17.313,33.604
2026-02-26T01:25:00+00:00,18.422,-2.42,17.664,33.62
2026-02-26T01:30:00+00:00,18.42,-2.483,17.684,33.652
2026-02-26T01:35:00+00:00,18.28,-2.474,17.531,33.648
2026-02-26T01:40:00+00:00,18.226,-2.492,17.458,33.615
2026-02-26T01:45:00+00:00,18.048,-2.492,17.232,33.66
2026-02-26T01:50:00+00:00,17.575,-2.51,16.786,33.7
2026-02-26T01:55:00+00:00,17.229,-2.502,16.416,33.705
2026-02-26T02:00:00+00:00,16.731,-2.508,15.956,33.81
2026-02-26T02:05:00+00:00,16.646,-2.51,15.815,33.802
2026-02-26T02:10:00+00:00,16.38,-2.526,15.551,33.802
2026-02-26T02:15:00+00:00,16.194,-2.496,15.39,33.836
2026-02-26T02:20:00+00:00,15.9,-2.511,15.075,33.838
2026-02-26T02:25:00+00:00,15.945,-2.502,15.152,33.896
2026-02-26T02:30:00+00:00,16.087,-2.513,15.3,33.898
2026-02-26T02:35:00+00:00,16.702,-2.552,15.913,33.854
2026-02-26T02:40:00+00:00,17.017,-2.553,16.294,33.894
2026-02-26T02:45:00+00:00,16.815,-2.557,16.057,33.9
2026-02-26T02:50:00+00:00,16.337,-2.61,15.578,33.95
2026-02-26T02:55:00+00:00,15.869,-2.638,15.033,34.001
2026-02-26T03:00:00+00:00,15.779,-2.554,14.97,34.0
2026-02-26T03:05:00+00:00,15.966,-2.575,15.132,33.946
2026-02-26T03:10:00+00:00,15.956,-2.556,15.109,33.897
2026-02-26T03:15:00+00:00,15.448,-2.572,14.56,33.974
2026-02-26T03:20:00+00:00,15.682,-2.58,14.846,33.99
2026-02-26T03:25:00+00:00,15.858,-2.569,15.064,34.008
2026-02-26T03:30:00+00:00,16.256,-2.594,15.504,34.016
2026-02-26T03:35:00+00:00,16.37,-2.564,15.636,34.0
2026-02-26T03:40:00+00:00,16.152,-2.585,15.416,34.0
2026-02-26T03:45:00+00:00,16.234,-2.626,15.468,34.004
2026-02-26T03:50:00+00:00,16.214,-2.627,15.444,34.024
2026-02-26T03:55:00+00:00,15.958,-2.792,15.04,33.94
2026-02-26T04:00:00+00:00,15.793,-3.048,14.518,33.686
2026-02-26T04:05:00+00:00,15.735,-2.854,14.476,33.494
2026-02-26T04:10:00+00:00,15.552,-2.346,14.523,33.665
2026-02-26T04:15:00+00:00,15.422,-2.432,14.673,33.9
2026-02-26T04:20:00+00:00,15.393,-2.424,14.65,33.89
2026-02-26T04:25:00+00:00,15.2,-2.41,14.476,33.891
2026-02-26T04:30:00+00:00,15.305,-2.394,14.58,33.895
2026-02-26T04:35:00+00:00,15.249,-2.394,14.538,33.927
2026-02-26T04:40:00+00:00,15.236,-2.348,14.546,33.918
2026-02-26T04:45:00+00:00,15.117,-2.324,14.448,33.91
2026-02-26T04:50:00+00:00,15.027,-2.391,14.322,33.92
2026-02-26T04:55:00+00:00,14.938,-2.482,14.191,33.989
2026-02-26T05:00:00+00:00,15.272,-2.497,14.48,33.942
2026-02-26T05:05:00+00:00,14.996,-2.508,14.152,33.752
2026-02-26T05:10:00+00:00,15.232,-2.494,14.336,33.692
2026-02-26T05:15:00+00:00,15.349,-2.481,14.425,33.695
2026-02-26T05:20:00+00:00,15.134,-2.536,14.225,33.7
2026-02-26T05:25:00+00:00,15.338,-2.552,14.416,33.668
2026-02-26T05:30:00+00:00,15.076,-2.57,14.094,33.68
2026-02-26T05:35:00+00:00,15.01,-2.544,14.062,33.629
