ValueDate,MVA,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,7.872,2.202,-7.236,33.5
2026-02-26T00:10:00+00:00,8.142,2.223,-7.456,33.458
2026-02-26T00:15:00+00:00,8.222,2.253,-7.475,33.475
2026-02-26T00:20:00+00:00,8.241,2.204,-7.472,33.456
2026-02-26T00:25:00+00:00,8.189,2.206,-7.466,33.476
2026-02-26T00:30:00+00:00,8.148,2.222,-7.406,33.5
2026-02-26T00:35:00+00:00,8.523,2.057,-7.762,33.439
2026-02-26T00:40:00+00:00,8.846,2.05,-8.036,33.4
2026-02-26T00:45:00+00:00,9.007,2.078,-8.134,33.4
2026-02-26T00:50:00+00:00,8.977,2.052,-8.164,33.393
2026-02-26T00:55:00+00:00,8.961,2.011,-8.157,33.394
2026-02-26T01:00:00+00:00,9.036,2.038,-8.248,33.4
2026-02-26T01:05:00+00:00,9.39,2.085,-8.528,33.398
2026-02-26T01:10:00+00:00,9.352,2.121,-8.514,33.4
2026-02-26T01:15:00+00:00,9.293,2.18,-8.463,33.429
2026-02-26T01:20:00+00:00,9.248,2.088,-8.422,33.409
2026-02-26T01:25:00+00:00,9.302,2.087,-8.442,33.4
2026-02-26T01:30:00+00:00,9.23,2.184,-8.378,33.418
2026-02-26T01:35:00+00:00,9.617,2.255,-8.705,33.414
2026-02-26T01:40:00+00:00,9.659,2.188,-8.77,33.422
2026-02-26T01:45:00+00:00,9.6,2.207,-8.763,33.433
2026-02-26T01:50:00+00:00,9.466,2.254,-8.628,33.461
2026-02-26T01:55:00+00:00,9.284,2.19,-8.481,33.474
2026-02-26T02:00:00+00:00,9.306,2.19,-8.443,33.5
2026-02-26T02:05:00+00:00,9.294,2.291,-8.454,33.484
2026-02-26T02:10:00+00:00,9.221,2.272,-8.413,33.492
2026-02-26T02:15:00+00:00,9.272,2.272,-8.452,33.5
2026-02-26T02:20:00+00:00,9.322,2.264,-8.519,33.5
2026-02-26T02:25:00+00:00,9.418,2.298,-8.606,33.5
2026-02-26T02:30:00+00:00,9.3,2.292,-8.482,33.5
2026-02-26T02:35:00+00:00,8.661,2.275,-7.893,33.5
2026-02-26T02:40:00+00:00,8.695,2.324,-7.916,33.526
2026-02-26T02:45:00+00:00,8.55,2.31,-7.785,33.527
2026-02-26T02:50:00+00:00,8.434,2.324,-7.681,33.556
2026-02-26T02:55:00+00:00,8.338,2.311,-7.62,33.539
2026-02-26T03:00:00+00:00,8.323,2.316,-7.592,33.5
2026-02-26T03:05:00+00:00,9.585,2.314,-8.724,33.486
2026-02-26T03:10:00+00:00,9.574,2.295,-8.712,33.436
2026-02-26T03:15:00+00:00,9.608,2.332,-8.728,33.498
2026-02-26T03:20:00+00:00,9.549,2.342,-8.672,33.5
2026-02-26T03:25:00+00:00,9.483,2.346,-8.639,33.5
2026-02-26T03:30:00+00:00,9.326,2.351,-8.426,33.5
2026-02-26T03:35:00+00:00,8.266,2.382,-7.449,33.514
2026-02-26T03:40:00+00:00,8.248,2.388,-7.472,33.524
2026-02-26T03:45:00+00:00,8.215,2.38,-7.505,33.523
2026-02-26T03:50:00+00:00,8.199,2.399,-7.514,33.528
2026-02-26T03:55:00+00:00,7.974,2.358,-7.306,33.552
2026-02-26T04:00:00+00:00,7.684,2.355,-6.904,33.583
2026-02-26T04:05:00+00:00,7.667,2.362,-6.848,33.5
2026-02-26T04:10:00+00:00,7.682,2.388,-6.874,33.5
2026-02-26T04:15:00+00:00,7.758,2.34,-6.946,33.481
2026-02-26T04:20:00+00:00,7.646,2.336,-6.872,33.475
2026-02-26T04:25:00+00:00,7.628,2.306,-6.87,33.474
2026-02-26T04:30:00+00:00,7.578,2.314,-6.852,33.489
2026-02-26T04:35:00+00:00,7.539,2.314,-6.812,33.5
2026-02-26T04:40:00+00:00,7.532,2.292,-6.802,33.486
