ValueDate,MVA
2026-02-26T00:05:00+00:00,11.943
2026-02-26T00:10:00+00:00,12.5
2026-02-26T00:15:00+00:00,12.091
2026-02-26T00:20:00+00:00,11.728
2026-02-26T00:25:00+00:00,11.522
2026-02-26T00:30:00+00:00,11.293
2026-02-26T00:35:00+00:00,11.164
2026-02-26T00:40:00+00:00,11.619
2026-02-26T00:45:00+00:00,11.509
2026-02-26T00:50:00+00:00,11.45
2026-02-26T00:55:00+00:00,10.907
2026-02-26T01:00:00+00:00,10.575
2026-02-26T01:05:00+00:00,11.131
2026-02-26T01:10:00+00:00,11.548
2026-02-26T01:15:00+00:00,11.716
2026-02-26T01:20:00+00:00,11.552
2026-02-26T01:25:00+00:00,11.21
2026-02-26T01:30:00+00:00,11.215
2026-02-26T01:35:00+00:00,11.026
2026-02-26T01:40:00+00:00,9.768
2026-02-26T01:45:00+00:00,8.631
2026-02-26T01:50:00+00:00,8.534
2026-02-26T01:55:00+00:00,9.215
2026-02-26T02:00:00+00:00,9.474
2026-02-26T02:05:00+00:00,9.528
2026-02-26T02:10:00+00:00,9.555
2026-02-26T02:15:00+00:00,9.352
2026-02-26T02:20:00+00:00,8.864
2026-02-26T02:25:00+00:00,9.019
2026-02-26T02:30:00+00:00,8.926
2026-02-26T02:35:00+00:00,9.161
2026-02-26T02:40:00+00:00,9.652
2026-02-26T02:45:00+00:00,9.422
2026-02-26T02:50:00+00:00,9.174
2026-02-26T02:55:00+00:00,9.444
2026-02-26T03:00:00+00:00,11.151
2026-02-26T03:05:00+00:00,11.898
2026-02-26T03:10:00+00:00,12.564
2026-02-26T03:15:00+00:00,12.47
2026-02-26T03:20:00+00:00,12.049
2026-02-26T03:25:00+00:00,11.352
2026-02-26T03:30:00+00:00,10.125
2026-02-26T03:35:00+00:00,9.614
2026-02-26T03:40:00+00:00,9.434
2026-02-26T03:45:00+00:00,8.908
2026-02-26T03:50:00+00:00,8.851
2026-02-26T03:55:00+00:00,9.154
2026-02-26T04:00:00+00:00,9.257
2026-02-26T04:05:00+00:00,9.114
2026-02-26T04:10:00+00:00,8.946
2026-02-26T04:15:00+00:00,8.543
2026-02-26T04:20:00+00:00,7.369
2026-02-26T04:25:00+00:00,7.117
2026-02-26T04:30:00+00:00,7.79
2026-02-26T04:35:00+00:00,9.73
2026-02-26T04:40:00+00:00,10.01
2026-02-26T04:45:00+00:00,9.714
2026-02-26T04:50:00+00:00,9.892
2026-02-26T04:55:00+00:00,9.834
2026-02-26T05:00:00+00:00,9.932
2026-02-26T05:05:00+00:00,9.616
2026-02-26T05:10:00+00:00,9.477
2026-02-26T05:15:00+00:00,9.898
2026-02-26T05:20:00+00:00,10.16
