ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,189.578,21.803,4.088,-21.336,33.306
2026-02-26T00:10:00+00:00,195.138,22.377,4.054,-21.978,33.222
2026-02-26T00:15:00+00:00,195.844,22.469,4.019,-22.024,33.2
2026-02-26T00:20:00+00:00,194.506,22.327,3.985,-21.896,33.2
2026-02-26T00:25:00+00:00,194.704,22.321,3.95,-21.933,33.209
2026-02-26T00:30:00+00:00,192.435,22.148,3.916,-21.731,33.297
2026-02-26T00:35:00+00:00,193.413,22.106,3.864,-21.789,33.164
2026-02-26T00:40:00+00:00,196.969,22.422,3.714,-22.093,33.036
2026-02-26T00:45:00+00:00,198.584,22.695,3.842,-22.258,33.0
2026-02-26T00:50:00+00:00,199.172,22.714,3.838,-22.312,33.0
2026-02-26T00:55:00+00:00,197.433,22.511,3.795,-22.124,33.0
2026-02-26T01:00:00+00:00,197.586,22.545,3.752,-22.166,33.052
2026-02-26T01:05:00+00:00,206.412,23.502,3.71,-23.21,33.005
2026-02-26T01:10:00+00:00,208.413,23.801,3.684,-23.439,33.055
2026-02-26T01:15:00+00:00,204.85,23.534,3.872,-23.099,33.125
2026-02-26T01:20:00+00:00,203.749,23.38,3.928,-22.973,33.2
2026-02-26T01:25:00+00:00,202.782,23.28,3.97,-22.87,33.2
2026-02-26T01:30:00+00:00,201.593,23.12,4.012,-22.844,33.2
2026-02-26T01:35:00+00:00,197.288,22.63,4.054,-22.162,33.203
2026-02-26T01:40:00+00:00,196.011,22.535,4.095,-22.08,33.264
2026-02-26T01:45:00+00:00,194.191,22.363,4.126,-21.94,33.279
2026-02-26T01:50:00+00:00,192.786,22.192,4.153,-21.757,33.313
2026-02-26T01:55:00+00:00,193.171,22.27,4.18,-21.822,33.368
2026-02-26T02:00:00+00:00,190.796,22.081,4.207,-21.577,33.4
2026-02-26T02:05:00+00:00,190.333,21.969,4.234,-21.487,33.4
2026-02-26T02:10:00+00:00,190.314,22.0,4.261,-21.473,33.4
2026-02-26T02:15:00+00:00,190.064,21.95,4.288,-21.514,33.4
2026-02-26T02:20:00+00:00,189.212,21.868,4.315,-21.378,33.404
2026-02-26T02:25:00+00:00,187.856,21.767,4.271,-21.208,33.461
2026-02-26T02:30:00+00:00,185.032,21.408,5.282,-20.942,33.461
