ValueDate,MVA,Volts
2026-02-26T00:05:00+00:00,3.976,11.3
2026-02-26T00:10:00+00:00,3.986,11.298
2026-02-26T00:15:00+00:00,3.982,11.3
2026-02-26T00:20:00+00:00,3.999,11.3
2026-02-26T00:25:00+00:00,4.02,11.3
2026-02-26T00:30:00+00:00,4.046,11.298
2026-02-26T00:35:00+00:00,4.03,11.298
2026-02-26T00:40:00+00:00,4.19,11.259
2026-02-26T00:45:00+00:00,4.21,11.247
2026-02-26T00:50:00+00:00,4.182,11.247
2026-02-26T00:55:00+00:00,4.1,11.25
2026-02-26T01:00:00+00:00,4.177,11.262
2026-02-26T01:05:00+00:00,4.242,11.266
2026-02-26T01:10:00+00:00,4.203,11.265
2026-02-26T01:15:00+00:00,4.146,11.286
2026-02-26T01:20:00+00:00,4.177,11.285
2026-02-26T01:25:00+00:00,4.24,11.293
2026-02-26T01:30:00+00:00,4.25,11.3
2026-02-26T01:35:00+00:00,4.315,11.295
2026-02-26T01:40:00+00:00,4.33,11.294
2026-02-26T01:45:00+00:00,4.236,11.3
2026-02-26T01:50:00+00:00,4.168,11.3
2026-02-26T01:55:00+00:00,4.155,11.3
2026-02-26T02:00:00+00:00,4.244,11.3
2026-02-26T02:05:00+00:00,4.178,11.3
2026-02-26T02:10:00+00:00,4.156,11.3
2026-02-26T02:15:00+00:00,4.261,11.3
2026-02-26T02:20:00+00:00,4.198,11.3
2026-02-26T02:25:00+00:00,4.16,11.3
2026-02-26T02:30:00+00:00,4.158,11.3
2026-02-26T02:35:00+00:00,4.161,11.3
2026-02-26T02:40:00+00:00,4.13,11.3
2026-02-26T02:45:00+00:00,4.116,11.3
2026-02-26T02:50:00+00:00,4.096,11.3
2026-02-26T02:55:00+00:00,4.11,11.3
2026-02-26T03:00:00+00:00,4.075,11.3
2026-02-26T03:05:00+00:00,4.012,11.3
2026-02-26T03:10:00+00:00,4.014,11.3
2026-02-26T03:15:00+00:00,4.004,11.3
2026-02-26T03:20:00+00:00,3.963,11.3
2026-02-26T03:25:00+00:00,3.98,11.3
2026-02-26T03:30:00+00:00,3.979,11.3
2026-02-26T03:35:00+00:00,3.99,11.3
2026-02-26T03:40:00+00:00,3.943,11.3
2026-02-26T03:45:00+00:00,3.882,11.3
2026-02-26T03:50:00+00:00,3.888,11.3
2026-02-26T03:55:00+00:00,3.952,11.3
2026-02-26T04:00:00+00:00,3.867,11.3
2026-02-26T04:05:00+00:00,3.869,11.3
2026-02-26T04:10:00+00:00,3.966,11.3
2026-02-26T04:15:00+00:00,4.003,11.3
2026-02-26T04:20:00+00:00,3.976,11.298
2026-02-26T04:25:00+00:00,4.005,11.3
2026-02-26T04:30:00+00:00,3.923,11.3
2026-02-26T04:35:00+00:00,3.856,11.3
2026-02-26T04:40:00+00:00,3.841,11.298
2026-02-26T04:45:00+00:00,3.802,11.3
2026-02-26T04:50:00+00:00,3.852,11.3
2026-02-26T04:55:00+00:00,3.918,11.3
2026-02-26T05:00:00+00:00,4.263,11.3
2026-02-26T05:05:00+00:00,4.218,11.288
2026-02-26T05:10:00+00:00,4.066,11.28
2026-02-26T05:15:00+00:00,4.176,11.258
2026-02-26T05:20:00+00:00,4.522,11.22
2026-02-26T05:25:00+00:00,4.494,11.2
2026-02-26T05:30:00+00:00,4.348,11.291
2026-02-26T05:35:00+00:00,4.044,11.3
2026-02-26T05:40:00+00:00,3.876,11.301
2026-02-26T05:45:00+00:00,3.95,11.3
2026-02-26T05:50:00+00:00,4.012,11.3
2026-02-26T05:55:00+00:00,3.906,11.3
2026-02-26T06:00:00+00:00,3.906,11.3
2026-02-26T06:05:00+00:00,3.997,11.296
2026-02-26T06:10:00+00:00,4.052,11.403
2026-02-26T06:15:00+00:00,4.149,11.314
2026-02-26T06:20:00+00:00,4.241,11.341
2026-02-26T06:25:00+00:00,4.279,11.3
2026-02-26T06:30:00+00:00,4.25,11.3
2026-02-26T06:35:00+00:00,4.291,11.3
2026-02-26T06:40:00+00:00,4.325,11.3
2026-02-26T06:45:00+00:00,4.299,11.3
2026-02-26T06:50:00+00:00,4.384,11.298
2026-02-26T06:55:00+00:00,4.298,11.296
2026-02-26T07:00:00+00:00,4.459,11.2
2026-02-26T07:05:00+00:00,4.662,11.2
2026-02-26T07:10:00+00:00,4.712,11.198
2026-02-26T07:15:00+00:00,4.842,11.206
2026-02-26T07:20:00+00:00,4.856,11.296
2026-02-26T07:25:00+00:00,4.884,11.291
2026-02-26T07:30:00+00:00,4.892,11.259
2026-02-26T07:35:00+00:00,4.956,11.229
2026-02-26T07:40:00+00:00,5.061,11.256
2026-02-26T07:45:00+00:00,5.134,11.299
2026-02-26T07:50:00+00:00,5.194,11.296
2026-02-26T07:55:00+00:00,5.224,11.3
2026-02-26T08:00:00+00:00,5.345,11.294
2026-02-26T08:05:00+00:00,5.483,11.235
2026-02-26T08:10:00+00:00,5.406,11.248
2026-02-26T08:15:00+00:00,5.485,11.26
2026-02-26T08:20:00+00:00,5.407,11.25
2026-02-26T08:25:00+00:00,5.272,11.246
2026-02-26T08:30:00+00:00,5.204,11.28
2026-02-26T08:35:00+00:00,5.238,11.26
2026-02-26T08:40:00+00:00,5.223,11.262
2026-02-26T08:45:00+00:00,5.187,11.254
2026-02-26T08:50:00+00:00,5.113,11.24
2026-02-26T08:55:00+00:00,5.056,11.238
2026-02-26T09:00:00+00:00,5.092,11.234
2026-02-26T09:05:00+00:00,5.142,11.214
2026-02-26T09:10:00+00:00,5.066,11.222
2026-02-26T09:15:00+00:00,5.214,11.224
2026-02-26T09:20:00+00:00,5.3,11.214
2026-02-26T09:25:00+00:00,5.253,11.234
2026-02-26T09:30:00+00:00,5.234,11.243
2026-02-26T09:35:00+00:00,5.223,11.253
2026-02-26T09:40:00+00:00,5.21,11.27
2026-02-26T09:45:00+00:00,5.399,11.256
2026-02-26T09:50:00+00:00,5.594,11.251
2026-02-26T09:55:00+00:00,5.604,11.25
2026-02-26T10:00:00+00:00,5.45,11.252
2026-02-26T10:05:00+00:00,5.416,11.229
2026-02-26T10:10:00+00:00,5.271,11.212
2026-02-26T10:15:00+00:00,5.143,11.248
2026-02-26T10:20:00+00:00,5.454,11.246
2026-02-26T10:25:00+00:00,5.572,11.221
2026-02-26T10:30:00+00:00,5.662,11.204
2026-02-26T10:35:00+00:00,5.582,11.204
2026-02-26T10:40:00+00:00,5.343,11.2
2026-02-26T10:45:00+00:00,5.192,11.2
2026-02-26T10:50:00+00:00,5.237,11.2
2026-02-26T10:55:00+00:00,5.264,11.21
2026-02-26T11:00:00+00:00,5.286,11.22
2026-02-26T11:05:00+00:00,5.253,11.222
2026-02-26T11:10:00+00:00,5.146,11.226
2026-02-26T11:15:00+00:00,5.016,11.228
2026-02-26T11:20:00+00:00,4.962,11.252
2026-02-26T11:25:00+00:00,5.198,11.261
2026-02-26T11:30:00+00:00,5.369,11.282
2026-02-26T11:35:00+00:00,5.51,11.27
2026-02-26T11:40:00+00:00,5.4,11.284
2026-02-26T11:45:00+00:00,5.249,11.279
2026-02-26T11:50:00+00:00,4.32,11.298
2026-02-26T11:55:00+00:00,4.075,11.298
2026-02-26T12:00:00+00:00,4.034,11.3
2026-02-26T12:05:00+00:00,4.11,11.3
2026-02-26T12:10:00+00:00,4.434,11.282
2026-02-26T12:15:00+00:00,4.576,11.264
2026-02-26T12:20:00+00:00,4.648,11.292
2026-02-26T12:25:00+00:00,4.548,11.289
2026-02-26T12:30:00+00:00,4.809,11.246
2026-02-26T12:35:00+00:00,4.978,11.232
2026-02-26T12:40:00+00:00,5.194,11.232
2026-02-26T12:45:00+00:00,5.262,11.208
2026-02-26T12:50:00+00:00,5.14,11.2
2026-02-26T12:55:00+00:00,5.118,11.2
2026-02-26T13:00:00+00:00,5.222,11.206
2026-02-26T13:05:00+00:00,5.286,11.202
2026-02-26T13:10:00+00:00,5.22,11.204
2026-02-26T13:15:00+00:00,5.13,11.207
2026-02-26T13:20:00+00:00,5.244,11.208
2026-02-26T13:25:00+00:00,5.241,11.213
2026-02-26T13:30:00+00:00,5.072,11.206
2026-02-26T13:35:00+00:00,4.928,11.226
2026-02-26T13:40:00+00:00,4.84,11.218
2026-02-26T13:45:00+00:00,5.012,11.232
2026-02-26T13:50:00+00:00,5.112,11.252
2026-02-26T13:55:00+00:00,5.27,11.244
2026-02-26T14:00:00+00:00,5.332,11.234
2026-02-26T14:05:00+00:00,5.014,11.248
2026-02-26T14:10:00+00:00,4.909,11.276
2026-02-26T14:15:00+00:00,5.076,11.26
2026-02-26T14:20:00+00:00,4.889,11.272
2026-02-26T14:25:00+00:00,4.828,11.295
2026-02-26T14:30:00+00:00,4.994,11.3
2026-02-26T14:35:00+00:00,5.122,11.294
2026-02-26T14:40:00+00:00,5.267,11.298
2026-02-26T14:45:00+00:00,5.168,11.3
2026-02-26T14:50:00+00:00,5.112,11.296
2026-02-26T14:55:00+00:00,5.279,11.289
2026-02-26T15:00:00+00:00,5.227,11.3
2026-02-26T15:05:00+00:00,5.123,11.3
2026-02-26T15:10:00+00:00,5.114,11.3
2026-02-26T15:15:00+00:00,5.222,11.3
2026-02-26T15:20:00+00:00,5.284,11.3
2026-02-26T15:25:00+00:00,5.221,11.3
2026-02-26T15:30:00+00:00,5.258,11.3
2026-02-26T15:35:00+00:00,5.107,11.3
2026-02-26T15:40:00+00:00,5.006,11.3
2026-02-26T15:45:00+00:00,5.124,11.3
2026-02-26T15:50:00+00:00,5.174,11.3
2026-02-26T15:55:00+00:00,5.208,11.3
2026-02-26T16:00:00+00:00,5.197,11.3
2026-02-26T16:05:00+00:00,5.207,11.3
2026-02-26T16:10:00+00:00,5.208,11.3
2026-02-26T16:15:00+00:00,5.228,11.3
2026-02-26T16:20:00+00:00,5.226,11.299
2026-02-26T16:25:00+00:00,5.203,11.3
2026-02-26T16:30:00+00:00,4.877,11.3
2026-02-26T16:35:00+00:00,4.879,11.3
2026-02-26T16:40:00+00:00,4.998,11.3
2026-02-26T16:45:00+00:00,5.153,11.3
2026-02-26T16:50:00+00:00,5.242,11.298
2026-02-26T16:55:00+00:00,5.389,11.292
2026-02-26T17:00:00+00:00,5.514,11.3
2026-02-26T17:05:00+00:00,5.458,11.264
2026-02-26T17:10:00+00:00,5.357,11.262
2026-02-26T17:15:00+00:00,5.354,11.262
2026-02-26T17:20:00+00:00,5.291,11.238
2026-02-26T17:25:00+00:00,5.291,11.28
2026-02-26T17:30:00+00:00,5.355,11.28
2026-02-26T17:35:00+00:00,5.313,11.264
2026-02-26T17:40:00+00:00,5.375,11.268
2026-02-26T17:45:00+00:00,5.395,11.285
2026-02-26T17:50:00+00:00,5.414,11.3
2026-02-26T17:55:00+00:00,5.524,11.3
2026-02-26T18:00:00+00:00,5.562,11.305
2026-02-26T18:05:00+00:00,5.618,11.321
2026-02-26T18:10:00+00:00,5.68,11.3
2026-02-26T18:15:00+00:00,5.572,11.3
2026-02-26T18:20:00+00:00,5.494,11.3
2026-02-26T18:25:00+00:00,5.42,11.3
2026-02-26T18:30:00+00:00,5.282,11.3
2026-02-26T18:35:00+00:00,5.265,11.322
2026-02-26T18:40:00+00:00,5.058,11.363
2026-02-26T18:45:00+00:00,4.663,11.373
2026-02-26T18:50:00+00:00,4.632,11.38
2026-02-26T18:55:00+00:00,4.678,11.381
2026-02-26T19:00:00+00:00,4.64,11.384
2026-02-26T19:05:00+00:00,4.59,11.338
2026-02-26T19:10:00+00:00,4.566,11.301
2026-02-26T19:15:00+00:00,4.52,11.369
2026-02-26T19:20:00+00:00,4.541,11.4
2026-02-26T19:25:00+00:00,4.582,11.4
2026-02-26T19:30:00+00:00,4.624,11.4
2026-02-26T19:35:00+00:00,4.627,11.342
2026-02-26T19:40:00+00:00,4.483,11.302
2026-02-26T19:45:00+00:00,4.417,11.3
2026-02-26T19:50:00+00:00,4.341,11.3
2026-02-26T19:55:00+00:00,4.327,11.3
2026-02-26T20:00:00+00:00,4.301,11.3
2026-02-26T20:05:00+00:00,4.346,11.3
2026-02-26T20:10:00+00:00,4.277,11.3
2026-02-26T20:15:00+00:00,4.29,11.302
2026-02-26T20:20:00+00:00,4.294,11.234
2026-02-26T20:25:00+00:00,4.248,11.3
2026-02-26T20:30:00+00:00,4.287,11.3
2026-02-26T20:35:00+00:00,4.34,11.3
2026-02-26T20:40:00+00:00,4.294,11.272
2026-02-26T20:45:00+00:00,4.409,11.206
2026-02-26T20:50:00+00:00,4.47,11.204
2026-02-26T20:55:00+00:00,4.603,11.25
2026-02-26T21:00:00+00:00,4.597,11.3
2026-02-26T21:05:00+00:00,4.576,11.3
2026-02-26T21:10:00+00:00,4.597,11.302
2026-02-26T21:15:00+00:00,4.591,11.3
2026-02-26T21:20:00+00:00,4.547,11.305
2026-02-26T21:25:00+00:00,4.454,11.311
2026-02-26T21:30:00+00:00,4.428,11.33
2026-02-26T21:35:00+00:00,4.492,11.337
2026-02-26T21:40:00+00:00,4.46,11.4
2026-02-26T21:45:00+00:00,4.352,11.4
2026-02-26T21:50:00+00:00,4.371,11.388
2026-02-26T21:55:00+00:00,4.363,11.3
2026-02-26T22:00:00+00:00,4.355,11.3
2026-02-26T22:05:00+00:00,4.345,11.3
2026-02-26T22:10:00+00:00,4.514,11.3
2026-02-26T22:15:00+00:00,4.462,11.3
2026-02-26T22:20:00+00:00,4.375,11.3
2026-02-26T22:25:00+00:00,4.392,11.3
2026-02-26T22:30:00+00:00,4.304,11.3
2026-02-26T22:35:00+00:00,4.236,11.3
2026-02-26T22:40:00+00:00,4.208,11.3
2026-02-26T22:45:00+00:00,4.14,11.3
2026-02-26T22:50:00+00:00,4.134,11.3
2026-02-26T22:55:00+00:00,4.08,11.3
2026-02-26T23:00:00+00:00,4.074,11.312
2026-02-26T23:05:00+00:00,4.079,11.312
2026-02-26T23:10:00+00:00,4.052,11.3
2026-02-26T23:15:00+00:00,4.028,11.3
2026-02-26T23:20:00+00:00,3.956,11.32
2026-02-26T23:25:00+00:00,3.938,11.34
2026-02-26T23:30:00+00:00,4.017,11.311
2026-02-26T23:35:00+00:00,4.232,11.3
2026-02-26T23:40:00+00:00,4.29,11.3
2026-02-26T23:45:00+00:00,4.245,11.3
2026-02-26T23:50:00+00:00,4.118,11.3
2026-02-26T23:55:00+00:00,4.163,11.3
2026-02-27T00:00:00+00:00,4.128,11.306
2026-02-27T00:05:00+00:00,4.1,11.3
2026-02-27T00:10:00+00:00,4.02,11.3
2026-02-27T00:15:00+00:00,4.006,11.3
2026-02-27T00:20:00+00:00,3.99,11.304
2026-02-27T00:25:00+00:00,4.016,11.308
2026-02-27T00:30:00+00:00,3.946,11.326
2026-02-27T00:35:00+00:00,4.008,11.301
2026-02-27T00:40:00+00:00,3.99,11.3
2026-02-27T00:45:00+00:00,4.014,11.3
2026-02-27T00:50:00+00:00,4.07,11.3
2026-02-27T00:55:00+00:00,4.03,11.3
2026-02-27T01:00:00+00:00,4.02,11.3
2026-02-27T01:05:00+00:00,4.018,11.321
2026-02-27T01:10:00+00:00,4.07,11.34
