ValueDate,MVA,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,4.238,-0.425,2.498,11.3
2026-02-26T00:10:00+00:00,4.265,-0.434,2.515,11.3
2026-02-26T00:15:00+00:00,4.28,-0.433,2.524,11.3
2026-02-26T00:20:00+00:00,4.297,-0.421,2.534,11.3
2026-02-26T00:25:00+00:00,4.266,-0.412,2.54,11.3
2026-02-26T00:30:00+00:00,4.249,-0.396,2.532,11.3
2026-02-26T00:35:00+00:00,4.329,-0.378,2.576,11.292
2026-02-26T00:40:00+00:00,4.428,-0.394,2.626,11.216
2026-02-26T00:45:00+00:00,4.488,-0.379,2.649,11.2
2026-02-26T00:50:00+00:00,4.46,-0.396,2.626,11.2
2026-02-26T00:55:00+00:00,4.454,-0.385,2.628,11.2
2026-02-26T01:00:00+00:00,4.424,-0.396,2.619,11.202
2026-02-26T01:05:00+00:00,4.434,-0.404,2.625,11.208
2026-02-26T01:10:00+00:00,4.414,-0.419,2.608,11.233
2026-02-26T01:15:00+00:00,4.366,-0.413,2.577,11.274
2026-02-26T01:20:00+00:00,4.342,-0.41,2.564,11.3
2026-02-26T01:25:00+00:00,4.303,-0.415,2.557,11.3
2026-02-26T01:30:00+00:00,4.29,-0.415,2.536,11.3
2026-02-26T01:35:00+00:00,4.306,-0.41,2.55,11.3
2026-02-26T01:40:00+00:00,4.262,-0.415,2.53,11.3
2026-02-26T01:45:00+00:00,4.223,-0.411,2.498,11.3
2026-02-26T01:50:00+00:00,4.207,-0.415,2.468,11.3
2026-02-26T01:55:00+00:00,4.182,-0.422,2.45,11.3
2026-02-26T02:00:00+00:00,4.169,-0.434,2.446,11.32
2026-02-26T02:05:00+00:00,4.162,-0.42,2.442,11.3
2026-02-26T02:10:00+00:00,4.172,-0.414,2.448,11.3
2026-02-26T02:15:00+00:00,4.15,-0.412,2.446,11.3
2026-02-26T02:20:00+00:00,4.126,-0.408,2.424,11.3
2026-02-26T02:25:00+00:00,4.097,-0.411,2.426,11.3
2026-02-26T02:30:00+00:00,4.085,-0.403,2.426,11.305
2026-02-26T02:35:00+00:00,4.074,-0.407,2.421,11.319
2026-02-26T02:40:00+00:00,4.022,-0.403,2.385,11.308
2026-02-26T02:45:00+00:00,3.935,-0.416,2.332,11.2
2026-02-26T02:50:00+00:00,3.927,-0.415,2.314,11.2
2026-02-26T02:55:00+00:00,3.921,-0.428,2.313,11.2
2026-02-26T03:00:00+00:00,3.906,-0.428,2.316,11.2
2026-02-26T03:05:00+00:00,3.908,-0.418,2.317,11.2
2026-02-26T03:10:00+00:00,3.858,-0.405,2.299,11.2
2026-02-26T03:15:00+00:00,3.868,-0.401,2.301,11.2
2026-02-26T03:20:00+00:00,3.885,-0.412,2.323,11.2
