ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,355.701,20.685,5.305,-20.044,33.662
2026-02-26T00:10:00+00:00,359.468,20.812,5.26,-20.22,33.598
2026-02-26T00:15:00+00:00,358.464,20.85,5.216,-20.158,33.558
2026-02-26T00:20:00+00:00,359.761,20.876,5.172,-20.092,33.584
2026-02-26T00:25:00+00:00,356.799,20.842,5.118,-20.04,33.609
2026-02-26T00:30:00+00:00,354.24,20.789,5.058,-20.154,33.694
2026-02-26T00:35:00+00:00,363.7,21.052,4.932,-20.594,33.546
2026-02-26T00:40:00+00:00,371.164,21.436,4.733,-20.97,33.434
2026-02-26T00:45:00+00:00,371.198,21.586,4.742,-21.026,33.4
2026-02-26T00:50:00+00:00,369.188,21.457,4.856,-20.84,33.4
2026-02-26T00:55:00+00:00,367.417,21.289,4.863,-20.674,33.4
2026-02-26T01:00:00+00:00,366.718,21.222,4.841,-20.626,33.418
2026-02-26T01:05:00+00:00,371.076,21.414,4.819,-20.87,33.4
2026-02-26T01:10:00+00:00,370.304,21.505,4.797,-20.848,33.424
2026-02-26T01:15:00+00:00,368.66,21.509,4.775,-20.794,33.475
2026-02-26T01:20:00+00:00,367.959,21.412,4.753,-20.726,33.5
2026-02-26T01:25:00+00:00,369.4,21.333,4.73,-20.852,33.5
2026-02-26T01:30:00+00:00,370.024,21.382,4.709,-20.862,33.5
2026-02-26T01:35:00+00:00,368.831,21.5,4.686,-20.852,33.496
2026-02-26T01:40:00+00:00,366.511,21.288,4.665,-20.712,33.437
2026-02-26T01:45:00+00:00,364.075,21.214,4.821,-20.587,33.483
2026-02-26T01:50:00+00:00,361.851,21.08,4.86,-20.458,33.508
2026-02-26T01:55:00+00:00,359.298,20.992,4.842,-20.306,33.569
2026-02-26T02:00:00+00:00,357.024,20.852,4.823,-20.27,33.674
2026-02-26T02:05:00+00:00,357.244,20.821,4.806,-20.218,33.653
2026-02-26T02:10:00+00:00,355.982,20.832,4.788,-20.184,33.66
2026-02-26T02:15:00+00:00,354.932,20.71,4.77,-20.136,33.7
2026-02-26T02:20:00+00:00,355.821,20.776,4.752,-20.1,33.7
2026-02-26T02:25:00+00:00,352.679,20.706,4.733,-19.898,33.738
2026-02-26T02:30:00+00:00,349.877,20.482,4.716,-19.979,33.704
2026-02-26T02:35:00+00:00,350.198,20.442,4.698,-19.856,33.7
2026-02-26T02:40:00+00:00,354.036,20.624,4.68,-20.054,33.726
2026-02-26T02:45:00+00:00,350.47,20.563,4.662,-19.878,33.793
2026-02-26T02:50:00+00:00,348.399,20.53,4.646,-19.77,33.8
2026-02-26T02:55:00+00:00,343.809,20.15,4.662,-19.614,33.8
2026-02-26T03:00:00+00:00,341.564,20.116,4.693,-19.559,33.8
2026-02-26T03:05:00+00:00,340.46,19.997,4.724,-19.321,33.778
2026-02-26T03:10:00+00:00,341.398,19.903,4.756,-19.348,33.728
2026-02-26T03:15:00+00:00,336.744,19.792,4.788,-19.096,33.799
2026-02-26T03:20:00+00:00,334.377,19.656,4.819,-19.026,33.807
2026-02-26T03:25:00+00:00,332.586,19.62,4.85,-18.902,33.874
2026-02-26T03:30:00+00:00,332.516,19.533,4.855,-18.884,33.868
2026-02-26T03:35:00+00:00,332.354,19.478,4.841,-18.95,33.827
2026-02-26T03:40:00+00:00,330.499,19.441,4.826,-18.856,33.816
2026-02-26T03:45:00+00:00,329.323,19.46,4.812,-18.808,33.862
2026-02-26T03:50:00+00:00,328.963,19.39,4.788,-18.902,33.897
2026-02-26T03:55:00+00:00,328.952,19.414,4.334,-18.916,33.9
2026-02-26T04:00:00+00:00,329.146,19.222,3.89,-18.877,33.897
2026-02-26T04:05:00+00:00,331.593,19.26,4.038,-18.909,33.713
2026-02-26T04:10:00+00:00,333.653,19.364,4.284,-18.903,33.72
2026-02-26T04:15:00+00:00,333.76,19.447,4.464,-18.894,33.715
2026-02-26T04:20:00+00:00,331.542,19.4,4.471,-18.916,33.746
2026-02-26T04:25:00+00:00,329.576,19.33,4.475,-18.883,33.728
2026-02-26T04:30:00+00:00,327.798,19.258,4.427,-18.77,33.782
2026-02-26T04:35:00+00:00,326.448,19.112,4.359,-18.616,33.8
2026-02-26T04:40:00+00:00,329.216,19.181,4.291,-18.69,33.8
2026-02-26T04:45:00+00:00,330.972,19.204,4.222,-18.777,33.8
2026-02-26T04:50:00+00:00,329.876,19.38,4.155,-18.835,33.791
2026-02-26T04:55:00+00:00,333.636,19.397,4.127,-18.978,33.755
2026-02-26T05:00:00+00:00,336.476,19.615,4.546,-18.992,33.742
2026-02-26T05:05:00+00:00,338.603,19.565,4.94,-18.882,33.596
2026-02-26T05:10:00+00:00,337.71,19.659,5.056,-18.903,33.5
2026-02-26T05:15:00+00:00,340.21,19.722,5.034,-19.095,33.528
2026-02-26T05:20:00+00:00,341.37,19.718,5.01,-19.02,33.522
2026-02-26T05:25:00+00:00,341.562,19.723,4.988,-19.067,33.5
2026-02-26T05:30:00+00:00,341.65,19.706,4.964,-19.051,33.5
2026-02-26T05:35:00+00:00,342.778,19.701,4.942,-19.114,33.484
2026-02-26T05:40:00+00:00,340.968,19.782,4.919,-19.062,33.454
2026-02-26T05:45:00+00:00,341.341,19.653,4.896,-19.037,33.437
2026-02-26T05:50:00+00:00,345.174,19.865,4.873,-19.31,33.374
2026-02-26T05:55:00+00:00,349.69,20.03,4.979,-19.475,33.296
2026-02-26T06:00:00+00:00,354.966,20.368,5.646,-19.694,33.232
2026-02-26T06:05:00+00:00,362.973,20.821,5.543,-20.275,33.268
2026-02-26T06:10:00+00:00,371.818,21.389,4.227,-21.06,33.354
2026-02-26T06:15:00+00:00,382.08,22.057,4.12,-21.694,33.415
2026-02-26T06:20:00+00:00,385.994,22.278,4.03,-21.93,33.454
2026-02-26T06:25:00+00:00,391.866,22.639,3.994,-22.274,33.386
2026-02-26T06:30:00+00:00,392.634,22.736,4.036,-22.278,33.374
2026-02-26T06:35:00+00:00,404.762,23.246,4.112,-22.944,33.263
2026-02-26T06:40:00+00:00,411.185,23.574,4.618,-23.176,33.208
2026-02-26T06:45:00+00:00,416.645,23.927,4.466,-23.551,33.278
2026-02-26T06:50:00+00:00,420.394,24.183,4.313,-23.79,33.262
2026-02-26T06:55:00+00:00,424.684,24.325,4.189,-24.038,33.189
2026-02-26T07:00:00+00:00,427.494,24.438,3.936,-24.112,33.104
2026-02-26T07:05:00+00:00,439.047,25.163,3.517,-24.9,33.161
2026-02-26T07:10:00+00:00,444.168,25.686,3.122,-25.452,33.363
2026-02-26T07:15:00+00:00,444.582,25.691,3.005,-25.566,33.422
2026-02-26T07:20:00+00:00,452.354,26.179,2.692,-26.132,33.512
2026-02-26T07:25:00+00:00,457.115,26.416,2.725,-26.324,33.428
2026-02-26T07:30:00+00:00,460.446,26.534,2.776,-26.364,33.342
2026-02-26T07:35:00+00:00,462.622,26.602,2.732,-26.486,33.246
2026-02-26T07:40:00+00:00,462.78,26.707,2.688,-26.648,33.262
2026-02-26T07:45:00+00:00,466.656,26.832,2.644,-26.676,33.269
2026-02-26T07:50:00+00:00,468.518,26.953,2.6,-26.824,33.262
2026-02-26T07:55:00+00:00,469.46,27.147,2.723,-26.942,33.327
2026-02-26T08:00:00+00:00,468.956,27.03,2.904,-26.958,33.341
2026-02-26T08:05:00+00:00,475.168,27.308,3.278,-27.15,33.22
2026-02-26T08:10:00+00:00,475.777,27.42,3.822,-27.156,33.26
2026-02-26T08:15:00+00:00,475.433,27.484,2.649,-27.408,33.461
2026-02-26T08:20:00+00:00,477.494,27.633,2.394,-27.422,33.419
2026-02-26T08:25:00+00:00,479.544,27.642,2.53,-27.532,33.353
2026-02-26T08:30:00+00:00,482.482,27.832,2.524,-27.747,33.394
2026-02-26T08:35:00+00:00,483.454,27.91,2.416,-27.858,33.4
2026-02-26T08:40:00+00:00,480.257,27.834,2.49,-27.701,33.368
2026-02-26T08:45:00+00:00,480.92,27.736,2.471,-27.65,33.323
2026-02-26T08:50:00+00:00,483.281,27.956,2.453,-27.819,33.3
2026-02-26T08:55:00+00:00,483.62,27.888,2.437,-27.888,33.298
2026-02-26T09:00:00+00:00,484.092,27.965,2.598,-27.856,33.293
2026-02-26T09:05:00+00:00,489.312,28.222,2.718,-28.078,33.298
2026-02-26T09:10:00+00:00,493.846,28.536,2.518,-28.379,33.282
2026-02-26T09:15:00+00:00,492.119,28.39,2.429,-28.309,33.323
2026-02-26T09:20:00+00:00,493.86,28.566,2.36,-28.533,33.375
2026-02-26T09:25:00+00:00,495.626,28.606,2.393,-28.57,33.348
2026-02-26T09:30:00+00:00,493.392,28.456,2.44,-28.404,33.381
2026-02-26T09:35:00+00:00,492.686,28.452,2.486,-28.36,33.41
2026-02-26T09:40:00+00:00,489.939,28.324,2.534,-28.225,33.4
2026-02-26T09:45:00+00:00,485.562,28.164,2.58,-28.063,33.43
2026-02-26T09:50:00+00:00,484.808,28.051,2.629,-28.012,33.424
2026-02-26T09:55:00+00:00,487.992,28.315,2.678,-28.144,33.478
2026-02-26T10:00:00+00:00,485.09,28.16,2.726,-27.996,33.497
2026-02-26T10:05:00+00:00,481.082,27.887,2.758,-27.726,33.5
2026-02-26T10:10:00+00:00,481.196,27.902,2.488,-27.773,33.48
2026-02-26T10:15:00+00:00,489.181,28.311,2.374,-28.255,33.462
2026-02-26T10:20:00+00:00,487.16,28.34,2.476,-28.193,33.468
2026-02-26T10:25:00+00:00,484.157,28.092,2.487,-27.96,33.458
2026-02-26T10:30:00+00:00,482.818,28.022,2.335,-27.858,33.425
2026-02-26T10:35:00+00:00,481.691,27.915,2.236,-27.824,33.451
2026-02-26T10:40:00+00:00,480.405,27.798,2.152,-27.7,33.382
2026-02-26T10:45:00+00:00,488.428,28.178,2.267,-28.124,33.372
2026-02-26T10:50:00+00:00,493.016,28.531,2.256,-28.399,33.384
2026-02-26T10:55:00+00:00,496.308,28.68,2.172,-28.582,33.387
2026-02-26T11:00:00+00:00,494.948,28.604,2.282,-28.538,33.391
2026-02-26T11:05:00+00:00,497.728,28.859,2.208,-28.756,33.459
2026-02-26T11:10:00+00:00,498.667,28.92,2.379,-28.856,33.493
2026-02-26T11:15:00+00:00,495.256,28.745,2.407,-28.707,33.491
2026-02-26T11:20:00+00:00,494.389,28.708,2.434,-28.669,33.503
2026-02-26T11:25:00+00:00,498.183,28.902,2.462,-28.782,33.511
2026-02-26T11:30:00+00:00,496.307,28.784,2.49,-28.681,33.468
2026-02-26T11:35:00+00:00,496.535,28.741,2.518,-28.628,33.416
2026-02-26T11:40:00+00:00,493.253,28.589,2.545,-28.516,33.412
2026-02-26T11:45:00+00:00,495.718,28.692,2.574,-28.606,33.4
2026-02-26T11:50:00+00:00,497.344,28.787,2.601,-28.714,33.439
2026-02-26T11:55:00+00:00,486.778,28.282,2.523,-28.13,33.488
2026-02-26T12:00:00+00:00,480.499,27.953,2.442,-27.819,33.561
2026-02-26T12:05:00+00:00,470.549,27.386,2.571,-27.241,33.564
2026-02-26T12:10:00+00:00,459.487,26.675,2.718,-26.534,33.488
2026-02-26T12:15:00+00:00,451.478,26.19,2.794,-26.0,33.518
2026-02-26T12:20:00+00:00,452.701,26.304,2.712,-26.164,33.514
2026-02-26T12:25:00+00:00,452.328,26.284,2.77,-26.134,33.54
2026-02-26T12:30:00+00:00,459.854,26.697,2.768,-26.575,33.5
2026-02-26T12:35:00+00:00,467.562,27.002,2.653,-26.867,33.424
2026-02-26T12:40:00+00:00,474.288,27.274,2.399,-27.258,33.33
2026-02-26T12:45:00+00:00,475.349,27.502,2.225,-27.332,33.368
2026-02-26T12:50:00+00:00,467.395,27.041,2.346,-26.948,33.367
2026-02-26T12:55:00+00:00,469.322,27.122,2.39,-27.05,33.445
2026-02-26T13:00:00+00:00,472.445,27.357,2.539,-27.272,33.494
2026-02-26T13:05:00+00:00,467.223,26.962,2.589,-26.857,33.341
2026-02-26T13:10:00+00:00,467.854,26.972,3.234,-26.78,33.33
2026-02-26T13:15:00+00:00,471.732,27.295,2.923,-27.1,33.398
2026-02-26T13:20:00+00:00,470.832,27.156,2.752,-27.024,33.311
2026-02-26T13:25:00+00:00,471.347,27.191,2.554,-27.02,33.346
2026-02-26T13:30:00+00:00,472.71,27.245,2.846,-27.127,33.293
2026-02-26T13:35:00+00:00,470.115,27.111,2.935,-26.94,33.344
2026-02-26T13:40:00+00:00,463.274,26.772,2.859,-26.602,33.34
