ValueDate,MVA,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,8.848,-4.043,8.235,33.968
2026-02-26T00:10:00+00:00,9.113,-4.019,8.506,33.901
2026-02-26T00:15:00+00:00,9.194,-3.996,8.638,33.894
2026-02-26T00:20:00+00:00,9.262,-4.022,8.732,33.854
2026-02-26T00:25:00+00:00,9.284,-4.034,8.738,33.9
2026-02-26T00:30:00+00:00,9.196,-4.11,8.605,33.978
2026-02-26T00:35:00+00:00,9.416,-3.841,8.938,33.842
2026-02-26T00:40:00+00:00,9.704,-3.698,9.326,33.757
2026-02-26T00:45:00+00:00,10.094,-3.766,9.768,33.709
2026-02-26T00:50:00+00:00,9.978,-3.915,9.546,33.714
2026-02-26T00:55:00+00:00,9.504,-3.933,9.009,33.726
2026-02-26T01:00:00+00:00,9.035,-3.94,8.453,33.795
2026-02-26T01:05:00+00:00,9.285,-3.94,8.76,33.732
2026-02-26T01:10:00+00:00,9.141,-3.921,8.574,33.764
2026-02-26T01:15:00+00:00,9.042,-3.948,8.458,33.804
2026-02-26T01:20:00+00:00,9.186,-4.025,8.612,33.804
2026-02-26T01:25:00+00:00,9.492,-4.066,8.948,33.826
2026-02-26T01:30:00+00:00,9.56,-4.14,9.005,33.871
2026-02-26T01:35:00+00:00,9.524,-4.188,8.952,33.9
2026-02-26T01:40:00+00:00,9.654,-4.194,9.118,33.891
2026-02-26T01:45:00+00:00,9.465,-4.186,8.875,33.9
2026-02-26T01:50:00+00:00,9.168,-4.182,8.517,33.9
2026-02-26T01:55:00+00:00,8.943,-4.142,8.294,33.912
2026-02-26T02:00:00+00:00,8.546,-4.18,7.838,33.998
2026-02-26T02:05:00+00:00,8.312,-4.168,7.545,34.0
2026-02-26T02:10:00+00:00,8.366,-4.203,7.629,34.0
2026-02-26T02:15:00+00:00,8.45,-4.231,7.704,34.0
2026-02-26T02:20:00+00:00,8.626,-4.238,7.905,34.0
2026-02-26T02:25:00+00:00,8.581,-4.185,7.864,34.078
2026-02-26T02:30:00+00:00,8.514,-4.178,7.808,34.07
2026-02-26T02:35:00+00:00,8.762,-4.124,8.112,34.01
2026-02-26T02:40:00+00:00,8.941,-4.168,8.323,34.065
2026-02-26T02:45:00+00:00,8.542,-4.184,7.82,34.1
2026-02-26T02:50:00+00:00,8.229,-4.126,7.48,34.112
2026-02-26T02:55:00+00:00,8.252,-4.198,7.518,34.14
2026-02-26T03:00:00+00:00,8.5,-4.26,7.778,34.146
2026-02-26T03:05:00+00:00,8.443,-4.126,7.724,34.082
2026-02-26T03:10:00+00:00,8.315,-4.016,7.675,34.018
2026-02-26T03:15:00+00:00,8.344,-4.085,7.676,34.099
2026-02-26T03:20:00+00:00,8.224,-4.118,7.488,34.1
2026-02-26T03:25:00+00:00,8.055,-4.09,7.294,34.143
2026-02-26T03:30:00+00:00,8.02,-4.13,7.245,34.168
2026-02-26T03:35:00+00:00,7.976,-4.063,7.247,34.138
2026-02-26T03:40:00+00:00,7.972,-4.124,7.196,34.144
2026-02-26T03:45:00+00:00,8.015,-4.157,7.227,34.158
2026-02-26T03:50:00+00:00,8.14,-4.187,7.358,34.199
2026-02-26T03:55:00+00:00,7.64,-4.15,6.774,34.2
2026-02-26T04:00:00+00:00,7.45,-4.162,6.564,34.235
2026-02-26T04:05:00+00:00,7.469,-4.104,6.548,34.104
2026-02-26T04:10:00+00:00,7.35,-4.102,6.396,34.056
2026-02-26T04:15:00+00:00,7.474,-4.178,6.526,34.057
2026-02-26T04:20:00+00:00,7.5,-4.194,6.557,34.065
2026-02-26T04:25:00+00:00,7.73,-4.166,6.82,34.064
2026-02-26T04:30:00+00:00,7.775,-4.052,6.946,34.077
2026-02-26T04:35:00+00:00,8.12,-4.088,7.408,34.1
2026-02-26T04:40:00+00:00,8.114,-4.1,7.396,34.1
2026-02-26T04:45:00+00:00,7.92,-4.123,7.148,34.1
2026-02-26T04:50:00+00:00,7.703,-4.186,6.796,34.1
2026-02-26T04:55:00+00:00,7.604,-4.218,6.686,34.1
2026-02-26T05:00:00+00:00,7.733,-4.261,6.757,34.088
2026-02-26T05:05:00+00:00,7.85,-4.176,6.932,33.939
2026-02-26T05:10:00+00:00,7.891,-4.132,6.989,33.868
2026-02-26T05:15:00+00:00,7.847,-4.173,6.979,33.856
2026-02-26T05:20:00+00:00,7.73,-4.072,6.818,33.868
2026-02-26T05:25:00+00:00,7.637,-4.131,6.65,33.804
2026-02-26T05:30:00+00:00,7.792,-4.182,6.855,33.807
2026-02-26T05:35:00+00:00,7.497,-4.154,6.482,33.8
2026-02-26T05:40:00+00:00,7.716,-4.162,6.764,33.784
2026-02-26T05:45:00+00:00,8.14,-4.121,7.306,33.779
2026-02-26T05:50:00+00:00,8.28,-4.193,7.409,33.702
2026-02-26T05:55:00+00:00,8.546,-4.137,7.728,33.635
2026-02-26T06:00:00+00:00,9.128,-3.992,8.398,33.612
2026-02-26T06:05:00+00:00,9.724,-3.725,9.279,33.802
2026-02-26T06:10:00+00:00,10.03,-3.288,9.886,33.77
2026-02-26T06:15:00+00:00,10.28,-3.164,10.204,33.822
2026-02-26T06:20:00+00:00,10.659,-3.014,10.637,33.854
2026-02-26T06:25:00+00:00,10.728,-2.892,10.787,33.798
2026-02-26T06:30:00+00:00,10.811,-2.864,10.848,33.754
2026-02-26T06:35:00+00:00,11.435,-2.792,11.474,33.656
2026-02-26T06:40:00+00:00,11.746,-2.649,11.861,33.53
2026-02-26T06:45:00+00:00,12.164,-2.618,12.318,33.598
2026-02-26T06:50:00+00:00,12.658,-2.488,12.856,33.596
2026-02-26T06:55:00+00:00,12.864,-2.463,13.064,33.56
2026-02-26T07:00:00+00:00,13.061,-2.452,13.142,33.756
2026-02-26T07:05:00+00:00,13.344,-2.555,13.469,33.854
2026-02-26T07:10:00+00:00,12.974,-2.271,13.064,33.727
2026-02-26T07:15:00+00:00,12.342,-2.212,12.544,33.798
2026-02-26T07:20:00+00:00,11.891,-2.042,12.31,34.025
2026-02-26T07:25:00+00:00,11.968,-1.977,12.384,33.982
2026-02-26T07:30:00+00:00,11.69,-1.664,12.104,33.893
2026-02-26T07:35:00+00:00,11.942,-1.686,12.347,33.794
2026-02-26T07:40:00+00:00,12.215,-1.49,12.66,33.792
2026-02-26T07:45:00+00:00,12.284,-1.424,12.736,33.795
2026-02-26T07:50:00+00:00,12.413,-1.323,12.869,33.798
2026-02-26T07:55:00+00:00,12.352,-1.352,12.844,33.857
2026-02-26T08:00:00+00:00,12.082,-1.362,12.544,33.811
2026-02-26T08:05:00+00:00,12.406,-1.318,12.846,33.729
2026-02-26T08:10:00+00:00,13.005,-1.356,13.404,33.774
2026-02-26T08:15:00+00:00,13.24,-1.253,13.804,34.064
2026-02-26T08:20:00+00:00,13.064,-1.14,13.636,34.037
2026-02-26T08:25:00+00:00,12.946,-1.006,13.485,33.992
2026-02-26T08:30:00+00:00,13.388,-1.058,13.957,34.002
2026-02-26T08:35:00+00:00,13.861,-1.082,14.464,34.024
2026-02-26T08:40:00+00:00,13.361,-0.918,13.944,34.006
2026-02-26T08:45:00+00:00,13.138,-1.12,13.691,33.982
2026-02-26T08:50:00+00:00,13.01,-0.99,13.532,33.924
2026-02-26T08:55:00+00:00,12.996,-0.916,13.55,33.912
2026-02-26T09:00:00+00:00,12.619,-0.916,13.126,33.899
2026-02-26T09:05:00+00:00,12.441,-0.914,12.956,33.908
2026-02-26T09:10:00+00:00,12.118,-0.784,12.622,33.922
2026-02-26T09:15:00+00:00,11.874,-0.87,12.396,33.945
2026-02-26T09:20:00+00:00,11.911,-0.894,12.437,33.99
2026-02-26T09:25:00+00:00,12.362,-0.766,12.918,33.952
2026-02-26T09:30:00+00:00,12.822,-0.776,13.396,34.0
2026-02-26T09:35:00+00:00,12.874,-0.818,13.446,34.014
2026-02-26T09:40:00+00:00,13.004,-0.82,13.601,34.022
