ValueDate,MVA,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,3.125,0.812,2.913,11.109
2026-02-26T00:10:00+00:00,2.487,0.41,2.339,11.106
2026-02-26T00:15:00+00:00,0.906,0.348,0.865,11.1
2026-02-26T00:20:00+00:00,0.919,0.343,0.867,11.1
2026-02-26T00:25:00+00:00,2.17,0.672,2.099,11.095
2026-02-26T00:30:00+00:00,3.378,1.064,3.267,11.095
2026-02-26T00:35:00+00:00,3.343,0.999,3.208,11.044
2026-02-26T00:40:00+00:00,3.667,1.099,3.521,11.008
2026-02-26T00:45:00+00:00,3.794,1.234,3.623,10.998
2026-02-26T00:50:00+00:00,2.331,0.146,2.202,11.098
2026-02-26T00:55:00+00:00,1.403,0.153,1.262,11.114
2026-02-26T01:00:00+00:00,1.287,0.411,1.241,11.098
2026-02-26T01:05:00+00:00,1.71,0.106,1.558,11.116
2026-02-26T01:10:00+00:00,1.318,-0.192,1.062,11.137
2026-02-26T01:15:00+00:00,0.973,0.357,0.935,11.1
2026-02-26T01:20:00+00:00,0.948,0.357,0.894,11.1
2026-02-26T01:25:00+00:00,1.57,0.502,1.475,11.082
2026-02-26T01:30:00+00:00,2.701,0.63,2.663,11.1
2026-02-26T01:35:00+00:00,2.962,0.794,2.88,11.057
2026-02-26T01:40:00+00:00,3.528,1.104,3.385,11.0
2026-02-26T01:45:00+00:00,3.454,1.123,3.304,11.017
2026-02-26T01:50:00+00:00,1.93,-0.229,1.633,11.146
2026-02-26T01:55:00+00:00,2.237,1.103,1.796,11.062
2026-02-26T02:00:00+00:00,3.537,1.186,3.372,11.079
2026-02-26T02:05:00+00:00,3.434,1.162,3.27,11.043
2026-02-26T02:10:00+00:00,3.462,1.162,3.288,11.061
2026-02-26T02:15:00+00:00,2.962,0.585,2.809,11.118
2026-02-26T02:20:00+00:00,1.082,0.135,0.937,11.126
2026-02-26T02:25:00+00:00,2.443,0.645,2.264,11.117
2026-02-26T02:30:00+00:00,2.48,1.017,1.952,11.092
2026-02-26T02:35:00+00:00,3.924,1.585,3.531,11.057
2026-02-26T02:40:00+00:00,3.792,1.278,3.653,11.085
2026-02-26T02:45:00+00:00,3.997,1.249,3.93,11.091
2026-02-26T02:50:00+00:00,3.638,1.099,3.529,11.097
2026-02-26T02:55:00+00:00,3.8,1.295,3.623,11.099
2026-02-26T03:00:00+00:00,3.639,1.143,3.431,11.099
2026-02-26T03:05:00+00:00,3.578,1.172,3.448,11.1
2026-02-26T03:10:00+00:00,3.348,1.111,3.206,11.1
2026-02-26T03:15:00+00:00,3.523,1.195,3.338,11.1
2026-02-26T03:20:00+00:00,3.559,1.187,3.356,11.1
2026-02-26T03:25:00+00:00,3.402,1.166,3.267,11.1
2026-02-26T03:30:00+00:00,3.173,0.895,3.083,11.1
2026-02-26T03:35:00+00:00,2.226,0.026,1.991,11.182
2026-02-26T03:40:00+00:00,0.832,0.284,0.813,11.2
2026-02-26T03:45:00+00:00,0.77,0.266,0.749,11.2
2026-02-26T03:50:00+00:00,0.775,0.268,0.759,11.2
2026-02-26T03:55:00+00:00,0.768,0.265,0.749,11.2
2026-02-26T04:00:00+00:00,0.804,0.268,0.761,11.2
2026-02-26T04:05:00+00:00,0.765,0.266,0.752,11.2
2026-02-26T04:10:00+00:00,0.775,0.264,0.755,11.2
2026-02-26T04:15:00+00:00,1.437,0.466,1.171,11.174
2026-02-26T04:20:00+00:00,2.26,0.334,2.281,11.195
2026-02-26T04:25:00+00:00,2.594,0.547,2.547,11.127
2026-02-26T04:30:00+00:00,2.477,0.481,2.46,11.162
2026-02-26T04:35:00+00:00,3.355,1.114,3.229,11.1
2026-02-26T04:40:00+00:00,3.316,1.051,3.222,11.1
2026-02-26T04:45:00+00:00,3.246,1.01,3.135,11.1
2026-02-26T04:50:00+00:00,3.345,1.1,3.235,11.1
2026-02-26T04:55:00+00:00,3.312,1.081,3.188,11.1
2026-02-26T05:00:00+00:00,3.261,1.006,3.165,11.1
2026-02-26T05:05:00+00:00,3.376,1.063,3.228,11.071
2026-02-26T05:10:00+00:00,3.27,1.007,3.187,11.079
2026-02-26T05:15:00+00:00,3.212,0.917,3.141,11.085
2026-02-26T05:20:00+00:00,3.444,1.159,3.322,11.048
2026-02-26T05:25:00+00:00,3.421,1.088,3.277,11.006
2026-02-26T05:30:00+00:00,3.11,0.71,2.852,11.047
2026-02-26T05:35:00+00:00,1.056,0.238,0.932,11.11
2026-02-26T05:40:00+00:00,0.947,0.361,0.87,11.1
