ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,169.519,9.768,2.734,-8.7,33.308
2026-02-26T00:10:00+00:00,175.887,10.15,2.655,-9.142,33.3
2026-02-26T00:15:00+00:00,178.835,10.322,2.683,-9.326,33.3
2026-02-26T00:20:00+00:00,173.828,10.017,2.747,-9.03,33.3
2026-02-26T00:25:00+00:00,172.988,9.968,2.854,-8.958,33.302
2026-02-26T00:30:00+00:00,172.203,9.944,2.76,-9.004,33.356
2026-02-26T00:35:00+00:00,181.543,10.469,2.59,-9.508,33.29
2026-02-26T00:40:00+00:00,187.902,10.806,2.514,-9.876,33.21
2026-02-26T00:45:00+00:00,185.656,10.666,2.573,-9.722,33.2
2026-02-26T00:50:00+00:00,186.864,10.742,2.588,-9.776,33.167
2026-02-26T00:55:00+00:00,185.513,10.662,2.61,-9.728,33.167
2026-02-26T01:00:00+00:00,185.212,10.642,2.651,-9.706,33.201
2026-02-26T01:05:00+00:00,191.747,11.016,2.642,-10.053,33.21
2026-02-26T01:10:00+00:00,194.977,11.202,2.66,-10.28,33.216
2026-02-26T01:15:00+00:00,196.466,11.302,2.596,-10.37,33.216
2026-02-26T01:20:00+00:00,194.718,11.22,2.657,-10.295,33.25
2026-02-26T01:25:00+00:00,194.142,11.195,2.664,-10.219,33.281
2026-02-26T01:30:00+00:00,194.162,11.206,2.702,-10.198,33.3
2026-02-26T01:35:00+00:00,194.968,11.235,2.822,-10.2,33.274
2026-02-26T01:40:00+00:00,194.243,11.192,2.804,-10.119,33.258
2026-02-26T01:45:00+00:00,193.23,11.14,2.851,-10.066,33.294
2026-02-26T01:50:00+00:00,190.885,11.012,2.888,-9.918,33.3
2026-02-26T01:55:00+00:00,190.285,10.972,2.932,-9.862,33.325
2026-02-26T02:00:00+00:00,189.447,10.961,2.893,-9.856,33.378
2026-02-26T02:05:00+00:00,188.408,10.864,2.812,-9.741,33.305
2026-02-26T02:10:00+00:00,186.986,10.796,2.888,-9.656,33.3
2026-02-26T02:15:00+00:00,186.498,10.755,2.827,-9.619,33.328
2026-02-26T02:20:00+00:00,189.755,10.962,2.811,-9.855,33.33
2026-02-26T02:25:00+00:00,187.312,10.82,2.834,-9.664,33.36
2026-02-26T02:30:00+00:00,184.551,10.658,2.948,-9.529,33.372
2026-02-26T02:35:00+00:00,182.392,10.535,2.888,-9.378,33.386
2026-02-26T02:40:00+00:00,182.575,10.566,2.943,-9.394,33.4
2026-02-26T02:45:00+00:00,181.332,10.491,2.911,-9.308,33.421
2026-02-26T02:50:00+00:00,176.998,10.265,3.016,-9.17,33.421
2026-02-26T02:55:00+00:00,172.056,9.902,3.03,-9.171,33.203
2026-02-26T03:00:00+00:00,169.204,9.734,3.077,-9.058,33.218
2026-02-26T03:05:00+00:00,167.146,9.604,2.924,-8.979,33.186
2026-02-26T03:10:00+00:00,166.738,9.581,2.931,-8.949,33.148
2026-02-26T03:15:00+00:00,165.762,9.521,3.015,-8.829,33.195
2026-02-26T03:20:00+00:00,162.726,9.362,3.125,-8.646,33.2
2026-02-26T03:25:00+00:00,163.121,9.386,3.054,-8.698,33.208
2026-02-26T03:30:00+00:00,165.819,9.52,3.006,-8.844,33.2
2026-02-26T03:35:00+00:00,169.144,9.73,3.098,-8.928,33.192
2026-02-26T03:40:00+00:00,164.731,9.474,3.096,-8.665,33.2
