ValueDate,Amps,MVA,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,291.18,16.952,4.942,-16.132,33.654
2026-02-26T00:10:00+00:00,292.123,17.004,5.103,-16.172,33.604
2026-02-26T00:15:00+00:00,292.498,16.992,5.006,-16.146,33.564
2026-02-26T00:20:00+00:00,291.816,16.936,5.068,-16.142,33.567
2026-02-26T00:25:00+00:00,289.533,16.847,5.124,-16.004,33.604
2026-02-26T00:30:00+00:00,286.987,16.742,5.103,-15.87,33.687
2026-02-26T00:35:00+00:00,291.493,16.914,4.94,-16.072,33.562
2026-02-26T00:40:00+00:00,294.882,17.076,4.889,-16.324,33.474
2026-02-26T00:45:00+00:00,297.09,17.225,4.951,-16.468,33.425
2026-02-26T00:50:00+00:00,296.062,17.14,4.944,-16.352,33.424
2026-02-26T00:55:00+00:00,295.277,17.096,4.944,-16.331,33.407
2026-02-26T01:00:00+00:00,293.202,17.027,4.991,-16.236,33.463
2026-02-26T01:05:00+00:00,296.253,17.156,4.947,-16.334,33.477
2026-02-26T01:10:00+00:00,294.102,17.063,4.928,-16.206,33.488
2026-02-26T01:15:00+00:00,292.557,16.982,4.959,-16.166,33.509
2026-02-26T01:20:00+00:00,291.955,16.949,5.036,-16.144,33.555
2026-02-26T01:25:00+00:00,291.425,16.906,5.104,-16.05,33.59
2026-02-26T01:30:00+00:00,286.818,16.692,5.104,-15.881,33.61
2026-02-26T01:35:00+00:00,285.898,16.687,5.094,-15.825,33.582
2026-02-26T01:40:00+00:00,284.71,16.606,5.137,-15.729,33.594
2026-02-26T01:45:00+00:00,282.562,16.479,5.15,-15.599,33.618
2026-02-26T01:50:00+00:00,280.028,16.374,5.145,-15.48,33.648
2026-02-26T01:55:00+00:00,278.797,16.278,5.098,-15.465,33.683
2026-02-26T02:00:00+00:00,276.341,16.16,5.124,-15.253,33.748
2026-02-26T02:05:00+00:00,277.191,16.142,5.076,-15.255,33.671
2026-02-26T02:10:00+00:00,276.882,16.142,5.081,-15.279,33.668
2026-02-26T02:15:00+00:00,276.454,16.099,5.136,-15.184,33.697
2026-02-26T02:20:00+00:00,274.691,16.08,5.109,-15.16,33.694
2026-02-26T02:25:00+00:00,273.498,15.965,5.128,-15.036,33.737
2026-02-26T02:30:00+00:00,271.069,15.814,5.088,-14.916,33.732
2026-02-26T02:35:00+00:00,271.158,15.823,5.126,-14.994,33.75
2026-02-26T02:40:00+00:00,270.992,15.842,4.914,-14.864,33.792
2026-02-26T02:45:00+00:00,269.808,15.814,4.461,-14.815,33.804
2026-02-26T02:50:00+00:00,267.58,15.638,4.762,-14.596,33.695
2026-02-26T02:55:00+00:00,268.184,15.436,5.616,-14.33,33.35
2026-02-26T03:00:00+00:00,268.19,15.468,5.53,-14.407,33.348
2026-02-26T03:05:00+00:00,268.138,15.44,5.446,-14.302,33.31
2026-02-26T03:10:00+00:00,266.924,15.384,5.43,-14.317,33.282
2026-02-26T03:15:00+00:00,265.032,15.284,5.499,-14.18,33.3
2026-02-26T03:20:00+00:00,265.167,15.274,5.533,-14.137,33.307
2026-02-26T03:25:00+00:00,265.258,15.279,5.567,-14.192,33.365
2026-02-26T03:30:00+00:00,263.212,15.244,5.544,-14.114,33.374
2026-02-26T03:35:00+00:00,262.224,15.148,5.531,-14.012,33.392
2026-02-26T03:40:00+00:00,261.807,15.106,5.516,-13.962,33.396
2026-02-26T03:45:00+00:00,262.27,15.138,5.492,-14.052,33.4
2026-02-26T03:50:00+00:00,261.984,15.168,5.563,-14.045,33.424
2026-02-26T03:55:00+00:00,259.86,15.09,5.543,-13.977,33.433
2026-02-26T04:00:00+00:00,262.189,15.16,5.475,-14.034,33.456
2026-02-26T04:05:00+00:00,262.256,15.146,5.516,-14.002,33.309
2026-02-26T04:10:00+00:00,262.179,15.134,5.55,-14.057,33.3
2026-02-26T04:15:00+00:00,263.406,15.204,5.563,-14.09,33.3
2026-02-26T04:20:00+00:00,262.151,15.078,5.466,-13.978,33.292
2026-02-26T04:25:00+00:00,262.4,15.16,5.415,-14.09,33.3
2026-02-26T04:30:00+00:00,265.294,15.265,5.453,-14.174,33.307
2026-02-26T04:35:00+00:00,265.95,15.336,5.406,-14.31,33.326
2026-02-26T04:40:00+00:00,265.226,15.322,5.472,-14.247,33.322
2026-02-26T04:45:00+00:00,265.267,15.321,5.475,-14.236,33.35
2026-02-26T04:50:00+00:00,267.27,15.385,5.443,-14.305,33.341
2026-02-26T04:55:00+00:00,268.182,15.458,5.441,-14.384,33.344
2026-02-26T05:00:00+00:00,270.244,15.596,5.409,-14.58,33.308
2026-02-26T05:05:00+00:00,271.64,15.63,5.282,-14.633,33.172
2026-02-26T05:10:00+00:00,271.078,15.593,5.086,-14.652,33.1
2026-02-26T05:15:00+00:00,273.121,15.674,5.087,-14.764,33.1
2026-02-26T05:20:00+00:00,274.007,15.741,5.12,-14.817,33.1
2026-02-26T05:25:00+00:00,273.133,15.655,5.164,-14.748,33.067
2026-02-26T05:30:00+00:00,272.388,15.584,5.095,-14.654,33.054
2026-02-26T05:35:00+00:00,276.952,15.804,5.173,-14.92,33.014
2026-02-26T05:40:00+00:00,274.783,15.789,5.14,-14.844,33.083
2026-02-26T05:45:00+00:00,276.66,15.806,5.084,-14.901,33.078
2026-02-26T05:50:00+00:00,281.274,16.056,4.964,-15.181,33.007
2026-02-26T05:55:00+00:00,287.393,16.39,4.921,-15.584,32.984
2026-02-26T06:00:00+00:00,290.928,16.583,4.892,-15.778,32.926
2026-02-26T06:05:00+00:00,302.053,17.302,4.47,-16.648,33.124
2026-02-26T06:10:00+00:00,309.986,17.824,4.466,-17.196,33.189
2026-02-26T06:15:00+00:00,315.944,18.214,4.421,-17.574,33.335
2026-02-26T06:20:00+00:00,320.716,18.481,4.368,-17.902,33.354
2026-02-26T06:25:00+00:00,323.732,18.66,4.28,-18.106,33.302
2026-02-26T06:30:00+00:00,331.998,19.137,4.254,-18.575,33.303
2026-02-26T06:35:00+00:00,340.806,19.602,4.148,-19.11,33.26
2026-02-26T06:40:00+00:00,349.046,20.075,3.988,-19.583,33.192
2026-02-26T06:45:00+00:00,352.006,20.312,3.936,-19.854,33.318
2026-02-26T06:50:00+00:00,357.416,20.606,3.912,-20.17,33.32
2026-02-26T06:55:00+00:00,361.074,20.8,3.81,-20.354,33.284
2026-02-26T07:00:00+00:00,362.993,20.872,3.772,-20.45,33.21
2026-02-26T07:05:00+00:00,371.26,21.324,3.694,-20.918,33.204
2026-02-26T07:10:00+00:00,381.103,21.806,3.628,-21.404,33.061
2026-02-26T07:15:00+00:00,385.573,22.065,3.896,-21.655,33.056
2026-02-26T07:20:00+00:00,390.143,22.478,3.793,-22.08,33.273
2026-02-26T07:25:00+00:00,394.114,22.674,3.705,-22.276,33.221
2026-02-26T07:30:00+00:00,401.601,23.046,3.602,-22.677,33.132
2026-02-26T07:35:00+00:00,404.272,23.135,3.52,-22.769,33.025
2026-02-26T07:40:00+00:00,405.442,23.228,3.398,-22.909,33.094
2026-02-26T07:45:00+00:00,406.07,23.311,3.426,-22.962,33.138
2026-02-26T07:50:00+00:00,406.763,23.342,3.417,-22.993,33.138
2026-02-26T07:55:00+00:00,408.552,23.436,3.333,-23.092,33.147
2026-02-26T08:00:00+00:00,406.521,23.31,3.401,-22.989,33.109
2026-02-26T08:05:00+00:00,409.722,23.43,3.28,-23.08,33.009
2026-02-26T08:10:00+00:00,414.4,23.686,3.269,-23.355,33.01
2026-02-26T08:15:00+00:00,414.773,23.77,3.26,-23.44,33.079
2026-02-26T08:20:00+00:00,413.464,23.662,3.262,-23.354,33.062
2026-02-26T08:25:00+00:00,410.556,23.492,3.289,-23.175,33.028
2026-02-26T08:30:00+00:00,412.916,23.643,3.254,-23.342,33.066
2026-02-26T08:35:00+00:00,412.763,23.644,3.261,-23.346,33.08
2026-02-26T08:40:00+00:00,412.666,23.622,3.277,-23.301,33.056
2026-02-26T08:45:00+00:00,410.283,23.464,3.333,-23.167,33.019
2026-02-26T08:50:00+00:00,409.329,23.382,3.323,-23.07,33.005
2026-02-26T08:55:00+00:00,411.186,23.482,3.29,-23.154,32.986
2026-02-26T09:00:00+00:00,414.554,23.675,3.248,-23.351,32.981
2026-02-26T09:05:00+00:00,416.778,23.806,3.218,-23.493,32.996
2026-02-26T09:10:00+00:00,418.968,23.962,3.163,-23.678,33.008
2026-02-26T09:15:00+00:00,423.737,24.212,3.091,-23.912,32.996
2026-02-26T09:20:00+00:00,425.623,24.308,3.066,-24.036,33.004
2026-02-26T09:25:00+00:00,424.208,24.263,3.152,-23.958,33.022
2026-02-26T09:30:00+00:00,429.382,24.54,3.069,-24.296,33.014
2026-02-26T09:35:00+00:00,430.804,24.648,3.097,-24.355,33.054
2026-02-26T09:40:00+00:00,429.304,24.582,3.14,-24.302,33.056
2026-02-26T09:45:00+00:00,426.562,24.444,3.252,-24.124,33.1
2026-02-26T09:50:00+00:00,426.476,24.426,3.204,-24.118,33.082
2026-02-26T09:55:00+00:00,427.205,24.481,3.2,-24.175,33.082
2026-02-26T10:00:00+00:00,429.607,24.624,3.157,-24.337,33.08
2026-02-26T10:05:00+00:00,432.94,24.762,3.184,-24.506,33.034
2026-02-26T10:10:00+00:00,435.539,24.909,3.174,-24.63,33.035
2026-02-26T10:15:00+00:00,438.336,25.098,3.07,-24.828,33.067
2026-02-26T10:20:00+00:00,436.63,25.005,3.098,-24.73,33.055
