ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-26T00:05:00+00:00,201.86,0.411,-3.696,11.204
2026-02-26T00:10:00+00:00,203.004,0.4,-3.682,11.165
2026-02-26T00:15:00+00:00,201.098,0.392,-3.658,11.11
2026-02-26T00:20:00+00:00,201.099,0.675,-3.652,11.153
2026-02-26T00:25:00+00:00,200.471,0.707,-3.653,11.252
2026-02-26T00:30:00+00:00,198.65,0.521,-3.619,11.312
2026-02-26T00:35:00+00:00,199.446,0.387,-3.64,11.238
2026-02-26T00:40:00+00:00,200.172,0.379,-3.657,11.208
2026-02-26T00:45:00+00:00,200.884,0.375,-3.658,11.206
2026-02-26T00:50:00+00:00,199.902,0.382,-3.628,11.184
2026-02-26T00:55:00+00:00,198.658,0.388,-3.589,11.172
2026-02-26T01:00:00+00:00,197.236,0.408,-3.568,11.189
2026-02-26T01:05:00+00:00,196.833,0.402,-3.58,11.206
2026-02-26T01:10:00+00:00,195.216,0.394,-3.543,11.217
2026-02-26T01:15:00+00:00,192.904,0.396,-3.506,11.214
2026-02-26T01:20:00+00:00,192.194,0.383,-3.493,11.221
2026-02-26T01:25:00+00:00,190.936,0.38,-3.473,11.235
2026-02-26T01:30:00+00:00,189.9,0.382,-3.423,11.244
2026-02-26T01:35:00+00:00,189.084,0.383,-3.423,11.246
2026-02-26T01:40:00+00:00,185.618,0.394,-3.344,11.263
2026-02-26T01:45:00+00:00,185.026,0.393,-3.349,11.267
2026-02-26T01:50:00+00:00,183.122,0.383,-3.312,11.263
2026-02-26T01:55:00+00:00,182.44,0.387,-3.298,11.26
2026-02-26T02:00:00+00:00,181.269,0.376,-3.279,11.292
2026-02-26T02:05:00+00:00,181.241,0.38,-3.279,11.283
2026-02-26T02:10:00+00:00,180.363,0.374,-3.257,11.258
2026-02-26T02:15:00+00:00,178.344,0.379,-3.218,11.27
2026-02-26T02:20:00+00:00,177.434,0.376,-3.196,11.252
2026-02-26T02:25:00+00:00,175.228,0.374,-3.161,11.264
2026-02-26T02:30:00+00:00,173.239,0.384,-3.095,11.266
2026-02-26T02:35:00+00:00,172.182,0.386,-3.097,11.262
2026-02-26T02:40:00+00:00,170.085,0.394,-3.066,11.291
2026-02-26T02:45:00+00:00,169.906,0.389,-3.062,11.281
2026-02-26T02:50:00+00:00,169.261,0.387,-3.061,11.292
2026-02-26T02:55:00+00:00,168.914,0.382,-3.058,11.306
2026-02-26T03:00:00+00:00,169.39,0.383,-3.06,11.321
2026-02-26T03:05:00+00:00,169.674,0.391,-3.038,11.322
2026-02-26T03:10:00+00:00,169.205,0.391,-3.037,11.295
2026-02-26T03:15:00+00:00,166.98,0.39,-3.026,11.322
2026-02-26T03:20:00+00:00,166.025,0.382,-2.999,11.321
2026-02-26T03:25:00+00:00,165.399,0.397,-2.991,11.343
2026-02-26T03:30:00+00:00,164.513,0.408,-2.954,11.336
2026-02-26T03:35:00+00:00,162.863,0.396,-2.922,11.336
2026-02-26T03:40:00+00:00,162.452,0.414,-2.92,11.344
2026-02-26T03:45:00+00:00,161.922,0.471,-2.907,11.339
2026-02-26T03:50:00+00:00,161.956,0.558,-2.908,11.349
2026-02-26T03:55:00+00:00,161.821,0.672,-2.868,11.291
2026-02-26T04:00:00+00:00,162.291,0.535,-2.882,11.301
2026-02-26T04:05:00+00:00,159.922,0.394,-2.856,11.242
2026-02-26T04:10:00+00:00,161.623,0.394,-2.88,11.227
2026-02-26T04:15:00+00:00,161.552,0.393,-2.859,11.226
2026-02-26T04:20:00+00:00,161.047,0.392,-2.85,11.228
2026-02-26T04:25:00+00:00,160.347,0.39,-2.858,11.224
2026-02-26T04:30:00+00:00,159.46,0.397,-2.833,11.229
2026-02-26T04:35:00+00:00,161.597,0.39,-2.885,11.231
2026-02-26T04:40:00+00:00,162.439,0.384,-2.904,11.23
2026-02-26T04:45:00+00:00,163.351,0.386,-2.912,11.241
2026-02-26T04:50:00+00:00,162.904,0.386,-2.896,11.246
2026-02-26T04:55:00+00:00,163.884,0.403,-2.91,11.268
2026-02-26T05:00:00+00:00,165.176,0.39,-2.937,11.262
2026-02-26T05:05:00+00:00,165.082,0.368,-2.925,11.223
2026-02-26T05:10:00+00:00,164.211,0.383,-2.9,11.203
2026-02-26T05:15:00+00:00,164.168,0.4,-2.918,11.206
2026-02-26T05:20:00+00:00,162.007,0.384,-2.912,11.221
2026-02-26T05:25:00+00:00,162.954,0.388,-2.899,11.208
2026-02-26T05:30:00+00:00,162.442,0.406,-2.887,11.206
2026-02-26T05:35:00+00:00,165.407,0.405,-2.939,11.194
2026-02-26T05:40:00+00:00,166.552,0.411,-2.958,11.196
