ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-26T00:05:00+00:00,54.027,0.652,-1.579,33.689
2026-02-26T00:10:00+00:00,51.13,0.532,-1.338,33.546
2026-02-26T00:15:00+00:00,52.421,0.573,-1.25,33.392
2026-02-26T00:20:00+00:00,56.31,0.634,-1.516,33.358
2026-02-26T00:25:00+00:00,55.544,0.568,-1.439,33.493
2026-02-26T00:30:00+00:00,55.444,0.61,-1.407,33.652
2026-02-26T00:35:00+00:00,52.744,0.523,-0.992,33.558
2026-02-26T00:40:00+00:00,51.669,0.5,-0.73,33.481
2026-02-26T00:45:00+00:00,53.02,0.45,-0.82,33.466
2026-02-26T00:50:00+00:00,52.277,0.479,-0.893,33.416
2026-02-26T00:55:00+00:00,51.562,0.476,-0.906,33.413
2026-02-26T01:00:00+00:00,51.668,0.528,-0.808,33.461
2026-02-26T01:05:00+00:00,52.229,0.536,-1.008,33.504
2026-02-26T01:10:00+00:00,51.57,0.49,-0.79,33.5
2026-02-26T01:15:00+00:00,50.871,0.465,-0.704,33.492
2026-02-26T01:20:00+00:00,53.106,0.506,-0.94,33.503
2026-02-26T01:25:00+00:00,55.958,0.674,-1.407,33.572
2026-02-26T01:30:00+00:00,54.705,0.636,-1.208,33.587
2026-02-26T01:35:00+00:00,56.276,0.735,-1.307,33.594
2026-02-26T01:40:00+00:00,52.874,0.599,-0.942,33.614
2026-02-26T01:45:00+00:00,52.028,0.561,-0.797,33.636
2026-02-26T01:50:00+00:00,51.255,0.588,-0.626,33.569
2026-02-26T01:55:00+00:00,49.308,0.64,-0.5,33.534
2026-02-26T02:00:00+00:00,50.306,0.658,-0.629,33.596
2026-02-26T02:05:00+00:00,50.852,0.632,-0.703,33.588
2026-02-26T02:10:00+00:00,52.537,0.673,-0.698,33.595
2026-02-26T02:15:00+00:00,52.39,0.671,-0.848,33.587
2026-02-26T02:20:00+00:00,56.709,0.81,-1.428,33.528
2026-02-26T02:25:00+00:00,53.838,0.764,-1.052,33.562
2026-02-26T02:30:00+00:00,50.067,0.598,-0.442,33.548
2026-02-26T02:35:00+00:00,51.066,0.628,-0.542,33.547
2026-02-26T02:40:00+00:00,51.815,0.671,-0.562,33.612
2026-02-26T02:45:00+00:00,50.78,0.631,-0.288,33.61
2026-02-26T02:50:00+00:00,49.672,0.584,-0.374,33.682
2026-02-26T02:55:00+00:00,47.462,0.685,-0.503,33.737
2026-02-26T03:00:00+00:00,47.169,0.63,-0.349,33.766
2026-02-26T03:05:00+00:00,48.062,0.654,-0.371,33.765
2026-02-26T03:10:00+00:00,47.834,0.629,-0.386,33.719
2026-02-26T03:15:00+00:00,43.793,0.676,-0.652,33.811
2026-02-26T03:20:00+00:00,41.751,0.562,-0.337,33.78
2026-02-26T03:25:00+00:00,42.029,0.598,-0.218,33.829
2026-02-26T03:30:00+00:00,41.313,0.564,-0.297,33.832
2026-02-26T03:35:00+00:00,41.616,0.58,-0.385,33.847
2026-02-26T03:40:00+00:00,42.305,0.574,-0.312,33.855
2026-02-26T03:45:00+00:00,40.956,0.587,-0.3,33.868
2026-02-26T03:50:00+00:00,41.322,0.586,-0.34,33.9
2026-02-26T03:55:00+00:00,39.95,0.576,-0.376,33.912
2026-02-26T04:00:00+00:00,43.966,0.586,-0.539,33.799
2026-02-26T04:05:00+00:00,48.624,0.57,-0.486,33.464
2026-02-26T04:10:00+00:00,47.069,0.56,-0.239,33.434
2026-02-26T04:15:00+00:00,45.186,0.621,-0.122,33.452
2026-02-26T04:20:00+00:00,48.71,0.642,-0.294,33.436
2026-02-26T04:25:00+00:00,47.328,0.574,-0.301,33.442
2026-02-26T04:30:00+00:00,47.47,0.64,-0.352,33.46
2026-02-26T04:35:00+00:00,48.466,0.584,-0.309,33.45
2026-02-26T04:40:00+00:00,48.15,0.642,-0.425,33.478
2026-02-26T04:45:00+00:00,51.243,0.946,-1.124,33.553
2026-02-26T04:50:00+00:00,53.675,0.955,-1.293,33.517
2026-02-26T04:55:00+00:00,49.118,0.802,-0.706,33.538
2026-02-26T05:00:00+00:00,49.851,0.786,-0.702,33.513
2026-02-26T05:05:00+00:00,46.957,0.628,-0.333,33.424
2026-02-26T05:10:00+00:00,46.347,0.581,-0.424,33.37
