ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-26T00:05:00+00:00,234.183,0.958,4.359,11.218
2026-02-26T00:10:00+00:00,237.456,0.956,4.349,11.21
2026-02-26T00:15:00+00:00,237.448,0.956,4.339,11.228
2026-02-26T00:20:00+00:00,238.068,0.954,4.33,11.291
2026-02-26T00:25:00+00:00,235.757,0.952,4.32,11.362
2026-02-26T00:30:00+00:00,234.867,0.951,4.31,11.377
2026-02-26T00:35:00+00:00,233.788,0.95,4.3,11.251
2026-02-26T00:40:00+00:00,234.099,0.948,4.291,11.22
2026-02-26T00:45:00+00:00,230.365,0.948,4.281,11.248
2026-02-26T00:50:00+00:00,232.626,0.946,4.272,11.275
2026-02-26T00:55:00+00:00,228.714,0.944,4.262,11.303
2026-02-26T01:00:00+00:00,228.044,0.943,4.252,11.331
2026-02-26T01:05:00+00:00,228.592,0.942,4.242,11.356
2026-02-26T01:10:00+00:00,229.826,0.94,4.232,11.362
2026-02-26T01:15:00+00:00,231.064,0.939,4.223,11.366
2026-02-26T01:20:00+00:00,225.099,0.938,4.214,11.37
2026-02-26T01:25:00+00:00,221.935,0.936,4.208,11.374
2026-02-26T01:30:00+00:00,220.284,0.935,4.206,11.378
2026-02-26T01:35:00+00:00,221.509,0.934,4.203,11.381
2026-02-26T01:40:00+00:00,221.584,0.933,4.201,11.38
2026-02-26T01:45:00+00:00,218.575,0.931,4.2,11.366
2026-02-26T01:50:00+00:00,218.646,0.93,4.236,11.35
2026-02-26T01:55:00+00:00,220.814,0.928,4.308,11.334
2026-02-26T02:00:00+00:00,222.8,0.926,4.363,11.318
2026-02-26T02:05:00+00:00,223.71,0.926,4.357,11.303
2026-02-26T02:10:00+00:00,225.412,0.924,4.346,11.288
2026-02-26T02:15:00+00:00,226.556,0.923,4.336,11.272
2026-02-26T02:20:00+00:00,230.166,0.922,4.325,11.256
2026-02-26T02:25:00+00:00,229.871,0.92,4.314,11.241
2026-02-26T02:30:00+00:00,228.088,0.918,4.304,11.244
2026-02-26T02:35:00+00:00,227.634,0.918,4.292,11.296
2026-02-26T02:40:00+00:00,226.642,0.916,4.282,11.308
2026-02-26T02:45:00+00:00,226.679,0.915,4.272,11.267
2026-02-26T02:50:00+00:00,222.648,0.914,4.26,11.226
2026-02-26T02:55:00+00:00,224.32,0.912,4.249,11.185
2026-02-26T03:00:00+00:00,224.322,0.91,4.24,11.151
2026-02-26T03:05:00+00:00,230.116,0.908,4.236,11.21
2026-02-26T03:10:00+00:00,228.861,0.906,4.243,11.159
2026-02-26T03:15:00+00:00,232.54,0.903,4.25,11.206
2026-02-26T03:20:00+00:00,228.192,0.9,4.257,11.253
2026-02-26T03:25:00+00:00,226.937,0.898,4.264,11.269
2026-02-26T03:30:00+00:00,228.568,0.894,4.27,11.276
2026-02-26T03:35:00+00:00,224.916,0.892,4.278,11.284
