ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-26T00:05:00+00:00,8.99,0.028,0.255,11.102
2026-02-26T00:10:00+00:00,9.05,0.018,0.257,11.067
2026-02-26T00:15:00+00:00,8.342,0.024,0.254,11.036
2026-02-26T00:20:00+00:00,8.904,0.029,0.258,11.032
2026-02-26T00:25:00+00:00,8.52,0.034,0.249,11.054
2026-02-26T00:30:00+00:00,8.97,0.04,0.257,11.084
2026-02-26T00:35:00+00:00,9.07,0.032,0.259,11.056
2026-02-26T00:40:00+00:00,8.791,0.03,0.256,11.04
2026-02-26T00:45:00+00:00,8.728,0.03,0.251,11.039
2026-02-26T00:50:00+00:00,8.8,0.022,0.246,11.034
2026-02-26T00:55:00+00:00,8.961,0.033,0.267,11.029
2026-02-26T01:00:00+00:00,8.882,0.026,0.255,11.04
2026-02-26T01:05:00+00:00,8.851,0.032,0.258,11.04
2026-02-26T01:10:00+00:00,8.732,0.066,0.254,11.041
2026-02-26T01:15:00+00:00,8.742,0.14,0.257,11.042
2026-02-26T01:20:00+00:00,10.636,0.106,0.308,11.046
2026-02-26T01:25:00+00:00,11.024,0.045,0.326,11.056
2026-02-26T01:30:00+00:00,10.385,0.046,0.317,11.063
2026-02-26T01:35:00+00:00,10.03,0.048,0.291,11.067
2026-02-26T01:40:00+00:00,10.388,0.048,0.313,11.072
2026-02-26T01:45:00+00:00,10.232,0.049,0.313,11.074
2026-02-26T01:50:00+00:00,10.301,0.05,0.321,11.074
2026-02-26T01:55:00+00:00,10.332,0.052,0.311,11.072
2026-02-26T02:00:00+00:00,10.017,0.053,0.291,11.082
2026-02-26T02:05:00+00:00,10.492,0.054,0.31,11.072
2026-02-26T02:10:00+00:00,10.294,0.056,0.313,11.058
2026-02-26T02:15:00+00:00,10.98,0.056,0.328,11.065
2026-02-26T02:20:00+00:00,10.607,0.058,0.306,11.055
2026-02-26T02:25:00+00:00,10.248,0.059,0.296,11.066
2026-02-26T02:30:00+00:00,11.106,0.06,0.308,11.062
2026-02-26T02:35:00+00:00,11.122,0.061,0.314,11.06
2026-02-26T02:40:00+00:00,11.378,0.062,0.328,11.072
2026-02-26T02:45:00+00:00,10.568,0.064,0.301,11.072
2026-02-26T02:50:00+00:00,10.543,0.064,0.304,11.078
2026-02-26T02:55:00+00:00,10.47,0.066,0.306,11.081
2026-02-26T03:00:00+00:00,10.671,0.064,0.318,11.086
2026-02-26T03:05:00+00:00,10.669,0.04,0.323,11.086
2026-02-26T03:10:00+00:00,9.86,0.037,0.295,11.078
2026-02-26T03:15:00+00:00,10.15,0.034,0.312,11.092
2026-02-26T03:20:00+00:00,9.958,0.03,0.309,11.097
2026-02-26T03:25:00+00:00,10.078,0.027,0.318,11.108
2026-02-26T03:30:00+00:00,10.268,0.023,0.318,11.112
2026-02-26T03:35:00+00:00,10.108,0.02,0.291,11.11
2026-02-26T03:40:00+00:00,10.604,0.016,0.314,11.112
2026-02-26T03:45:00+00:00,8.926,0.016,0.256,11.119
