ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-26T00:05:00+00:00,113.595,2.52,-4.949,33.414
2026-02-26T00:10:00+00:00,115.243,2.543,-5.066,33.31
2026-02-26T00:15:00+00:00,115.183,2.552,-5.065,33.216
2026-02-26T00:20:00+00:00,114.635,2.568,-5.001,33.202
2026-02-26T00:25:00+00:00,114.884,2.585,-5.04,33.272
2026-02-26T00:30:00+00:00,115.833,2.478,-5.114,33.364
2026-02-26T00:35:00+00:00,120.35,2.443,-5.436,33.272
2026-02-26T00:40:00+00:00,123.829,2.462,-5.69,33.227
2026-02-26T00:45:00+00:00,125.526,2.476,-5.818,33.226
2026-02-26T00:50:00+00:00,124.552,2.492,-5.75,33.196
2026-02-26T00:55:00+00:00,126.616,2.507,-5.837,33.189
2026-02-26T01:00:00+00:00,126.324,2.509,-5.848,33.224
2026-02-26T01:05:00+00:00,128.08,2.466,-5.944,33.228
2026-02-26T01:10:00+00:00,126.438,2.458,-5.879,33.232
2026-02-26T01:15:00+00:00,125.724,2.505,-5.831,33.228
2026-02-26T01:20:00+00:00,123.878,2.492,-5.678,33.252
2026-02-26T01:25:00+00:00,121.635,2.463,-5.53,33.282
2026-02-26T01:30:00+00:00,117.986,2.414,-5.276,33.3
2026-02-26T01:35:00+00:00,115.359,2.431,-5.11,33.306
2026-02-26T01:40:00+00:00,119.962,2.508,-5.392,33.323
2026-02-26T01:45:00+00:00,121.745,2.488,-5.531,33.337
2026-02-26T01:50:00+00:00,119.489,2.46,-5.381,33.326
2026-02-26T01:55:00+00:00,118.203,2.47,-5.307,33.32
2026-02-26T02:00:00+00:00,119.746,2.484,-5.414,33.355
2026-02-26T02:05:00+00:00,121.985,2.46,-5.56,33.318
2026-02-26T02:10:00+00:00,122.002,2.471,-5.548,33.287
2026-02-26T02:15:00+00:00,117.075,2.471,-5.198,33.3
2026-02-26T02:20:00+00:00,115.538,2.516,-5.111,33.278
2026-02-26T02:25:00+00:00,115.734,2.498,-5.166,33.296
2026-02-26T02:30:00+00:00,117.534,2.465,-5.24,33.286
2026-02-26T02:35:00+00:00,117.671,2.504,-5.244,33.288
2026-02-26T02:40:00+00:00,118.72,2.566,-5.318,33.318
2026-02-26T02:45:00+00:00,120.288,2.514,-5.432,33.323
2026-02-26T02:50:00+00:00,118.95,2.508,-5.373,33.344
2026-02-26T02:55:00+00:00,118.596,2.494,-5.392,33.355
2026-02-26T03:00:00+00:00,117.664,2.462,-5.248,33.37
2026-02-26T03:05:00+00:00,117.132,2.443,-5.214,33.363
2026-02-26T03:10:00+00:00,112.084,2.457,-4.882,33.34
2026-02-26T03:15:00+00:00,111.364,2.502,-4.808,33.391
2026-02-26T03:20:00+00:00,111.829,2.502,-4.836,33.397
2026-02-26T03:25:00+00:00,109.756,2.494,-4.706,33.438
2026-02-26T03:30:00+00:00,110.94,2.484,-4.76,33.446
2026-02-26T03:35:00+00:00,109.512,2.47,-4.678,33.439
2026-02-26T03:40:00+00:00,107.702,2.469,-4.532,33.446
2026-02-26T03:45:00+00:00,106.141,2.45,-4.432,33.463
2026-02-26T03:50:00+00:00,105.425,2.493,-4.396,33.49
2026-02-26T03:55:00+00:00,105.744,2.465,-4.436,33.488
