ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-26T00:05:00+00:00,146.746,1.778,-7.565,33.934
2026-02-26T00:10:00+00:00,149.21,2.376,-7.446,33.865
2026-02-26T00:15:00+00:00,149.146,3.035,-7.284,33.793
2026-02-26T00:20:00+00:00,148.062,3.015,-7.259,33.704
2026-02-26T00:25:00+00:00,147.717,2.982,-7.371,33.912
2026-02-26T00:30:00+00:00,147.802,3.026,-7.432,34.165
2026-02-26T00:35:00+00:00,149.831,2.985,-7.482,34.052
2026-02-26T00:40:00+00:00,149.526,3.027,-7.448,33.913
2026-02-26T00:45:00+00:00,149.627,3.002,-7.46,33.95
2026-02-26T00:50:00+00:00,149.041,3.038,-7.422,33.906
2026-02-26T00:55:00+00:00,149.393,2.996,-7.44,33.863
2026-02-26T01:00:00+00:00,149.705,3.026,-7.467,33.93
2026-02-26T01:05:00+00:00,149.934,3.042,-7.476,33.978
2026-02-26T01:10:00+00:00,149.045,3.015,-7.414,34.004
2026-02-26T01:15:00+00:00,147.951,3.002,-7.317,33.977
2026-02-26T01:20:00+00:00,146.258,2.994,-7.274,34.022
2026-02-26T01:25:00+00:00,146.538,3.041,-7.29,34.049
2026-02-26T01:30:00+00:00,145.789,2.994,-7.28,34.075
2026-02-26T01:35:00+00:00,144.595,3.02,-7.226,34.086
2026-02-26T01:40:00+00:00,144.956,3.034,-7.192,34.152
2026-02-26T01:45:00+00:00,145.078,3.126,-7.139,34.161
2026-02-26T01:50:00+00:00,144.26,3.02,-7.12,34.117
2026-02-26T01:55:00+00:00,143.103,3.006,-7.102,34.126
2026-02-26T02:00:00+00:00,143.538,3.029,-7.074,34.165
2026-02-26T02:05:00+00:00,143.322,3.002,-7.034,34.128
2026-02-26T02:10:00+00:00,143.162,3.032,-6.998,34.055
2026-02-26T02:15:00+00:00,141.898,3.029,-6.948,34.113
2026-02-26T02:20:00+00:00,141.86,3.032,-6.926,34.056
2026-02-26T02:25:00+00:00,141.878,3.007,-6.869,34.056
2026-02-26T02:30:00+00:00,140.655,2.981,-6.811,34.056
2026-02-26T02:35:00+00:00,139.85,3.038,-6.867,34.061
2026-02-26T02:40:00+00:00,139.07,2.99,-6.882,34.188
2026-02-26T02:45:00+00:00,138.722,3.064,-6.85,34.114
2026-02-26T02:50:00+00:00,138.704,3.1,-6.796,34.146
2026-02-26T02:55:00+00:00,138.277,3.115,-6.762,34.243
2026-02-26T03:00:00+00:00,138.684,3.092,-6.776,34.29
2026-02-26T03:05:00+00:00,137.266,3.085,-6.646,34.254
2026-02-26T03:10:00+00:00,137.522,3.062,-6.628,34.173
2026-02-26T03:15:00+00:00,137.074,3.122,-6.578,34.29
2026-02-26T03:20:00+00:00,134.332,3.094,-6.611,34.297
2026-02-26T03:25:00+00:00,134.064,2.326,-6.711,34.317
2026-02-26T03:30:00+00:00,133.294,1.694,-6.762,34.212
2026-02-26T03:35:00+00:00,133.674,1.65,-6.799,34.238
2026-02-26T03:40:00+00:00,133.128,1.682,-6.762,34.287
2026-02-26T03:45:00+00:00,133.352,1.69,-6.772,34.238
2026-02-26T03:50:00+00:00,132.104,1.669,-6.702,34.326
2026-02-26T03:55:00+00:00,131.988,1.66,-6.7,34.324
2026-02-26T04:00:00+00:00,131.738,1.66,-6.696,34.442
2026-02-26T04:05:00+00:00,130.73,1.697,-6.61,34.37
2026-02-26T04:10:00+00:00,130.403,1.666,-6.607,34.277
2026-02-26T04:15:00+00:00,130.616,1.676,-6.628,34.254
2026-02-26T04:20:00+00:00,130.363,1.666,-6.61,34.282
2026-02-26T04:25:00+00:00,130.45,1.682,-6.603,34.33
2026-02-26T04:30:00+00:00,130.726,1.665,-6.629,34.311
2026-02-26T04:35:00+00:00,130.354,1.686,-6.609,34.282
2026-02-26T04:40:00+00:00,130.618,1.69,-6.624,34.299
2026-02-26T04:45:00+00:00,130.396,1.777,-6.612,34.366
