ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-26T00:05:00+00:00,199.088,2.642,-10.813,33.572
2026-02-26T00:10:00+00:00,202.369,2.454,-11.008,33.446
2026-02-26T00:15:00+00:00,200.212,2.386,-11.08,33.43
2026-02-26T00:20:00+00:00,197.152,2.286,-11.16,33.531
2026-02-26T00:25:00+00:00,206.821,2.323,-11.776,33.63
2026-02-26T00:30:00+00:00,204.681,2.442,-11.709,33.858
2026-02-26T00:35:00+00:00,196.874,2.263,-11.246,33.748
2026-02-26T00:40:00+00:00,195.644,2.091,-11.18,33.654
2026-02-26T00:45:00+00:00,195.7,2.115,-11.158,33.644
2026-02-26T00:50:00+00:00,205.102,2.21,-11.688,33.616
2026-02-26T00:55:00+00:00,201.577,2.136,-11.484,33.592
2026-02-26T01:00:00+00:00,201.547,2.19,-11.479,33.644
2026-02-26T01:05:00+00:00,244.919,2.496,-14.02,33.65
2026-02-26T01:10:00+00:00,250.036,2.738,-14.274,33.677
2026-02-26T01:15:00+00:00,244.802,2.852,-13.93,33.689
2026-02-26T01:20:00+00:00,241.438,2.994,-13.728,33.725
2026-02-26T01:25:00+00:00,249.1,2.888,-14.195,33.747
2026-02-26T01:30:00+00:00,249.32,2.852,-14.253,33.772
2026-02-26T01:35:00+00:00,249.757,2.834,-14.274,33.796
2026-02-26T01:40:00+00:00,246.196,2.772,-14.075,33.821
2026-02-26T01:45:00+00:00,241.562,2.912,-13.82,33.86
2026-02-26T01:50:00+00:00,237.262,3.014,-13.548,33.84
2026-02-26T01:55:00+00:00,238.682,3.017,-13.598,33.832
2026-02-26T02:00:00+00:00,235.834,2.854,-13.468,33.875
2026-02-26T02:05:00+00:00,239.282,2.877,-13.642,33.822
2026-02-26T02:10:00+00:00,234.492,2.931,-13.323,33.772
2026-02-26T02:15:00+00:00,236.196,2.899,-13.434,33.776
2026-02-26T02:20:00+00:00,234.378,3.028,-13.31,33.76
2026-02-26T02:25:00+00:00,237.64,3.13,-13.491,33.822
2026-02-26T02:30:00+00:00,234.602,2.948,-13.344,33.796
2026-02-26T02:35:00+00:00,239.126,2.932,-13.602,33.773
2026-02-26T02:40:00+00:00,244.148,2.946,-13.939,33.826
2026-02-26T02:45:00+00:00,242.648,2.959,-13.835,33.835
2026-02-26T02:50:00+00:00,240.556,2.956,-13.722,33.858
2026-02-26T02:55:00+00:00,239.228,2.91,-13.645,33.841
2026-02-26T03:00:00+00:00,230.799,2.934,-13.141,33.82
2026-02-26T03:05:00+00:00,180.838,2.681,-10.206,33.824
2026-02-26T03:10:00+00:00,175.542,2.534,-9.89,33.762
2026-02-26T03:15:00+00:00,180.767,2.394,-10.276,33.867
2026-02-26T03:20:00+00:00,183.101,2.394,-10.424,33.902
2026-02-26T03:25:00+00:00,184.627,2.357,-10.539,33.95
2026-02-26T03:30:00+00:00,182.858,2.544,-10.388,33.981
2026-02-26T03:35:00+00:00,180.32,2.762,-10.217,34.0
2026-02-26T03:40:00+00:00,181.864,2.654,-10.326,34.018
2026-02-26T03:45:00+00:00,176.341,2.734,-9.97,34.054
2026-02-26T03:50:00+00:00,180.249,2.673,-10.247,34.082
2026-02-26T03:55:00+00:00,179.037,2.672,-10.178,34.106
2026-02-26T04:00:00+00:00,176.81,2.713,-10.038,34.112
2026-02-26T04:05:00+00:00,171.154,2.768,-9.66,34.031
2026-02-26T04:10:00+00:00,171.162,2.843,-9.627,33.998
2026-02-26T04:15:00+00:00,166.6,2.912,-9.322,34.028
2026-02-26T04:20:00+00:00,164.542,2.834,-9.176,33.987
2026-02-26T04:25:00+00:00,166.996,2.676,-9.376,33.964
2026-02-26T04:30:00+00:00,176.772,2.66,-10.003,34.006
2026-02-26T04:35:00+00:00,168.424,2.492,-9.52,33.952
2026-02-26T04:40:00+00:00,162.566,2.536,-9.18,34.008
2026-02-26T04:45:00+00:00,156.758,2.662,-8.804,34.032
2026-02-26T04:50:00+00:00,158.644,2.76,-8.89,34.02
2026-02-26T04:55:00+00:00,161.768,2.618,-9.104,34.086
2026-02-26T05:00:00+00:00,167.032,2.7,-9.412,34.039
