ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-26T00:05:00+00:00,210.046,0.798,-3.841,11.132
2026-02-26T00:10:00+00:00,209.955,0.873,-3.894,11.12
2026-02-26T00:15:00+00:00,205.45,0.666,-3.878,11.14
2026-02-26T00:20:00+00:00,204.799,0.659,-3.849,11.111
2026-02-26T00:25:00+00:00,203.402,0.617,-3.853,11.177
2026-02-26T00:30:00+00:00,203.376,0.595,-3.911,11.262
2026-02-26T00:35:00+00:00,207.296,0.578,-3.958,11.224
2026-02-26T00:40:00+00:00,212.969,0.593,-4.049,11.175
2026-02-26T00:45:00+00:00,213.755,0.597,-4.07,11.193
2026-02-26T00:50:00+00:00,213.96,0.571,-4.081,11.176
2026-02-26T00:55:00+00:00,216.952,0.568,-4.127,11.157
2026-02-26T01:00:00+00:00,215.291,0.606,-4.104,11.182
2026-02-26T01:05:00+00:00,219.34,0.616,-4.188,11.198
2026-02-26T01:10:00+00:00,219.784,0.626,-4.19,11.204
2026-02-26T01:15:00+00:00,218.95,0.619,-4.172,11.2
2026-02-26T01:20:00+00:00,219.268,0.614,-4.184,11.21
2026-02-26T01:25:00+00:00,217.38,0.612,-4.152,11.221
2026-02-26T01:30:00+00:00,215.109,0.626,-4.112,11.232
2026-02-26T01:35:00+00:00,213.684,0.607,-4.076,11.235
2026-02-26T01:40:00+00:00,212.156,0.615,-4.068,11.254
2026-02-26T01:45:00+00:00,211.455,0.628,-4.064,11.258
2026-02-26T01:50:00+00:00,210.95,0.61,-4.024,11.244
2026-02-26T01:55:00+00:00,209.902,0.61,-4.016,11.249
2026-02-26T02:00:00+00:00,209.784,0.616,-4.02,11.259
2026-02-26T02:05:00+00:00,213.419,0.619,-4.082,11.246
2026-02-26T02:10:00+00:00,212.63,0.629,-4.049,11.22
2026-02-26T02:15:00+00:00,211.248,0.617,-4.044,11.242
2026-02-26T02:20:00+00:00,214.215,0.625,-4.085,11.223
2026-02-26T02:25:00+00:00,214.932,0.603,-4.1,11.222
2026-02-26T02:30:00+00:00,215.791,0.591,-4.118,11.22
2026-02-26T02:35:00+00:00,214.73,0.618,-4.114,11.224
2026-02-26T02:40:00+00:00,213.432,0.623,-4.078,11.272
2026-02-26T02:45:00+00:00,210.99,0.607,-4.033,11.244
2026-02-26T02:50:00+00:00,210.914,0.621,-4.024,11.252
2026-02-26T02:55:00+00:00,207.949,0.621,-3.99,11.288
2026-02-26T03:00:00+00:00,208.067,0.61,-4.004,11.302
2026-02-26T03:05:00+00:00,207.258,0.626,-3.975,11.288
2026-02-26T03:10:00+00:00,205.217,0.607,-3.937,11.266
2026-02-26T03:15:00+00:00,204.897,0.626,-3.943,11.303
2026-02-26T03:20:00+00:00,205.062,0.617,-3.923,11.304
2026-02-26T03:25:00+00:00,205.111,0.596,-3.963,11.332
2026-02-26T03:30:00+00:00,201.484,0.614,-3.884,11.314
2026-02-26T03:35:00+00:00,200.362,0.612,-3.858,11.324
2026-02-26T03:40:00+00:00,201.878,0.621,-3.898,11.34
2026-02-26T03:45:00+00:00,200.038,0.572,-3.85,11.322
2026-02-26T03:50:00+00:00,197.47,0.576,-3.802,11.343
2026-02-26T03:55:00+00:00,203.623,0.586,-3.762,11.262
2026-02-26T04:00:00+00:00,203.892,0.549,-3.776,11.3
2026-02-26T04:05:00+00:00,203.654,0.578,-3.768,11.279
2026-02-26T04:10:00+00:00,202.572,0.602,-3.74,11.244
2026-02-26T04:15:00+00:00,203.09,0.622,-3.748,11.238
2026-02-26T04:20:00+00:00,203.186,0.613,-3.763,11.25
2026-02-26T04:25:00+00:00,201.152,0.6,-3.716,11.262
2026-02-26T04:30:00+00:00,201.438,0.563,-3.716,11.255
