ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-26T00:05:00+00:00,277.049,0.548,-5.3,11.154
2026-02-26T00:10:00+00:00,277.561,0.567,-5.29,11.112
2026-02-26T00:15:00+00:00,280.388,0.542,-5.279,11.114
2026-02-26T00:20:00+00:00,281.012,0.49,-5.256,11.142
2026-02-26T00:25:00+00:00,277.29,0.477,-5.198,11.186
2026-02-26T00:30:00+00:00,279.122,0.422,-5.26,11.232
2026-02-26T00:35:00+00:00,276.216,0.425,-5.196,11.204
2026-02-26T00:40:00+00:00,268.473,0.438,-5.026,11.179
2026-02-26T00:45:00+00:00,268.371,0.484,-5.03,11.177
2026-02-26T00:50:00+00:00,271.266,0.424,-5.078,11.156
2026-02-26T00:55:00+00:00,267.73,0.448,-5.006,11.154
2026-02-26T01:00:00+00:00,269.333,0.481,-5.045,11.174
2026-02-26T01:05:00+00:00,264.624,0.433,-4.961,11.188
2026-02-26T01:10:00+00:00,272.567,0.449,-5.116,11.188
2026-02-26T01:15:00+00:00,255.493,0.45,-4.776,11.189
2026-02-26T01:20:00+00:00,262.941,0.405,-4.937,11.183
2026-02-26T01:25:00+00:00,268.374,0.453,-5.045,11.206
2026-02-26T01:30:00+00:00,261.681,0.495,-4.907,11.218
2026-02-26T01:35:00+00:00,262.238,0.431,-4.921,11.213
2026-02-26T01:40:00+00:00,261.002,0.423,-4.911,11.224
2026-02-26T01:45:00+00:00,252.455,0.474,-4.74,11.234
2026-02-26T01:50:00+00:00,254.078,0.478,-4.76,11.211
2026-02-26T01:55:00+00:00,247.957,0.508,-4.625,11.204
2026-02-26T02:00:00+00:00,246.066,0.482,-4.59,11.221
2026-02-26T02:05:00+00:00,251.418,0.484,-4.702,11.217
2026-02-26T02:10:00+00:00,250.613,0.487,-4.684,11.217
2026-02-26T02:15:00+00:00,256.464,0.444,-4.804,11.211
2026-02-26T02:20:00+00:00,250.066,0.44,-4.658,11.189
2026-02-26T02:25:00+00:00,251.162,0.486,-4.684,11.206
2026-02-26T02:30:00+00:00,258.904,0.404,-4.852,11.198
2026-02-26T02:35:00+00:00,267.38,0.424,-5.018,11.198
