ValueDate,Current Inst,MVA Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-26T00:05:00+00:00,134.448,7.932,-4.507,7.563,33.775
2026-02-26T00:10:00+00:00,142.27,8.345,-4.714,7.927,33.556
2026-02-26T00:15:00+00:00,147.296,8.566,-4.815,8.144,33.248
2026-02-26T00:20:00+00:00,148.029,8.652,-4.862,8.175,33.207
2026-02-26T00:25:00+00:00,150.008,8.745,-4.854,8.323,33.246
2026-02-26T00:30:00+00:00,149.964,8.781,-4.851,8.392,33.334
2026-02-26T00:35:00+00:00,154.602,8.943,-4.91,8.62,33.202
2026-02-26T00:40:00+00:00,158.995,9.187,-5.042,8.835,33.104
2026-02-26T00:45:00+00:00,161.274,9.423,-5.174,8.968,33.068
2026-02-26T00:50:00+00:00,160.153,9.345,-5.164,8.918,33.048
2026-02-26T00:55:00+00:00,160.519,9.25,-5.105,8.936,33.037
2026-02-26T01:00:00+00:00,161.357,9.253,-5.092,8.986,33.077
2026-02-26T01:05:00+00:00,161.406,9.318,-5.111,9.001,33.08
2026-02-26T01:10:00+00:00,159.849,9.271,-5.076,8.848,33.093
2026-02-26T01:15:00+00:00,159.08,9.265,-5.06,8.799,33.101
2026-02-26T01:20:00+00:00,157.946,9.267,-5.094,8.75,33.129
2026-02-26T01:25:00+00:00,157.562,9.226,-5.096,8.76,33.166
2026-02-26T01:30:00+00:00,154.916,9.112,-5.04,8.623,33.194
2026-02-26T01:35:00+00:00,154.176,9.027,-4.986,8.626,33.22
2026-02-26T01:40:00+00:00,153.184,8.957,-4.938,8.584,33.24
2026-02-26T01:45:00+00:00,152.12,8.959,-4.927,8.448,33.268
2026-02-26T01:50:00+00:00,151.885,8.839,-4.854,8.456,33.281
2026-02-26T01:55:00+00:00,152.606,8.936,-4.906,8.48,33.274
2026-02-26T02:00:00+00:00,151.373,8.836,-4.874,8.452,33.348
2026-02-26T02:05:00+00:00,152.269,8.932,-4.931,8.472,33.314
2026-02-26T02:10:00+00:00,152.553,8.922,-4.932,8.48,33.244
2026-02-26T02:15:00+00:00,151.32,8.889,-4.95,8.436,33.258
2026-02-26T02:20:00+00:00,149.824,8.78,-4.904,8.357,33.239
2026-02-26T02:25:00+00:00,149.273,8.773,-4.909,8.255,33.268
2026-02-26T02:30:00+00:00,148.494,8.673,-4.866,8.294,33.268
2026-02-26T02:35:00+00:00,148.088,8.689,-4.883,8.303,33.274
2026-02-26T02:40:00+00:00,146.986,8.67,-4.882,8.185,33.323
2026-02-26T02:45:00+00:00,146.893,8.685,-4.898,8.111,33.326
2026-02-26T02:50:00+00:00,145.841,8.577,-4.852,8.091,33.355
2026-02-26T02:55:00+00:00,143.741,8.525,-4.834,8.077,33.373
2026-02-26T03:00:00+00:00,143.643,8.506,-4.833,7.936,33.4
2026-02-26T03:05:00+00:00,143.448,8.467,-4.753,7.959,33.421
2026-02-26T03:10:00+00:00,141.18,8.354,-4.702,7.84,33.388
2026-02-26T03:15:00+00:00,139.977,8.335,-4.712,7.756,33.442
2026-02-26T03:20:00+00:00,138.482,8.215,-4.672,7.788,33.456
2026-02-26T03:25:00+00:00,137.306,8.163,-4.641,7.733,33.52
2026-02-26T03:30:00+00:00,136.132,8.045,-4.538,7.607,33.537
2026-02-26T03:35:00+00:00,136.432,8.039,-4.556,7.625,33.523
2026-02-26T03:40:00+00:00,134.43,8.019,-4.57,7.526,33.542
2026-02-26T03:45:00+00:00,132.796,7.879,-4.505,7.417,33.552
2026-02-26T03:50:00+00:00,131.544,7.864,-4.474,7.424,33.592
2026-02-26T03:55:00+00:00,131.666,7.76,-4.419,7.306,33.62
2026-02-26T04:00:00+00:00,132.26,7.778,-4.435,7.451,33.704
2026-02-26T04:05:00+00:00,132.507,7.889,-4.484,7.479,33.668
2026-02-26T04:10:00+00:00,132.153,7.89,-4.493,7.46,33.668
2026-02-26T04:15:00+00:00,134.336,7.939,-4.508,7.505,33.663
2026-02-26T04:20:00+00:00,133.08,7.9,-4.49,7.444,33.662
2026-02-26T04:25:00+00:00,129.945,7.776,-4.416,7.317,33.666
2026-02-26T04:30:00+00:00,128.813,7.723,-4.406,7.275,33.678
2026-02-26T04:35:00+00:00,129.125,7.697,-4.39,7.306,33.69
2026-02-26T04:40:00+00:00,128.99,7.733,-4.409,7.295,33.718
2026-02-26T04:45:00+00:00,128.991,7.699,-4.402,7.294,33.781
2026-02-26T04:50:00+00:00,128.921,7.747,-4.42,7.285,33.79
2026-02-26T04:55:00+00:00,129.455,7.756,-4.39,7.309,33.82
2026-02-26T05:00:00+00:00,128.332,7.752,-4.393,7.262,33.816
2026-02-26T05:05:00+00:00,130.931,7.743,-4.404,7.344,33.722
2026-02-26T05:10:00+00:00,131.838,7.863,-4.476,7.448,33.677
2026-02-26T05:15:00+00:00,131.984,7.771,-4.444,7.444,33.688
2026-02-26T05:20:00+00:00,132.22,7.842,-4.495,7.479,33.716
2026-02-26T05:25:00+00:00,130.604,7.757,-4.434,7.287,33.7
2026-02-26T05:30:00+00:00,132.089,7.771,-4.432,7.331,33.69
2026-02-26T05:35:00+00:00,132.129,7.797,-4.434,7.474,33.662
2026-02-26T05:40:00+00:00,132.233,7.882,-4.484,7.46,33.652
2026-02-26T05:45:00+00:00,132.003,7.891,-4.44,7.45,33.658
2026-02-26T05:50:00+00:00,135.304,7.944,-4.416,7.554,33.608
2026-02-26T05:55:00+00:00,137.478,8.065,-4.49,7.647,33.576
2026-02-26T06:00:00+00:00,138.524,8.065,-4.504,7.648,33.522
2026-02-26T06:05:00+00:00,141.324,8.265,-4.558,7.848,33.343
2026-02-26T06:10:00+00:00,145.972,8.457,-4.624,8.092,33.216
2026-02-26T06:15:00+00:00,148.528,8.675,-4.708,8.301,33.254
2026-02-26T06:20:00+00:00,150.014,8.738,-4.716,8.337,33.38
2026-02-26T06:25:00+00:00,149.809,8.804,-4.79,8.451,33.359
