ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-26T00:05:00+00:00,160.198,6.22,-8.334,33.203
2026-02-26T00:10:00+00:00,168.055,6.198,-8.75,33.016
2026-02-26T00:15:00+00:00,171.494,6.16,-8.965,33.119
2026-02-26T00:20:00+00:00,170.574,6.119,-8.952,33.222
2026-02-26T00:25:00+00:00,169.885,6.077,-8.91,33.25
2026-02-26T00:30:00+00:00,168.554,6.036,-8.913,33.317
2026-02-26T00:35:00+00:00,173.336,5.994,-9.172,33.2
2026-02-26T00:40:00+00:00,176.632,5.991,-9.372,33.1
2026-02-26T00:45:00+00:00,176.953,6.041,-9.408,33.169
2026-02-26T00:50:00+00:00,176.302,6.092,-9.346,33.157
2026-02-26T00:55:00+00:00,174.808,6.142,-9.284,33.322
2026-02-26T01:00:00+00:00,173.73,6.191,-9.224,33.374
2026-02-26T01:05:00+00:00,173.098,6.215,-9.18,33.39
2026-02-26T01:10:00+00:00,172.468,6.233,-9.14,33.398
2026-02-26T01:15:00+00:00,172.832,6.251,-9.161,33.402
2026-02-26T01:20:00+00:00,171.917,6.268,-9.142,33.429
2026-02-26T01:25:00+00:00,170.642,6.286,-9.07,33.46
2026-02-26T01:30:00+00:00,169.148,6.304,-9.012,33.484
2026-02-26T01:35:00+00:00,167.824,6.322,-8.922,33.504
2026-02-26T01:40:00+00:00,167.066,6.339,-8.858,33.587
2026-02-26T01:45:00+00:00,166.062,6.357,-8.822,33.586
2026-02-26T01:50:00+00:00,165.074,6.375,-8.785,33.448
2026-02-26T01:55:00+00:00,163.75,6.393,-8.712,33.46
2026-02-26T02:00:00+00:00,162.278,6.41,-8.611,33.5
2026-02-26T02:05:00+00:00,161.466,6.274,-8.595,33.439
2026-02-26T02:10:00+00:00,160.661,6.23,-8.502,33.395
2026-02-26T02:15:00+00:00,159.641,6.264,-8.481,33.392
2026-02-26T02:20:00+00:00,158.592,6.298,-8.434,33.384
2026-02-26T02:25:00+00:00,157.894,6.332,-8.372,33.484
2026-02-26T02:30:00+00:00,157.264,6.365,-8.32,33.466
2026-02-26T02:35:00+00:00,156.634,6.399,-8.262,33.478
2026-02-26T02:40:00+00:00,155.915,6.409,-8.25,33.532
2026-02-26T02:45:00+00:00,154.658,6.381,-8.163,33.55
2026-02-26T02:50:00+00:00,153.507,6.353,-8.068,33.57
2026-02-26T02:55:00+00:00,152.544,6.325,-8.038,33.594
2026-02-26T03:00:00+00:00,153.382,6.296,-8.059,33.616
2026-02-26T03:05:00+00:00,152.66,6.268,-8.07,33.628
2026-02-26T03:10:00+00:00,151.508,6.24,-7.966,33.616
2026-02-26T03:15:00+00:00,150.242,6.212,-7.893,33.652
2026-02-26T03:20:00+00:00,148.9,6.311,-7.806,33.678
2026-02-26T03:25:00+00:00,146.946,6.413,-7.659,33.732
2026-02-26T03:30:00+00:00,145.559,6.398,-7.578,33.706
2026-02-26T03:35:00+00:00,144.942,6.382,-7.626,33.663
2026-02-26T03:40:00+00:00,144.326,6.367,-7.546,33.679
2026-02-26T03:45:00+00:00,144.224,6.351,-7.451,33.706
2026-02-26T03:50:00+00:00,142.676,6.336,-7.368,33.708
2026-02-26T03:55:00+00:00,143.575,6.32,-7.324,33.482
2026-02-26T04:00:00+00:00,142.642,6.304,-7.333,33.228
2026-02-26T04:05:00+00:00,143.61,6.289,-7.375,33.201
2026-02-26T04:10:00+00:00,143.311,6.273,-7.318,33.21
2026-02-26T04:15:00+00:00,142.709,6.258,-7.251,33.218
2026-02-26T04:20:00+00:00,142.116,6.242,-7.211,33.224
2026-02-26T04:25:00+00:00,141.636,6.227,-7.233,33.211
2026-02-26T04:30:00+00:00,141.194,6.211,-7.277,33.224
2026-02-26T04:35:00+00:00,140.752,6.283,-7.197,33.214
2026-02-26T04:40:00+00:00,139.994,6.399,-7.139,33.271
2026-02-26T04:45:00+00:00,139.058,6.353,-7.168,33.344
2026-02-26T04:50:00+00:00,141.099,6.307,-7.238,33.355
2026-02-26T04:55:00+00:00,141.638,6.261,-7.297,33.382
2026-02-26T05:00:00+00:00,141.913,6.215,-7.303,33.364
2026-02-26T05:05:00+00:00,141.406,6.188,-7.353,33.287
2026-02-26T05:10:00+00:00,141.714,6.263,-7.374,33.258
2026-02-26T05:15:00+00:00,141.808,6.353,-7.395,33.285
2026-02-26T05:20:00+00:00,140.983,6.373,-7.416,33.276
2026-02-26T05:25:00+00:00,142.464,6.345,-7.438,33.272
2026-02-26T05:30:00+00:00,143.396,6.317,-7.334,33.28
2026-02-26T05:35:00+00:00,144.076,6.289,-7.3,33.252
2026-02-26T05:40:00+00:00,143.76,6.262,-7.448,33.228
2026-02-26T05:45:00+00:00,145.524,6.234,-7.584,33.211
2026-02-26T05:50:00+00:00,147.348,6.206,-7.65,33.192
2026-02-26T05:55:00+00:00,149.682,6.175,-7.769,33.159
2026-02-26T06:00:00+00:00,152.556,6.072,-7.892,33.104
2026-02-26T06:05:00+00:00,157.168,5.95,-8.172,32.934
2026-02-26T06:10:00+00:00,159.126,5.902,-8.47,33.258
2026-02-26T06:15:00+00:00,158.188,5.865,-8.493,33.348
2026-02-26T06:20:00+00:00,161.814,5.828,-8.668,33.424
2026-02-26T06:25:00+00:00,164.47,5.791,-8.828,33.394
2026-02-26T06:30:00+00:00,167.222,5.754,-8.983,33.382
2026-02-26T06:35:00+00:00,171.436,5.71,-9.263,33.302
2026-02-26T06:40:00+00:00,175.508,5.64,-9.338,33.201
2026-02-26T06:45:00+00:00,177.75,5.568,-9.574,33.25
2026-02-26T06:50:00+00:00,179.678,5.495,-9.716,33.479
2026-02-26T06:55:00+00:00,181.669,5.437,-9.823,33.443
2026-02-26T07:00:00+00:00,185.076,5.387,-9.94,33.403
2026-02-26T07:05:00+00:00,189.884,5.337,-10.154,33.321
2026-02-26T07:10:00+00:00,194.284,5.287,-10.4,33.193
2026-02-26T07:15:00+00:00,195.935,5.234,-10.505,33.158
2026-02-26T07:20:00+00:00,196.926,5.149,-10.647,33.17
2026-02-26T07:25:00+00:00,197.325,5.054,-10.704,33.144
2026-02-26T07:30:00+00:00,196.819,4.996,-10.701,33.104
2026-02-26T07:35:00+00:00,199.464,4.928,-10.773,33.096
2026-02-26T07:40:00+00:00,203.158,4.874,-10.88,33.118
2026-02-26T07:45:00+00:00,201.634,4.82,-10.908,33.112
2026-02-26T07:50:00+00:00,199.661,4.766,-10.79,33.108
2026-02-26T07:55:00+00:00,201.894,4.746,-10.832,33.085
2026-02-26T08:00:00+00:00,203.274,4.589,-11.018,33.084
2026-02-26T08:05:00+00:00,206.126,4.623,-11.1,32.998
2026-02-26T08:10:00+00:00,207.48,4.729,-11.404,33.224
2026-02-26T08:15:00+00:00,209.063,4.706,-11.47,33.278
2026-02-26T08:20:00+00:00,209.438,4.684,-11.498,33.314
2026-02-26T08:25:00+00:00,207.176,4.661,-11.366,33.338
2026-02-26T08:30:00+00:00,209.329,4.638,-11.432,33.329
2026-02-26T08:35:00+00:00,209.212,4.615,-11.465,33.329
2026-02-26T08:40:00+00:00,209.114,4.592,-11.471,33.321
2026-02-26T08:45:00+00:00,211.289,4.569,-11.609,33.298
2026-02-26T08:50:00+00:00,211.119,4.547,-11.578,33.306
2026-02-26T08:55:00+00:00,212.833,4.524,-11.678,33.299
2026-02-26T09:00:00+00:00,215.101,4.591,-11.751,33.286
2026-02-26T09:05:00+00:00,215.007,4.195,-11.806,33.26
2026-02-26T09:10:00+00:00,214.962,3.974,-11.931,33.248
2026-02-26T09:15:00+00:00,216.961,3.66,-11.998,33.244
2026-02-26T09:20:00+00:00,216.716,3.125,-11.975,33.268
2026-02-26T09:25:00+00:00,214.863,3.279,-11.872,33.28
2026-02-26T09:30:00+00:00,178.335,4.222,-9.817,33.318
2026-02-26T09:35:00+00:00,144.306,4.42,-7.81,33.328
2026-02-26T09:40:00+00:00,143.081,4.42,-7.768,33.32
2026-02-26T09:45:00+00:00,140.662,4.42,-7.695,33.354
2026-02-26T09:50:00+00:00,139.724,4.42,-7.556,33.394
2026-02-26T09:55:00+00:00,139.148,4.42,-7.518,33.411
2026-02-26T10:00:00+00:00,137.926,4.42,-7.504,33.419
2026-02-26T10:05:00+00:00,139.538,4.42,-7.62,33.42
2026-02-26T10:10:00+00:00,142.15,4.42,-7.788,33.385
2026-02-26T10:15:00+00:00,142.018,4.42,-7.783,33.39
2026-02-26T10:20:00+00:00,142.024,4.42,-7.805,33.422
2026-02-26T10:25:00+00:00,141.076,4.42,-7.736,33.39
2026-02-26T10:30:00+00:00,141.0,4.42,-7.696,33.402
2026-02-26T10:35:00+00:00,141.0,4.42,-7.658,33.422
2026-02-26T10:40:00+00:00,141.0,4.42,-7.655,33.385
2026-02-26T10:45:00+00:00,141.0,4.42,-7.734,33.382
2026-02-26T10:50:00+00:00,141.0,4.42,-7.733,33.386
2026-02-26T10:55:00+00:00,141.0,4.42,-7.732,33.391
2026-02-26T11:00:00+00:00,140.841,4.42,-7.721,33.394
2026-02-26T11:05:00+00:00,142.374,4.395,-7.81,33.409
2026-02-26T11:10:00+00:00,142.505,4.357,-7.876,33.427
2026-02-26T11:15:00+00:00,141.921,4.319,-7.914,33.442
2026-02-26T11:20:00+00:00,141.338,4.281,-7.872,33.466
2026-02-26T11:25:00+00:00,141.619,4.243,-7.797,33.457
2026-02-26T11:30:00+00:00,143.724,4.247,-7.936,33.426
2026-02-26T11:35:00+00:00,146.264,4.42,-8.032,33.43
2026-02-26T11:40:00+00:00,145.028,4.42,-8.065,33.454
2026-02-26T11:45:00+00:00,143.988,4.379,-7.967,33.482
2026-02-26T11:50:00+00:00,141.442,4.235,-7.848,33.51
2026-02-26T11:55:00+00:00,139.722,4.231,-7.74,33.514
2026-02-26T12:00:00+00:00,134.377,4.613,-7.324,33.52
2026-02-26T12:05:00+00:00,192.146,3.046,-10.482,33.27
2026-02-26T12:10:00+00:00,211.509,3.57,-11.618,33.32
2026-02-26T12:15:00+00:00,209.463,4.453,-11.52,33.348
2026-02-26T12:20:00+00:00,215.632,4.435,-11.809,33.344
