ValueDate,Current Inst,MVA Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-26T00:05:00+00:00,343.213,20.372,3.209,-20.115,32.981
2026-02-26T00:10:00+00:00,355.789,20.803,3.149,-20.559,32.824
2026-02-26T00:15:00+00:00,313.968,20.894,3.133,-20.657,32.692
2026-02-26T00:20:00+00:00,302.027,20.791,3.168,-20.544,32.684
2026-02-26T00:25:00+00:00,303.494,20.859,3.037,-20.64,32.861
2026-02-26T00:30:00+00:00,302.768,20.832,3.026,-20.61,33.047
2026-02-26T00:35:00+00:00,317.064,20.774,2.918,-20.574,32.9
2026-02-26T00:40:00+00:00,327.036,21.01,2.851,-20.812,32.796
2026-02-26T00:45:00+00:00,329.626,20.868,2.918,-20.662,32.773
2026-02-26T00:50:00+00:00,329.086,20.766,2.969,-20.55,32.692
2026-02-26T00:55:00+00:00,344.262,20.675,3.014,-20.456,32.661
2026-02-26T01:00:00+00:00,350.705,20.562,3.192,-20.323,32.72
2026-02-26T01:05:00+00:00,347.301,20.472,3.248,-20.212,32.771
2026-02-26T01:10:00+00:00,343.238,20.406,3.213,-20.16,32.814
2026-02-26T01:15:00+00:00,339.462,20.297,3.234,-20.043,32.824
2026-02-26T01:20:00+00:00,333.83,20.131,3.208,-19.868,32.862
2026-02-26T01:25:00+00:00,349.272,20.025,3.212,-19.764,32.882
2026-02-26T01:30:00+00:00,350.622,19.969,3.3,-19.691,32.913
2026-02-26T01:35:00+00:00,331.23,19.831,3.315,-19.542,32.934
2026-02-26T01:40:00+00:00,328.995,19.674,3.288,-19.4,32.984
2026-02-26T01:45:00+00:00,292.801,19.624,3.293,-19.336,33.03
2026-02-26T01:50:00+00:00,336.436,19.486,3.356,-19.188,32.984
2026-02-26T01:55:00+00:00,340.391,19.471,3.375,-19.176,32.982
2026-02-26T02:00:00+00:00,336.238,19.427,3.344,-19.131,33.082
2026-02-26T02:05:00+00:00,305.804,19.54,3.226,-19.27,33.072
2026-02-26T02:10:00+00:00,300.352,19.542,3.229,-19.27,33.018
2026-02-26T02:15:00+00:00,312.233,19.493,3.179,-19.222,33.029
2026-02-26T02:20:00+00:00,307.661,19.278,3.253,-19.001,32.99
2026-02-26T02:25:00+00:00,310.264,19.188,3.249,-18.912,33.041
2026-02-26T02:30:00+00:00,298.489,19.004,3.231,-18.726,33.046
2026-02-26T02:35:00+00:00,262.436,18.952,3.253,-18.666,33.068
2026-02-26T02:40:00+00:00,264.287,18.964,3.232,-18.686,33.133
2026-02-26T02:45:00+00:00,271.744,18.856,3.382,-18.548,33.131
2026-02-26T02:50:00+00:00,271.22,18.859,3.347,-18.561,33.176
2026-02-26T02:55:00+00:00,270.442,18.754,3.397,-18.442,33.202
2026-02-26T03:00:00+00:00,270.607,18.788,3.436,-18.34,33.173
2026-02-26T03:05:00+00:00,261.51,18.883,3.409,-18.293,33.086
2026-02-26T03:10:00+00:00,241.575,18.805,3.354,-18.217,33.034
2026-02-26T03:15:00+00:00,241.0,18.7,3.38,-18.089,33.098
2026-02-26T03:20:00+00:00,241.354,18.639,3.433,-18.022,33.109
2026-02-26T03:25:00+00:00,245.664,18.32,3.459,-17.84,33.084
2026-02-26T03:30:00+00:00,244.305,18.008,3.448,-17.668,32.992
2026-02-26T03:35:00+00:00,285.689,18.016,3.318,-17.71,32.95
2026-02-26T03:40:00+00:00,291.028,17.966,3.394,-17.644,32.96
2026-02-26T03:45:00+00:00,292.452,17.937,3.416,-17.605,32.985
2026-02-26T03:50:00+00:00,298.039,17.815,3.461,-17.478,33.014
2026-02-26T03:55:00+00:00,294.897,17.852,3.436,-17.51,33.05
2026-02-26T04:00:00+00:00,291.238,17.894,3.441,-17.554,33.114
2026-02-26T04:05:00+00:00,283.533,17.983,3.288,-17.681,32.96
2026-02-26T04:10:00+00:00,284.718,17.989,3.264,-17.689,32.938
2026-02-26T04:15:00+00:00,291.242,17.912,3.375,-17.59,32.924
2026-02-26T04:20:00+00:00,287.907,17.866,3.398,-17.532,32.932
2026-02-26T04:25:00+00:00,284.842,17.749,3.407,-17.414,32.936
2026-02-26T04:30:00+00:00,284.427,17.753,3.398,-17.418,32.944
2026-02-26T04:35:00+00:00,281.186,17.809,3.368,-17.48,32.962
2026-02-26T04:40:00+00:00,282.241,17.896,3.39,-17.585,32.966
2026-02-26T04:45:00+00:00,281.875,17.935,3.377,-17.618,33.0
2026-02-26T04:50:00+00:00,281.338,18.05,3.306,-17.749,33.003
2026-02-26T04:55:00+00:00,290.672,18.076,3.382,-17.758,33.062
2026-02-26T05:00:00+00:00,283.286,18.178,3.346,-17.864,33.052
2026-02-26T05:05:00+00:00,280.308,18.175,3.33,-17.872,32.937
2026-02-26T05:10:00+00:00,281.392,18.216,3.308,-17.909,32.89
2026-02-26T05:15:00+00:00,287.227,18.248,3.324,-17.942,32.894
2026-02-26T05:20:00+00:00,296.481,18.272,3.351,-17.956,32.913
2026-02-26T05:25:00+00:00,295.805,18.32,3.357,-18.011,32.897
2026-02-26T05:30:00+00:00,299.995,18.416,3.236,-18.127,32.871
2026-02-26T05:35:00+00:00,305.404,18.59,3.226,-18.31,32.854
2026-02-26T05:40:00+00:00,299.371,18.879,3.222,-18.6,32.864
