ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-26T00:05:00+00:00,245.091,0.007,14.047,33.092
2026-02-26T00:10:00+00:00,238.732,0.079,13.642,32.944
2026-02-26T00:15:00+00:00,48.049,-1.203,1.922,32.66
2026-02-26T00:20:00+00:00,142.789,-1.205,7.624,32.636
2026-02-26T00:25:00+00:00,499.124,-1.453,28.295,32.769
2026-02-26T00:30:00+00:00,461.095,-1.298,26.35,33.031
2026-02-26T00:35:00+00:00,185.02,-0.405,10.44,33.034
2026-02-26T00:40:00+00:00,247.864,0.274,14.157,32.98
2026-02-26T00:45:00+00:00,237.09,0.252,13.534,32.958
2026-02-26T00:50:00+00:00,26.623,-1.241,0.744,32.735
2026-02-26T00:55:00+00:00,23.832,-1.266,0.36,32.699
2026-02-26T01:00:00+00:00,25.985,-1.252,0.342,32.74
2026-02-26T01:05:00+00:00,40.686,-1.008,2.037,32.818
2026-02-26T01:10:00+00:00,56.878,-0.915,3.09,32.874
2026-02-26T01:15:00+00:00,52.864,-1.05,2.422,32.858
2026-02-26T01:20:00+00:00,247.62,0.002,14.169,33.006
2026-02-26T01:25:00+00:00,248.374,0.044,14.215,33.039
2026-02-26T01:30:00+00:00,244.491,0.352,14.019,33.066
2026-02-26T01:35:00+00:00,53.47,-0.856,2.62,32.984
2026-02-26T01:40:00+00:00,69.72,-0.673,3.898,33.055
2026-02-26T01:45:00+00:00,356.303,-0.744,20.39,33.067
2026-02-26T01:50:00+00:00,314.204,-0.293,17.986,33.082
2026-02-26T01:55:00+00:00,66.505,-0.587,3.766,33.078
2026-02-26T02:00:00+00:00,83.416,-0.548,4.743,33.174
2026-02-26T02:05:00+00:00,210.308,0.555,12.089,33.217
2026-02-26T02:10:00+00:00,210.664,0.44,12.1,33.152
2026-02-26T02:15:00+00:00,114.312,-0.392,6.54,33.128
2026-02-26T02:20:00+00:00,148.504,-0.154,8.507,33.112
2026-02-26T02:25:00+00:00,209.036,0.261,11.984,33.165
2026-02-26T02:30:00+00:00,244.085,0.321,14.042,33.18
2026-02-26T02:35:00+00:00,257.49,0.362,14.788,33.184
2026-02-26T02:40:00+00:00,257.364,0.555,14.81,33.265
2026-02-26T02:45:00+00:00,254.932,0.468,14.668,33.255
2026-02-26T02:50:00+00:00,259.044,0.26,14.917,33.283
2026-02-26T02:55:00+00:00,259.467,0.376,14.935,33.304
2026-02-26T03:00:00+00:00,250.754,0.464,14.478,33.353
2026-02-26T03:05:00+00:00,239.447,0.422,13.856,33.366
2026-02-26T03:10:00+00:00,235.668,0.122,13.62,33.312
2026-02-26T03:15:00+00:00,237.2,0.096,13.73,33.372
2026-02-26T03:20:00+00:00,248.31,0.251,14.188,33.284
2026-02-26T03:25:00+00:00,266.629,0.531,15.061,33.041
2026-02-26T03:30:00+00:00,271.172,0.431,15.44,32.877
2026-02-26T03:35:00+00:00,267.525,0.44,15.21,32.874
2026-02-26T03:40:00+00:00,258.629,0.477,14.704,32.896
2026-02-26T03:45:00+00:00,250.492,0.442,14.278,32.899
2026-02-26T03:50:00+00:00,252.17,0.465,14.387,32.933
2026-02-26T03:55:00+00:00,262.272,0.545,14.947,32.955
2026-02-26T04:00:00+00:00,266.363,0.486,15.228,33.05
2026-02-26T04:05:00+00:00,268.676,0.43,15.332,32.994
2026-02-26T04:10:00+00:00,268.299,0.522,15.3,32.964
2026-02-26T04:15:00+00:00,267.773,0.471,15.268,32.942
2026-02-26T04:20:00+00:00,269.798,0.473,15.381,32.952
2026-02-26T04:25:00+00:00,260.236,0.413,14.843,32.951
2026-02-26T04:30:00+00:00,253.922,0.42,14.48,32.962
2026-02-26T04:35:00+00:00,248.854,0.4,14.208,32.977
2026-02-26T04:40:00+00:00,247.668,0.452,14.15,32.98
2026-02-26T04:45:00+00:00,235.829,0.506,13.458,33.016
2026-02-26T04:50:00+00:00,234.243,0.457,13.395,33.018
2026-02-26T04:55:00+00:00,245.416,0.598,14.064,33.072
2026-02-26T05:00:00+00:00,251.105,0.78,14.388,33.102
2026-02-26T05:05:00+00:00,253.394,0.75,14.488,32.999
2026-02-26T05:10:00+00:00,265.907,0.769,15.147,32.942
2026-02-26T05:15:00+00:00,265.856,0.744,15.163,32.945
2026-02-26T05:20:00+00:00,261.149,0.774,14.905,32.98
2026-02-26T05:25:00+00:00,262.666,0.762,14.97,32.954
2026-02-26T05:30:00+00:00,263.374,0.761,14.99,32.936
2026-02-26T05:35:00+00:00,265.91,0.756,15.141,32.915
2026-02-26T05:40:00+00:00,266.27,0.766,15.172,32.923
2026-02-26T05:45:00+00:00,267.99,0.782,15.259,32.926
2026-02-26T05:50:00+00:00,268.224,0.836,15.254,32.886
2026-02-26T05:55:00+00:00,268.927,0.906,15.317,32.895
2026-02-26T06:00:00+00:00,270.051,0.812,15.301,32.826
2026-02-26T06:05:00+00:00,278.052,0.932,15.678,32.58
2026-02-26T06:10:00+00:00,283.792,0.849,15.86,32.636
2026-02-26T06:15:00+00:00,271.498,0.444,15.108,32.79
2026-02-26T06:20:00+00:00,258.303,0.408,14.372,32.9
2026-02-26T06:25:00+00:00,255.527,0.5,14.198,32.848
2026-02-26T06:30:00+00:00,256.602,0.443,14.257,32.823
2026-02-26T06:35:00+00:00,254.934,0.4,14.134,32.788
2026-02-26T06:40:00+00:00,267.828,0.358,14.981,32.771
2026-02-26T06:45:00+00:00,261.717,0.53,14.95,32.998
2026-02-26T06:50:00+00:00,255.549,0.581,14.66,33.182
2026-02-26T06:55:00+00:00,254.589,0.626,14.626,33.17
2026-02-26T07:00:00+00:00,264.404,0.703,15.136,33.101
2026-02-26T07:05:00+00:00,263.028,0.669,15.015,32.999
2026-02-26T07:10:00+00:00,262.338,0.232,14.927,32.836
2026-02-26T07:15:00+00:00,406.941,-0.318,23.068,32.731
2026-02-26T07:20:00+00:00,373.709,-0.279,21.254,32.829
2026-02-26T07:25:00+00:00,380.016,-0.282,21.579,32.776
2026-02-26T07:30:00+00:00,371.034,-0.019,21.042,32.748
2026-02-26T07:35:00+00:00,265.471,0.541,15.018,32.705
2026-02-26T07:40:00+00:00,258.277,0.455,14.606,32.677
2026-02-26T07:45:00+00:00,248.786,0.439,14.088,32.669
2026-02-26T07:50:00+00:00,264.184,0.482,14.954,32.702
2026-02-26T07:55:00+00:00,189.176,0.026,10.683,32.655
2026-02-26T08:00:00+00:00,271.775,0.524,15.365,32.629
2026-02-26T08:05:00+00:00,268.714,0.526,15.119,32.487
2026-02-26T08:10:00+00:00,274.146,0.272,15.216,32.659
2026-02-26T08:15:00+00:00,269.176,0.175,14.939,32.787
2026-02-26T08:20:00+00:00,275.599,0.214,15.333,32.788
2026-02-26T08:25:00+00:00,269.408,0.216,14.973,32.846
2026-02-26T08:30:00+00:00,258.7,0.174,14.352,32.832
2026-02-26T08:35:00+00:00,255.171,0.169,14.159,32.821
2026-02-26T08:40:00+00:00,254.883,0.085,14.13,32.792
2026-02-26T08:45:00+00:00,258.352,0.121,14.33,32.797
2026-02-26T08:50:00+00:00,263.514,0.08,14.618,32.824
2026-02-26T08:55:00+00:00,270.904,0.099,15.072,32.838
2026-02-26T09:00:00+00:00,271.68,0.091,15.122,32.844
2026-02-26T09:05:00+00:00,271.568,0.129,15.101,32.815
2026-02-26T09:10:00+00:00,274.388,0.132,15.262,32.82
2026-02-26T09:15:00+00:00,271.425,0.172,15.083,32.807
2026-02-26T09:20:00+00:00,273.786,0.159,15.251,32.869
2026-02-26T09:25:00+00:00,264.374,0.167,14.706,32.908
2026-02-26T09:30:00+00:00,274.277,0.171,15.313,32.924
2026-02-26T09:35:00+00:00,276.432,0.172,15.452,32.955
2026-02-26T09:40:00+00:00,279.718,0.181,15.64,32.928
2026-02-26T09:45:00+00:00,280.587,0.177,15.697,32.928
2026-02-26T09:50:00+00:00,290.1,0.276,16.264,32.952
2026-02-26T09:55:00+00:00,296.709,0.319,16.642,32.992
2026-02-26T10:00:00+00:00,292.0,0.338,16.414,33.038
2026-02-26T10:05:00+00:00,281.864,0.288,15.806,33.01
2026-02-26T10:10:00+00:00,205.911,0.029,11.253,32.964
2026-02-26T10:15:00+00:00,279.126,0.299,15.666,33.04
2026-02-26T10:20:00+00:00,202.342,0.125,11.073,33.063
2026-02-26T10:25:00+00:00,157.21,-0.075,8.384,32.96
2026-02-26T10:30:00+00:00,185.501,0.092,10.051,32.949
2026-02-26T10:35:00+00:00,278.115,0.369,15.596,33.049
2026-02-26T10:40:00+00:00,287.658,0.384,16.108,32.948
2026-02-26T10:45:00+00:00,291.073,0.296,16.29,32.907
2026-02-26T10:50:00+00:00,264.556,0.202,14.727,32.906
2026-02-26T10:55:00+00:00,253.658,0.202,14.11,32.935
2026-02-26T11:00:00+00:00,286.205,0.297,16.038,32.974
2026-02-26T11:05:00+00:00,284.604,0.185,15.988,33.028
2026-02-26T11:10:00+00:00,294.921,0.214,16.562,33.066
2026-02-26T11:15:00+00:00,302.139,0.203,16.98,33.064
2026-02-26T11:20:00+00:00,289.797,0.185,16.324,33.111
2026-02-26T11:25:00+00:00,291.842,0.336,16.398,33.061
2026-02-26T11:30:00+00:00,278.796,0.277,15.617,32.994
2026-02-26T11:35:00+00:00,282.064,0.177,15.802,32.984
2026-02-26T11:40:00+00:00,286.368,0.307,16.08,33.046
2026-02-26T11:45:00+00:00,288.728,0.338,16.22,33.026
2026-02-26T11:50:00+00:00,297.622,0.529,16.786,33.102
2026-02-26T11:55:00+00:00,296.004,0.679,16.832,32.829
2026-02-26T12:00:00+00:00,288.876,0.526,16.434,32.828
2026-02-26T12:05:00+00:00,281.864,0.46,16.022,32.785
2026-02-26T12:10:00+00:00,281.324,0.551,15.978,32.756
2026-02-26T12:15:00+00:00,297.998,0.572,16.876,32.72
2026-02-26T12:20:00+00:00,306.481,0.47,17.362,32.722
2026-02-26T12:25:00+00:00,298.011,0.588,16.914,32.774
2026-02-26T12:30:00+00:00,309.262,0.571,17.55,32.776
2026-02-26T12:35:00+00:00,302.585,0.55,17.107,32.694
2026-02-26T12:40:00+00:00,297.34,0.476,16.816,32.659
2026-02-26T12:45:00+00:00,292.286,0.385,16.528,32.657
2026-02-26T12:50:00+00:00,281.859,0.442,15.966,32.662
2026-02-26T12:55:00+00:00,269.641,0.355,15.245,32.659
2026-02-26T13:00:00+00:00,272.131,0.268,15.387,32.664
2026-02-26T13:05:00+00:00,289.781,0.279,16.407,32.658
2026-02-26T13:10:00+00:00,286.102,0.208,16.174,32.612
2026-02-26T13:15:00+00:00,278.164,0.152,15.752,32.689
2026-02-26T13:20:00+00:00,285.986,0.167,16.245,32.755
2026-02-26T13:25:00+00:00,283.574,0.413,16.127,32.774
2026-02-26T13:30:00+00:00,282.146,0.369,15.944,32.594
2026-02-26T13:35:00+00:00,296.896,0.478,16.741,32.565
2026-02-26T13:40:00+00:00,301.436,0.447,16.991,32.535
