ValueDate,Current Inst,Volts Inst
2026-02-26T00:05:00+00:00,236.408,33.427
2026-02-26T00:10:00+00:00,248.392,33.222
2026-02-26T00:15:00+00:00,243.846,33.165
2026-02-26T00:20:00+00:00,241.357,33.206
2026-02-26T00:25:00+00:00,239.916,33.246
2026-02-26T00:30:00+00:00,239.876,33.31
2026-02-26T00:35:00+00:00,247.467,33.161
2026-02-26T00:40:00+00:00,256.597,33.056
2026-02-26T00:45:00+00:00,260.596,33.198
2026-02-26T00:50:00+00:00,261.339,33.287
2026-02-26T00:55:00+00:00,260.877,33.276
2026-02-26T01:00:00+00:00,259.975,33.321
2026-02-26T01:05:00+00:00,260.966,33.322
2026-02-26T01:10:00+00:00,258.424,33.338
2026-02-26T01:15:00+00:00,255.896,33.338
2026-02-26T01:20:00+00:00,255.82,33.362
2026-02-26T01:25:00+00:00,254.807,33.386
2026-02-26T01:30:00+00:00,251.36,33.428
2026-02-26T01:35:00+00:00,247.672,33.454
2026-02-26T01:40:00+00:00,246.174,33.478
2026-02-26T01:45:00+00:00,243.231,33.519
2026-02-26T01:50:00+00:00,240.279,33.545
2026-02-26T01:55:00+00:00,238.248,33.554
2026-02-26T02:00:00+00:00,235.726,33.616
2026-02-26T02:05:00+00:00,236.568,33.587
2026-02-26T02:10:00+00:00,236.01,33.538
2026-02-26T02:15:00+00:00,236.944,33.543
2026-02-26T02:20:00+00:00,236.493,33.536
2026-02-26T02:25:00+00:00,236.034,33.559
2026-02-26T02:30:00+00:00,233.906,33.572
2026-02-26T02:35:00+00:00,233.268,33.582
2026-02-26T02:40:00+00:00,231.091,33.634
2026-02-26T02:45:00+00:00,231.649,33.644
2026-02-26T02:50:00+00:00,231.244,33.574
2026-02-26T02:55:00+00:00,228.408,33.572
2026-02-26T03:00:00+00:00,227.956,33.598
2026-02-26T03:05:00+00:00,225.0,33.624
2026-02-26T03:10:00+00:00,222.172,33.602
2026-02-26T03:15:00+00:00,218.972,33.638
2026-02-26T03:20:00+00:00,220.492,33.671
2026-02-26T03:25:00+00:00,217.681,33.733
2026-02-26T03:30:00+00:00,213.79,33.586
2026-02-26T03:35:00+00:00,217.257,33.51
2026-02-26T03:40:00+00:00,216.454,33.536
2026-02-26T03:45:00+00:00,213.716,33.55
2026-02-26T03:50:00+00:00,212.836,33.592
2026-02-26T03:55:00+00:00,212.754,33.584
2026-02-26T04:00:00+00:00,222.19,33.406
2026-02-26T04:05:00+00:00,224.122,33.364
2026-02-26T04:10:00+00:00,224.168,33.376
2026-02-26T04:15:00+00:00,223.43,33.391
2026-02-26T04:20:00+00:00,222.285,33.394
2026-02-26T04:25:00+00:00,221.623,33.394
2026-02-26T04:30:00+00:00,220.566,33.394
2026-02-26T04:35:00+00:00,219.55,33.394
2026-02-26T04:40:00+00:00,217.529,33.45
2026-02-26T04:45:00+00:00,214.682,33.53
2026-02-26T04:50:00+00:00,213.344,33.549
2026-02-26T04:55:00+00:00,214.31,33.576
2026-02-26T05:00:00+00:00,214.874,33.57
2026-02-26T05:05:00+00:00,215.972,33.486
2026-02-26T05:10:00+00:00,219.566,33.448
2026-02-26T05:15:00+00:00,220.516,33.47
2026-02-26T05:20:00+00:00,217.497,33.49
2026-02-26T05:25:00+00:00,216.934,33.48
2026-02-26T05:30:00+00:00,216.982,33.481
2026-02-26T05:35:00+00:00,214.457,33.474
2026-02-26T05:40:00+00:00,215.66,33.451
2026-02-26T05:45:00+00:00,214.252,33.44
2026-02-26T05:50:00+00:00,216.193,33.401
2026-02-26T05:55:00+00:00,217.914,33.362
2026-02-26T06:00:00+00:00,216.068,33.308
2026-02-26T06:05:00+00:00,221.95,33.154
2026-02-26T06:10:00+00:00,218.184,33.306
2026-02-26T06:15:00+00:00,223.249,33.33
2026-02-26T06:20:00+00:00,226.256,33.408
2026-02-26T06:25:00+00:00,228.48,33.37
2026-02-26T06:30:00+00:00,227.526,33.36
2026-02-26T06:35:00+00:00,235.581,33.284
2026-02-26T06:40:00+00:00,241.752,33.154
2026-02-26T06:45:00+00:00,240.788,33.232
2026-02-26T06:50:00+00:00,241.238,33.47
2026-02-26T06:55:00+00:00,244.486,33.434
2026-02-26T07:00:00+00:00,248.486,33.378
2026-02-26T07:05:00+00:00,255.832,33.284
2026-02-26T07:10:00+00:00,262.034,33.134
2026-02-26T07:15:00+00:00,263.922,33.101
2026-02-26T07:20:00+00:00,265.662,33.124
2026-02-26T07:25:00+00:00,265.422,33.094
2026-02-26T07:30:00+00:00,263.28,33.053
2026-02-26T07:35:00+00:00,265.866,33.106
2026-02-26T07:40:00+00:00,263.997,33.232
2026-02-26T07:45:00+00:00,265.353,33.232
2026-02-26T07:50:00+00:00,264.154,33.258
