ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-26T00:05:00+00:00,262.536,-2.262,-14.974,33.41
2026-02-26T00:10:00+00:00,277.428,-1.98,-15.757,33.202
2026-02-26T00:15:00+00:00,279.763,-1.846,-15.956,33.049
2026-02-26T00:20:00+00:00,284.632,-2.39,-16.283,33.281
2026-02-26T00:25:00+00:00,283.344,-2.43,-16.221,33.338
2026-02-26T00:30:00+00:00,279.9,-2.476,-16.116,33.421
2026-02-26T00:35:00+00:00,289.438,-2.549,-16.608,33.268
2026-02-26T00:40:00+00:00,295.998,-2.507,-16.906,33.176
2026-02-26T00:45:00+00:00,296.181,-2.447,-16.912,33.143
2026-02-26T00:50:00+00:00,295.594,-2.401,-16.844,33.127
2026-02-26T00:55:00+00:00,294.127,-2.385,-16.756,33.139
2026-02-26T01:00:00+00:00,292.765,-2.37,-16.708,33.174
2026-02-26T01:05:00+00:00,296.37,-2.355,-16.918,33.184
2026-02-26T01:10:00+00:00,296.101,-2.34,-16.88,33.198
2026-02-26T01:15:00+00:00,294.672,-2.326,-16.845,33.213
2026-02-26T01:20:00+00:00,292.52,-2.311,-16.719,33.235
2026-02-26T01:25:00+00:00,290.706,-2.296,-16.633,33.268
2026-02-26T01:30:00+00:00,287.381,-2.282,-16.446,33.306
2026-02-26T01:35:00+00:00,287.69,-2.312,-16.444,33.324
2026-02-26T01:40:00+00:00,286.517,-2.306,-16.381,33.339
2026-02-26T01:45:00+00:00,283.982,-2.283,-16.242,33.369
2026-02-26T01:50:00+00:00,281.531,-2.26,-16.108,33.379
2026-02-26T01:55:00+00:00,280.244,-2.246,-15.974,33.392
2026-02-26T02:00:00+00:00,276.56,-2.303,-15.818,33.45
2026-02-26T02:05:00+00:00,279.421,-2.369,-16.01,33.402
2026-02-26T02:10:00+00:00,277.172,-2.264,-15.852,33.34
2026-02-26T02:15:00+00:00,274.327,-2.266,-15.736,33.357
2026-02-26T02:20:00+00:00,272.992,-2.298,-15.63,33.353
2026-02-26T02:25:00+00:00,270.935,-2.331,-15.532,33.38
2026-02-26T02:30:00+00:00,269.674,-2.363,-15.466,33.378
2026-02-26T02:35:00+00:00,272.121,-2.396,-15.605,33.391
2026-02-26T02:40:00+00:00,273.413,-2.429,-15.678,33.431
2026-02-26T02:45:00+00:00,273.53,-2.461,-15.684,33.429
2026-02-26T02:50:00+00:00,273.282,-2.491,-15.668,33.463
2026-02-26T02:55:00+00:00,270.265,-2.484,-15.495,33.476
2026-02-26T03:00:00+00:00,267.267,-2.582,-15.439,33.501
2026-02-26T03:05:00+00:00,270.76,-2.786,-15.501,33.476
2026-02-26T03:10:00+00:00,271.1,-2.908,-15.439,33.448
2026-02-26T03:15:00+00:00,268.918,-2.843,-15.251,33.496
2026-02-26T03:20:00+00:00,267.0,-2.822,-15.1,33.522
2026-02-26T03:25:00+00:00,263.758,-2.855,-15.034,33.567
2026-02-26T03:30:00+00:00,261.023,-2.913,-14.923,33.57
2026-02-26T03:35:00+00:00,262.072,-2.972,-14.989,33.573
2026-02-26T03:40:00+00:00,259.456,-3.03,-14.83,33.589
2026-02-26T03:45:00+00:00,256.02,-3.088,-14.648,33.614
2026-02-26T03:50:00+00:00,255.231,-3.147,-14.569,33.646
2026-02-26T03:55:00+00:00,256.68,-3.228,-14.594,33.634
2026-02-26T04:00:00+00:00,255.345,-2.965,-14.428,33.572
2026-02-26T04:05:00+00:00,253.133,-2.507,-14.367,33.309
2026-02-26T04:10:00+00:00,253.552,-2.554,-14.318,33.309
2026-02-26T04:15:00+00:00,254.186,-2.608,-14.386,33.302
2026-02-26T04:20:00+00:00,253.742,-2.657,-14.329,33.31
2026-02-26T04:25:00+00:00,251.894,-2.697,-14.183,33.305
2026-02-26T04:30:00+00:00,252.704,-2.736,-14.269,33.305
2026-02-26T04:35:00+00:00,255.347,-2.695,-14.39,33.304
2026-02-26T04:40:00+00:00,253.916,-2.623,-14.328,33.344
2026-02-26T04:45:00+00:00,250.246,-2.628,-14.172,33.411
2026-02-26T04:50:00+00:00,251.079,-2.656,-14.259,33.416
2026-02-26T04:55:00+00:00,250.529,-2.683,-14.198,33.441
2026-02-26T05:00:00+00:00,251.904,-2.711,-14.246,33.43
2026-02-26T05:05:00+00:00,254.395,-2.738,-14.359,33.342
2026-02-26T05:10:00+00:00,258.196,-2.749,-14.518,33.293
2026-02-26T05:15:00+00:00,258.52,-2.681,-14.545,33.311
2026-02-26T05:20:00+00:00,255.822,-2.637,-14.442,33.32
2026-02-26T05:25:00+00:00,257.852,-2.692,-14.529,33.296
2026-02-26T05:30:00+00:00,256.965,-2.64,-14.466,33.3
2026-02-26T05:35:00+00:00,257.474,-2.569,-14.483,33.268
2026-02-26T05:40:00+00:00,259.079,-2.498,-14.574,33.253
2026-02-26T05:45:00+00:00,260.659,-2.427,-14.677,33.244
2026-02-26T05:50:00+00:00,260.944,-2.324,-14.739,33.236
2026-02-26T05:55:00+00:00,260.777,-2.141,-14.724,33.22
2026-02-26T06:00:00+00:00,263.566,-1.973,-14.898,33.16
2026-02-26T06:05:00+00:00,263.069,-1.555,-14.958,33.029
2026-02-26T06:10:00+00:00,275.426,-2.011,-15.744,33.186
2026-02-26T06:15:00+00:00,281.779,-2.564,-16.178,33.35
2026-02-26T06:20:00+00:00,286.159,-2.868,-16.387,33.453
2026-02-26T06:25:00+00:00,293.665,-3.072,-16.77,33.385
2026-02-26T06:30:00+00:00,294.219,-3.108,-16.797,33.384
2026-02-26T06:35:00+00:00,301.238,-3.172,-17.125,33.296
2026-02-26T06:40:00+00:00,308.011,-3.216,-17.406,33.206
2026-02-26T06:45:00+00:00,308.778,-3.239,-17.516,33.271
2026-02-26T06:50:00+00:00,310.496,-3.31,-17.732,33.461
2026-02-26T06:55:00+00:00,312.964,-3.376,-17.832,33.429
2026-02-26T07:00:00+00:00,316.266,-3.378,-18.059,33.36
2026-02-26T07:05:00+00:00,323.014,-3.359,-18.316,33.284
2026-02-26T07:10:00+00:00,331.671,-3.249,-18.769,33.156
2026-02-26T07:15:00+00:00,330.304,-3.024,-18.76,33.165
2026-02-26T07:20:00+00:00,332.538,-3.053,-18.927,33.211
2026-02-26T07:25:00+00:00,333.033,-3.038,-18.858,33.173
2026-02-26T07:30:00+00:00,332.564,-3.038,-18.848,33.134
2026-02-26T07:35:00+00:00,333.185,-3.143,-18.856,33.048
2026-02-26T07:40:00+00:00,333.422,-3.119,-18.868,33.015
2026-02-26T07:45:00+00:00,331.12,-2.822,-18.798,33.044
2026-02-26T07:50:00+00:00,332.308,-2.839,-18.884,33.046
2026-02-26T07:55:00+00:00,331.622,-2.676,-18.819,33.034
2026-02-26T08:00:00+00:00,330.257,-2.547,-18.707,33.055
2026-02-26T08:05:00+00:00,333.167,-2.423,-18.843,33.058
2026-02-26T08:10:00+00:00,335.466,-2.34,-19.043,33.067
2026-02-26T08:15:00+00:00,328.28,-2.324,-18.622,33.164
2026-02-26T08:20:00+00:00,323.045,-2.372,-18.42,33.202
2026-02-26T08:25:00+00:00,319.842,-2.387,-18.177,33.215
2026-02-26T08:30:00+00:00,314.707,-2.358,-17.9,33.215
2026-02-26T08:35:00+00:00,310.171,-2.409,-17.614,33.226
2026-02-26T08:40:00+00:00,306.892,-2.407,-17.463,33.238
2026-02-26T08:45:00+00:00,309.053,-2.455,-17.584,33.229
2026-02-26T08:50:00+00:00,316.731,-2.505,-17.994,33.214
2026-02-26T08:55:00+00:00,323.856,-2.602,-18.364,33.204
2026-02-26T09:00:00+00:00,321.932,-2.558,-18.275,33.224
2026-02-26T09:05:00+00:00,317.371,-2.588,-18.028,33.194
2026-02-26T09:10:00+00:00,307.844,-2.617,-17.509,33.217
2026-02-26T09:15:00+00:00,299.799,-2.647,-17.022,33.216
2026-02-26T09:20:00+00:00,287.348,-2.642,-16.3,33.268
2026-02-26T09:25:00+00:00,271.374,-2.621,-15.325,33.236
2026-02-26T09:30:00+00:00,271.397,-2.616,-15.354,33.257
2026-02-26T09:35:00+00:00,284.55,-2.688,-16.078,33.239
2026-02-26T09:40:00+00:00,282.256,-2.488,-16.024,33.246
2026-02-26T09:45:00+00:00,286.89,-2.438,-16.286,33.28
2026-02-26T09:50:00+00:00,290.682,-2.464,-16.503,33.294
2026-02-26T09:55:00+00:00,293.328,-2.357,-16.689,33.328
2026-02-26T10:00:00+00:00,291.75,-2.32,-16.606,33.35
2026-02-26T10:05:00+00:00,291.792,-2.419,-16.596,33.335
2026-02-26T10:10:00+00:00,285.829,-2.472,-16.288,33.317
2026-02-26T10:15:00+00:00,285.927,-2.514,-16.243,33.342
2026-02-26T10:20:00+00:00,292.076,-2.542,-16.61,33.342
2026-02-26T10:25:00+00:00,298.318,-2.653,-16.929,33.274
2026-02-26T10:30:00+00:00,309.057,-2.721,-17.471,33.245
2026-02-26T10:35:00+00:00,308.892,-2.669,-17.49,33.274
2026-02-26T10:40:00+00:00,305.748,-2.606,-17.246,33.23
2026-02-26T10:45:00+00:00,301.264,-2.609,-17.07,33.234
2026-02-26T10:50:00+00:00,301.685,-2.673,-17.064,33.234
2026-02-26T10:55:00+00:00,297.174,-2.713,-16.753,33.257
2026-02-26T11:00:00+00:00,293.486,-2.666,-16.573,33.27
2026-02-26T11:05:00+00:00,291.884,-2.622,-16.554,33.322
2026-02-26T11:10:00+00:00,287.807,-2.695,-16.295,33.338
2026-02-26T11:15:00+00:00,280.508,-2.62,-15.867,33.37
2026-02-26T11:20:00+00:00,274.47,-2.631,-15.569,33.4
2026-02-26T11:25:00+00:00,268.578,-2.708,-15.201,33.381
2026-02-26T11:30:00+00:00,262.608,-2.694,-14.827,33.341
2026-02-26T11:35:00+00:00,251.116,-2.752,-14.17,33.364
2026-02-26T11:40:00+00:00,231.952,-2.698,-13.042,33.428
2026-02-26T11:45:00+00:00,247.184,-2.674,-13.965,33.416
2026-02-26T11:50:00+00:00,275.151,-2.828,-15.593,33.407
2026-02-26T11:55:00+00:00,289.98,-2.952,-16.412,33.398
2026-02-26T12:00:00+00:00,295.706,-3.177,-16.78,33.485
2026-02-26T12:05:00+00:00,293.714,-3.741,-16.562,33.555
2026-02-26T12:10:00+00:00,264.75,-3.741,-14.854,33.578
2026-02-26T12:15:00+00:00,251.35,-3.862,-14.002,33.587
2026-02-26T12:20:00+00:00,236.176,-3.882,-13.048,33.595
2026-02-26T12:25:00+00:00,219.48,-4.154,-11.905,33.556
