ValueDate,Current Inst,MVA Inst,MVAr Inst,MW Inst
2026-02-26T00:05:00+00:00,257.215,18.596,-13.688,-15.692
2026-02-26T00:10:00+00:00,270.338,19.346,-14.408,-16.052
2026-02-26T00:15:00+00:00,294.676,20.456,-15.178,-16.69
2026-02-26T00:20:00+00:00,293.806,20.193,-14.983,-16.563
2026-02-26T00:25:00+00:00,292.41,19.93,-14.787,-16.436
2026-02-26T00:30:00+00:00,291.004,19.691,-14.592,-16.308
2026-02-26T00:35:00+00:00,296.188,19.926,-14.396,-16.181
2026-02-26T00:40:00+00:00,289.631,19.458,-14.212,-16.059
2026-02-26T00:45:00+00:00,279.694,19.247,-14.117,-15.974
2026-02-26T00:50:00+00:00,277.232,19.138,-14.039,-15.896
2026-02-26T00:55:00+00:00,276.196,19.03,-13.962,-15.818
2026-02-26T01:00:00+00:00,275.386,18.92,-13.885,-15.741
2026-02-26T01:05:00+00:00,277.166,18.812,-13.807,-15.664
2026-02-26T01:10:00+00:00,275.816,18.702,-13.73,-15.586
2026-02-26T01:15:00+00:00,273.983,18.594,-13.653,-15.508
2026-02-26T01:20:00+00:00,271.958,18.485,-13.575,-15.431
2026-02-26T01:25:00+00:00,269.879,18.376,-13.498,-15.354
2026-02-26T01:30:00+00:00,268.064,18.268,-13.421,-15.276
2026-02-26T01:35:00+00:00,267.438,18.172,-13.343,-15.21
2026-02-26T01:40:00+00:00,265.84,18.092,-13.266,-15.152
2026-02-26T01:45:00+00:00,265.13,18.022,-13.19,-15.092
2026-02-26T01:50:00+00:00,262.16,17.92,-13.142,-15.016
2026-02-26T01:55:00+00:00,259.118,17.805,-13.105,-14.934
2026-02-26T02:00:00+00:00,257.156,17.691,-13.068,-14.85
2026-02-26T02:05:00+00:00,260.629,17.576,-13.031,-14.764
2026-02-26T02:10:00+00:00,261.946,17.462,-12.994,-14.678
2026-02-26T02:15:00+00:00,261.299,17.348,-12.957,-14.592
2026-02-26T02:20:00+00:00,260.88,17.234,-12.92,-14.505
2026-02-26T02:25:00+00:00,258.888,17.12,-12.883,-14.419
2026-02-26T02:30:00+00:00,256.522,17.005,-12.846,-14.332
2026-02-26T02:35:00+00:00,256.245,16.892,-12.809,-14.247
2026-02-26T02:40:00+00:00,255.528,16.777,-12.772,-14.16
2026-02-26T02:45:00+00:00,253.394,16.662,-12.735,-14.074
2026-02-26T02:50:00+00:00,251.6,16.534,-12.698,-13.988
2026-02-26T02:55:00+00:00,249.532,16.388,-12.661,-13.902
2026-02-26T03:00:00+00:00,248.018,16.241,-12.624,-13.816
2026-02-26T03:05:00+00:00,246.95,16.094,-12.587,-13.73
2026-02-26T03:10:00+00:00,245.568,15.947,-12.55,-13.643
2026-02-26T03:15:00+00:00,244.79,15.8,-12.513,-13.557
2026-02-26T03:20:00+00:00,244.55,15.653,-10.739,-13.765
2026-02-26T03:25:00+00:00,231.533,15.509,-2.258,-15.114
2026-02-26T03:30:00+00:00,222.245,15.407,-0.547,-15.402
2026-02-26T03:35:00+00:00,222.676,15.318,-1.208,-15.314
2026-02-26T03:40:00+00:00,220.981,15.23,-1.869,-15.226
2026-02-26T03:45:00+00:00,220.317,15.142,-2.53,-15.137
2026-02-26T03:50:00+00:00,220.478,15.054,-3.19,-15.049
2026-02-26T03:55:00+00:00,218.788,14.965,-3.851,-14.961
2026-02-26T04:00:00+00:00,217.75,14.876,-4.512,-14.873
2026-02-26T04:05:00+00:00,219.88,14.788,-5.173,-14.785
2026-02-26T04:10:00+00:00,217.467,14.7,-5.834,-14.696
2026-02-26T04:15:00+00:00,215.008,14.612,-6.494,-14.608
2026-02-26T04:20:00+00:00,212.841,14.523,-7.155,-14.52
2026-02-26T04:25:00+00:00,211.923,14.434,-7.816,-14.432
2026-02-26T04:30:00+00:00,211.337,14.352,-8.477,-14.33
2026-02-26T04:35:00+00:00,212.676,14.396,-9.137,-13.946
2026-02-26T04:40:00+00:00,212.067,14.488,-9.798,-13.453
2026-02-26T04:45:00+00:00,211.415,14.834,-10.459,-13.212
2026-02-26T04:50:00+00:00,211.153,15.373,-11.12,-13.164
2026-02-26T04:55:00+00:00,226.339,15.816,-11.62,-13.196
2026-02-26T05:00:00+00:00,226.919,16.052,-11.776,-13.402
2026-02-26T05:05:00+00:00,229.509,16.282,-11.921,-13.612
2026-02-26T05:10:00+00:00,230.08,16.512,-12.066,-13.823
2026-02-26T05:15:00+00:00,231.145,16.741,-12.21,-14.034
2026-02-26T05:20:00+00:00,230.258,16.97,-12.355,-14.244
2026-02-26T05:25:00+00:00,229.89,17.201,-12.499,-14.455
2026-02-26T05:30:00+00:00,230.717,17.43,-12.644,-14.666
2026-02-26T05:35:00+00:00,242.408,17.634,-12.789,-14.846
2026-02-26T05:40:00+00:00,258.476,17.584,-12.88,-14.735
2026-02-26T05:45:00+00:00,257.826,17.468,-12.677,-14.549
2026-02-26T05:50:00+00:00,259.29,17.354,-12.43,-14.363
2026-02-26T05:55:00+00:00,261.297,17.238,-12.182,-14.177
2026-02-26T06:00:00+00:00,252.296,17.174,-12.021,-14.042
2026-02-26T06:05:00+00:00,247.296,17.439,-12.416,-14.243
2026-02-26T06:10:00+00:00,251.233,17.764,-12.903,-14.579
2026-02-26T06:15:00+00:00,256.456,18.06,-13.358,-14.902
2026-02-26T06:20:00+00:00,258.927,18.256,-13.532,-15.1
2026-02-26T06:25:00+00:00,261.182,18.444,-13.635,-15.285
2026-02-26T06:30:00+00:00,261.396,18.631,-13.739,-15.469
2026-02-26T06:35:00+00:00,265.828,18.818,-13.842,-15.651
2026-02-26T06:40:00+00:00,272.287,19.008,-13.945,-15.824
2026-02-26T06:45:00+00:00,275.897,19.211,-14.049,-15.996
2026-02-26T06:50:00+00:00,276.728,19.416,-14.152,-16.169
2026-02-26T06:55:00+00:00,279.42,19.638,-14.34,-16.356
2026-02-26T07:00:00+00:00,283.526,20.081,-15.136,-16.766
2026-02-26T07:05:00+00:00,290.708,20.558,-15.755,-17.25
2026-02-26T07:10:00+00:00,297.722,20.624,-15.679,-17.356
2026-02-26T07:15:00+00:00,302.948,21.184,-16.072,-17.666
2026-02-26T07:20:00+00:00,305.477,21.397,-16.375,-17.813
2026-02-26T07:25:00+00:00,307.4,21.559,-16.532,-17.92
2026-02-26T07:30:00+00:00,310.615,21.72,-16.688,-18.029
2026-02-26T07:35:00+00:00,310.58,21.882,-16.841,-18.137
2026-02-26T07:40:00+00:00,311.317,22.044,-16.882,-18.206
2026-02-26T07:45:00+00:00,312.082,22.206,-16.855,-18.252
2026-02-26T07:50:00+00:00,314.454,22.368,-16.827,-18.3
2026-02-26T07:55:00+00:00,319.298,22.447,-16.799,-18.346
2026-02-26T08:00:00+00:00,320.364,22.464,-16.772,-18.392
2026-02-26T08:05:00+00:00,325.508,22.48,-16.744,-18.438
2026-02-26T08:10:00+00:00,328.677,22.465,-16.716,-18.452
2026-02-26T08:15:00+00:00,327.04,22.28,-16.688,-18.298
2026-02-26T08:20:00+00:00,324.995,22.072,-16.661,-18.12
2026-02-26T08:25:00+00:00,322.601,21.864,-16.633,-17.943
2026-02-26T08:30:00+00:00,317.46,21.768,-16.605,-17.876
2026-02-26T08:35:00+00:00,316.962,21.77,-16.578,-17.907
2026-02-26T08:40:00+00:00,318.852,21.77,-16.55,-17.938
2026-02-26T08:45:00+00:00,322.976,21.772,-16.522,-17.969
2026-02-26T08:50:00+00:00,325.666,21.774,-16.494,-18.0
2026-02-26T08:55:00+00:00,326.254,21.776,-16.467,-18.031
2026-02-26T09:00:00+00:00,325.816,21.778,-16.439,-18.062
2026-02-26T09:05:00+00:00,327.959,21.708,-16.411,-18.022
2026-02-26T09:10:00+00:00,322.96,21.399,-16.384,-17.744
2026-02-26T09:15:00+00:00,312.827,21.106,-16.356,-17.48
2026-02-26T09:20:00+00:00,304.958,21.23,-16.334,-17.534
2026-02-26T09:25:00+00:00,299.142,21.5,-16.509,-17.755
2026-02-26T09:30:00+00:00,305.261,21.769,-16.775,-18.018
2026-02-26T09:35:00+00:00,314.14,22.003,-16.876,-18.243
2026-02-26T09:40:00+00:00,317.738,22.172,-16.832,-18.402
