ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-26T00:05:00+00:00,197.997,1.86,-11.349,33.792
2026-02-26T00:10:00+00:00,214.036,1.769,-12.22,33.598
2026-02-26T00:15:00+00:00,221.188,1.766,-12.532,33.282
2026-02-26T00:20:00+00:00,221.731,1.714,-12.597,33.252
2026-02-26T00:25:00+00:00,221.737,1.725,-12.6,33.3
2026-02-26T00:30:00+00:00,221.634,1.749,-12.59,33.364
2026-02-26T00:35:00+00:00,233.599,1.53,-13.266,33.202
2026-02-26T00:40:00+00:00,243.988,1.488,-13.824,33.104
2026-02-26T00:45:00+00:00,253.805,1.446,-14.381,33.4
2026-02-26T00:50:00+00:00,250.847,1.362,-14.228,33.474
2026-02-26T00:55:00+00:00,249.451,1.356,-14.152,33.454
2026-02-26T01:00:00+00:00,246.841,1.392,-14.02,33.508
2026-02-26T01:05:00+00:00,250.712,1.357,-14.242,33.496
2026-02-26T01:10:00+00:00,251.184,1.346,-14.298,33.516
2026-02-26T01:15:00+00:00,249.584,1.434,-14.198,33.524
2026-02-26T01:20:00+00:00,247.088,1.514,-14.052,33.55
2026-02-26T01:25:00+00:00,245.453,1.567,-13.932,33.579
2026-02-26T01:30:00+00:00,241.711,1.566,-13.752,33.606
2026-02-26T01:35:00+00:00,238.988,1.609,-13.62,33.614
2026-02-26T01:40:00+00:00,237.919,1.583,-13.55,33.639
2026-02-26T01:45:00+00:00,235.889,1.596,-13.459,33.705
2026-02-26T01:50:00+00:00,233.526,1.654,-13.284,33.735
2026-02-26T01:55:00+00:00,231.62,1.664,-13.166,33.738
2026-02-26T02:00:00+00:00,228.124,1.642,-12.991,33.6
2026-02-26T02:05:00+00:00,230.394,1.684,-13.136,33.475
2026-02-26T02:10:00+00:00,228.169,1.752,-13.027,33.431
2026-02-26T02:15:00+00:00,227.362,1.74,-12.95,33.451
2026-02-26T02:20:00+00:00,225.998,1.716,-12.892,33.431
2026-02-26T02:25:00+00:00,223.864,1.752,-12.79,33.486
2026-02-26T02:30:00+00:00,222.662,1.772,-12.727,33.479
2026-02-26T02:35:00+00:00,223.57,1.738,-12.782,33.483
2026-02-26T02:40:00+00:00,226.508,1.696,-12.933,33.528
2026-02-26T02:45:00+00:00,223.598,1.76,-12.802,33.548
2026-02-26T02:50:00+00:00,222.264,1.752,-12.712,33.579
2026-02-26T02:55:00+00:00,219.683,1.799,-12.579,33.59
2026-02-26T03:00:00+00:00,216.782,1.822,-12.407,33.622
2026-02-26T03:05:00+00:00,216.224,1.748,-12.369,33.632
