ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-26T00:05:00+00:00,98.373,5.173,-1.263,33.326
2026-02-26T00:10:00+00:00,105.474,5.558,-1.477,33.18
2026-02-26T00:15:00+00:00,109.61,5.787,-1.547,32.878
2026-02-26T00:20:00+00:00,109.532,5.789,-1.59,32.854
2026-02-26T00:25:00+00:00,108.471,5.7,-1.454,32.878
2026-02-26T00:30:00+00:00,106.983,5.606,-1.363,32.924
2026-02-26T00:35:00+00:00,107.346,5.618,-1.322,32.804
2026-02-26T00:40:00+00:00,107.113,5.624,-1.522,32.722
2026-02-26T00:45:00+00:00,99.685,5.065,-1.665,32.894
2026-02-26T00:50:00+00:00,95.578,4.942,-1.543,32.963
2026-02-26T00:55:00+00:00,95.22,4.929,-1.396,32.952
2026-02-26T01:00:00+00:00,95.728,4.964,-1.466,32.99
2026-02-26T01:05:00+00:00,95.634,4.946,-1.51,33.0
2026-02-26T01:10:00+00:00,95.363,4.906,-1.518,33.005
2026-02-26T01:15:00+00:00,95.158,4.808,-1.532,33.01
2026-02-26T01:20:00+00:00,93.393,4.752,-1.416,33.03
2026-02-26T01:25:00+00:00,91.883,4.735,-1.39,33.048
2026-02-26T01:30:00+00:00,90.055,4.698,-1.312,33.064
2026-02-26T01:35:00+00:00,89.441,4.632,-1.207,33.064
2026-02-26T01:40:00+00:00,89.564,4.584,-1.26,33.089
2026-02-26T01:45:00+00:00,89.318,4.572,-1.308,33.128
2026-02-26T01:50:00+00:00,89.054,4.602,-1.32,33.144
2026-02-26T01:55:00+00:00,90.043,4.618,-1.297,33.162
2026-02-26T02:00:00+00:00,86.649,4.535,-1.286,33.21
2026-02-26T02:05:00+00:00,89.428,4.71,-1.254,33.195
2026-02-26T02:10:00+00:00,90.535,4.794,-1.247,33.151
2026-02-26T02:15:00+00:00,91.429,4.784,-1.158,33.167
2026-02-26T02:20:00+00:00,92.611,4.801,-1.055,33.172
2026-02-26T02:25:00+00:00,89.653,4.745,-1.078,33.201
2026-02-26T02:30:00+00:00,90.658,4.776,-1.112,33.194
2026-02-26T02:35:00+00:00,91.628,4.776,-1.344,33.204
2026-02-26T02:40:00+00:00,88.002,4.665,-1.013,33.236
2026-02-26T02:45:00+00:00,86.004,4.585,-0.907,33.241
2026-02-26T02:50:00+00:00,86.502,4.646,-0.732,33.28
2026-02-26T02:55:00+00:00,86.631,4.693,-0.582,33.31
2026-02-26T03:00:00+00:00,86.239,4.589,-0.48,33.332
2026-02-26T03:05:00+00:00,86.371,4.61,-0.498,33.332
2026-02-26T03:10:00+00:00,86.649,4.61,-0.53,33.323
