ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-26T00:05:00+00:00,133.168,1.019,-7.656,33.658
2026-02-26T00:10:00+00:00,143.265,0.906,-8.194,33.416
2026-02-26T00:15:00+00:00,147.91,0.808,-8.501,33.536
2026-02-26T00:20:00+00:00,142.796,0.763,-8.223,33.611
2026-02-26T00:25:00+00:00,140.442,0.645,-8.183,33.651
2026-02-26T00:30:00+00:00,134.888,0.656,-7.827,33.711
2026-02-26T00:35:00+00:00,140.944,0.556,-8.127,33.538
2026-02-26T00:40:00+00:00,143.35,0.613,-8.233,33.442
2026-02-26T00:45:00+00:00,146.291,0.496,-8.394,33.394
2026-02-26T00:50:00+00:00,142.92,0.551,-8.208,33.421
2026-02-26T00:55:00+00:00,148.186,0.543,-8.527,33.41
2026-02-26T01:00:00+00:00,150.172,0.606,-8.658,33.452
2026-02-26T01:05:00+00:00,156.966,0.6,-9.066,33.456
2026-02-26T01:10:00+00:00,160.022,0.662,-9.246,33.471
2026-02-26T01:15:00+00:00,166.021,0.682,-9.58,33.466
2026-02-26T01:20:00+00:00,168.244,0.742,-9.727,33.494
2026-02-26T01:25:00+00:00,167.816,0.777,-9.691,33.525
2026-02-26T01:30:00+00:00,165.198,0.808,-9.565,33.543
2026-02-26T01:35:00+00:00,163.238,0.807,-9.451,33.558
2026-02-26T01:40:00+00:00,158.538,0.832,-9.19,33.589
2026-02-26T01:45:00+00:00,152.414,0.796,-8.848,33.633
2026-02-26T01:50:00+00:00,148.626,0.781,-8.621,33.65
2026-02-26T01:55:00+00:00,147.7,0.808,-8.584,33.665
2026-02-26T02:00:00+00:00,145.306,0.77,-8.457,33.721
2026-02-26T02:05:00+00:00,131.513,0.616,-7.655,33.677
2026-02-26T02:10:00+00:00,133.498,0.655,-7.756,33.626
2026-02-26T02:15:00+00:00,134.075,0.752,-7.846,33.666
2026-02-26T02:20:00+00:00,133.231,0.798,-7.71,33.654
2026-02-26T02:25:00+00:00,133.712,0.8,-7.751,33.691
2026-02-26T02:30:00+00:00,135.166,0.825,-7.845,33.702
2026-02-26T02:35:00+00:00,137.634,0.748,-8.066,33.704
2026-02-26T02:40:00+00:00,137.799,0.888,-8.001,33.781
2026-02-26T02:45:00+00:00,127.879,0.819,-7.414,33.8
2026-02-26T02:50:00+00:00,122.023,0.823,-7.072,33.829
2026-02-26T02:55:00+00:00,117.454,0.868,-6.816,33.858
2026-02-26T03:00:00+00:00,118.852,0.81,-6.919,33.868
2026-02-26T03:05:00+00:00,113.965,0.798,-6.609,33.888
2026-02-26T03:10:00+00:00,112.106,0.678,-6.49,33.846
2026-02-26T03:15:00+00:00,109.162,0.76,-6.306,33.896
2026-02-26T03:20:00+00:00,100.835,0.762,-5.827,33.934
2026-02-26T03:25:00+00:00,98.862,0.808,-5.761,34.004
2026-02-26T03:30:00+00:00,89.306,0.769,-5.11,34.01
2026-02-26T03:35:00+00:00,85.815,0.712,-4.847,33.981
2026-02-26T03:40:00+00:00,84.84,0.624,-4.834,33.994
2026-02-26T03:45:00+00:00,86.355,0.714,-4.933,34.005
2026-02-26T03:50:00+00:00,82.9,0.754,-4.716,34.06
2026-02-26T03:55:00+00:00,89.554,0.648,-4.285,33.967
2026-02-26T04:00:00+00:00,76.214,0.653,-4.248,33.875
2026-02-26T04:05:00+00:00,73.609,0.602,-4.111,33.812
2026-02-26T04:10:00+00:00,71.953,0.613,-3.866,33.828
2026-02-26T04:15:00+00:00,82.593,0.577,-3.717,33.824
2026-02-26T04:20:00+00:00,78.779,0.522,-3.476,33.828
2026-02-26T04:25:00+00:00,82.922,0.577,-3.778,33.836
2026-02-26T04:30:00+00:00,77.589,0.604,-4.028,33.845
2026-02-26T04:35:00+00:00,75.371,0.629,-4.236,33.858
2026-02-26T04:40:00+00:00,79.294,0.653,-4.524,33.866
2026-02-26T04:45:00+00:00,68.74,0.717,-3.825,33.723
2026-02-26T04:50:00+00:00,63.576,0.772,-3.444,33.743
2026-02-26T04:55:00+00:00,56.778,0.648,-2.919,33.747
2026-02-26T05:00:00+00:00,55.774,0.477,-2.068,33.734
2026-02-26T05:05:00+00:00,58.275,0.471,-2.111,33.636
2026-02-26T05:10:00+00:00,62.296,0.555,-2.469,33.598
2026-02-26T05:15:00+00:00,61.173,0.614,-3.121,33.601
2026-02-26T05:20:00+00:00,68.301,0.775,-3.436,33.643
2026-02-26T05:25:00+00:00,67.628,0.673,-3.01,33.635
2026-02-26T05:30:00+00:00,63.77,0.672,-3.419,33.634
2026-02-26T05:35:00+00:00,62.015,0.745,-3.412,33.626
2026-02-26T05:40:00+00:00,61.306,0.65,-3.427,33.6
2026-02-26T05:45:00+00:00,59.312,0.675,-3.125,33.597
2026-02-26T05:50:00+00:00,63.445,0.537,-2.186,33.54
2026-02-26T05:55:00+00:00,65.453,0.538,-2.044,33.512
2026-02-26T06:00:00+00:00,67.56,0.534,-2.208,33.457
2026-02-26T06:05:00+00:00,71.27,0.492,-2.294,33.299
2026-02-26T06:10:00+00:00,70.678,0.359,-2.964,33.68
2026-02-26T06:15:00+00:00,57.607,0.342,-2.686,33.701
2026-02-26T06:20:00+00:00,51.749,0.262,-2.521,33.782
2026-02-26T06:25:00+00:00,54.366,0.31,-2.907,33.762
2026-02-26T06:30:00+00:00,60.274,0.368,-3.204,33.761
2026-02-26T06:35:00+00:00,61.622,0.274,-3.477,33.69
2026-02-26T06:40:00+00:00,72.945,0.239,-4.174,33.547
2026-02-26T06:45:00+00:00,73.61,0.198,-4.175,33.607
2026-02-26T06:50:00+00:00,82.524,0.206,-4.756,33.837
2026-02-26T06:55:00+00:00,87.819,0.223,-5.039,33.829
2026-02-26T07:00:00+00:00,91.58,0.244,-5.242,33.772
2026-02-26T07:05:00+00:00,85.149,0.124,-4.816,33.707
2026-02-26T07:10:00+00:00,80.065,0.078,-4.488,33.567
2026-02-26T07:15:00+00:00,67.754,-0.069,-3.775,33.52
2026-02-26T07:20:00+00:00,76.666,-0.078,-4.264,33.524
2026-02-26T07:25:00+00:00,87.704,0.017,-4.893,33.496
2026-02-26T07:30:00+00:00,98.251,0.126,-5.548,33.436
2026-02-26T07:35:00+00:00,95.124,0.102,-5.388,33.384
2026-02-26T07:40:00+00:00,76.876,-0.116,-4.316,33.346
2026-02-26T07:45:00+00:00,78.658,-0.127,-4.441,33.394
2026-02-26T07:50:00+00:00,81.354,-0.137,-4.692,33.448
2026-02-26T07:55:00+00:00,83.899,-0.125,-4.726,33.439
2026-02-26T08:00:00+00:00,72.074,-0.237,-4.073,33.425
2026-02-26T08:05:00+00:00,71.191,-0.286,-4.0,33.353
2026-02-26T08:10:00+00:00,70.849,-0.423,-3.869,33.534
2026-02-26T08:15:00+00:00,58.358,-0.503,-3.115,33.632
2026-02-26T08:20:00+00:00,60.181,-0.423,-3.308,33.662
2026-02-26T08:25:00+00:00,72.628,-0.539,-3.355,33.654
2026-02-26T08:30:00+00:00,67.586,-0.538,-3.232,33.646
2026-02-26T08:35:00+00:00,67.649,-0.472,-3.814,33.659
2026-02-26T08:40:00+00:00,64.638,-0.422,-3.724,33.662
2026-02-26T08:45:00+00:00,66.547,-0.368,-3.836,33.658
2026-02-26T08:50:00+00:00,67.085,-0.378,-3.737,33.672
2026-02-26T08:55:00+00:00,63.006,-0.45,-3.546,33.671
2026-02-26T09:00:00+00:00,59.159,-0.655,-3.078,33.647
2026-02-26T09:05:00+00:00,56.932,-0.797,-2.17,33.634
2026-02-26T09:10:00+00:00,53.854,-0.738,-1.851,33.647
2026-02-26T09:15:00+00:00,54.753,-0.708,-1.802,33.634
2026-02-26T09:20:00+00:00,51.948,-0.75,-1.446,33.693
2026-02-26T09:25:00+00:00,55.196,-0.803,-1.276,33.7
2026-02-26T09:30:00+00:00,57.468,-0.762,-1.627,33.704
2026-02-26T09:35:00+00:00,55.986,-0.706,-1.749,33.706
2026-02-26T09:40:00+00:00,60.139,-0.769,-1.823,33.688
2026-02-26T09:45:00+00:00,60.564,-0.783,-1.579,33.715
2026-02-26T09:50:00+00:00,56.09,-0.78,-1.751,33.752
2026-02-26T09:55:00+00:00,51.067,-0.746,-1.952,33.794
2026-02-26T10:00:00+00:00,46.597,-0.692,-2.204,33.842
2026-02-26T10:05:00+00:00,56.733,-0.725,-2.151,33.832
2026-02-26T10:10:00+00:00,64.36,-0.755,-2.084,33.804
2026-02-26T10:15:00+00:00,57.742,-0.722,-1.748,33.824
2026-02-26T10:20:00+00:00,54.719,-0.804,-0.866,33.842
2026-02-26T10:25:00+00:00,54.307,-0.803,-0.704,33.807
2026-02-26T10:30:00+00:00,56.672,-0.842,-0.242,33.819
2026-02-26T10:35:00+00:00,49.59,-0.788,0.24,33.861
2026-02-26T10:40:00+00:00,57.966,-0.856,0.218,33.799
2026-02-26T10:45:00+00:00,58.87,-0.861,0.46,33.796
2026-02-26T10:50:00+00:00,63.198,-0.861,0.764,33.807
