ValueDate,Current Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-26T00:05:00+00:00,381.325,4.188,-21.378,33.094
2026-02-26T00:10:00+00:00,399.323,4.072,-22.307,32.884
2026-02-26T00:15:00+00:00,406.146,3.902,-22.755,32.788
2026-02-26T00:20:00+00:00,398.96,4.116,-22.393,32.846
2026-02-26T00:25:00+00:00,396.416,4.116,-22.28,32.888
2026-02-26T00:30:00+00:00,390.532,4.281,-21.96,32.968
2026-02-26T00:35:00+00:00,408.216,3.968,-22.91,32.798
2026-02-26T00:40:00+00:00,425.574,3.768,-23.856,32.649
2026-02-26T00:45:00+00:00,429.514,3.706,-24.096,32.643
2026-02-26T00:50:00+00:00,428.512,3.863,-24.014,32.659
2026-02-26T00:55:00+00:00,425.944,3.87,-23.858,32.651
2026-02-26T01:00:00+00:00,425.182,3.964,-23.866,32.698
2026-02-26T01:05:00+00:00,425.734,4.043,-23.879,32.713
2026-02-26T01:10:00+00:00,423.231,4.042,-23.734,32.74
2026-02-26T01:15:00+00:00,417.766,4.116,-23.438,32.766
2026-02-26T01:20:00+00:00,413.813,4.091,-23.227,32.79
2026-02-26T01:25:00+00:00,410.414,4.08,-23.069,32.829
2026-02-26T01:30:00+00:00,406.19,4.174,-22.822,32.862
2026-02-26T01:35:00+00:00,402.573,4.144,-22.616,32.874
2026-02-26T01:40:00+00:00,399.538,4.158,-22.425,32.912
2026-02-26T01:45:00+00:00,396.406,4.188,-22.284,32.962
2026-02-26T01:50:00+00:00,395.643,4.187,-22.237,32.967
2026-02-26T01:55:00+00:00,391.785,4.166,-22.007,32.964
2026-02-26T02:00:00+00:00,391.345,4.088,-22.064,33.026
2026-02-26T02:05:00+00:00,394.269,4.042,-22.214,32.984
2026-02-26T02:10:00+00:00,388.65,4.177,-21.846,32.952
2026-02-26T02:15:00+00:00,383.074,4.19,-21.53,32.986
2026-02-26T02:20:00+00:00,384.187,4.178,-21.581,32.961
2026-02-26T02:25:00+00:00,380.374,4.219,-21.402,33.002
2026-02-26T02:30:00+00:00,376.013,4.18,-21.156,33.0
2026-02-26T02:35:00+00:00,372.086,4.36,-20.93,33.011
2026-02-26T02:40:00+00:00,374.403,4.4,-21.066,33.063
2026-02-26T02:45:00+00:00,375.519,4.43,-21.126,33.07
2026-02-26T02:50:00+00:00,375.825,4.241,-21.195,33.083
2026-02-26T02:55:00+00:00,371.422,4.323,-20.95,33.104
2026-02-26T03:00:00+00:00,369.581,4.209,-20.85,33.134
2026-02-26T03:05:00+00:00,365.605,4.185,-20.654,33.154
2026-02-26T03:10:00+00:00,364.339,4.188,-20.557,33.122
2026-02-26T03:15:00+00:00,362.138,4.296,-20.44,33.169
2026-02-26T03:20:00+00:00,359.05,4.311,-20.277,33.202
2026-02-26T03:25:00+00:00,355.604,4.32,-20.094,33.259
2026-02-26T03:30:00+00:00,344.831,4.556,-19.443,33.313
2026-02-26T03:35:00+00:00,344.27,4.518,-19.37,33.294
2026-02-26T03:40:00+00:00,341.608,4.594,-19.219,33.312
2026-02-26T03:45:00+00:00,340.703,4.536,-19.184,33.321
2026-02-26T03:50:00+00:00,339.626,4.562,-19.138,33.371
2026-02-26T03:55:00+00:00,337.168,4.615,-19.02,33.406
2026-02-26T04:00:00+00:00,337.415,4.722,-18.988,33.404
2026-02-26T04:05:00+00:00,342.207,4.52,-18.994,33.123
2026-02-26T04:10:00+00:00,345.718,4.532,-19.203,33.114
2026-02-26T04:15:00+00:00,340.721,4.536,-18.916,33.127
2026-02-26T04:20:00+00:00,338.901,4.504,-18.807,33.134
2026-02-26T04:25:00+00:00,336.194,4.507,-18.665,33.124
2026-02-26T04:30:00+00:00,333.938,4.502,-18.527,33.134
2026-02-26T04:35:00+00:00,333.004,4.524,-18.474,33.127
2026-02-26T04:40:00+00:00,328.716,4.654,-18.226,33.145
2026-02-26T04:45:00+00:00,324.633,4.508,-18.053,32.99
2026-02-26T04:50:00+00:00,325.602,4.636,-18.1,33.012
2026-02-26T04:55:00+00:00,327.334,4.582,-18.208,33.035
2026-02-26T05:00:00+00:00,327.928,4.609,-18.239,33.026
2026-02-26T05:05:00+00:00,329.227,4.432,-18.28,32.944
2026-02-26T05:10:00+00:00,333.709,4.416,-18.566,32.892
2026-02-26T05:15:00+00:00,333.304,4.47,-18.506,32.92
2026-02-26T05:20:00+00:00,332.737,4.443,-18.496,32.946
2026-02-26T05:25:00+00:00,333.028,4.516,-18.502,32.92
2026-02-26T05:30:00+00:00,332.33,4.613,-18.431,32.921
2026-02-26T05:35:00+00:00,335.104,4.394,-18.61,32.896
2026-02-26T05:40:00+00:00,334.25,4.454,-18.543,32.892
2026-02-26T05:45:00+00:00,342.429,4.352,-19.022,32.872
2026-02-26T05:50:00+00:00,344.749,4.271,-19.156,32.827
2026-02-26T05:55:00+00:00,351.222,4.272,-19.52,32.775
2026-02-26T06:00:00+00:00,357.96,4.156,-19.882,32.699
2026-02-26T06:05:00+00:00,375.568,3.907,-20.906,32.6
2026-02-26T06:10:00+00:00,391.217,3.39,-22.004,32.79
2026-02-26T06:15:00+00:00,395.802,3.431,-22.281,32.822
2026-02-26T06:20:00+00:00,400.558,3.286,-22.65,32.914
2026-02-26T06:25:00+00:00,403.213,3.441,-22.776,32.877
2026-02-26T06:30:00+00:00,406.492,3.444,-22.932,32.854
2026-02-26T06:35:00+00:00,418.584,3.228,-23.604,32.766
2026-02-26T06:40:00+00:00,433.893,2.934,-24.385,32.611
2026-02-26T06:45:00+00:00,439.634,3.016,-24.715,32.646
2026-02-26T06:50:00+00:00,437.798,3.028,-24.81,32.86
2026-02-26T06:55:00+00:00,435.008,3.122,-24.6,32.866
2026-02-26T07:00:00+00:00,440.856,3.05,-24.904,32.814
2026-02-26T07:05:00+00:00,453.172,3.132,-25.578,32.732
2026-02-26T07:10:00+00:00,464.552,3.009,-26.12,32.587
2026-02-26T07:15:00+00:00,475.954,2.868,-26.76,32.656
2026-02-26T07:20:00+00:00,475.08,2.926,-26.762,32.801
2026-02-26T07:25:00+00:00,479.233,2.846,-26.978,32.745
2026-02-26T07:30:00+00:00,476.85,2.707,-26.796,32.745
2026-02-26T07:35:00+00:00,476.679,2.733,-27.12,32.896
2026-02-26T07:40:00+00:00,480.694,2.508,-27.375,32.891
2026-02-26T07:45:00+00:00,482.008,2.487,-27.405,32.864
2026-02-26T07:50:00+00:00,483.506,2.43,-27.489,32.871
2026-02-26T07:55:00+00:00,491.302,2.434,-27.934,32.838
2026-02-26T08:00:00+00:00,493.884,2.43,-28.071,32.809
2026-02-26T08:05:00+00:00,497.18,2.38,-28.178,32.699
2026-02-26T08:10:00+00:00,509.602,2.195,-28.806,32.631
2026-02-26T08:15:00+00:00,514.074,2.207,-29.108,32.684
2026-02-26T08:20:00+00:00,519.757,2.051,-29.458,32.703
2026-02-26T08:25:00+00:00,514.606,1.962,-29.172,32.727
2026-02-26T08:30:00+00:00,515.664,1.975,-29.249,32.711
2026-02-26T08:35:00+00:00,515.928,2.055,-29.257,32.725
2026-02-26T08:40:00+00:00,516.15,2.048,-29.233,32.72
2026-02-26T08:45:00+00:00,516.482,1.981,-29.24,32.708
2026-02-26T08:50:00+00:00,514.777,2.106,-29.191,32.722
2026-02-26T08:55:00+00:00,504.269,2.062,-28.569,32.763
2026-02-26T09:00:00+00:00,503.281,2.036,-28.559,32.741
2026-02-26T09:05:00+00:00,504.566,1.919,-28.586,32.73
2026-02-26T09:10:00+00:00,510.269,1.928,-28.935,32.726
2026-02-26T09:15:00+00:00,514.455,1.801,-29.132,32.721
2026-02-26T09:20:00+00:00,521.85,1.76,-29.608,32.761
2026-02-26T09:25:00+00:00,518.561,1.814,-29.446,32.792
2026-02-26T09:30:00+00:00,513.691,1.978,-29.178,32.82
2026-02-26T09:35:00+00:00,515.676,1.928,-29.312,32.839
2026-02-26T09:40:00+00:00,507.322,1.906,-28.828,32.852
2026-02-26T09:45:00+00:00,506.862,1.848,-28.804,32.854
2026-02-26T09:50:00+00:00,509.589,2.003,-29.021,32.901
2026-02-26T09:55:00+00:00,517.414,2.081,-29.491,32.939
2026-02-26T10:00:00+00:00,520.192,2.016,-29.67,32.966
2026-02-26T10:05:00+00:00,517.996,1.981,-29.526,32.953
2026-02-26T10:10:00+00:00,521.708,1.996,-29.731,32.928
2026-02-26T10:15:00+00:00,519.741,2.008,-29.639,32.926
2026-02-26T10:20:00+00:00,521.422,1.961,-29.734,32.939
2026-02-26T10:25:00+00:00,525.346,1.93,-29.928,32.892
2026-02-26T10:30:00+00:00,527.246,1.93,-30.02,32.874
2026-02-26T10:35:00+00:00,524.052,1.972,-29.879,32.937
2026-02-26T10:40:00+00:00,521.651,1.93,-29.724,32.898
2026-02-26T10:45:00+00:00,522.284,1.896,-29.743,32.882
2026-02-26T10:50:00+00:00,516.138,1.886,-29.397,32.893
2026-02-26T10:55:00+00:00,518.309,1.812,-29.509,32.878
2026-02-26T11:00:00+00:00,520.128,1.678,-29.622,32.886
2026-02-26T11:05:00+00:00,529.173,1.506,-30.167,32.888
2026-02-26T11:10:00+00:00,526.888,1.667,-30.057,32.917
2026-02-26T11:15:00+00:00,532.704,1.512,-30.398,32.918
2026-02-26T11:20:00+00:00,527.81,1.624,-30.136,32.94
2026-02-26T11:25:00+00:00,525.509,1.688,-29.983,32.936
2026-02-26T11:30:00+00:00,518.929,1.658,-29.582,32.894
2026-02-26T11:35:00+00:00,502.705,1.773,-28.692,32.933
2026-02-26T11:40:00+00:00,497.404,1.699,-28.434,32.968
2026-02-26T11:45:00+00:00,498.247,1.728,-28.48,33.0
2026-02-26T11:50:00+00:00,496.83,1.837,-28.451,33.043
2026-02-26T11:55:00+00:00,489.554,1.889,-28.059,33.071
2026-02-26T12:00:00+00:00,491.192,1.876,-28.135,33.062
2026-02-26T12:05:00+00:00,490.444,2.079,-28.106,33.07
2026-02-26T12:10:00+00:00,500.51,1.974,-28.654,33.062
2026-02-26T12:15:00+00:00,506.522,1.831,-29.008,33.05
2026-02-26T12:20:00+00:00,508.303,1.878,-29.094,33.03
2026-02-26T12:25:00+00:00,505.879,1.938,-28.955,33.055
2026-02-26T12:30:00+00:00,502.511,1.922,-28.77,33.051
2026-02-26T12:35:00+00:00,512.099,1.954,-29.233,32.972
2026-02-26T12:40:00+00:00,515.448,1.811,-29.393,32.953
2026-02-26T12:45:00+00:00,519.764,1.768,-29.643,32.945
2026-02-26T12:50:00+00:00,522.159,1.876,-29.777,32.927
2026-02-26T12:55:00+00:00,525.549,1.904,-29.961,32.929
2026-02-26T13:00:00+00:00,523.774,1.93,-29.899,32.97
2026-02-26T13:05:00+00:00,527.202,1.958,-30.09,32.949
2026-02-26T13:10:00+00:00,526.737,1.901,-29.999,32.903
2026-02-26T13:15:00+00:00,531.16,2.075,-30.301,32.942
2026-02-26T13:20:00+00:00,529.229,2.213,-30.234,32.989
2026-02-26T13:25:00+00:00,530.502,2.248,-30.335,33.006
2026-02-26T13:30:00+00:00,531.892,2.142,-30.315,32.912
2026-02-26T13:35:00+00:00,533.479,2.176,-30.456,32.907
2026-02-26T13:40:00+00:00,529.704,2.262,-30.192,32.918
2026-02-26T13:45:00+00:00,533.594,2.27,-30.384,32.872
2026-02-26T13:50:00+00:00,536.604,2.045,-30.521,32.85
2026-02-26T13:55:00+00:00,536.216,1.994,-30.552,32.93
2026-02-26T14:00:00+00:00,539.352,1.912,-30.706,32.872
2026-02-26T14:05:00+00:00,539.296,1.757,-30.69,32.869
2026-02-26T14:10:00+00:00,536.452,1.886,-30.551,32.877
2026-02-26T14:15:00+00:00,533.212,1.986,-30.365,32.848
2026-02-26T14:20:00+00:00,528.682,1.946,-30.099,32.892
2026-02-26T14:25:00+00:00,521.003,2.08,-29.675,32.892
2026-02-26T14:30:00+00:00,515.848,2.128,-29.367,32.884
2026-02-26T14:35:00+00:00,520.152,2.13,-29.636,32.874
2026-02-26T14:40:00+00:00,518.541,2.208,-29.555,32.914
2026-02-26T14:45:00+00:00,516.353,2.196,-29.398,32.908
2026-02-26T14:50:00+00:00,520.888,2.085,-29.684,32.921
2026-02-26T14:55:00+00:00,528.512,1.966,-30.124,32.895
2026-02-26T15:00:00+00:00,524.986,1.88,-30.176,33.166
2026-02-26T15:05:00+00:00,529.516,1.82,-30.507,33.208
2026-02-26T15:10:00+00:00,525.049,1.86,-30.301,33.264
2026-02-26T15:15:00+00:00,526.276,1.76,-30.406,33.322
2026-02-26T15:20:00+00:00,525.361,1.757,-30.382,33.347
2026-02-26T15:25:00+00:00,520.188,1.888,-30.066,33.353
2026-02-26T15:30:00+00:00,517.97,1.989,-29.914,33.327
2026-02-26T15:35:00+00:00,519.085,2.091,-29.96,33.325
2026-02-26T15:40:00+00:00,517.024,2.124,-29.792,33.296
2026-02-26T15:45:00+00:00,521.371,2.103,-30.056,33.257
