ValueDate,Current Inst,MVA Inst,MVAr Inst,MW Inst,Volts Inst
2026-02-26T00:05:00+00:00,260.561,15.583,3.249,-12.62,34.055
2026-02-26T00:10:00+00:00,272.246,16.215,3.29,-13.49,33.974
2026-02-26T00:15:00+00:00,276.046,16.273,2.719,-14.101,33.794
2026-02-26T00:20:00+00:00,268.1,15.969,2.556,-14.401,33.897
2026-02-26T00:25:00+00:00,268.7,16.141,2.526,-14.572,33.875
2026-02-26T00:30:00+00:00,270.869,16.321,2.447,-14.728,33.798
2026-02-26T00:35:00+00:00,280.117,16.588,2.368,-15.002,33.71
2026-02-26T00:40:00+00:00,288.777,16.973,2.319,-15.485,33.639
2026-02-26T00:45:00+00:00,290.953,17.184,2.313,-15.611,33.581
2026-02-26T00:50:00+00:00,289.785,17.031,2.325,-15.514,33.564
2026-02-26T00:55:00+00:00,288.572,16.93,2.339,-15.466,33.597
2026-02-26T01:00:00+00:00,289.496,16.93,2.352,-15.429,33.735
2026-02-26T01:05:00+00:00,289.809,16.951,2.366,-15.391,33.765
2026-02-26T01:10:00+00:00,288.248,16.902,2.38,-15.354,33.787
2026-02-26T01:15:00+00:00,286.651,16.849,2.394,-15.317,33.809
2026-02-26T01:20:00+00:00,284.698,16.797,2.407,-15.279,33.832
2026-02-26T01:25:00+00:00,283.082,16.746,2.421,-15.242,33.853
2026-02-26T01:30:00+00:00,281.805,16.695,2.434,-15.19,33.876
2026-02-26T01:35:00+00:00,279.945,16.626,2.448,-15.093,33.898
2026-02-26T01:40:00+00:00,278.671,16.55,2.462,-14.979,33.919
2026-02-26T01:45:00+00:00,276.037,16.472,2.475,-14.866,33.935
2026-02-26T01:50:00+00:00,273.703,16.403,2.489,-14.765,33.932
2026-02-26T01:55:00+00:00,272.593,16.337,2.503,-14.678,33.928
2026-02-26T02:00:00+00:00,272.818,16.272,2.517,-14.617,33.913
2026-02-26T02:05:00+00:00,275.364,16.21,2.53,-14.745,33.869
2026-02-26T02:10:00+00:00,273.115,16.149,2.544,-14.652,33.85
2026-02-26T02:15:00+00:00,274.348,16.077,2.558,-14.556,33.965
2026-02-26T02:20:00+00:00,272.011,16.0,2.571,-14.475,33.987
2026-02-26T02:25:00+00:00,268.439,15.874,2.585,-14.316,34.005
2026-02-26T02:30:00+00:00,265.842,15.74,2.599,-14.148,34.025
2026-02-26T02:35:00+00:00,267.771,15.686,2.633,-14.078,34.044
2026-02-26T02:40:00+00:00,267.096,15.635,2.69,-14.011,34.063
2026-02-26T02:45:00+00:00,264.665,15.584,2.748,-13.944,34.082
2026-02-26T02:50:00+00:00,263.312,15.533,2.805,-13.872,34.101
2026-02-26T02:55:00+00:00,260.172,15.482,2.862,-13.789,34.12
2026-02-26T03:00:00+00:00,258.234,15.427,2.911,-13.693,34.13
2026-02-26T03:05:00+00:00,257.81,15.35,2.91,-13.585,34.057
2026-02-26T03:10:00+00:00,255.23,15.261,2.899,-13.477,34.049
2026-02-26T03:15:00+00:00,253.291,15.171,2.889,-13.37,34.12
2026-02-26T03:20:00+00:00,254.178,15.097,2.878,-13.275,34.185
2026-02-26T03:25:00+00:00,252.162,15.031,2.868,-13.19,34.218
2026-02-26T03:30:00+00:00,249.551,14.966,2.857,-13.104,34.246
2026-02-26T03:35:00+00:00,248.315,14.896,2.847,-13.012,34.275
2026-02-26T03:40:00+00:00,246.548,14.818,2.837,-12.918,34.303
2026-02-26T03:45:00+00:00,245.036,14.707,2.827,-12.796,34.331
2026-02-26T03:50:00+00:00,242.884,14.631,2.816,-12.636,34.34
2026-02-26T03:55:00+00:00,250.151,14.991,2.806,-12.529,34.299
2026-02-26T04:00:00+00:00,258.43,15.362,2.804,-12.432,34.209
2026-02-26T04:05:00+00:00,259.627,15.381,2.849,-12.368,34.129
2026-02-26T04:10:00+00:00,259.872,15.316,2.901,-12.313,34.186
2026-02-26T04:15:00+00:00,258.253,15.252,2.952,-12.258,34.187
2026-02-26T04:20:00+00:00,254.623,15.187,3.004,-12.202,34.18
2026-02-26T04:25:00+00:00,253.726,15.113,3.055,-12.159,34.187
2026-02-26T04:30:00+00:00,253.709,15.021,3.107,-12.145,34.222
2026-02-26T04:35:00+00:00,254.602,14.923,3.159,-12.137,34.258
2026-02-26T04:40:00+00:00,255.089,14.823,3.21,-12.13,34.294
2026-02-26T04:45:00+00:00,254.907,14.723,3.262,-12.123,34.33
2026-02-26T04:50:00+00:00,255.699,14.623,3.314,-12.117,34.242
2026-02-26T04:55:00+00:00,256.355,14.503,3.323,-12.11,33.778
2026-02-26T05:00:00+00:00,248.157,14.257,2.97,-12.103,33.586
2026-02-26T05:05:00+00:00,237.428,14.097,2.689,-12.095,33.541
2026-02-26T05:10:00+00:00,236.275,14.126,2.718,-12.085,33.532
2026-02-26T05:15:00+00:00,236.732,14.158,2.755,-12.096,33.554
2026-02-26T05:20:00+00:00,237.322,14.19,2.791,-12.117,33.538
2026-02-26T05:25:00+00:00,236.5,14.221,2.828,-12.138,33.511
2026-02-26T05:30:00+00:00,237.513,14.253,2.865,-12.19,33.484
2026-02-26T05:35:00+00:00,239.585,14.285,2.902,-12.287,33.457
2026-02-26T05:40:00+00:00,240.731,14.317,2.939,-12.355,33.43
2026-02-26T05:45:00+00:00,240.18,14.348,2.976,-12.419,33.403
2026-02-26T05:50:00+00:00,241.958,14.38,3.013,-12.484,33.387
2026-02-26T05:55:00+00:00,242.675,14.42,3.05,-12.549,33.447
2026-02-26T06:00:00+00:00,245.982,14.533,3.087,-12.695,33.396
2026-02-26T06:05:00+00:00,245.992,14.532,3.013,-13.048,33.323
2026-02-26T06:10:00+00:00,238.574,14.081,2.294,-13.502,33.603
2026-02-26T06:15:00+00:00,241.344,14.278,2.179,-13.744,33.692
2026-02-26T06:20:00+00:00,244.125,14.459,2.117,-13.904,33.768
2026-02-26T06:25:00+00:00,247.078,14.672,2.055,-14.163,33.689
2026-02-26T06:30:00+00:00,252.261,15.024,1.992,-14.502,33.634
2026-02-26T06:35:00+00:00,258.75,15.339,1.979,-14.855,33.574
2026-02-26T06:40:00+00:00,263.691,15.691,1.798,-15.337,33.682
2026-02-26T06:45:00+00:00,260.721,15.686,1.652,-15.597,33.884
2026-02-26T06:50:00+00:00,262.469,15.805,1.599,-15.71,34.013
