ValueDate,Amps,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,307.092,1.122,-5.795,11.1
2026-02-26T00:10:00+00:00,310.472,1.098,-5.842,11.032
2026-02-26T00:15:00+00:00,307.769,1.122,-5.79,11.0
2026-02-26T00:20:00+00:00,305.424,1.107,-5.719,11.0
2026-02-26T00:25:00+00:00,305.698,1.11,-5.736,11.033
2026-02-26T00:30:00+00:00,303.308,1.136,-5.683,11.094
2026-02-26T00:35:00+00:00,311.248,1.08,-5.868,11.006
2026-02-26T00:40:00+00:00,315.777,1.11,-5.915,10.96
2026-02-26T00:45:00+00:00,326.952,1.058,-6.108,10.939
2026-02-26T00:50:00+00:00,326.272,1.072,-6.096,10.923
2026-02-26T00:55:00+00:00,323.451,1.102,-6.049,10.949
2026-02-26T01:00:00+00:00,318.119,1.102,-5.967,10.998
2026-02-26T01:05:00+00:00,314.597,1.144,-5.876,11.0
2026-02-26T01:10:00+00:00,314.857,1.146,-5.886,11.0
2026-02-26T01:15:00+00:00,311.867,1.166,-5.84,11.0
2026-02-26T01:20:00+00:00,311.284,1.148,-5.838,11.008
2026-02-26T01:25:00+00:00,311.404,1.128,-5.861,11.08
2026-02-26T01:30:00+00:00,306.813,1.129,-5.78,11.1
2026-02-26T01:35:00+00:00,303.439,1.118,-5.72,11.1
2026-02-26T01:40:00+00:00,301.551,1.12,-5.692,11.1
2026-02-26T01:45:00+00:00,304.31,1.148,-5.745,11.1
2026-02-26T01:50:00+00:00,300.831,1.15,-5.676,11.1
2026-02-26T01:55:00+00:00,295.424,1.15,-5.584,11.1
2026-02-26T02:00:00+00:00,289.918,1.142,-5.486,11.1
2026-02-26T02:05:00+00:00,289.216,1.092,-5.458,11.1
2026-02-26T02:10:00+00:00,290.143,1.114,-5.474,11.1
2026-02-26T02:15:00+00:00,289.998,1.102,-5.48,11.1
2026-02-26T02:20:00+00:00,290.424,1.112,-5.478,11.1
2026-02-26T02:25:00+00:00,289.762,1.094,-5.479,11.1
2026-02-26T02:30:00+00:00,287.111,1.086,-5.432,11.1
2026-02-26T02:35:00+00:00,286.802,1.124,-5.428,11.1
2026-02-26T02:40:00+00:00,288.548,1.144,-5.471,11.1
2026-02-26T02:45:00+00:00,285.76,1.126,-5.423,11.14
2026-02-26T02:50:00+00:00,281.13,1.128,-5.326,11.188
2026-02-26T02:55:00+00:00,279.086,1.13,-5.264,11.112
2026-02-26T03:00:00+00:00,278.502,1.103,-5.239,11.1
2026-02-26T03:05:00+00:00,278.902,1.1,-5.258,11.069
2026-02-26T03:10:00+00:00,273.687,1.091,-5.126,11.052
2026-02-26T03:15:00+00:00,273.31,1.096,-5.14,11.074
2026-02-26T03:20:00+00:00,274.67,1.11,-5.167,11.082
2026-02-26T03:25:00+00:00,273.078,1.107,-5.142,11.1
2026-02-26T03:30:00+00:00,271.166,1.095,-5.11,11.1
2026-02-26T03:35:00+00:00,272.774,1.102,-5.116,11.1
2026-02-26T03:40:00+00:00,271.111,1.088,-5.105,11.1
2026-02-26T03:45:00+00:00,272.454,1.13,-5.132,11.106
2026-02-26T03:50:00+00:00,272.695,1.122,-5.122,11.131
2026-02-26T03:55:00+00:00,274.619,1.086,-5.156,11.125
2026-02-26T04:00:00+00:00,272.411,1.099,-5.121,11.085
2026-02-26T04:05:00+00:00,270.33,1.068,-5.036,11.0
2026-02-26T04:10:00+00:00,271.034,1.064,-5.057,11.0
2026-02-26T04:15:00+00:00,270.581,1.082,-5.03,11.0
2026-02-26T04:20:00+00:00,272.08,1.1,-5.072,11.0
2026-02-26T04:25:00+00:00,271.908,1.082,-5.07,11.0
2026-02-26T04:30:00+00:00,269.448,1.092,-5.026,11.0
2026-02-26T04:35:00+00:00,273.312,1.104,-5.102,11.0
2026-02-26T04:40:00+00:00,271.412,1.098,-5.056,11.0
2026-02-26T04:45:00+00:00,273.108,1.079,-5.106,11.0
2026-02-26T04:50:00+00:00,275.146,1.086,-5.141,11.0
2026-02-26T04:55:00+00:00,280.604,1.102,-5.254,11.0
2026-02-26T05:00:00+00:00,277.307,1.084,-5.174,11.0
2026-02-26T05:05:00+00:00,280.308,1.084,-5.192,10.92
2026-02-26T05:10:00+00:00,281.894,1.082,-5.228,10.9
2026-02-26T05:15:00+00:00,281.758,1.086,-5.244,10.9
2026-02-26T05:20:00+00:00,289.75,1.081,-5.358,10.9
2026-02-26T05:25:00+00:00,289.831,1.086,-5.356,10.9
2026-02-26T05:30:00+00:00,286.806,1.072,-5.3,10.9
2026-02-26T05:35:00+00:00,285.823,1.043,-5.292,10.9
2026-02-26T05:40:00+00:00,290.775,1.082,-5.398,10.9
2026-02-26T05:45:00+00:00,293.376,1.062,-5.451,10.9
2026-02-26T05:50:00+00:00,303.244,1.042,-5.644,10.9
2026-02-26T05:55:00+00:00,311.77,0.934,-5.802,10.889
2026-02-26T06:00:00+00:00,312.599,0.953,-5.85,10.928
2026-02-26T06:05:00+00:00,327.775,0.945,-6.125,10.908
2026-02-26T06:10:00+00:00,327.412,0.896,-6.168,11.015
2026-02-26T06:15:00+00:00,330.72,0.89,-6.279,11.1
2026-02-26T06:20:00+00:00,342.598,0.817,-6.504,11.093
2026-02-26T06:25:00+00:00,350.606,0.805,-6.63,11.022
2026-02-26T06:30:00+00:00,350.894,0.853,-6.641,11.018
