ValueDate,Amps,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,264.068,1.936,-4.861,11.301
2026-02-26T00:10:00+00:00,268.823,1.959,-4.909,11.3
2026-02-26T00:15:00+00:00,273.141,1.952,-4.957,11.3
2026-02-26T00:20:00+00:00,270.918,1.954,-4.913,11.3
2026-02-26T00:25:00+00:00,268.777,1.949,-4.897,11.3
2026-02-26T00:30:00+00:00,264.667,1.941,-4.851,11.3
2026-02-26T00:35:00+00:00,273.351,1.824,-5.065,11.285
2026-02-26T00:40:00+00:00,280.943,1.869,-5.201,11.296
2026-02-26T00:45:00+00:00,278.826,1.842,-5.194,11.4
2026-02-26T00:50:00+00:00,275.838,1.862,-5.113,11.4
2026-02-26T00:55:00+00:00,271.224,1.846,-5.053,11.4
2026-02-26T01:00:00+00:00,274.35,1.857,-5.091,11.4
2026-02-26T01:05:00+00:00,276.602,1.856,-5.147,11.4
2026-02-26T01:10:00+00:00,275.433,1.842,-5.132,11.4
2026-02-26T01:15:00+00:00,271.694,1.865,-5.108,11.4
2026-02-26T01:20:00+00:00,269.47,1.956,-5.056,11.4
2026-02-26T01:25:00+00:00,268.396,1.872,-5.031,11.4
2026-02-26T01:30:00+00:00,267.569,1.828,-5.026,11.4
2026-02-26T01:35:00+00:00,269.862,1.865,-5.08,11.4
2026-02-26T01:40:00+00:00,267.345,1.833,-5.024,11.411
2026-02-26T01:45:00+00:00,264.479,1.944,-4.96,11.467
2026-02-26T01:50:00+00:00,262.861,1.951,-4.934,11.471
2026-02-26T01:55:00+00:00,259.781,1.953,-4.864,11.5
2026-02-26T02:00:00+00:00,259.253,1.94,-4.856,11.5
2026-02-26T02:05:00+00:00,260.145,1.941,-4.857,11.459
2026-02-26T02:10:00+00:00,259.848,1.968,-4.771,11.5
2026-02-26T02:15:00+00:00,260.399,1.893,-4.795,11.5
2026-02-26T02:20:00+00:00,273.86,1.881,-5.099,11.5
2026-02-26T02:25:00+00:00,274.715,1.93,-5.12,11.5
2026-02-26T02:30:00+00:00,292.835,1.84,-5.535,11.5
2026-02-26T02:35:00+00:00,290.26,1.867,-5.468,11.5
2026-02-26T02:40:00+00:00,285.756,1.871,-5.371,11.5
2026-02-26T02:45:00+00:00,279.839,1.856,-5.262,11.5
2026-02-26T02:50:00+00:00,275.566,1.932,-5.18,11.5
2026-02-26T02:55:00+00:00,267.264,1.864,-5.065,11.5
2026-02-26T03:00:00+00:00,265.45,1.855,-5.03,11.5
2026-02-26T03:05:00+00:00,258.733,1.849,-4.844,11.5
2026-02-26T03:10:00+00:00,259.583,1.82,-4.874,11.5
2026-02-26T03:15:00+00:00,258.833,1.858,-4.816,11.5
2026-02-26T03:20:00+00:00,257.45,1.951,-4.785,11.5
2026-02-26T03:25:00+00:00,252.037,1.944,-4.653,11.459
2026-02-26T03:30:00+00:00,252.128,1.895,-4.575,11.3
2026-02-26T03:35:00+00:00,255.668,1.839,-4.646,11.3
2026-02-26T03:40:00+00:00,253.772,1.851,-4.641,11.3
2026-02-26T03:45:00+00:00,251.481,1.883,-4.59,11.351
2026-02-26T03:50:00+00:00,248.807,1.939,-4.518,11.348
2026-02-26T03:55:00+00:00,246.513,1.962,-4.471,11.361
2026-02-26T04:00:00+00:00,246.192,1.905,-4.491,11.339
