ValueDate,Amps,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,264.831,0.659,-5.072,11.306
2026-02-26T00:10:00+00:00,264.625,0.708,-5.053,11.298
2026-02-26T00:15:00+00:00,266.818,0.681,-5.091,11.274
2026-02-26T00:20:00+00:00,267.402,0.679,-5.092,11.26
2026-02-26T00:25:00+00:00,267.471,0.68,-5.105,11.296
2026-02-26T00:30:00+00:00,268.894,0.696,-5.144,11.3
2026-02-26T00:35:00+00:00,272.086,0.628,-5.187,11.25
2026-02-26T00:40:00+00:00,272.504,0.672,-5.174,11.2
2026-02-26T00:45:00+00:00,276.236,0.664,-5.249,11.2
2026-02-26T00:50:00+00:00,274.988,0.712,-5.214,11.2
2026-02-26T00:55:00+00:00,274.602,0.692,-5.208,11.2
2026-02-26T01:00:00+00:00,276.721,0.709,-5.267,11.204
2026-02-26T01:05:00+00:00,281.417,0.712,-5.365,11.212
2026-02-26T01:10:00+00:00,278.915,0.726,-5.324,11.246
2026-02-26T01:15:00+00:00,277.784,0.71,-5.298,11.27
2026-02-26T01:20:00+00:00,276.993,0.706,-5.288,11.296
2026-02-26T01:25:00+00:00,277.465,0.69,-5.305,11.3
2026-02-26T01:30:00+00:00,296.844,0.69,-5.69,11.3
2026-02-26T01:35:00+00:00,296.742,0.665,-5.692,11.298
2026-02-26T01:40:00+00:00,294.352,0.657,-5.65,11.299
2026-02-26T01:45:00+00:00,292.324,0.667,-5.617,11.3
2026-02-26T01:50:00+00:00,287.663,0.668,-5.528,11.3
2026-02-26T01:55:00+00:00,286.129,0.666,-5.512,11.3
2026-02-26T02:00:00+00:00,286.225,0.632,-5.516,11.323
2026-02-26T02:05:00+00:00,285.284,0.667,-5.486,11.301
2026-02-26T02:10:00+00:00,286.295,0.652,-5.507,11.3
2026-02-26T02:15:00+00:00,285.705,0.639,-5.497,11.3
2026-02-26T02:20:00+00:00,281.223,0.651,-5.405,11.3
2026-02-26T02:25:00+00:00,280.737,0.662,-5.4,11.305
2026-02-26T02:30:00+00:00,278.857,0.643,-5.353,11.306
2026-02-26T02:35:00+00:00,279.174,0.642,-5.371,11.309
2026-02-26T02:40:00+00:00,277.717,0.655,-5.346,11.362
2026-02-26T02:45:00+00:00,279.687,0.632,-5.4,11.358
2026-02-26T02:50:00+00:00,279.888,0.628,-5.414,11.379
2026-02-26T02:55:00+00:00,276.452,0.637,-5.336,11.397
2026-02-26T03:00:00+00:00,275.471,0.647,-5.329,11.4
2026-02-26T03:05:00+00:00,274.744,0.65,-5.305,11.39
2026-02-26T03:10:00+00:00,272.97,0.628,-5.26,11.33
2026-02-26T03:15:00+00:00,271.684,0.633,-5.246,11.371
2026-02-26T03:20:00+00:00,269.899,0.62,-5.226,11.375
2026-02-26T03:25:00+00:00,270.281,0.669,-5.238,11.396
2026-02-26T03:30:00+00:00,265.58,0.661,-5.133,11.345
2026-02-26T03:35:00+00:00,265.853,0.647,-5.137,11.3
2026-02-26T03:40:00+00:00,264.108,0.658,-5.109,11.3
2026-02-26T03:45:00+00:00,264.168,0.648,-5.108,11.3
2026-02-26T03:50:00+00:00,263.028,0.627,-5.087,11.3
2026-02-26T03:55:00+00:00,266.066,0.618,-5.151,11.3
2026-02-26T04:00:00+00:00,266.129,0.649,-5.153,11.308
2026-02-26T04:05:00+00:00,267.959,0.634,-5.163,11.298
2026-02-26T04:10:00+00:00,270.262,0.662,-5.196,11.298
2026-02-26T04:15:00+00:00,271.542,0.661,-5.221,11.294
2026-02-26T04:20:00+00:00,273.896,0.623,-5.268,11.282
2026-02-26T04:25:00+00:00,274.214,0.618,-5.277,11.282
2026-02-26T04:30:00+00:00,273.394,0.629,-5.241,11.288
2026-02-26T04:35:00+00:00,272.627,0.633,-5.248,11.3
2026-02-26T04:40:00+00:00,271.333,0.602,-5.224,11.3
2026-02-26T04:45:00+00:00,272.76,0.602,-5.253,11.3
2026-02-26T04:50:00+00:00,274.124,0.61,-5.27,11.3
2026-02-26T04:55:00+00:00,273.49,0.637,-5.264,11.3
2026-02-26T05:00:00+00:00,276.385,0.635,-5.324,11.3
2026-02-26T05:05:00+00:00,283.903,0.612,-5.438,11.228
2026-02-26T05:10:00+00:00,291.968,0.571,-5.581,11.2
2026-02-26T05:15:00+00:00,292.838,0.595,-5.61,11.2
2026-02-26T05:20:00+00:00,294.883,0.583,-5.65,11.2
2026-02-26T05:25:00+00:00,294.61,0.597,-5.631,11.2
2026-02-26T05:30:00+00:00,295.322,0.582,-5.647,11.194
2026-02-26T05:35:00+00:00,295.214,0.583,-5.64,11.188
2026-02-26T05:40:00+00:00,300.522,0.586,-5.744,11.2
2026-02-26T05:45:00+00:00,301.286,0.59,-5.764,11.2
2026-02-26T05:50:00+00:00,293.5,0.585,-5.606,11.18
2026-02-26T05:55:00+00:00,291.14,0.591,-5.562,11.168
2026-02-26T06:00:00+00:00,297.346,0.622,-5.663,11.122
2026-02-26T06:05:00+00:00,313.056,0.555,-5.978,11.157
2026-02-26T06:10:00+00:00,319.541,0.496,-6.124,11.166
2026-02-26T06:15:00+00:00,323.072,0.492,-6.247,11.3
2026-02-26T06:20:00+00:00,320.221,0.47,-6.192,11.299
2026-02-26T06:25:00+00:00,322.384,0.444,-6.22,11.249
2026-02-26T06:30:00+00:00,327.245,0.418,-6.33,11.248
2026-02-26T06:35:00+00:00,332.087,0.421,-6.402,11.244
2026-02-26T06:40:00+00:00,337.092,0.434,-6.48,11.2
2026-02-26T06:45:00+00:00,345.422,0.407,-6.698,11.297
2026-02-26T06:50:00+00:00,347.544,0.382,-6.752,11.3
2026-02-26T06:55:00+00:00,348.415,0.41,-6.755,11.291
2026-02-26T07:00:00+00:00,356.867,0.412,-6.876,11.201
2026-02-26T07:05:00+00:00,363.011,0.391,-6.99,11.2
2026-02-26T07:10:00+00:00,374.142,0.408,-7.153,11.133
2026-02-26T07:15:00+00:00,381.137,0.178,-7.296,11.202
2026-02-26T07:20:00+00:00,387.903,0.14,-7.45,11.223
2026-02-26T07:25:00+00:00,387.716,0.17,-7.448,11.202
