ValueDate,Amps,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,461.487,1.879,-8.459,11.1
2026-02-26T00:10:00+00:00,468.468,1.857,-8.577,11.092
2026-02-26T00:15:00+00:00,467.203,1.861,-8.55,11.066
2026-02-26T00:20:00+00:00,466.784,1.867,-8.545,11.068
2026-02-26T00:25:00+00:00,459.77,1.891,-8.437,11.084
2026-02-26T00:30:00+00:00,455.347,1.915,-8.358,11.1
2026-02-26T00:35:00+00:00,470.83,1.805,-8.643,11.088
2026-02-26T00:40:00+00:00,482.012,1.808,-8.859,11.043
2026-02-26T00:45:00+00:00,480.847,1.838,-8.922,11.131
2026-02-26T00:50:00+00:00,479.478,1.812,-8.869,11.133
2026-02-26T00:55:00+00:00,476.663,1.803,-8.819,11.133
2026-02-26T01:00:00+00:00,479.17,1.805,-8.92,11.133
2026-02-26T01:05:00+00:00,475.395,1.882,-8.851,11.153
2026-02-26T01:10:00+00:00,476.549,1.825,-8.887,11.162
2026-02-26T01:15:00+00:00,469.556,1.879,-8.737,11.207
2026-02-26T01:20:00+00:00,471.358,1.854,-8.752,11.164
2026-02-26T01:25:00+00:00,469.785,1.854,-8.725,11.167
2026-02-26T01:30:00+00:00,468.464,1.878,-8.698,11.167
2026-02-26T01:35:00+00:00,468.507,1.819,-8.71,11.167
2026-02-26T01:40:00+00:00,467.467,1.842,-8.71,11.167
2026-02-26T01:45:00+00:00,463.26,1.847,-8.612,11.167
2026-02-26T01:50:00+00:00,457.916,1.933,-8.482,11.106
2026-02-26T01:55:00+00:00,454.206,1.854,-8.437,11.1
2026-02-26T02:00:00+00:00,446.434,1.842,-8.33,11.17
2026-02-26T02:05:00+00:00,450.208,1.819,-8.34,11.102
2026-02-26T02:10:00+00:00,449.305,1.823,-8.296,11.1
2026-02-26T02:15:00+00:00,449.702,1.848,-8.312,11.105
2026-02-26T02:20:00+00:00,449.804,1.831,-8.286,11.1
2026-02-26T02:25:00+00:00,450.043,1.827,-8.298,11.111
2026-02-26T02:30:00+00:00,444.648,1.85,-8.164,11.121
2026-02-26T02:35:00+00:00,446.088,1.859,-8.218,11.178
2026-02-26T02:40:00+00:00,446.142,1.86,-8.243,11.2
2026-02-26T02:45:00+00:00,445.757,1.831,-8.231,11.2
2026-02-26T02:50:00+00:00,441.034,1.85,-8.15,11.2
2026-02-26T02:55:00+00:00,443.036,1.786,-8.185,11.2
2026-02-26T03:00:00+00:00,439.098,1.799,-8.106,11.2
2026-02-26T03:05:00+00:00,438.271,1.812,-8.128,11.199
2026-02-26T03:10:00+00:00,434.541,1.799,-8.028,11.198
2026-02-26T03:15:00+00:00,436.185,1.792,-8.077,11.2
2026-02-26T03:20:00+00:00,432.652,1.844,-8.009,11.2
2026-02-26T03:25:00+00:00,427.503,1.899,-7.896,11.204
2026-02-26T03:30:00+00:00,421.324,1.932,-7.776,11.234
2026-02-26T03:35:00+00:00,414.166,1.991,-7.622,11.243
2026-02-26T03:40:00+00:00,412.226,1.981,-7.59,11.241
2026-02-26T03:45:00+00:00,410.812,2.009,-7.514,11.208
2026-02-26T03:50:00+00:00,408.379,2.012,-7.463,11.194
2026-02-26T03:55:00+00:00,406.857,2.015,-7.422,11.167
2026-02-26T04:00:00+00:00,408.77,1.958,-7.478,11.164
2026-02-26T04:05:00+00:00,416.549,1.9,-7.626,11.121
2026-02-26T04:10:00+00:00,418.329,1.877,-7.672,11.133
2026-02-26T04:15:00+00:00,421.67,1.905,-7.698,11.133
2026-02-26T04:20:00+00:00,420.383,1.889,-7.704,11.133
2026-02-26T04:25:00+00:00,423.87,1.878,-7.74,11.133
2026-02-26T04:30:00+00:00,427.364,1.872,-7.792,11.133
2026-02-26T04:35:00+00:00,428.233,1.808,-7.891,11.141
2026-02-26T04:40:00+00:00,429.717,1.792,-7.94,11.137
2026-02-26T04:45:00+00:00,432.718,1.807,-8.0,11.137
2026-02-26T04:50:00+00:00,431.898,1.797,-7.988,11.15
2026-02-26T04:55:00+00:00,436.403,1.776,-8.101,11.159
2026-02-26T05:00:00+00:00,439.258,1.809,-8.126,11.156
2026-02-26T05:05:00+00:00,442.162,1.788,-8.123,11.101
2026-02-26T05:10:00+00:00,446.176,1.758,-8.172,11.063
2026-02-26T05:15:00+00:00,450.723,1.778,-8.263,11.076
2026-02-26T05:20:00+00:00,452.498,1.78,-8.307,11.092
2026-02-26T05:25:00+00:00,454.845,1.774,-8.348,11.064
2026-02-26T05:30:00+00:00,456.005,1.769,-8.388,11.073
2026-02-26T05:35:00+00:00,457.302,1.764,-8.461,11.1
2026-02-26T05:40:00+00:00,466.318,1.724,-8.663,11.105
2026-02-26T05:45:00+00:00,466.374,1.751,-8.643,11.102
2026-02-26T05:50:00+00:00,477.115,1.666,-8.863,11.1
2026-02-26T05:55:00+00:00,478.442,1.686,-8.903,11.1
2026-02-26T06:00:00+00:00,483.664,1.691,-8.973,11.076
2026-02-26T06:05:00+00:00,507.786,1.564,-9.419,11.078
2026-02-26T06:10:00+00:00,518.938,1.498,-9.641,11.068
2026-02-26T06:15:00+00:00,524.436,1.435,-9.855,11.18
2026-02-26T06:20:00+00:00,534.961,1.407,-10.046,11.174
2026-02-26T06:25:00+00:00,542.154,1.39,-10.173,11.124
2026-02-26T06:30:00+00:00,551.563,1.393,-10.38,11.136
2026-02-26T06:35:00+00:00,555.844,1.349,-10.505,11.128
2026-02-26T06:40:00+00:00,569.896,1.267,-10.741,11.099
2026-02-26T06:45:00+00:00,577.454,1.21,-10.967,11.163
2026-02-26T06:50:00+00:00,582.359,1.149,-11.096,11.179
2026-02-26T06:55:00+00:00,588.906,1.072,-11.281,11.121
2026-02-26T07:00:00+00:00,611.904,1.007,-11.603,11.098
2026-02-26T07:05:00+00:00,622.862,1.008,-11.856,11.105
2026-02-26T07:10:00+00:00,639.354,0.995,-12.049,11.014
2026-02-26T07:15:00+00:00,640.094,0.933,-12.177,11.119
2026-02-26T07:20:00+00:00,650.089,0.881,-12.448,11.165
2026-02-26T07:25:00+00:00,657.707,0.822,-12.556,11.135
2026-02-26T07:30:00+00:00,675.979,0.756,-12.898,11.123
2026-02-26T07:35:00+00:00,681.712,0.654,-13.071,11.096
2026-02-26T07:40:00+00:00,672.85,0.628,-12.906,11.119
2026-02-26T07:45:00+00:00,685.874,0.531,-13.112,11.116
2026-02-26T07:50:00+00:00,698.988,0.502,-13.366,11.121
2026-02-26T07:55:00+00:00,698.42,0.531,-13.341,11.107
2026-02-26T08:00:00+00:00,705.848,0.495,-13.496,11.115
2026-02-26T08:05:00+00:00,708.545,0.449,-13.585,11.128
2026-02-26T08:10:00+00:00,722.86,0.398,-13.83,11.122
2026-02-26T08:15:00+00:00,718.494,0.383,-13.772,11.156
2026-02-26T08:20:00+00:00,715.03,0.373,-13.704,11.148
2026-02-26T08:25:00+00:00,719.677,0.363,-13.804,11.125
2026-02-26T08:30:00+00:00,715.733,0.383,-13.75,11.143
2026-02-26T08:35:00+00:00,716.455,0.439,-13.764,11.15
2026-02-26T08:40:00+00:00,718.479,0.449,-13.81,11.145
2026-02-26T08:45:00+00:00,731.299,0.429,-13.945,11.103
2026-02-26T08:50:00+00:00,732.642,0.43,-13.996,11.105
2026-02-26T08:55:00+00:00,727.721,0.417,-13.908,11.099
2026-02-26T09:00:00+00:00,740.818,0.365,-14.153,11.151
2026-02-26T09:05:00+00:00,751.546,0.356,-14.368,11.15
2026-02-26T09:10:00+00:00,748.581,0.33,-14.348,11.166
2026-02-26T09:15:00+00:00,750.347,0.343,-14.335,11.148
2026-02-26T09:20:00+00:00,760.665,0.283,-14.561,11.158
2026-02-26T09:25:00+00:00,760.769,0.315,-14.561,11.161
2026-02-26T09:30:00+00:00,764.558,0.288,-14.667,11.166
