ValueDate,Amps,MVAr,MW,Volts
2026-02-26T00:05:00+00:00,237.693,0.728,-13.549,33.034
2026-02-26T00:10:00+00:00,243.284,0.751,-13.818,32.975
2026-02-26T00:15:00+00:00,244.552,0.753,-13.85,32.855
2026-02-26T00:20:00+00:00,240.447,0.711,-13.608,32.856
2026-02-26T00:25:00+00:00,241.949,0.745,-13.716,32.941
2026-02-26T00:30:00+00:00,244.842,0.656,-13.897,33.0
2026-02-26T00:35:00+00:00,253.551,0.599,-14.356,32.797
2026-02-26T00:40:00+00:00,259.639,0.479,-14.587,32.649
2026-02-26T00:45:00+00:00,260.443,0.286,-14.662,32.63
2026-02-26T00:50:00+00:00,258.257,0.187,-14.575,32.729
2026-02-26T00:55:00+00:00,259.277,0.171,-14.788,33.05
2026-02-26T01:00:00+00:00,257.553,0.337,-14.71,33.172
2026-02-26T01:05:00+00:00,257.519,0.336,-14.732,33.229
2026-02-26T01:10:00+00:00,263.394,0.618,-15.123,33.244
2026-02-26T01:15:00+00:00,266.808,0.535,-15.315,33.306
2026-02-26T01:20:00+00:00,266.792,0.496,-15.381,33.377
2026-02-26T01:25:00+00:00,263.236,0.462,-15.193,33.412
2026-02-26T01:30:00+00:00,260.534,0.615,-15.026,33.461
2026-02-26T01:35:00+00:00,262.384,0.557,-15.141,33.45
2026-02-26T01:40:00+00:00,263.287,0.626,-15.201,33.45
2026-02-26T01:45:00+00:00,264.862,0.444,-15.279,33.54
2026-02-26T01:50:00+00:00,262.412,0.458,-15.152,33.375
2026-02-26T01:55:00+00:00,256.842,0.608,-14.668,33.069
2026-02-26T02:00:00+00:00,254.964,0.562,-14.588,33.176
2026-02-26T02:05:00+00:00,255.513,0.602,-14.515,33.003
2026-02-26T02:10:00+00:00,254.778,0.619,-14.494,33.0
2026-02-26T02:15:00+00:00,260.893,0.582,-14.846,33.0
2026-02-26T02:20:00+00:00,258.812,0.614,-14.728,33.002
2026-02-26T02:25:00+00:00,257.192,0.494,-14.643,33.047
2026-02-26T02:30:00+00:00,256.019,0.628,-14.584,33.05
2026-02-26T02:35:00+00:00,256.066,0.378,-14.622,33.108
2026-02-26T02:40:00+00:00,255.518,0.397,-14.578,33.166
2026-02-26T02:45:00+00:00,251.706,0.616,-14.377,33.2
2026-02-26T02:50:00+00:00,249.068,0.601,-14.278,33.254
2026-02-26T02:55:00+00:00,247.682,0.531,-14.22,33.256
2026-02-26T03:00:00+00:00,247.634,0.466,-14.209,33.298
2026-02-26T03:05:00+00:00,247.248,0.451,-14.189,33.239
2026-02-26T03:10:00+00:00,245.69,0.275,-14.036,33.216
2026-02-26T03:15:00+00:00,245.342,0.514,-14.044,33.254
2026-02-26T03:20:00+00:00,243.721,0.591,-13.957,33.251
2026-02-26T03:25:00+00:00,236.466,0.612,-13.56,33.34
2026-02-26T03:30:00+00:00,229.029,0.735,-13.15,33.362
2026-02-26T03:35:00+00:00,227.845,0.751,-13.09,33.366
2026-02-26T03:40:00+00:00,228.096,0.73,-13.123,33.4
2026-02-26T03:45:00+00:00,229.586,0.742,-13.198,33.4
2026-02-26T03:50:00+00:00,225.242,0.701,-12.977,33.436
2026-02-26T03:55:00+00:00,223.44,0.742,-12.899,33.457
2026-02-26T04:00:00+00:00,225.657,0.748,-13.002,33.434
2026-02-26T04:05:00+00:00,226.072,0.597,-12.99,33.252
2026-02-26T04:10:00+00:00,228.514,0.611,-13.09,33.2
2026-02-26T04:15:00+00:00,229.051,0.593,-13.116,33.2
2026-02-26T04:20:00+00:00,227.935,0.704,-13.049,33.226
2026-02-26T04:25:00+00:00,225.581,0.693,-12.918,33.249
2026-02-26T04:30:00+00:00,226.276,0.678,-12.969,33.251
2026-02-26T04:35:00+00:00,228.525,0.629,-13.135,33.309
2026-02-26T04:40:00+00:00,234.681,0.567,-13.472,33.342
2026-02-26T04:45:00+00:00,237.429,0.632,-13.62,33.357
2026-02-26T04:50:00+00:00,233.454,0.643,-13.391,33.355
2026-02-26T04:55:00+00:00,230.247,0.596,-13.25,33.398
2026-02-26T05:00:00+00:00,228.42,0.621,-13.111,33.37
2026-02-26T05:05:00+00:00,223.944,0.584,-12.785,33.142
2026-02-26T05:10:00+00:00,230.584,0.601,-13.138,33.046
2026-02-26T05:15:00+00:00,228.318,0.6,-13.042,33.053
2026-02-26T05:20:00+00:00,229.64,0.533,-13.109,33.045
2026-02-26T05:25:00+00:00,230.613,0.619,-13.123,33.031
2026-02-26T05:30:00+00:00,232.468,0.603,-13.23,33.0
2026-02-26T05:35:00+00:00,232.591,0.457,-13.21,32.968
2026-02-26T05:40:00+00:00,237.542,0.596,-13.526,33.053
2026-02-26T05:45:00+00:00,236.096,0.603,-13.468,33.05
2026-02-26T05:50:00+00:00,238.005,0.613,-13.504,32.974
2026-02-26T05:55:00+00:00,239.754,0.637,-13.594,32.917
2026-02-26T06:00:00+00:00,243.997,0.587,-13.799,32.824
2026-02-26T06:05:00+00:00,252.478,0.327,-14.238,32.736
2026-02-26T06:10:00+00:00,256.769,0.063,-14.589,32.993
2026-02-26T06:15:00+00:00,254.75,-0.167,-14.648,33.29
2026-02-26T06:20:00+00:00,257.035,-0.198,-14.728,33.25
2026-02-26T06:25:00+00:00,256.018,-0.373,-14.628,33.132
2026-02-26T06:30:00+00:00,257.858,-0.484,-14.736,33.116
2026-02-26T06:35:00+00:00,264.307,-0.556,-15.069,33.042
2026-02-26T06:40:00+00:00,273.007,-0.6,-15.535,32.961
2026-02-26T06:45:00+00:00,279.812,-0.717,-15.948,33.071
2026-02-26T06:50:00+00:00,284.442,-0.849,-16.227,33.134
2026-02-26T06:55:00+00:00,292.823,-0.937,-16.656,33.023
2026-02-26T07:00:00+00:00,294.164,-0.85,-16.662,32.923
2026-02-26T07:05:00+00:00,301.398,-0.914,-17.029,32.831
2026-02-26T07:10:00+00:00,315.922,-1.184,-17.804,32.694
2026-02-26T07:15:00+00:00,315.842,-1.176,-17.983,33.02
2026-02-26T07:20:00+00:00,312.816,-1.285,-17.884,33.19
2026-02-26T07:25:00+00:00,319.265,-1.403,-18.271,33.245
2026-02-26T07:30:00+00:00,317.583,-1.258,-18.169,33.185
2026-02-26T07:35:00+00:00,325.562,-1.36,-18.536,33.036
2026-02-26T07:40:00+00:00,332.108,-1.544,-18.913,33.055
2026-02-26T07:45:00+00:00,333.145,-1.653,-18.987,33.047
2026-02-26T07:50:00+00:00,336.794,-1.665,-19.169,33.053
2026-02-26T07:55:00+00:00,341.608,-1.882,-19.374,33.044
2026-02-26T08:00:00+00:00,349.796,-2.133,-19.786,32.961
2026-02-26T08:05:00+00:00,351.024,-2.166,-19.81,32.867
2026-02-26T08:10:00+00:00,355.217,-2.096,-20.105,32.934
2026-02-26T08:15:00+00:00,350.458,-2.119,-19.917,33.077
2026-02-26T08:20:00+00:00,353.91,-2.237,-20.197,33.202
2026-02-26T08:25:00+00:00,358.087,-2.293,-20.342,33.169
2026-02-26T08:30:00+00:00,362.506,-2.378,-20.607,33.194
2026-02-26T08:35:00+00:00,363.273,-2.391,-20.678,33.2
2026-02-26T08:40:00+00:00,363.601,-2.359,-20.635,33.148
2026-02-26T08:45:00+00:00,364.235,-2.416,-20.65,33.03
2026-02-26T08:50:00+00:00,366.88,-2.473,-20.742,33.037
2026-02-26T08:55:00+00:00,369.754,-2.492,-20.944,33.014
2026-02-26T09:00:00+00:00,374.369,-2.69,-21.179,33.011
2026-02-26T09:05:00+00:00,375.316,-2.767,-21.254,33.004
2026-02-26T09:10:00+00:00,365.63,-2.707,-20.725,33.037
2026-02-26T09:15:00+00:00,358.282,-2.535,-20.254,33.01
2026-02-26T09:20:00+00:00,358.816,-2.489,-20.335,33.057
2026-02-26T09:25:00+00:00,364.016,-2.536,-20.593,33.071
2026-02-26T09:30:00+00:00,361.54,-2.435,-20.524,33.153
2026-02-26T09:35:00+00:00,354.581,-2.378,-20.118,33.189
2026-02-26T09:40:00+00:00,350.586,-2.389,-19.941,33.152
2026-02-26T09:45:00+00:00,355.005,-2.374,-20.178,33.2
2026-02-26T09:50:00+00:00,358.916,-2.464,-20.34,33.167
2026-02-26T09:55:00+00:00,359.088,-2.443,-20.38,33.173
2026-02-26T10:00:00+00:00,353.394,-2.301,-20.138,33.192
2026-02-26T10:05:00+00:00,345.202,-2.131,-19.667,33.2
2026-02-26T10:10:00+00:00,350.145,-2.389,-19.899,33.189
2026-02-26T10:15:00+00:00,350.859,-2.415,-20.01,33.252
2026-02-26T10:20:00+00:00,349.76,-2.262,-19.93,33.234
2026-02-26T10:25:00+00:00,356.913,-2.312,-20.324,33.163
2026-02-26T10:30:00+00:00,353.584,-2.289,-20.107,33.16
2026-02-26T10:35:00+00:00,354.317,-2.298,-20.166,33.198
2026-02-26T10:40:00+00:00,353.739,-2.167,-20.076,33.089
2026-02-26T10:45:00+00:00,354.914,-2.24,-20.12,33.019
2026-02-26T10:50:00+00:00,350.255,-2.055,-19.883,33.047
2026-02-26T10:55:00+00:00,343.492,-2.196,-19.465,33.025
2026-02-26T11:00:00+00:00,335.153,-2.464,-18.979,33.091
2026-02-26T11:05:00+00:00,329.818,-2.311,-18.81,33.306
2026-02-26T11:10:00+00:00,322.401,-2.201,-18.442,33.344
2026-02-26T11:15:00+00:00,330.229,-2.542,-18.812,33.288
2026-02-26T11:20:00+00:00,332.591,-2.455,-18.995,33.376
2026-02-26T11:25:00+00:00,337.38,-2.641,-19.276,33.357
2026-02-26T11:30:00+00:00,336.008,-2.49,-19.191,33.345
2026-02-26T11:35:00+00:00,334.272,-2.488,-19.069,33.326
2026-02-26T11:40:00+00:00,344.319,-2.627,-19.618,33.369
2026-02-26T11:45:00+00:00,346.123,-2.713,-19.742,33.372
2026-02-26T11:50:00+00:00,344.855,-2.725,-19.679,33.433
2026-02-26T11:55:00+00:00,339.015,-2.631,-19.413,33.447
2026-02-26T12:00:00+00:00,334.0,-2.701,-19.141,33.536
2026-02-26T12:05:00+00:00,334.918,-2.625,-19.177,33.425
2026-02-26T12:10:00+00:00,336.447,-2.557,-19.269,33.382
2026-02-26T12:15:00+00:00,328.667,-2.442,-18.758,33.354
2026-02-26T12:20:00+00:00,327.343,-2.382,-18.639,33.351
2026-02-26T12:25:00+00:00,325.0,-2.187,-18.596,33.355
2026-02-26T12:30:00+00:00,320.712,-2.199,-18.392,33.372
2026-02-26T12:35:00+00:00,323.059,-2.238,-18.42,33.22
2026-02-26T12:40:00+00:00,313.031,-2.222,-17.815,33.235
2026-02-26T12:45:00+00:00,306.411,-2.246,-17.373,33.202
2026-02-26T12:50:00+00:00,305.913,-2.225,-17.461,33.37
2026-02-26T12:55:00+00:00,312.689,-2.237,-17.945,33.402
2026-02-26T13:00:00+00:00,309.745,-2.078,-17.777,33.466
2026-02-26T13:05:00+00:00,312.532,-1.988,-17.954,33.435
2026-02-26T13:10:00+00:00,313.152,-1.967,-17.934,33.335
2026-02-26T13:15:00+00:00,316.165,-2.039,-18.115,33.401
2026-02-26T13:20:00+00:00,315.028,-1.916,-18.088,33.404
2026-02-26T13:25:00+00:00,303.133,-1.712,-17.366,33.446
2026-02-26T13:30:00+00:00,304.185,-1.637,-17.389,33.293
2026-02-26T13:35:00+00:00,309.462,-1.714,-17.733,33.385
2026-02-26T13:40:00+00:00,318.313,-1.799,-18.227,33.253
2026-02-26T13:45:00+00:00,322.814,-1.892,-18.479,33.249
2026-02-26T13:50:00+00:00,328.206,-2.087,-18.685,33.256
2026-02-26T13:55:00+00:00,327.821,-2.015,-18.788,33.358
2026-02-26T14:00:00+00:00,326.745,-1.968,-18.738,33.391
2026-02-26T14:05:00+00:00,326.245,-2.144,-18.637,33.389
2026-02-26T14:10:00+00:00,321.778,-2.182,-18.488,33.432
2026-02-26T14:15:00+00:00,316.717,-1.993,-18.193,33.452
2026-02-26T14:20:00+00:00,322.618,-2.182,-18.555,33.422
2026-02-26T14:25:00+00:00,327.41,-2.225,-18.79,33.409
2026-02-26T14:30:00+00:00,332.609,-2.173,-18.99,33.379
2026-02-26T14:35:00+00:00,336.668,-2.1,-19.26,33.226
2026-02-26T14:40:00+00:00,339.515,-2.15,-19.382,33.285
2026-02-26T14:45:00+00:00,344.879,-2.27,-19.674,33.22
2026-02-26T14:50:00+00:00,345.86,-2.286,-19.662,33.187
2026-02-26T14:55:00+00:00,346.981,-2.27,-19.752,33.192
2026-02-26T15:00:00+00:00,339.324,-2.029,-19.484,33.395
2026-02-26T15:05:00+00:00,336.975,-2.05,-19.315,33.423
2026-02-26T15:10:00+00:00,332.491,-1.914,-19.081,33.417
2026-02-26T15:15:00+00:00,332.026,-1.919,-18.959,33.224
2026-02-26T15:20:00+00:00,334.203,-1.97,-19.134,33.354
2026-02-26T15:25:00+00:00,334.173,-1.866,-19.16,33.37
2026-02-26T15:30:00+00:00,332.818,-1.837,-19.033,33.258
2026-02-26T15:35:00+00:00,339.252,-1.86,-19.312,33.168
2026-02-26T15:40:00+00:00,340.297,-1.843,-19.407,33.17
2026-02-26T15:45:00+00:00,344.795,-1.828,-19.615,33.063
2026-02-26T15:50:00+00:00,346.783,-1.888,-19.617,32.906
2026-02-26T15:55:00+00:00,345.046,-1.799,-19.557,32.946
2026-02-26T16:00:00+00:00,346.37,-1.728,-19.658,32.933
2026-02-26T16:05:00+00:00,355.37,-1.976,-20.051,32.804
2026-02-26T16:10:00+00:00,351.092,-1.865,-19.848,32.863
2026-02-26T16:15:00+00:00,347.1,-1.799,-19.688,33.011
2026-02-26T16:20:00+00:00,346.538,-1.785,-19.652,32.963
